Date,ISRAEL MID CAP Mid Cap
2001-01-01,756.316
2001-01-02,716.245
2001-01-03,731.488
2001-01-04,729.529
2001-01-05,719.555
2001-01-08,689.29
2001-01-09,697.699
2001-01-10,705.43
2001-01-11,733.517
2001-01-12,737.05
2001-01-15,743.315
2001-01-16,744.03
2001-01-17,769.328
2001-01-18,772.159
2001-01-19,771.486
2001-01-22,745.499
2001-01-23,737.351
2001-01-24,740.266
2001-01-25,737.617
2001-01-26,740.612
2001-01-29,723.524
2001-01-30,723.474
2001-01-31,735.402
2001-02-01,742.438
2001-02-02,731.719
2001-02-05,739.954
2001-02-06,740.205
2001-02-07,723.851
2001-02-08,743.125
2001-02-09,739.919
2001-02-12,750.02
2001-02-13,744.174
2001-02-14,736.367
2001-02-15,730.433
2001-02-16,723.199
2001-02-19,708.97
2001-02-20,710.774
2001-02-21,705.949
2001-02-22,695.558
2001-02-23,690.963
2001-02-26,707.204
2001-02-27,704.935
2001-02-28,697.464
2001-03-01,685.428
2001-03-02,686.857
2001-03-05,676.752
2001-03-06,690.36
2001-03-07,677.069
2001-03-08,662.68
2001-03-09,656.779
2001-03-12,615.67
2001-03-13,611.509
2001-03-14,577.682
2001-03-15,575.799
2001-03-16,570.695
2001-03-19,575.487
2001-03-20,562.873
2001-03-21,548.89
2001-03-22,535.181
2001-03-23,541.345
2001-03-26,565.902
2001-03-27,551.536
2001-03-28,550.31
2001-03-29,531.663
2001-03-30,535.102
2001-04-02,525.886
2001-04-03,505.568
2001-04-04,505.589
2001-04-05,532.451
2001-04-06,530.124
2001-04-09,523.017
2001-04-10,544.02
2001-04-11,550.633
2001-04-12,553.575
2001-04-13,553.575
2001-04-16,547.691
2001-04-17,530.887
2001-04-18,562.32
2001-04-19,570.913
2001-04-20,568.547
2001-04-23,572.991
2001-04-24,575.227
2001-04-25,575.701
2001-04-26,574.809
2001-04-27,577.283
2001-04-30,615.235
2001-05-01,611.274
2001-05-02,626.569
2001-05-03,615.122
2001-05-04,614.164
2001-05-07,609.384
2001-05-08,609.073
2001-05-09,592.327
2001-05-10,598.01
2001-05-11,595.739
2001-05-14,586.479
2001-05-15,594.724
2001-05-16,592.325
2001-05-17,606.496
2001-05-18,607.054
2001-05-21,616.427
2001-05-22,630.736
2001-05-23,631.215
2001-05-24,628.266
2001-05-25,627.505
2001-05-28,626.589
2001-05-29,619.987
2001-05-30,600.513
2001-05-31,590.732
2001-06-01,591.63
2001-06-04,576.366
2001-06-05,587.053
2001-06-06,594.651
2001-06-07,591.39
2001-06-08,593.277
2001-06-11,581.242
2001-06-12,564.516
2001-06-13,576.884
2001-06-14,566.484
2001-06-15,565.965
2001-06-18,557.407
2001-06-19,561.597
2001-06-20,552.364
2001-06-21,550.024
2001-06-22,550.03
2001-06-25,556.822
2001-06-26,556.07
2001-06-27,565.898
2001-06-28,572.367
2001-06-29,571.629
2001-07-02,582.133
2001-07-03,575.068
2001-07-04,576.598
2001-07-05,571.289
2001-07-06,570.855
2001-07-09,561.037
2001-07-10,569.594
2001-07-11,559.595
2001-07-12,573.137
2001-07-13,575.172
2001-07-16,578.01
2001-07-17,576.323
2001-07-18,568.868
2001-07-19,578.894
2001-07-20,578.482
2001-07-23,585.016
2001-07-24,577.756
2001-07-25,580.128
2001-07-26,589.742
2001-07-27,588.619
2001-07-30,587.052
2001-07-31,580.29
2001-08-01,588.445
2001-08-02,593.026
2001-08-03,595.198
2001-08-06,589.347
2001-08-07,584.026
2001-08-08,588.236
2001-08-09,578.414
2001-08-10,578.244
2001-08-13,589.231
2001-08-14,588.655
2001-08-15,578.325
2001-08-16,572.791
