Date,ISRAEL MID CAP Mid Cap
1994-05-31,409.665
1994-06-30,338.706
1994-07-29,370.994
1994-08-31,400.086
1994-09-30,404.194
1994-10-31,410.834
1994-11-30,359.385
1994-12-30,373.483
1995-01-31,371.143
1995-02-28,309.888
1995-03-31,370.423
1995-04-28,367.954
1995-05-31,375.403
1995-06-30,395.763
1995-07-31,404.086
1995-08-31,411.341
1995-09-29,421.46
1995-10-31,407.166
1995-11-30,402.511
1995-12-29,421.334
1996-01-31,416.735
1996-02-29,441.915
1996-03-29,413.681
1996-04-30,436.358
1996-05-31,445.511
1996-06-28,444.84
1996-07-31,418.217
1996-08-30,433.653
1996-09-30,423.845
1996-10-31,415.306
1996-11-29,434.584
1996-12-31,451.795
1997-01-31,512.163
1997-02-28,513.602
1997-03-31,486.663
1997-04-30,505.801
1997-05-30,551.974
1997-06-30,548.692
1997-07-31,601.323
1997-08-29,574.483
1997-09-30,593.454
1997-10-31,578.872
1997-11-28,596.356
1997-12-31,611.671
1998-01-30,547.36
1998-02-27,590.421
1998-03-31,607.415
1998-04-30,603.927
1998-05-29,635.369
1998-06-30,634.571
1998-07-31,615.6
1998-08-31,533.994
1998-09-30,504.511
1998-10-30,457.107
1998-11-30,511.485
1998-12-31,554.73
1999-01-29,532.14
1999-02-26,551.724
1999-03-31,621.876
1999-04-30,631.839
1999-05-31,670.551
1999-06-30,740.908
1999-07-30,728.099
1999-08-31,684.662
1999-09-30,710.756
1999-10-29,758.74
1999-11-30,859.264
1999-12-31,984.672
2000-01-31,983.309
2000-02-29,1158.517
2000-03-31,1100.344
2000-04-28,980.544
2000-05-31,985.319
2000-06-30,1068.949
2000-07-31,1013.325
2000-08-31,1126.235
2000-09-29,1063.311
2000-10-31,853.543
2000-11-30,802.048
2000-12-29,794.055
2001-01-31,759.228
2001-02-28,720.06
2001-03-30,552.439
2001-04-30,634.72
2001-05-31,608.962
2001-06-29,589.27
2001-07-31,598.198
2001-08-31,569.661
2001-09-28,476.905
2001-10-31,502.057
2001-11-30,561.951
2001-12-31,607.763
2002-01-31,565.397
2002-02-28,516.232
2002-03-29,518.959
2002-04-30,435.964
2002-05-31,437.675
2002-06-28,428.835
2002-07-31,445.915
2002-08-30,435.993
2002-09-30,387.721
2002-10-31,370.396
2002-11-29,423.839
2002-12-31,378.318
2003-01-31,345.383
2003-02-28,346.87
2003-03-31,365.326
2003-04-30,444.163
2003-05-30,524.01
2003-06-30,553.463
2003-07-31,518.913
2003-08-29,522.264
2003-09-30,563.529
2003-10-31,626.217
2003-11-28,659.428
2003-12-31,676.398
2004-01-30,665.512
2004-02-27,676.27
2004-03-31,669.763
2004-04-30,613.355
2004-05-31,619.507
2004-06-30,659.824
2004-07-30,571.447
2004-08-31,536.036
2004-09-30,572.63
2004-10-29,563.476
2004-11-30,647.428
2004-12-31,701.192
2005-01-31,695.515
2005-02-28,701.015
2005-03-31,718.839
2005-04-29,713.297
2005-05-31,731.683
2005-06-30,641.941
2005-07-29,669.672
2005-08-31,693.713
2005-09-30,699.476
2005-10-31,692.058
2005-11-30,672.181
2005-12-30,707.549
2006-01-31,683.027
2006-02-28,640.361
2006-03-31,661.726
2006-04-28,738.431
2006-05-31,709.602
2006-06-30,653.353
2006-07-31,667.361
2006-08-31,706.025
2006-09-29,730.176
2006-10-31,759.297
2006-11-30,810.476
2006-12-29,809.66
2007-01-31,821.033
2007-02-28,856.752
2007-03-30,874.981
2007-04-30,949.521
2007-05-31,1000.0
2007-06-29,945.781
2007-07-31,915.286
2007-08-31,916.098
2007-09-28,977.505
2007-10-31,1053.203
2007-11-30,1007.783
2007-12-31,1021.875
2008-01-31,943.081
2008-02-29,947.37
2008-03-31,897.039
2008-04-30,958.968
2008-05-30,1019.633
2008-06-30,930.268
2008-07-31,846.128
2008-08-29,823.88
2008-09-30,755.892
2008-10-31,618.704
2008-11-28,502.279
2008-12-31,517.528
2009-01-30,514.864
2009-02-27,504.761
2009-03-31,585.738
2009-04-30,667.851
2009-05-29,755.654
2009-06-30,749.739
2009-07-31,872.252
2009-08-31,862.334
2009-09-30,915.63
2009-10-30,931.286
2009-11-30,958.141
2009-12-31,1024.22
2010-01-29,1026.361
2010-02-26,1023.526
2010-03-31,1069.079
2010-04-30,996.406
2010-05-31,866.182
2010-06-30,836.619
2010-07-30,926.012
2010-08-31,915.066
2010-09-30,1023.514
2010-10-29,1073.147
2010-11-30,1048.985
2010-12-31,1149.83
2011-01-31,1032.648
2011-02-28,1054.922
2011-03-31,1156.927
2011-04-29,1162.8
2011-05-31,1107.681
2011-06-30,1071.752
2011-07-29,1056.57
2011-08-31,923.368
2011-09-30,858.732
2011-10-31,965.191
2011-11-30,852.725
2011-12-30,833.868
2012-01-31,869.647
2012-02-29,784.598
2012-03-30,850.191
2012-04-30,830.975
2012-05-31,711.554
2012-06-29,660.832
2012-07-31,632.395
2012-08-31,639.552
2012-09-28,674.964
2012-10-31,664.014
2012-11-30,691.616
2012-12-31,657.571
2013-01-31,657.272
2013-02-28,687.151
2013-03-29,711.513
2013-04-30,690.968
2013-05-31,691.354
2013-06-28,669.814
2013-07-31,687.492
2013-08-30,668.214
2013-09-30,763.497
2013-10-31,762.526
2013-11-29,784.075
2013-12-31,798.678
2014-01-31,745.146
2014-02-28,767.997
2014-03-31,816.777
2014-04-30,825.146
2014-05-30,820.969
2014-06-30,823.311
2014-07-31,818.147
2014-08-29,802.188
2014-09-30,811.348
2014-10-31,746.901
2014-11-28,771.194
2014-12-31,754.178
2015-01-30,728.108
2015-02-27,759.543
2015-03-31,818.289
2015-04-30,847.771
2015-05-29,841.657
2015-06-30,869.604
2015-07-31,894.848
2015-08-31,811.907
2015-09-30,800.736
2015-10-30,854.349
2015-11-30,833.614
2015-12-31,806.674
2016-01-29,763.696
2016-02-29,783.335
2016-03-31,830.232
2016-04-29,835.899
2016-05-31,820.408
2016-06-30,804.03
2016-07-29,825.976
2016-08-31,838.888
2016-09-30,835.623
2016-10-31,822.231
2016-11-30,857.605
2016-12-30,869.601
2017-01-31,885.592
2017-02-28,921.168
2017-03-31,915.944
2017-04-28,934.376
2017-05-31,985.098
2017-06-30,1006.95
2017-07-31,993.467
2017-08-31,1017.723
2017-09-29,1039.501
2017-10-31,1066.016
2017-11-30,1061.282
2017-12-29,1116.44
2018-01-31,1164.255
2018-02-28,1124.674
2018-03-30,1074.936
2018-04-30,1079.134
2018-05-31,1124.034
2018-06-29,1096.103
2018-07-31,1137.769
2018-08-31,1220.805
2018-09-28,1206.779
2018-10-31,1140.518
2018-11-30,1187.047
2018-12-31,1117.378
2019-01-31,1182.491
2019-02-28,1224.494
2019-03-29,1233.064
2019-04-30,1333.836
2019-05-31,1340.13
2019-06-28,1374.605
2019-07-31,1480.303
2019-08-30,1392.323
2019-09-30,1369.355
2019-10-31,1395.541
2019-11-29,1430.361
2019-12-31,1417.525
2020-01-31,1511.333
2020-02-28,1376.655
2020-03-31,1128.773
2020-04-30,1282.334
2020-05-29,1460.532
2020-06-30,1475.112
2020-07-31,1598.297
2020-08-31,1669.98
2020-09-30,1510.728
2020-10-30,1523.904
2020-11-30,1693.22
2020-12-31,1899.307
2021-01-29,1899.791
2021-02-26,1811.516
2021-03-31,1846.275
2021-04-30,1988.844
2021-05-31,2022.605
2021-06-30,2032.065
2021-07-30,2148.816
2021-08-31,2326.255
2021-09-30,2314.829
2021-10-29,2522.493
2021-11-30,2541.027
2021-12-31,2654.28
2022-01-31,2409.519
2022-02-28,2450.116
2022-03-31,2484.428
