Date,ISRAEL MID GROWTH Mid Cap
2001-01-01,1958.473
2001-01-02,1843.011
2001-01-03,1968.056
2001-01-04,2005.934
2001-01-05,1951.355
2001-01-08,1866.589
2001-01-09,1867.077
2001-01-10,1921.119
2001-01-11,2048.928
2001-01-12,2066.985
2001-01-15,2074.676
2001-01-16,2037.271
2001-01-17,2146.193
2001-01-18,2213.968
2001-01-19,2214.241
2001-01-22,2201.062
2001-01-23,2239.185
2001-01-24,2202.19
2001-01-25,2216.891
2001-01-26,2233.728
2001-01-29,2215.382
2001-01-30,2307.347
2001-01-31,2338.157
2001-02-01,2348.714
2001-02-02,2278.644
2001-02-05,2285.106
2001-02-06,2280.865
2001-02-07,2234.716
2001-02-08,2256.279
2001-02-09,2208.739
2001-02-12,2268.871
2001-02-13,2231.38
2001-02-14,2228.2
2001-02-15,2280.774
2001-02-16,2200.894
2001-02-19,2181.601
2001-02-20,2161.75
2001-02-21,2139.33
2001-02-22,2109.301
2001-02-23,2062.854
2001-02-26,2149.024
2001-02-27,2122.999
2001-02-28,2061.296
2001-03-01,2074.087
2001-03-02,2094.533
2001-03-05,2083.804
2001-03-06,2139.149
2001-03-07,1974.386
2001-03-08,1908.509
2001-03-09,1862.973
2001-03-12,1799.871
2001-03-13,1836.484
2001-03-14,1725.387
2001-03-15,1688.149
2001-03-16,1663.016
2001-03-19,1644.562
2001-03-20,1533.548
2001-03-21,1512.738
2001-03-22,1511.236
2001-03-23,1566.623
2001-03-26,1603.459
2001-03-27,1595.148
2001-03-28,1566.731
2001-03-29,1554.25
2001-03-30,1580.342
2001-04-02,1546.228
2001-04-03,1480.551
2001-04-04,1473.35
2001-04-05,1565.635
2001-04-06,1523.258
2001-04-09,1504.412
2001-04-10,1549.331
2001-04-11,1583.234
2001-04-12,1615.551
2001-04-13,1615.551
2001-04-16,1583.555
2001-04-17,1568.511
2001-04-18,1682.402
2001-04-19,1703.866
2001-04-20,1676.349
2001-04-23,1657.905
2001-04-24,1667.691
2001-04-25,1700.183
2001-04-26,1710.312
2001-04-27,1716.539
2001-04-30,1765.07
2001-05-01,1768.395
2001-05-02,1815.404
2001-05-03,1729.688
2001-05-04,1716.609
2001-05-07,1700.592
2001-05-08,1710.956
2001-05-09,1682.639
2001-05-10,1682.827
2001-05-11,1668.466
2001-05-14,1663.726
2001-05-15,1694.203
2001-05-16,1709.598
2001-05-17,1761.952
2001-05-18,1772.869
2001-05-21,1829.036
2001-05-22,1851.02
2001-05-23,1839.933
2001-05-24,1839.271
2001-05-25,1842.388
2001-05-28,1840.584
2001-05-29,1792.067
2001-05-30,1718.169
2001-05-31,1715.825
2001-06-01,1733.642
2001-06-04,1710.892
2001-06-05,1743.723
2001-06-06,1770.209
2001-06-07,1784.822
2001-06-08,1776.456
2001-06-11,1749.4
2001-06-12,1717.533
2001-06-13,1759.011
2001-06-14,1741.863
2001-06-15,1741.162
2001-06-18,1702.767
2001-06-19,1712.697
2001-06-20,1672.768
2001-06-21,1668.413
2001-06-22,1674.432
2001-06-25,1673.836
2001-06-26,1663.062
2001-06-27,1674.991
2001-06-28,1670.854
2001-06-29,1671.704
2001-07-02,1694.222
2001-07-03,1681.592
2001-07-04,1692.964
2001-07-05,1703.584
2001-07-06,1712.605
2001-07-09,1640.242
2001-07-10,1661.006
2001-07-11,1626.601
2001-07-12,1661.959
2001-07-13,1666.515
2001-07-16,1675.436
2001-07-17,1695.461
2001-07-18,1674.462
2001-07-19,1688.001
2001-07-20,1684.007
2001-07-23,1701.459
2001-07-24,1655.712
2001-07-25,1657.138
2001-07-26,1678.214
2001-07-27,1674.096
2001-07-30,1662.494
2001-07-31,1643.302
2001-08-01,1675.187
2001-08-02,1695.169
2001-08-03,1713.405
2001-08-06,1707.624
2001-08-07,1679.302
2001-08-08,1698.171
2001-08-09,1669.195
2001-08-10,1669.627
2001-08-13,1694.986
2001-08-14,1708.149
2001-08-15,1696.575
2001-08-16,1678.994
2001-08-17,1675.208
2001-08-20,1655.861
2001-08-21,1656.694
2001-08-22,1663.257
2001-08-23,1657.957
2001-08-24,1663.716
2001-08-27,1680.26
2001-08-28,1661.151
2001-08-29,1661.582
2001-08-30,1641.111
2001-08-31,1641.871
2001-09-03,1594.945
2001-09-04,1598.206
2001-09-05,1583.357
2001-09-06,1578.737
2001-09-07,1578.924
2001-09-10,1525.339
2001-09-11,1477.06
2001-09-12,1455.375
2001-09-13,1461.574
2001-09-14,1462.279
2001-09-17,1400.749
2001-09-18,1375.865
2001-09-19,1372.815
2001-09-20,1304.495
2001-09-21,1291.923
2001-09-24,1305.642
2001-09-25,1289.704
2001-09-26,1286.54
2001-09-27,1278.779
2001-09-28,1281.58
2001-10-01,1263.104
2001-10-02,1255.267
2001-10-03,1242.218
2001-10-04,1264.362
2001-10-05,1259.02
2001-10-08,1289.208
2001-10-09,1269.22
2001-10-10,1321.966
2001-10-11,1369.086
2001-10-12,1364.212
2001-10-15,1351.748
2001-10-16,1394.433
2001-10-17,1365.727
2001-10-18,1360.098
2001-10-19,1361.129
2001-10-22,1389.907
2001-10-23,1403.518
2001-10-24,1388.186
2001-10-25,1375.262
2001-10-26,1384.461
2001-10-29,1376.291
2001-10-30,1344.221
2001-10-31,1338.655
2001-11-01,1336.488
2001-11-02,1333.353
2001-11-05,1372.876
2001-11-06,1362.449
2001-11-07,1366.677
2001-11-08,1382.823
2001-11-09,1383.607
2001-11-12,1380.792
2001-11-13,1429.67
2001-11-14,1442.948
2001-11-15,1445.657
2001-11-16,1452.688
2001-11-19,1476.78
2001-11-20,1475.655
2001-11-21,1470.075
2001-11-22,1484.223
2001-11-23,1485.609
2001-11-26,1497.17
2001-11-27,1492.476
2001-11-28,1480.339
2001-11-29,1484.048
2001-11-30,1481.622
2001-12-03,1441.73
2001-12-04,1466.525
2001-12-05,1534.676
2001-12-06,1561.786
2001-12-07,1546.34
2001-12-10,1546.118
2001-12-11,1558.577
2001-12-12,1565.056
2001-12-13,1523.526
2001-12-14,1512.965
2001-12-17,1530.507
2001-12-18,1524.93
2001-12-19,1512.919
2001-12-20,1489.337
2001-12-21,1484.997
2001-12-24,1537.192
2001-12-25,1560.941
2001-12-26,1577.335
2001-12-27,1610.274
2001-12-28,1610.468
2001-12-31,1624.813
2002-01-01,1632.623
2002-01-02,1661.46
2002-01-03,1691.991
2002-01-04,1694.49
2002-01-07,1675.072
2002-01-08,1672.131
2002-01-09,1678.089
2002-01-10,1654.51
2002-01-11,1657.031
2002-01-14,1631.056
2002-01-15,1626.038
2002-01-16,1573.36
2002-01-17,1600.603
2002-01-18,1586.29
2002-01-21,1558.377
2002-01-22,1533.603
2002-01-23,1513.31
2002-01-24,1532.712
2002-01-25,1518.34
2002-01-28,1481.644
2002-01-29,1464.026
2002-01-30,1445.298
2002-01-31,1455.777
2002-02-01,1461.188
2002-02-04,1442.747
2002-02-05,1428.649
2002-02-06,1430.054
2002-02-07,1412.65
2002-02-08,1410.696
2002-02-11,1363.23
2002-02-12,1372.665
2002-02-13,1386.05
2002-02-14,1378.096
2002-02-15,1378.483
2002-02-18,1334.984
2002-02-19,1285.886
2002-02-20,1291.692
2002-02-21,1300.873
2002-02-22,1292.495
2002-02-25,1293.035
2002-02-26,1288.881
2002-02-27,1344.403
2002-02-28,1298.413
2002-03-01,1309.947
2002-03-04,1326.129
2002-03-05,1297.357
2002-03-06,1284.84
2002-03-07,1291.084
2002-03-08,1299.206
2002-03-11,1347.174
2002-03-12,1328.785
2002-03-13,1323.42
2002-03-14,1336.782
2002-03-15,1340.678
2002-03-18,1395.144
2002-03-19,1400.811
2002-03-20,1390.486
2002-03-21,1388.97
2002-03-22,1391.867
2002-03-25,1390.378
2002-03-26,1380.876
2002-03-27,1389.092
2002-03-28,1364.656
2002-03-29,1364.656
2002-04-01,1284.49
2002-04-02,1269.536
2002-04-03,1266.802
2002-04-04,1255.412
2002-04-05,1249.699
2002-04-08,1236.628
2002-04-09,1185.702
2002-04-10,1187.902
2002-04-11,1194.818
2002-04-12,1195.228
2002-04-15,1203.527
2002-04-16,1214.939
2002-04-17,1219.431
2002-04-18,1231.871
2002-04-19,1230.013
2002-04-22,1237.152
2002-04-23,1202.641
2002-04-24,1153.409
2002-04-25,1129.59
2002-04-26,1123.017
2002-04-29,1103.337
2002-04-30,1094.102
2002-05-01,1101.139
2002-05-02,1116.934
2002-05-03,1122.033
2002-05-06,1106.676
2002-05-07,1094.576
2002-05-08,1108.427
2002-05-09,1075.23
2002-05-10,1069.629
2002-05-13,1084.941
2002-05-14,1140.183
2002-05-15,1156.92
2002-05-16,1147.347
2002-05-17,1154.177
2002-05-20,1146.298
2002-05-21,1148.369
2002-05-22,1154.132
2002-05-23,1154.281
2002-05-24,1145.867
2002-05-27,1153.193
2002-05-28,1141.018
2002-05-29,1119.257
2002-05-30,1120.47
2002-05-31,1124.363
2002-06-03,1136.5
2002-06-04,1133.302
2002-06-05,1109.176
2002-06-06,1083.638
2002-06-07,1078.107
2002-06-10,1075.596
2002-06-11,1042.445
2002-06-12,1027.267
2002-06-13,1034.35
2002-06-14,1042.625
2002-06-17,1059.858
2002-06-18,1051.387
2002-06-19,1017.711
2002-06-20,981.891
2002-06-21,958.572
2002-06-24,961.122
2002-06-25,952.511
2002-06-26,937.342
2002-06-27,955.917
2002-06-28,958.602
2002-07-01,916.227
2002-07-02,890.194
2002-07-03,911.492
2002-07-04,912.098
2002-07-05,936.519
2002-07-08,929.944
2002-07-09,948.207
2002-07-10,949.774
2002-07-11,962.949
2002-07-12,951.243
2002-07-15,973.378
2002-07-16,987.537
2002-07-17,1000.708
2002-07-18,999.775
2002-07-19,989.49
2002-07-22,962.218
2002-07-23,937.463
2002-07-24,941.867
2002-07-25,884.64
2002-07-26,881.433
2002-07-29,949.13
2002-07-30,943.348
2002-07-31,932.742
2002-08-01,891.693
2002-08-02,867.76
2002-08-05,835.371
2002-08-06,857.786
2002-08-07,862.612
2002-08-08,856.319
2002-08-09,854.217
2002-08-12,835.597
2002-08-13,825.192
2002-08-14,836.192
2002-08-15,853.345
2002-08-16,868.42
2002-08-19,902.087
2002-08-20,897.178
2002-08-21,935.326
2002-08-22,933.1
2002-08-23,910.683
2002-08-26,921.874
2002-08-27,921.074
2002-08-28,904.472
2002-08-29,884.135
2002-08-30,874.638
2002-09-02,862.74
2002-09-03,850.41
2002-09-04,854.731
2002-09-05,839.972
2002-09-06,854.967
2002-09-09,862.071
2002-09-10,863.836
2002-09-11,861.928
2002-09-12,841.125
2002-09-13,824.476
2002-09-16,820.927
2002-09-17,832.636
2002-09-18,800.026
2002-09-19,796.967
2002-09-20,794.734
2002-09-23,778.161
2002-09-24,763.826
2002-09-25,772.404
2002-09-26,774.804
2002-09-27,761.616
2002-09-30,736.275
2002-10-01,744.403
2002-10-02,714.442
2002-10-03,708.653
2002-10-04,685.979
2002-10-07,662.17
2002-10-08,632.917
2002-10-09,620.718
2002-10-10,644.888
2002-10-11,656.995
2002-10-14,627.011
2002-10-15,649.079
2002-10-16,611.074
2002-10-17,664.309
2002-10-18,682.489
2002-10-21,672.297
2002-10-22,659.554
2002-10-23,653.537
2002-10-24,664.853
2002-10-25,662.08
2002-10-28,645.08
2002-10-29,630.603
2002-10-30,644.392
2002-10-31,635.335
2002-11-01,649.227
2002-11-04,675.873
2002-11-05,671.374
2002-11-06,703.857
2002-11-07,683.519
2002-11-08,680.226
2002-11-11,671.235
2002-11-12,663.395
2002-11-13,670.753
2002-11-14,696.866
2002-11-15,707.701
2002-11-18,707.867
2002-11-19,704.044
2002-11-20,719.393
2002-11-21,763.242
2002-11-22,760.105
2002-11-25,773.896
2002-11-26,772.115
2002-11-27,847.878
2002-11-28,841.894
2002-11-29,819.066
2002-12-02,812.422
2002-12-03,790.666
2002-12-04,778.124
2002-12-05,770.178
2002-12-06,773.438
2002-12-09,755.032
2002-12-10,762.728
2002-12-11,763.861
2002-12-12,772.744
2002-12-13,777.87
2002-12-16,794.033
2002-12-17,771.312
2002-12-18,759.443
2002-12-19,748.903
2002-12-20,752.632
2002-12-23,745.01
2002-12-24,730.842
2002-12-25,730.196
2002-12-26,741.62
2002-12-27,731.873
2002-12-30,718.905
2002-12-31,729.129
