Date,ISRAEL MID GROWTH Mid Cap
2001-01-01,1991.093
2001-01-02,1873.708
2001-01-03,2000.836
2001-01-04,2039.344
2001-01-05,1983.857
2001-01-08,1897.678
2001-01-09,1898.174
2001-01-10,1953.117
2001-01-11,2083.054
2001-01-12,2101.413
2001-01-15,2109.231
2001-01-16,2071.204
2001-01-17,2181.94
2001-01-18,2250.843
2001-01-19,2251.121
2001-01-22,2237.722
2001-01-23,2276.481
2001-01-24,2238.869
2001-01-25,2253.815
2001-01-26,2270.932
2001-01-29,2252.281
2001-01-30,2345.778
2001-01-31,2377.101
2001-02-01,2387.834
2001-02-02,2316.597
2001-02-05,2323.166
2001-02-06,2318.854
2001-02-07,2271.937
2001-02-08,2293.859
2001-02-09,2245.527
2001-02-12,2306.661
2001-02-13,2268.545
2001-02-14,2265.313
2001-02-15,2318.762
2001-02-16,2237.551
2001-02-19,2217.937
2001-02-20,2197.756
2001-02-21,2174.962
2001-02-22,2144.433
2001-02-23,2097.213
2001-02-26,2184.818
2001-02-27,2158.36
2001-02-28,2095.629
2001-03-01,2108.633
2001-03-02,2129.419
2001-03-05,2118.512
2001-03-06,2174.779
2001-03-07,2007.271
2001-03-08,1940.297
2001-03-09,1894.003
2001-03-12,1829.85
2001-03-13,1867.072
2001-03-14,1754.124
2001-03-15,1716.267
2001-03-16,1690.715
2001-03-19,1671.954
2001-03-20,1559.09
2001-03-21,1537.934
2001-03-22,1536.406
2001-03-23,1592.716
2001-03-26,1630.166
2001-03-27,1621.717
2001-03-28,1592.826
2001-03-29,1580.137
2001-03-30,1606.664
2001-04-02,1571.982
2001-04-03,1505.211
2001-04-04,1497.89
2001-04-05,1591.712
2001-04-06,1548.629
2001-04-09,1529.469
2001-04-10,1575.136
2001-04-11,1609.604
2001-04-12,1642.46
2001-04-13,1642.46
2001-04-16,1607.813
2001-04-17,1592.539
2001-04-18,1708.175
2001-04-19,1729.968
2001-04-20,1702.029
2001-04-23,1683.302
2001-04-24,1693.239
2001-04-25,1726.229
2001-04-26,1736.512
2001-04-27,1742.835
2001-04-30,1792.109
2001-05-01,1795.485
2001-05-02,1843.214
2001-05-03,1756.185
2001-05-04,1742.905
2001-05-07,1726.644
2001-05-08,1737.167
2001-05-09,1708.415
2001-05-10,1708.607
2001-05-11,1694.025
2001-05-14,1689.213
2001-05-15,1720.156
2001-05-16,1735.787
2001-05-17,1788.943
2001-05-18,1800.027
2001-05-21,1857.055
2001-05-22,1879.376
2001-05-23,1868.119
2001-05-24,1867.447
2001-05-25,1870.612
2001-05-28,1868.78
2001-05-29,1819.52
2001-05-30,1744.49
2001-05-31,1742.11
2001-06-01,1760.2
2001-06-04,1737.102
2001-06-05,1770.435
2001-06-06,1797.327
2001-06-07,1812.164
2001-06-08,1803.669
2001-06-11,1776.199
2001-06-12,1743.844
2001-06-13,1785.957
2001-06-14,1768.546
2001-06-15,1767.835
2001-06-18,1728.852
2001-06-19,1738.934
2001-06-20,1698.393
2001-06-21,1693.971
2001-06-22,1700.083
2001-06-25,1699.478
2001-06-26,1688.539
2001-06-27,1700.65
2001-06-28,1696.45
2001-06-29,1697.313
2001-07-02,1720.176
2001-07-03,1707.352
2001-07-04,1718.899
2001-07-05,1729.681
2001-07-06,1738.84
2001-07-09,1665.369
2001-07-10,1686.451
2001-07-11,1651.519
2001-07-12,1687.418
2001-07-13,1692.044
2001-07-16,1701.102
2001-07-17,1721.433
2001-07-18,1700.113
2001-07-19,1713.86
2001-07-20,1709.805
2001-07-23,1727.523
2001-07-24,1681.076
2001-07-25,1682.524
2001-07-26,1703.922
2001-07-27,1699.742
2001-07-30,1687.962
2001-07-31,1668.476
2001-08-01,1700.849
2001-08-02,1721.138
2001-08-03,1739.653
2001-08-06,1733.783
2001-08-07,1705.027
2001-08-08,1724.186
2001-08-09,1694.765
2001-08-10,1695.204
2001-08-13,1720.952
2001-08-14,1734.316
2001-08-15,1722.565
2001-08-16,1704.715
2001-08-17,1700.87
2001-08-20,1681.228
2001-08-21,1682.073
2001-08-22,1688.737
2001-08-23,1683.356
2001-08-24,1689.203
2001-08-27,1706.0
2001-08-28,1686.598
2001-08-29,1687.036
2001-08-30,1666.252
2001-08-31,1667.023
2001-09-03,1619.378
2001-09-04,1622.69
2001-09-05,1607.612
2001-09-06,1602.922
2001-09-07,1603.111
2001-09-10,1548.705
2001-09-11,1499.688
2001-09-12,1477.67
2001-09-13,1483.964
2001-09-14,1484.68
2001-09-17,1422.207
2001-09-18,1396.942
2001-09-19,1393.846
2001-09-20,1324.479
2001-09-21,1311.715
2001-09-24,1325.643
2001-09-25,1309.461
2001-09-26,1306.249
2001-09-27,1298.369
2001-09-28,1301.213
2001-10-01,1282.453
2001-10-02,1274.496
2001-10-03,1261.248
2001-10-04,1283.731
2001-10-05,1278.307
2001-10-08,1308.957
2001-10-09,1288.663
2001-10-10,1342.217
2001-10-11,1390.059
2001-10-12,1385.111
2001-10-15,1372.455
2001-10-16,1415.795
2001-10-17,1386.649
2001-10-18,1380.933
2001-10-19,1381.98
2001-10-22,1411.199
2001-10-23,1425.019
2001-10-24,1409.452
2001-10-25,1396.329
2001-10-26,1405.67
2001-10-29,1397.374
2001-10-30,1364.813
2001-10-31,1359.162
2001-11-01,1356.962
2001-11-02,1353.779
2001-11-05,1393.907
2001-11-06,1383.321
2001-11-07,1387.613
2001-11-08,1404.007
2001-11-09,1404.803
2001-11-12,1401.944
2001-11-13,1451.572
2001-11-14,1465.053
2001-11-15,1467.803
2001-11-16,1474.942
2001-11-19,1499.403
2001-11-20,1498.261
2001-11-21,1492.595
2001-11-22,1506.96
2001-11-23,1508.367
2001-11-26,1520.105
2001-11-27,1515.34
2001-11-28,1503.016
2001-11-29,1506.782
2001-11-30,1504.319
2001-12-03,1463.816
2001-12-04,1488.991
2001-12-05,1558.186
2001-12-06,1585.711
2001-12-07,1570.029
2001-12-10,1569.803
2001-12-11,1582.452
2001-12-12,1589.031
2001-12-13,1546.865
2001-12-14,1536.143
2001-12-17,1553.389
2001-12-18,1547.729
2001-12-19,1535.538
2001-12-20,1511.603
2001-12-21,1507.198
2001-12-24,1560.173
2001-12-25,1584.278
2001-12-26,1600.917
2001-12-27,1634.348
2001-12-28,1634.545
2001-12-31,1649.104
2002-01-01,1657.031
2002-01-02,1686.299
2002-01-03,1717.287
2002-01-04,1719.823
2002-01-07,1700.115
2002-01-08,1697.13
2002-01-09,1703.177
2002-01-10,1679.245
2002-01-11,1681.805
2002-01-14,1655.441
2002-01-15,1650.348
2002-01-16,1596.882
2002-01-17,1624.532
2002-01-18,1610.006
2002-01-21,1581.675
2002-01-22,1556.531
2002-01-23,1535.934
2002-01-24,1555.626
2002-01-25,1541.04
2002-01-28,1503.795
2002-01-29,1485.914
2002-01-30,1466.905
2002-01-31,1477.541
2002-02-01,1483.033
2002-02-04,1464.317
