Date,ISRAEL SMALL CAP Small Cap
2001-01-01,483.671
2001-01-02,461.148
2001-01-03,449.205
2001-01-04,459.9
2001-01-05,456.036
2001-01-08,443.027
2001-01-09,444.851
2001-01-10,448.436
2001-01-11,456.26
2001-01-12,458.278
2001-01-15,462.568
2001-01-16,465.86
2001-01-17,474.757
2001-01-18,471.903
2001-01-19,471.142
2001-01-22,461.511
2001-01-23,458.275
2001-01-24,460.645
2001-01-25,467.17
2001-01-26,464.997
2001-01-29,452.855
2001-01-30,450.651
2001-01-31,454.906
2001-02-01,450.841
2001-02-02,450.095
2001-02-05,453.41
2001-02-06,453.632
2001-02-07,450.434
2001-02-08,456.274
2001-02-09,458.518
2001-02-12,464.928
2001-02-13,466.706
2001-02-14,463.057
2001-02-15,461.356
2001-02-16,460.219
2001-02-19,452.296
2001-02-20,448.652
2001-02-21,443.568
2001-02-22,438.094
2001-02-23,438.683
2001-02-26,447.958
2001-02-27,449.908
2001-02-28,448.323
2001-03-01,445.711
2001-03-02,445.9
2001-03-05,438.045
2001-03-06,437.643
2001-03-07,437.984
2001-03-08,435.613
2001-03-09,434.657
2001-03-12,423.874
2001-03-13,417.203
2001-03-14,406.313
2001-03-15,403.179
2001-03-16,402.713
2001-03-19,401.442
2001-03-20,400.854
2001-03-21,393.746
2001-03-22,385.036
2001-03-23,387.995
2001-03-26,403.321
2001-03-27,398.048
2001-03-28,392.873
2001-03-29,382.732
2001-03-30,385.408
2001-04-02,383.886
2001-04-03,378.242
2001-04-04,380.315
2001-04-05,393.172
2001-04-06,391.493
2001-04-09,392.538
2001-04-10,402.948
2001-04-11,405.472
2001-04-12,405.313
2001-04-13,405.75
2001-04-16,404.94
2001-04-17,399.39
2001-04-18,410.637
2001-04-19,412.021
2001-04-20,413.633
2001-04-23,420.236
2001-04-24,420.284
2001-04-25,421.61
2001-04-26,421.191
2001-04-27,421.649
2001-04-30,432.069
2001-05-01,433.363
2001-05-02,440.991
2001-05-03,439.463
2001-05-04,438.975
2001-05-07,441.849
2001-05-08,440.264
2001-05-09,432.535
2001-05-10,434.749
2001-05-11,433.04
2001-05-14,426.433
2001-05-15,430.137
2001-05-16,429.127
2001-05-17,435.434
2001-05-18,436.119
2001-05-21,433.273
2001-05-22,436.145
2001-05-23,439.023
2001-05-24,438.074
2001-05-25,438.565
2001-05-28,437.891
2001-05-29,437.039
2001-05-30,431.768
2001-05-31,431.271
2001-06-01,430.352
2001-06-04,427.569
2001-06-05,430.947
2001-06-06,432.953
2001-06-07,431.706
2001-06-08,431.684
2001-06-11,426.388
2001-06-12,417.024
2001-06-13,420.969
2001-06-14,415.837
2001-06-15,414.153
2001-06-18,402.723
2001-06-19,401.69
2001-06-20,397.685
2001-06-21,396.194
2001-06-22,395.552
2001-06-25,399.963
2001-06-26,400.253
2001-06-27,406.17
2001-06-28,410.829
2001-06-29,412.162
2001-07-02,420.803
2001-07-03,417.477
2001-07-04,415.823
2001-07-05,412.826
2001-07-06,410.629
2001-07-09,407.217
2001-07-10,410.404
2001-07-11,408.23
2001-07-12,413.385
2001-07-13,413.518
2001-07-16,415.023
2001-07-17,412.698
2001-07-18,408.658
2001-07-19,411.848
2001-07-20,411.328
2001-07-23,411.626
2001-07-24,410.599
2001-07-25,409.088
2001-07-26,412.4
2001-07-27,412.592
2001-07-30,414.647
2001-07-31,412.757
2001-08-01,414.166
2001-08-02,420.719
2001-08-03,421.022
2001-08-06,423.199
2001-08-07,422.974
2001-08-08,423.957
2001-08-09,418.735
2001-08-10,419.206
2001-08-13,417.854
2001-08-14,416.522
2001-08-15,412.53
2001-08-16,408.715
2001-08-17,407.335
2001-08-20,402.885
2001-08-21,403.367
2001-08-22,403.234
2001-08-23,403.695
2001-08-24,404.222
2001-08-27,401.655
2001-08-28,397.961
2001-08-29,396.937
2001-08-30,392.7
2001-08-31,391.813
2001-09-03,386.183
2001-09-04,383.258
2001-09-05,379.567
2001-09-06,374.538
2001-09-07,374.456
2001-09-10,366.728
2001-09-11,353.861
2001-09-12,348.385
2001-09-13,352.358
2001-09-14,351.451
2001-09-17,345.69
2001-09-18,345.434
2001-09-19,345.877
2001-09-20,334.364
2001-09-21,330.099
2001-09-24,324.977
2001-09-25,325.771
2001-09-26,325.264
2001-09-27,325.378
2001-09-28,326.051
2001-10-01,326.47
2001-10-02,327.088
2001-10-03,324.62
2001-10-04,325.615
2001-10-05,326.162
2001-10-08,328.536
2001-10-09,328.608
2001-10-10,332.733
2001-10-11,339.637
2001-10-12,339.228
2001-10-15,337.54
2001-10-16,342.792
2001-10-17,340.656
2001-10-18,340.01
2001-10-19,340.043
2001-10-22,342.634
2001-10-23,342.474
2001-10-24,340.773
2001-10-25,339.697
2001-10-26,341.043
2001-10-29,340.985
2001-10-30,338.135
2001-10-31,339.221
2001-11-01,337.694
2001-11-02,338.356
2001-11-05,343.944
2001-11-06,343.024
2001-11-07,342.974
2001-11-08,344.8
2001-11-09,346.606
2001-11-12,347.798
2001-11-13,353.07
2001-11-14,353.938
2001-11-15,354.139
2001-11-16,353.386
2001-11-19,356.568
2001-11-20,356.982
2001-11-21,356.117
2001-11-22,360.267
2001-11-23,360.258
2001-11-26,370.09
2001-11-27,369.267
2001-11-28,368.138
2001-11-29,372.333
2001-11-30,371.496
2001-12-03,365.783
2001-12-04,365.048
2001-12-05,368.868
2001-12-06,373.014
2001-12-07,374.137
2001-12-10,376.718
2001-12-11,380.778
2001-12-12,383.993
2001-12-13,377.485
2001-12-14,375.823
2001-12-17,376.37
2001-12-18,374.248
2001-12-19,372.054
2001-12-20,370.079
2001-12-21,367.231
2001-12-24,389.826
2001-12-25,402.4
2001-12-26,410.215
2001-12-27,420.473
2001-12-28,420.872
2001-12-31,422.788
2002-01-01,423.156
2002-01-02,434.663
2002-01-03,433.653
2002-01-04,433.424
2002-01-07,430.754
2002-01-08,428.314
2002-01-09,420.166
2002-01-10,412.197
2002-01-11,410.545
2002-01-14,411.782
2002-01-15,404.136
2002-01-16,399.271
2002-01-17,402.4
2002-01-18,403.117
2002-01-21,393.513
2002-01-22,390.841
2002-01-23,384.035
2002-01-24,387.913
2002-01-25,386.659
2002-01-28,376.462
2002-01-29,377.453
2002-01-30,377.87
2002-01-31,384.096
2002-02-01,384.345
2002-02-04,387.041
2002-02-05,380.341
2002-02-06,378.447
2002-02-07,371.325
2002-02-08,370.512
