Date,ISRAEL SMALL GROWTH Small Cap
2002-05-31,342.171
2002-06-03,338.84
2002-06-04,339.241
2002-06-05,337.403
2002-06-06,332.099
2002-06-07,333.312
2002-06-10,332.34
2002-06-11,324.529
2002-06-12,324.069
2002-06-13,320.423
2002-06-14,318.201
2002-06-17,321.901
2002-06-18,321.058
2002-06-19,314.511
2002-06-20,304.137
2002-06-21,300.195
2002-06-24,293.742
2002-06-25,302.593
2002-06-26,301.595
2002-06-27,310.238
2002-06-28,316.122
2002-07-01,312.661
2002-07-02,307.114
2002-07-03,308.993
2002-07-04,308.78
2002-07-05,312.929
2002-07-08,312.041
2002-07-09,311.394
2002-07-10,314.286
2002-07-11,311.954
2002-07-12,316.37
2002-07-15,323.073
2002-07-16,323.333
2002-07-17,331.422
2002-07-18,330.286
2002-07-19,329.954
2002-07-22,327.779
2002-07-23,320.131
2002-07-24,316.848
2002-07-25,318.392
2002-07-26,318.882
2002-07-29,331.067
2002-07-30,338.401
2002-07-31,343.127
2002-08-01,338.175
2002-08-02,333.743
2002-08-05,322.792
2002-08-06,325.791
2002-08-07,328.429
2002-08-08,330.451
2002-08-09,332.366
2002-08-12,333.959
2002-08-13,325.557
2002-08-14,330.94
2002-08-15,332.992
2002-08-16,335.134
2002-08-19,349.489
2002-08-20,348.654
2002-08-21,352.088
2002-08-22,352.882
2002-08-23,348.99
2002-08-26,348.758
2002-08-27,346.968
2002-08-28,342.913
2002-08-29,341.027
2002-08-30,340.606
2002-09-02,334.921
2002-09-03,330.357
2002-09-04,334.437
2002-09-05,330.673
2002-09-06,332.71
2002-09-09,333.485
2002-09-10,336.279
2002-09-11,337.806
2002-09-12,332.943
2002-09-13,332.918
2002-09-16,335.582
2002-09-17,336.61
2002-09-18,328.607
2002-09-19,324.517
2002-09-20,321.147
2002-09-23,311.635
2002-09-24,307.518
2002-09-25,310.672
2002-09-26,309.48
2002-09-27,308.794
2002-09-30,302.441
2002-10-01,307.047
2002-10-02,303.844
2002-10-03,298.925
2002-10-04,298.429
2002-10-07,289.67
2002-10-08,290.63
2002-10-09,291.789
2002-10-10,294.103
2002-10-11,300.026
2002-10-14,298.264
2002-10-15,308.892
2002-10-16,302.789
2002-10-17,312.209
2002-10-18,313.36
2002-10-21,315.167
2002-10-22,306.053
2002-10-23,311.273
2002-10-24,311.776
2002-10-25,311.616
2002-10-28,303.183
2002-10-29,300.675
2002-10-30,306.088
2002-10-31,304.689
2002-11-01,306.245
2002-11-04,312.413
2002-11-05,314.013
2002-11-06,323.372
2002-11-07,322.126
2002-11-08,321.333
2002-11-11,320.393
2002-11-12,318.778
2002-11-13,318.916
2002-11-14,322.704
2002-11-15,322.549
2002-11-18,324.321
2002-11-19,322.985
2002-11-20,325.149
2002-11-21,333.454
2002-11-22,336.757
2002-11-25,344.671
2002-11-26,349.382
2002-11-27,357.646
2002-11-28,357.53
2002-11-29,358.349
2002-12-02,370.545
2002-12-03,368.781
2002-12-04,359.773
2002-12-05,354.157
2002-12-06,354.36
2002-12-09,346.22
2002-12-10,351.181
2002-12-11,355.722
2002-12-12,354.059
2002-12-13,351.57
2002-12-16,349.803
2002-12-17,348.031
2002-12-18,339.428
2002-12-19,345.917
2002-12-20,347.073
2002-12-23,343.652
2002-12-24,341.453
2002-12-25,340.839
2002-12-26,345.794
2002-12-27,344.044
2002-12-30,338.775
2002-12-31,339.708
2003-01-01,336.342
2003-01-02,337.227
2003-01-03,337.843
2003-01-06,341.453
2003-01-07,342.827
2003-01-08,340.43
2003-01-09,344.43
2003-01-10,344.937
2003-01-13,341.918
2003-01-14,338.58
2003-01-15,338.335
2003-01-16,338.497
2003-01-17,334.337
2003-01-20,325.066
2003-01-21,323.703
2003-01-22,322.301
2003-01-23,324.355
2003-01-24,320.682
2003-01-27,322.847
2003-01-28,323.406
2003-01-29,324.679
2003-01-30,324.41
2003-01-31,324.632
2003-02-03,320.421
2003-02-04,314.133
2003-02-05,315.891
2003-02-06,318.281
2003-02-07,318.256
2003-02-10,315.334
2003-02-11,317.189
2003-02-12,317.094
2003-02-13,311.174
2003-02-14,315.326
2003-02-17,324.499
2003-02-18,333.557
2003-02-19,328.788
2003-02-20,327.258
2003-02-21,327.3
2003-02-24,330.8
2003-02-25,328.464
2003-02-26,327.928
2003-02-27,335.198
2003-02-28,335.029
2003-03-03,338.152
2003-03-04,337.338
2003-03-05,332.764
2003-03-06,336.576
2003-03-07,334.877
2003-03-10,332.68
2003-03-11,334.234
2003-03-12,335.277
2003-03-13,343.062
2003-03-14,341.451
2003-03-17,348.529
2003-03-18,349.273
2003-03-19,357.702
2003-03-20,356.507
2003-03-21,359.328
2003-03-24,355.038
2003-03-25,359.234
2003-03-26,364.849
2003-03-27,360.32
2003-03-28,360.224
2003-03-31,358.822
2003-04-01,367.738
2003-04-02,374.735
2003-04-03,380.112
2003-04-04,381.364
2003-04-07,388.237
2003-04-08,389.511
2003-04-09,390.022
2003-04-10,393.882
2003-04-11,394.209
2003-04-14,403.294
2003-04-15,410.957
2003-04-16,411.815
2003-04-17,413.936
2003-04-18,414.105
2003-04-21,413.948
2003-04-22,415.163
2003-04-23,415.208
2003-04-24,421.055
2003-04-25,415.905
2003-04-28,409.543
2003-04-29,419.836
2003-04-30,422.601
2003-05-01,424.882
2003-05-02,429.65
2003-05-05,445.327
2003-05-06,448.245
2003-05-07,445.761
2003-05-08,440.405
2003-05-09,443.159
2003-05-12,452.75
2003-05-13,448.274
2003-05-14,455.32
2003-05-15,456.24
2003-05-16,456.749
2003-05-19,436.332
2003-05-20,429.718
2003-05-21,422.801
2003-05-22,430.94
2003-05-23,435.773
2003-05-26,453.423
2003-05-27,465.393
2003-05-28,476.955
2003-05-29,479.432
2003-05-30,483.583
2003-06-02,480.648
2003-06-03,484.348
2003-06-04,480.037
2003-06-05,480.409
2003-06-06,479.34
2003-06-09,468.936
2003-06-10,465.917
2003-06-11,472.431
2003-06-12,472.708
2003-06-13,472.706
2003-06-16,494.23
2003-06-17,499.248
2003-06-18,500.518
2003-06-19,500.264
2003-06-20,498.998
2003-06-23,486.777
2003-06-24,485.165
2003-06-25,489.875
2003-06-26,498.917
2003-06-27,497.88
2003-06-30,500.165
2003-07-01,503.261
2003-07-02,525.807
2003-07-03,524.064
2003-07-04,521.423
2003-07-07,523.369
2003-07-08,510.17
2003-07-09,518.428
2003-07-10,503.937
2003-07-11,506.988
2003-07-14,510.574
2003-07-15,504.512
2003-07-16,493.626
2003-07-17,483.351
2003-07-18,485.957
2003-07-21,487.249
2003-07-22,484.502
2003-07-23,498.644
2003-07-24,495.401
2003-07-25,498.63
2003-07-28,504.651
2003-07-29,503.422
2003-07-30,496.142
2003-07-31,495.66
2003-08-01,493.427
2003-08-04,482.852
2003-08-05,484.768
2003-08-06,481.214
2003-08-07,483.499
2003-08-08,481.995
2003-08-11,478.787
2003-08-12,482.978
2003-08-13,489.754
2003-08-14,487.282
2003-08-15,487.981
2003-08-18,496.369
2003-08-19,494.155
2003-08-20,491.51
2003-08-21,489.294
2003-08-22,487.218
2003-08-25,484.129
2003-08-26,489.571
2003-08-27,493.054
2003-08-28,500.66
2003-08-29,500.61
2003-09-01,498.985
