Date,ISRAEL SMID VALUE SMID (Small+Mid Cap)
2002-05-31,261.731
2002-06-03,264.713
2002-06-04,263.479
2002-06-05,262.148
2002-06-06,261.179
2002-06-07,259.975
2002-06-10,258.025
2002-06-11,254.733
2002-06-12,253.482
2002-06-13,254.228
2002-06-14,253.447
2002-06-17,252.383
2002-06-18,251.294
2002-06-19,247.138
2002-06-20,240.915
2002-06-21,241.372
2002-06-24,238.032
2002-06-25,249.206
2002-06-26,245.729
2002-06-27,254.507
2002-06-28,258.251
2002-07-01,258.963
2002-07-02,255.217
2002-07-03,254.017
2002-07-04,254.758
2002-07-05,255.114
2002-07-08,256.793
2002-07-09,261.448
2002-07-10,268.096
2002-07-11,263.614
2002-07-12,264.998
2002-07-15,272.779
2002-07-16,270.39
2002-07-17,277.102
2002-07-18,276.627
2002-07-19,276.216
2002-07-22,277.447
2002-07-23,269.953
2002-07-24,259.24
2002-07-25,257.589
2002-07-26,257.147
2002-07-29,267.379
2002-07-30,268.269
2002-07-31,269.289
2002-08-01,263.589
2002-08-02,263.241
2002-08-05,257.094
2002-08-06,259.755
2002-08-07,262.177
2002-08-08,260.486
2002-08-09,261.437
2002-08-12,260.618
2002-08-13,258.465
2002-08-14,259.149
2002-08-15,261.616
2002-08-16,261.269
2002-08-19,270.722
2002-08-20,271.328
2002-08-21,273.78
2002-08-22,270.855
2002-08-23,270.327
2002-08-26,275.054
2002-08-27,275.974
2002-08-28,272.731
2002-08-29,270.125
2002-08-30,270.145
2002-09-02,266.015
2002-09-03,263.905
2002-09-04,262.837
2002-09-05,261.703
2002-09-06,262.529
2002-09-09,263.892
2002-09-10,264.883
2002-09-11,265.817
2002-09-12,264.397
2002-09-13,264.095
2002-09-16,263.869
2002-09-17,266.057
2002-09-18,255.616
2002-09-19,252.809
2002-09-20,251.022
2002-09-23,245.054
2002-09-24,240.978
2002-09-25,240.381
2002-09-26,243.297
2002-09-27,242.906
2002-09-30,237.714
2002-10-01,240.823
2002-10-02,239.477
2002-10-03,236.735
2002-10-04,236.041
2002-10-07,231.151
2002-10-08,232.511
2002-10-09,232.087
2002-10-10,232.484
2002-10-11,233.518
2002-10-14,231.819
2002-10-15,236.534
2002-10-16,234.172
2002-10-17,240.6
2002-10-18,240.837
2002-10-21,239.978
2002-10-22,237.459
2002-10-23,236.423
2002-10-24,238.737
2002-10-25,237.985
2002-10-28,232.731
2002-10-29,230.063
2002-10-30,235.425
2002-10-31,230.006
2002-11-01,232.352
2002-11-04,230.921
2002-11-05,235.638
2002-11-06,245.989
2002-11-07,241.358
2002-11-08,241.782
2002-11-11,244.192
2002-11-12,241.803
2002-11-13,241.359
2002-11-14,243.929
2002-11-15,244.21
2002-11-18,245.753
2002-11-19,243.628
2002-11-20,245.231
2002-11-21,247.657
2002-11-22,248.088
2002-11-25,251.874
2002-11-26,256.749
2002-11-27,262.555
2002-11-28,262.145
2002-11-29,262.957
2002-12-02,269.923
2002-12-03,265.953
2002-12-04,259.378
2002-12-05,259.009
2002-12-06,257.17
2002-12-09,255.207
2002-12-10,262.51
2002-12-11,263.737
2002-12-12,264.176
2002-12-13,264.647
2002-12-16,263.207
2002-12-17,259.818
2002-12-18,255.963
2002-12-19,245.773
2002-12-20,245.864
2002-12-23,239.977
2002-12-24,238.242
2002-12-25,236.426
2002-12-26,242.076
2002-12-27,240.388
2002-12-30,234.98
2002-12-31,234.52
2003-01-01,231.412
2003-01-02,230.3
2003-01-03,229.791
2003-01-06,231.345
2003-01-07,231.379
2003-01-08,226.943
2003-01-09,227.69
2003-01-10,228.058
2003-01-13,221.636
2003-01-14,221.065
2003-01-15,225.61
2003-01-16,228.076
2003-01-17,226.083
2003-01-20,216.845
2003-01-21,215.448
2003-01-22,212.082
2003-01-23,215.097
2003-01-24,214.263
2003-01-27,215.837
2003-01-28,215.939
2003-01-29,219.128
2003-01-30,219.341
2003-01-31,218.34
2003-02-03,214.982
