Date,ISRAEL GROWTH Standard (Large+Mid Cap)
2000-12-29,100.0
2001-01-31,104.041
2001-02-28,79.01
2001-03-30,62.198
2001-04-30,73.963
2001-05-31,67.77
2001-06-29,67.947
2001-07-31,67.162
2001-08-31,56.504
2001-09-28,43.604
2001-10-31,51.888
2001-11-30,57.263
2001-12-31,59.136
2002-01-31,56.913
2002-02-28,47.484
2002-03-29,48.756
2002-04-30,39.107
2002-05-31,42.609
2002-06-28,40.533
2002-07-31,42.051
2002-08-30,42.607
2002-09-30,40.818
2002-10-31,43.95
2002-11-29,48.836
2002-12-31,46.047
2003-01-31,46.978
2003-02-28,46.562
2003-03-31,52.194
2003-04-30,58.956
2003-05-30,61.373
2003-06-30,68.902
2003-07-31,66.518
2003-08-29,68.302
2003-09-30,66.273
2003-10-31,68.394
2003-11-28,70.674
2003-12-31,67.139
2004-01-30,73.473
2004-02-27,76.961
2004-03-31,75.657
2004-04-30,76.767
2004-05-31,77.143
2004-06-30,80.322
2004-07-30,69.699
2004-08-31,65.842
2004-09-30,62.699
2004-10-29,62.137
2004-11-30,66.956
2004-12-31,71.86
2005-01-31,68.981
2005-02-28,71.544
2005-03-31,72.684
2005-04-29,72.518
2005-05-31,77.4
2005-06-30,72.074
2005-07-29,74.471
2005-08-31,75.035
2005-09-30,78.769
2005-10-31,85.723
2005-11-30,93.665
2005-12-30,98.3
2006-01-31,96.4
2006-02-28,94.398
2006-03-31,92.34
2006-04-28,94.001
2006-05-31,84.345
2006-06-30,75.97
2006-07-31,78.015
2006-08-31,82.03
2006-09-29,81.235
2006-10-31,82.466
2006-11-30,83.915
2006-12-29,82.438
2007-01-31,88.755
2007-02-28,90.879
2007-03-30,94.353
2007-04-30,101.632
2007-05-31,104.327
2007-06-29,105.122
2007-07-31,108.452
2007-08-31,106.365
2007-09-28,114.072
2007-10-31,118.674
2007-11-30,116.255
2007-12-31,122.639
2008-01-31,117.972
2008-02-29,126.698
2008-03-31,119.48
2008-04-30,131.938
2008-05-30,139.608
2008-06-30,139.996
2008-07-31,127.473
2008-08-29,127.533
2008-09-30,117.991
2008-10-31,97.133
2008-11-28,87.313
2008-12-31,90.379
2009-01-30,88.097
2009-02-27,95.321
2009-03-31,94.384
2009-04-30,95.207
2009-05-29,102.547
2009-06-30,104.512
2009-07-31,116.708
2009-08-31,114.568
2009-09-30,113.979
2009-10-30,115.806
2009-11-30,123.039
2009-12-31,129.297
2010-01-29,129.336
2010-02-26,131.871
2010-03-31,141.678
2010-04-30,132.783
2010-05-31,117.327
2010-06-30,116.936
2010-07-30,112.881
2010-08-31,116.729
2010-09-30,126.662
2010-10-29,125.688
2010-11-30,121.391
2010-12-31,130.396
2011-01-31,128.527
2011-02-28,125.573
2011-03-31,126.597
2011-04-29,123.471
2011-05-31,126.505
2011-06-30,120.545
2011-07-29,118.349
2011-08-31,104.727
2011-09-30,90.479
2011-10-31,102.037
2011-11-30,96.718
2011-12-30,97.117
2012-01-31,106.067
2012-02-29,104.687
2012-03-30,107.077
2012-04-30,108.404
2012-05-31,97.336
2012-06-29,95.788
2012-07-31,101.808
2012-08-31,97.268
2012-09-28,99.232
2012-10-31,97.112
2012-11-30,97.559
2012-12-31,90.014
2013-01-31,91.336
2013-02-28,91.889
2013-03-29,95.593
2013-04-30,92.614
2013-05-31,91.381
2013-06-28,88.576
2013-07-31,88.14
2013-08-30,85.04
2013-09-30,89.754
2013-10-31,90.642
2013-11-29,96.22
2013-12-31,96.627
2014-01-31,97.443
2014-02-28,103.165
2014-03-31,109.17
2014-04-30,107.142
2014-05-30,108.192
2014-06-30,111.276
2014-07-31,111.719
2014-08-29,108.271
2014-09-30,110.518
2014-10-31,108.758
2014-11-28,111.691
2014-12-31,112.674
2015-01-30,112.131
2015-02-27,112.551
2015-03-31,123.576
2015-04-30,121.687
2015-05-29,122.257
2015-06-30,120.529
2015-07-31,138.682
2015-08-31,129.209
2015-09-30,115.113
2015-10-30,123.141
2015-11-30,122.771
2015-12-31,126.111
2016-01-29,115.61
2016-02-29,113.163
2016-03-31,112.888
2016-04-29,115.129
2016-05-31,110.622
2016-06-30,110.241
2016-07-29,116.051
2016-08-31,111.433
2016-09-30,105.682
2016-10-31,98.789
2016-11-30,93.134
2016-12-30,93.615
2017-01-31,98.718
2017-02-28,102.928
2017-03-31,107.631
2017-04-28,108.455
2017-05-31,110.27
2017-06-30,111.039
2017-07-31,109.526
2017-08-31,115.128
2017-09-29,117.704
2017-10-31,121.336
2017-11-30,116.211
2017-12-29,119.182
2018-01-31,122.849
2018-02-28,121.523
2018-03-30,115.999
2018-04-30,115.099
2018-05-31,119.575
2018-06-29,118.217
2018-07-31,127.906
2018-08-31,132.992
2018-09-28,132.493
2018-10-31,125.375
2018-11-30,130.067
2018-12-31,121.353
2019-01-31,129.792
2019-02-28,137.065
2019-03-29,139.41
2019-04-30,144.121
2019-05-31,140.565
2019-06-28,143.878
2019-07-31,150.466
2019-08-30,142.64
2019-09-30,139.09
2019-10-31,143.785
2019-11-29,148.016
2019-12-31,144.416
2020-01-31,155.874
2020-02-28,140.944
2020-03-31,123.864
2020-04-30,138.624
2020-05-29,159.674
2020-06-30,165.031
2020-07-31,185.35
2020-08-31,191.772
2020-09-30,178.028
2020-10-30,175.09
2020-11-30,185.383
2020-12-31,207.833
2021-01-29,199.929
2021-02-26,210.233
2021-03-31,186.89
2021-04-30,207.304
2021-05-31,184.09
2021-06-30,191.764
2021-07-30,206.242
2021-08-31,206.268
2021-09-30,195.961
2021-10-29,205.82
2021-11-30,200.721
2021-12-31,207.288
2022-01-31,179.119
2022-02-28,179.8
2022-03-31,174.586
2022-04-29,156.638
2022-05-31,146.611
2022-06-30,139.543
2022-07-29,143.235
2022-08-31,147.417
2022-09-30,133.447
2022-10-31,143.144
2022-11-30,140.637
2022-12-30,133.16
2023-01-31,138.498
2023-02-28,135.431
2023-03-31,141.009
2023-04-28,134.649
2023-05-31,132.424
2023-06-30,132.451
2023-07-31,140.582
2023-08-31,134.354
2023-09-29,126.702
2023-10-31,117.712
2023-11-30,138.154
2023-12-29,149.609
2024-01-31,154.554
2024-02-29,167.472
2024-03-29,170.773
2024-04-30,151.993
2024-05-31,152.893
2024-06-28,158.731
2024-07-31,162.529
2024-08-30,173.567
2024-09-30,175.477
2024-10-31,172.484
2024-11-29,191.583
2024-12-31,187.532
2025-01-31,207.104
2025-02-28,197.493
2025-03-31,185.129
2025-04-30,190.488
2025-05-30,197.419
2025-06-30,204.432
2025-07-31,188.322
2025-08-29,191.054
2025-09-30,207.727
