Date,ISRAEL VALUE Standard (Large+Mid Cap)
2001-01-01,168.352
2001-01-02,160.734
2001-01-03,161.059
2001-01-04,164.734
2001-01-05,163.263
2001-01-08,158.72
2001-01-09,160.569
2001-01-10,161.647
2001-01-11,164.877
2001-01-12,165.313
2001-01-15,165.87
2001-01-16,166.487
2001-01-17,168.598
2001-01-18,168.039
2001-01-19,167.856
2001-01-22,162.963
2001-01-23,160.725
2001-01-24,162.377
2001-01-25,162.771
2001-01-26,163.105
2001-01-29,159.319
2001-01-30,157.916
2001-01-31,160.555
2001-02-01,160.453
2001-02-02,159.147
2001-02-05,160.963
2001-02-06,161.067
2001-02-07,158.553
2001-02-08,161.31
2001-02-09,161.544
2001-02-12,164.694
2001-02-13,164.718
2001-02-14,162.756
2001-02-15,161.534
2001-02-16,161.131
2001-02-19,157.847
2001-02-20,158.173
2001-02-21,156.791
2001-02-22,155.575
2001-02-23,155.357
2001-02-26,158.393
2001-02-27,157.459
2001-02-28,157.155
2001-03-01,155.665
2001-03-02,155.753
2001-03-05,154.747
2001-03-06,156.505
2001-03-07,154.929
2001-03-08,153.066
2001-03-09,152.068
2001-03-12,144.664
2001-03-13,143.171
2001-03-14,138.011
2001-03-15,137.917
2001-03-16,137.072
2001-03-19,137.611
2001-03-20,135.747
2001-03-21,133.132
2001-03-22,130.684
2001-03-23,131.653
2001-03-26,135.786
2001-03-27,133.743
2001-03-28,134.992
2001-03-29,130.131
2001-03-30,130.893
2001-04-02,128.849
2001-04-03,125.568
2001-04-04,126.157
2001-04-05,132.262
2001-04-06,131.84
2001-04-09,130.893
2001-04-10,134.984
2001-04-11,135.654
2001-04-12,135.269
2001-04-13,135.269
2001-04-16,134.724
2001-04-17,131.204
2001-04-18,136.272
2001-04-19,136.895
2001-04-20,136.699
2001-04-23,137.531
2001-04-24,137.596
2001-04-25,137.549
2001-04-26,137.375
2001-04-27,137.904
2001-04-30,143.027
2001-05-01,142.491
2001-05-02,144.342
2001-05-03,142.499
2001-05-04,142.237
2001-05-07,142.754
2001-05-08,141.959
2001-05-09,139.268
2001-05-10,141.072
2001-05-11,140.624
2001-05-14,138.322
2001-05-15,139.857
2001-05-16,139.354
2001-05-17,142.878
2001-05-18,142.779
2001-05-21,143.054
2001-05-22,144.932
2001-05-23,144.929
2001-05-24,144.565
2001-05-25,144.4
2001-05-28,144.181
2001-05-29,143.452
2001-05-30,140.878
2001-05-31,141.032
2001-06-01,140.823
2001-06-04,137.9
2001-06-05,139.516
2001-06-06,140.533
2001-06-07,139.784
2001-06-08,140.43
2001-06-11,138.941
2001-06-12,135.656
2001-06-13,138.158
2001-06-14,136.233
2001-06-15,136.013
