Date,ITALY IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,222.792
1994-06-30,211.142
1994-07-29,213.731
1994-08-31,205.731
1994-09-30,205.017
1994-10-31,194.528
1994-11-30,184.134
1994-12-30,185.102
1995-01-31,199.369
1995-02-28,182.423
1995-03-31,169.392
1995-04-28,183.327
1995-05-31,184.644
1995-06-30,175.877
1995-07-31,188.974
1995-08-31,183.596
1995-09-29,178.125
1995-10-31,167.381
1995-11-30,156.453
1995-12-29,169.571
1996-01-31,177.309
1996-02-29,176.97
1996-03-29,168.747
1996-04-30,189.301
1996-05-31,193.39
1996-06-28,189.663
1996-07-31,176.432
1996-08-30,175.785
1996-09-30,178.294
1996-10-31,170.691
1996-11-29,184.834
1996-12-31,186.975
1997-01-31,207.394
1997-02-28,190.761
1997-03-31,193.172
1997-04-30,192.749
1997-05-30,194.743
1997-06-30,206.863
1997-07-31,218.253
1997-08-29,214.871
1997-09-30,244.995
1997-10-31,238.642
1997-11-28,237.724
1997-12-31,263.097
1998-01-30,307.023
1998-02-27,330.728
1998-03-31,408.235
1998-04-30,395.676
1998-05-29,418.548
1998-06-30,387.795
1998-07-31,421.066
1998-08-31,355.559
1998-09-30,330.493
1998-10-30,345.872
1998-11-30,386.547
1998-12-31,409.508
1999-01-29,387.573
1999-02-26,378.896
1999-03-31,406.154
1999-04-30,404.084
1999-05-31,384.331
1999-06-30,376.345
1999-07-30,376.867
1999-08-31,379.666
1999-09-30,402.028
1999-10-29,384.114
1999-11-30,374.103
1999-12-31,401.642
2000-01-31,372.435
2000-02-29,429.973
2000-03-31,414.919
2000-04-28,398.491
2000-05-31,410.043
2000-06-30,439.644
2000-07-31,423.03
2000-08-31,430.158
2000-09-29,404.805
2000-10-31,403.908
2000-11-30,415.164
2000-12-29,427.596
2001-01-31,442.262
2001-02-28,407.933
2001-03-30,383.745
2001-04-30,402.007
2001-05-31,379.373
2001-06-29,364.425
2001-07-31,370.599
2001-08-31,372.354
2001-09-28,321.816
2001-10-31,329.298
2001-11-30,334.732
2001-12-31,337.94
2002-01-31,332.051
2002-02-28,331.902
2002-03-29,356.86
2002-04-30,362.864
2002-05-31,358.998
2002-06-28,357.502
2002-07-31,336.173
2002-08-30,343.888
2002-09-30,296.832
2002-10-31,320.406
2002-11-29,345.457
2002-12-31,340.02
2003-01-31,336.499
2003-02-28,335.391
2003-03-31,317.307
2003-04-30,358.304
2003-05-30,401.726
2003-06-30,395.212
2003-07-31,389.701
2003-08-29,384.744
2003-09-30,400.562
2003-10-31,418.107
2003-11-28,451.263
2003-12-31,475.303
2004-01-30,484.253
2004-02-27,499.046
2004-03-31,493.701
2004-04-30,499.53
2004-05-31,501.901
2004-06-30,516.624
2004-07-30,509.525
2004-08-31,507.778
2004-09-30,541.07
2004-10-29,568.168
2004-11-30,611.246
2004-12-31,655.125
2005-01-31,642.776
2005-02-28,664.343
2005-03-31,660.584
2005-04-29,637.507
2005-05-31,629.516
2005-06-30,633.279
2005-07-29,662.965
2005-08-31,680.093
2005-09-30,690.846
2005-10-31,639.837
2005-11-30,658.527
2005-12-30,684.963
2006-01-31,724.518
2006-02-28,728.316
2006-03-31,744.704
2006-04-28,775.985
2006-05-31,780.836
2006-06-30,784.57
2006-07-31,791.259
2006-08-31,825.519
2006-09-29,829.649
2006-10-31,861.888
