Date,ITALY LARGE CAP Large Cap
2001-01-01,512.339
2001-01-02,510.069
2001-01-03,497.74
2001-01-04,505.973
2001-01-05,512.186
2001-01-08,510.259
2001-01-09,504.931
2001-01-10,507.095
2001-01-11,520.853
2001-01-12,528.017
2001-01-15,523.495
2001-01-16,517.668
2001-01-17,521.462
2001-01-18,530.286
2001-01-19,523.189
2001-01-22,524.908
2001-01-23,522.689
2001-01-24,520.441
2001-01-25,519.311
2001-01-26,520.464
2001-01-29,515.968
2001-01-30,521.12
2001-01-31,526.395
2001-02-01,526.176
2001-02-02,517.42
2001-02-05,516.645
2001-02-06,512.542
2001-02-07,506.33
2001-02-08,500.105
2001-02-09,497.12
2001-02-12,507.3
2001-02-13,499.527
2001-02-14,491.1
2001-02-15,485.237
2001-02-16,482.574
2001-02-19,485.07
2001-02-20,471.168
2001-02-21,469.899
2001-02-22,464.431
2001-02-23,458.042
2001-02-26,465.725
2001-02-27,467.102
2001-02-28,468.793
2001-03-01,465.959
2001-03-02,463.282
2001-03-05,460.17
2001-03-06,470.408
2001-03-07,470.796
2001-03-08,473.171
2001-03-09,465.812
2001-03-12,451.693
2001-03-13,446.631
2001-03-14,438.539
2001-03-15,437.553
2001-03-16,426.36
2001-03-19,427.477
2001-03-20,435.175
2001-03-21,429.92
2001-03-22,404.935
2001-03-23,418.581
2001-03-26,429.817
2001-03-27,442.135
2001-03-28,433.069
2001-03-29,434.728
2001-03-30,437.704
2001-04-02,438.656
2001-04-03,429.924
2001-04-04,444.002
2001-04-05,448.193
2001-04-06,449.714
2001-04-09,455.863
2001-04-10,454.672
2001-04-11,448.399
2001-04-12,453.991
2001-04-13,453.991
2001-04-16,449.343
2001-04-17,449.255
2001-04-18,452.688
2001-04-19,458.871
2001-04-20,460.942
2001-04-23,454.25
2001-04-24,457.819
2001-04-25,461.447
2001-04-26,463.014
2001-04-27,462.314
2001-04-30,465.33
2001-05-01,467.848
2001-05-02,467.916
2001-05-03,458.075
