Date,ITALY MID VALUE Mid Cap
2001-01-01,403.952
2001-01-02,404.14
2001-01-03,395.624
2001-01-04,398.943
2001-01-05,400.693
2001-01-08,399.915
2001-01-09,396.811
2001-01-10,397.416
2001-01-11,403.643
2001-01-12,405.446
2001-01-15,405.721
2001-01-16,403.566
2001-01-17,402.813
2001-01-18,406.248
2001-01-19,401.631
2001-01-22,403.775
2001-01-23,405.04
2001-01-24,399.737
2001-01-25,400.534
2001-01-26,403.112
2001-01-29,403.126
2001-01-30,407.794
2001-01-31,412.077
2001-02-01,413.968
2001-02-02,408.322
2001-02-05,408.34
2001-02-06,406.577
2001-02-07,404.71
2001-02-08,398.822
2001-02-09,399.288
2001-02-12,403.812
2001-02-13,399.873
2001-02-14,395.622
2001-02-15,388.816
2001-02-16,391.059
2001-02-19,393.3
2001-02-20,387.526
2001-02-21,385.66
2001-02-22,383.629
2001-02-23,380.854
2001-02-26,382.636
2001-02-27,386.399
2001-02-28,387.647
2001-03-01,389.567
2001-03-02,388.3
2001-03-05,382.416
2001-03-06,387.646
2001-03-07,387.505
2001-03-08,390.57
2001-03-09,387.378
2001-03-12,380.076
2001-03-13,372.389
2001-03-14,366.031
2001-03-15,363.827
2001-03-16,356.331
2001-03-19,356.0
2001-03-20,361.665
2001-03-21,356.48
2001-03-22,339.754
2001-03-23,347.389
2001-03-26,354.813
2001-03-27,362.672
2001-03-28,358.48
2001-03-29,359.749
2001-03-30,363.019
2001-04-02,361.006
2001-04-03,357.315
2001-04-04,365.939
2001-04-05,368.644
2001-04-06,369.755
2001-04-09,372.558
2001-04-10,370.958
2001-04-11,368.567
2001-04-12,374.077
2001-04-13,374.077
2001-04-16,370.246
2001-04-17,369.809
2001-04-18,367.144
2001-04-19,370.733
2001-04-20,371.081
2001-04-23,369.877
2001-04-24,369.345
2001-04-25,370.614
2001-04-26,373.785
2001-04-27,372.711
2001-04-30,373.927
2001-05-01,375.909
2001-05-02,373.88
2001-05-03,371.743
2001-05-04,371.245
2001-05-07,373.755
2001-05-08,372.292
2001-05-09,370.112
2001-05-10,371.465
2001-05-11,371.469
2001-05-14,370.879
2001-05-15,371.937
2001-05-16,372.371
2001-05-17,375.638
2001-05-18,377.38
2001-05-21,372.786
2001-05-22,371.681
2001-05-23,368.314
2001-05-24,367.651
2001-05-25,364.708
2001-05-28,367.593
2001-05-29,362.836
2001-05-30,360.022
2001-05-31,359.596
2001-06-01,361.68
2001-06-04,360.763
2001-06-05,360.885
2001-06-06,359.339
2001-06-07,361.594
2001-06-08,363.495
2001-06-11,358.451
2001-06-12,358.84
2001-06-13,360.292
2001-06-14,357.634
2001-06-15,355.443
2001-06-18,355.097
2001-06-19,352.723
2001-06-20,346.579
2001-06-21,345.829
2001-06-22,345.509
2001-06-25,349.69
2001-06-26,345.498
2001-06-27,345.446
2001-06-28,342.26
2001-06-29,345.98
2001-07-02,348.547
2001-07-03,350.127
2001-07-04,350.64
2001-07-05,344.343
2001-07-06,342.576
2001-07-09,341.623
2001-07-10,345.42
2001-07-11,344.712
2001-07-12,338.302
2001-07-13,336.102
2001-07-16,336.527
2001-07-17,331.691
2001-07-18,336.568
2001-07-19,338.976
2001-07-20,338.439
2001-07-23,337.222
2001-07-24,339.945
2001-07-25,340.899
2001-07-26,340.595
2001-07-27,337.779
2001-07-30,333.461
2001-07-31,334.195
2001-08-01,338.667
2001-08-02,342.084
2001-08-03,343.391
2001-08-06,342.063
2001-08-07,342.922
2001-08-08,342.145
2001-08-09,345.094
2001-08-10,346.276
2001-08-13,347.867
2001-08-14,348.77
2001-08-15,354.094
2001-08-16,350.702
2001-08-17,348.558
2001-08-20,346.475
2001-08-21,348.236
2001-08-22,350.61
2001-08-23,349.049
2001-08-24,350.498
2001-08-27,348.478
2001-08-28,346.873
2001-08-29,346.753
2001-08-30,340.368
2001-08-31,339.977
2001-09-03,335.371
2001-09-04,328.671
2001-09-05,320.556
2001-09-06,314.07
2001-09-07,316.423
2001-09-10,309.34
2001-09-11,292.755
2001-09-12,291.799
2001-09-13,295.0
2001-09-14,287.127
2001-09-17,283.296
2001-09-18,278.731
2001-09-19,279.594
2001-09-20,268.619
2001-09-21,252.824
2001-09-24,262.093
2001-09-25,269.97
2001-09-26,274.174
2001-09-27,273.953
2001-09-28,281.359
2001-10-01,278.237
2001-10-02,278.84
2001-10-03,279.181
2001-10-04,282.961
2001-10-05,280.661
2001-10-08,279.16
2001-10-09,280.068
2001-10-10,279.712
2001-10-11,282.701
2001-10-12,284.255
2001-10-15,282.436
2001-10-16,286.153
2001-10-17,292.69
2001-10-18,290.337
2001-10-19,285.478
2001-10-22,285.943
2001-10-23,287.926
2001-10-24,287.656
2001-10-25,284.601
2001-10-26,288.757
2001-10-29,289.255
2001-10-30,281.596
