Date,ITALY SMID VALUE SMID (Small+Mid Cap)
2001-01-01,375.653
2001-01-02,376.297
2001-01-03,368.615
2001-01-04,371.596
2001-01-05,374.182
2001-01-08,372.946
2001-01-09,370.179
2001-01-10,370.746
2001-01-11,375.995
2001-01-12,377.918
2001-01-15,378.038
2001-01-16,377.51
2001-01-17,377.186
2001-01-18,381.184
2001-01-19,377.736
2001-01-22,379.356
2001-01-23,380.167
2001-01-24,375.378
2001-01-25,376.022
2001-01-26,378.108
2001-01-29,378.322
2001-01-30,382.319
2001-01-31,386.284
2001-02-01,388.172
2001-02-02,383.688
2001-02-05,384.306
2001-02-06,382.241
2001-02-07,380.176
2001-02-08,375.041
2001-02-09,375.475
2001-02-12,380.391
2001-02-13,375.486
2001-02-14,371.144
2001-02-15,365.285
2001-02-16,367.303
2001-02-19,368.875
2001-02-20,363.436
2001-02-21,361.417
2001-02-22,359.697
2001-02-23,357.774
2001-02-26,359.26
2001-02-27,362.825
2001-02-28,363.704
2001-03-01,364.497
2001-03-02,364.003
2001-03-05,358.99
2001-03-06,363.603
2001-03-07,363.444
2001-03-08,366.178
2001-03-09,363.743
2001-03-12,356.738
2001-03-13,350.09
2001-03-14,344.111
2001-03-15,342.337
2001-03-16,336.091
2001-03-19,335.643
2001-03-20,340.664
2001-03-21,335.757
2001-03-22,321.591
2001-03-23,328.14
2001-03-26,334.144
2001-03-27,340.989
2001-03-28,337.364
2001-03-29,337.869
2001-03-30,341.028
2001-04-02,339.047
2001-04-03,336.548
2001-04-04,343.822
2001-04-05,345.852
2001-04-06,347.365
2001-04-09,349.286
2001-04-10,346.913
2001-04-11,344.898
2001-04-12,349.568
2001-04-13,349.568
2001-04-16,345.932
2001-04-17,345.607
2001-04-18,343.351
2001-04-19,347.3
2001-04-20,348.919
2001-04-23,347.134
2001-04-24,346.886
2001-04-25,348.259
2001-04-26,350.707
2001-04-27,349.034
2001-04-30,349.861
2001-05-01,351.7
2001-05-02,350.773
2001-05-03,348.993
2001-05-04,349.119
2001-05-07,350.217
2001-05-08,348.16
2001-05-09,347.192
2001-05-10,348.409
2001-05-11,347.472
2001-05-14,347.543
2001-05-15,348.815
2001-05-16,349.743
2001-05-17,351.819
2001-05-18,352.785
2001-05-21,349.827
2001-05-22,348.183
2001-05-23,345.45
2001-05-24,344.5
2001-05-25,343.003
2001-05-28,345.304
2001-05-29,341.041
2001-05-30,338.732
2001-05-31,337.555
2001-06-01,338.972
2001-06-04,338.361
2001-06-05,338.552
2001-06-06,337.47
2001-06-07,339.134
2001-06-08,339.984
2001-06-11,335.921
2001-06-12,336.241
2001-06-13,337.951
2001-06-14,336.373
2001-06-15,335.075
2001-06-18,333.78
2001-06-19,331.953
2001-06-20,327.038
2001-06-21,326.465
2001-06-22,326.047
2001-06-25,328.751
2001-06-26,325.255
2001-06-27,325.333
2001-06-28,322.191
2001-06-29,325.231
2001-07-02,326.249
2001-07-03,327.281
2001-07-04,327.84
2001-07-05,322.276
2001-07-06,321.306
2001-07-09,321.092
2001-07-10,324.124
2001-07-11,323.081
2001-07-12,318.51
2001-07-13,317.068
2001-07-16,317.497
2001-07-17,313.213
2001-07-18,318.371
2001-07-19,319.353
2001-07-20,318.488
2001-07-23,316.893
2001-07-24,319.048
2001-07-25,319.808
2001-07-26,319.274
2001-07-27,317.414
2001-07-30,315.688
2001-07-31,316.309
2001-08-01,320.105
2001-08-02,323.021
2001-08-03,324.221
2001-08-06,323.039
2001-08-07,323.256
2001-08-08,323.047
2001-08-09,325.723
2001-08-10,327.151
2001-08-13,328.584
2001-08-14,329.26
2001-08-15,334.227
2001-08-16,332.528
2001-08-17,331.164
2001-08-20,328.501
2001-08-21,329.683
2001-08-22,332.282
2001-08-23,330.209
2001-08-24,331.275
2001-08-27,330.004
2001-08-28,328.563
2001-08-29,328.479
2001-08-30,323.874
2001-08-31,323.178
2001-09-03,319.242
2001-09-04,313.035
2001-09-05,306.069
2001-09-06,300.805
2001-09-07,302.363
2001-09-10,295.676
2001-09-11,280.923
2001-09-12,279.263
2001-09-13,282.168
2001-09-14,273.617
2001-09-17,269.055
2001-09-18,264.979
2001-09-19,265.918
2001-09-20,255.881
2001-09-21,240.623
2001-09-24,248.779
2001-09-25,256.786
2001-09-26,261.439
2001-09-27,262.168
2001-09-28,268.347
2001-10-01,265.52
2001-10-02,266.083
2001-10-03,266.632
2001-10-04,270.158
2001-10-05,268.813
2001-10-08,267.548
2001-10-09,268.317
2001-10-10,268.403
2001-10-11,270.345
2001-10-12,271.767
2001-10-15,269.977
2001-10-16,273.318
2001-10-17,277.578
2001-10-18,275.105
2001-10-19,271.293
2001-10-22,271.318
2001-10-23,272.828
2001-10-24,273.393
2001-10-25,271.722
2001-10-26,274.897
2001-10-29,276.029
2001-10-30,269.757
2001-10-31,269.524
2001-11-01,271.136
2001-11-02,268.75
2001-11-05,268.301
2001-11-06,266.67
2001-11-07,266.852
