Date,JAPAN LARGE VALUE Large Cap
2001-01-01,589.173
2001-01-02,587.655
2001-01-03,588.22
2001-01-04,580.205
2001-01-05,584.678
2001-01-08,584.552
2001-01-09,574.737
2001-01-10,568.96
2001-01-11,551.0
2001-01-12,550.185
2001-01-15,547.894
2001-01-16,560.093
2001-01-17,565.194
2001-01-18,570.483
2001-01-19,571.472
2001-01-22,574.977
2001-01-23,573.822
2001-01-24,568.43
2001-01-25,572.842
2001-01-26,571.167
2001-01-29,576.121
2001-01-30,577.204
2001-01-31,579.285
2001-02-01,584.954
2001-02-02,578.429
2001-02-05,572.113
2001-02-06,568.844
2001-02-07,566.66
2001-02-08,561.005
2001-02-09,561.091
2001-02-12,561.091
2001-02-13,561.365
2001-02-14,566.621
2001-02-15,572.019
2001-02-16,568.292
2001-02-19,560.415
2001-02-20,566.093
2001-02-21,558.114
2001-02-22,564.321
2001-02-23,570.211
2001-02-26,574.421
2001-02-27,572.976
2001-02-28,564.579
2001-03-01,558.323
2001-03-02,541.53
2001-03-05,542.796
2001-03-06,550.023
2001-03-07,550.873
2001-03-08,554.78
2001-03-09,555.226
2001-03-12,539.723
2001-03-13,528.087
2001-03-14,517.155
2001-03-15,525.063
2001-03-16,522.63
2001-03-19,529.89
2001-03-20,528.074
2001-03-21,559.147
2001-03-22,544.998
2001-03-23,557.057
2001-03-26,574.973
2001-03-27,571.876
2001-03-28,580.332
2001-03-29,554.059
2001-03-30,545.584
2001-04-02,535.286
2001-04-03,551.003
2001-04-04,558.086
2001-04-05,565.57
2001-04-06,566.095
2001-04-09,546.337
2001-04-10,539.8
2001-04-11,549.531
2001-04-12,556.635
2001-04-13,552.384
2001-04-16,546.449
2001-04-17,548.262
2001-04-18,565.453
2001-04-19,570.571
2001-04-20,566.354
2001-04-23,569.339
2001-04-24,568.697
2001-04-25,576.395
2001-04-26,586.049
2001-04-27,583.595
2001-04-30,584.786
2001-05-01,610.163
2001-05-02,614.011
2001-05-03,618.83
2001-05-04,618.933
2001-05-07,621.859
2001-05-08,605.756
2001-05-09,597.792
2001-05-10,590.06
2001-05-11,591.411
2001-05-14,581.415
2001-05-15,583.952
2001-05-16,576.801
2001-05-17,587.862
2001-05-18,583.558
2001-05-21,592.202
2001-05-22,590.147
2001-05-23,600.568
2001-05-24,599.262
2001-05-25,595.343
2001-05-28,590.948
2001-05-29,597.872
2001-05-30,586.029
2001-05-31,588.232
2001-06-01,585.635
2001-06-04,584.169
2001-06-05,579.606
2001-06-06,579.495
2001-06-07,581.533
2001-06-08,578.214
2001-06-11,571.513
2001-06-12,558.4
2001-06-13,559.073
2001-06-14,561.709
2001-06-15,558.794
2001-06-18,555.889
2001-06-19,554.549
2001-06-20,553.985
2001-06-21,565.75
2001-06-22,569.56
2001-06-25,569.454
2001-06-26,570.471
2001-06-27,566.781
2001-06-28,562.066
2001-06-29,570.361
2001-07-02,568.224
2001-07-03,569.463
2001-07-04,565.278
2001-07-05,560.158
2001-07-06,548.827
2001-07-09,546.422
2001-07-10,550.875
2001-07-11,547.584
2001-07-12,554.047
2001-07-13,546.942
2001-07-16,545.69
2001-07-17,539.017
2001-07-18,531.528
2001-07-19,530.943
2001-07-20,532.647
2001-07-23,514.013
2001-07-24,520.85
2001-07-25,527.328
2001-07-26,526.723
2001-07-27,527.157
2001-07-30,517.684
2001-07-31,526.057
2001-08-01,531.667
2001-08-02,546.568
2001-08-03,539.162
2001-08-06,537.22
2001-08-07,541.475
2001-08-08,542.763
2001-08-09,532.379
2001-08-10,535.659
2001-08-13,530.324
2001-08-14,548.102
2001-08-15,553.571
2001-08-16,544.886
2001-08-17,543.098
2001-08-20,535.964
2001-08-21,542.513
2001-08-22,549.639
2001-08-23,543.06
2001-08-24,543.047
2001-08-27,545.818
2001-08-28,542.426
2001-08-29,536.28
2001-08-30,526.855
2001-08-31,526.893
2001-09-03,514.66
2001-09-04,529.266
2001-09-05,519.251
2001-09-06,519.799
2001-09-07,521.391
2001-09-10,507.987
2001-09-11,517.878
2001-09-12,483.334
2001-09-13,487.953
2001-09-14,504.751
2001-09-17,483.951
2001-09-18,488.984
2001-09-19,499.785
2001-09-20,494.373
2001-09-21,474.549
2001-09-24,471.034
2001-09-25,476.302
2001-09-26,466.342
2001-09-27,461.31
2001-09-28,473.429
2001-10-01,481.706
2001-10-02,489.571
2001-10-03,480.71
2001-10-04,490.453
2001-10-05,489.528
2001-10-08,491.224
2001-10-09,476.661
2001-10-10,470.374
2001-10-11,479.454
2001-10-12,487.84
2001-10-15,481.401
2001-10-16,484.681
2001-10-17,485.293
2001-10-18,477.343
2001-10-19,475.627
2001-10-22,473.652
2001-10-23,480.104
2001-10-24,483.198
2001-10-25,487.742
2001-10-26,480.359
2001-10-29,474.795
2001-10-30,471.883
2001-10-31,466.155
2001-11-01,468.392
2001-11-02,466.868
2001-11-05,467.339
2001-11-06,470.738
2001-11-07,459.405
2001-11-08,467.109
2001-11-09,462.634
2001-11-12,456.837
2001-11-13,447.995
2001-11-14,447.21
2001-11-15,450.362
2001-11-16,449.951
2001-11-19,457.632
2001-11-20,459.53
2001-11-21,462.231
2001-11-22,459.355
2001-11-23,457.251
2001-11-26,465.743
