Date,JAPAN LARGE VALUE Large Cap
1994-05-31,692.129
1994-06-30,729.58
1994-07-29,700.356
1994-08-31,703.685
1994-09-30,687.012
1994-10-31,707.713
1994-11-30,668.927
1994-12-30,677.014
1995-01-31,628.232
1995-02-28,598.037
1995-03-31,664.994
1995-04-28,690.847
1995-05-31,649.394
1995-06-30,627.338
1995-07-31,672.61
1995-08-31,649.442
1995-09-29,657.189
1995-10-31,623.515
1995-11-30,653.823
1995-12-29,683.314
1996-01-31,674.594
1996-02-29,666.85
1996-03-29,685.754
1996-04-30,728.124
1996-05-31,690.062
1996-06-28,700.025
1996-07-31,671.643
1996-08-30,644.43
1996-09-30,666.357
1996-10-31,623.655
1996-11-29,641.799
1996-12-31,601.817
1997-01-31,543.356
1997-02-28,549.084
1997-03-31,538.218
1997-04-30,552.455
1997-05-30,612.013
1997-06-30,657.814
1997-07-31,627.746
1997-08-29,575.165
1997-09-30,554.507
1997-10-31,514.247
1997-11-28,467.977
1997-12-31,424.611
1998-01-30,484.787
1998-02-27,491.998
1998-03-31,458.105
1998-04-30,448.426
1998-05-29,427.65
1998-06-30,431.585
1998-07-31,419.746
1998-08-31,374.83
1998-09-30,366.854
1998-10-30,437.249
1998-11-30,454.493
1998-12-31,470.63
1999-01-29,471.201
1999-02-26,455.999
1999-03-31,521.076
1999-04-30,546.071
1999-05-31,513.472
1999-06-30,556.068
1999-07-30,608.657
1999-08-31,620.15
1999-09-30,659.274
1999-10-29,686.389
1999-11-30,680.755
1999-12-31,683.859
2000-01-31,669.046
2000-02-29,631.468
2000-03-31,721.598
2000-04-28,687.691
2000-05-31,668.783
2000-06-30,709.102
2000-07-31,635.765
2000-08-31,663.762
2000-09-29,652.792
2000-10-31,640.165
2000-11-30,608.851
2000-12-29,589.173
2001-01-31,579.285
2001-02-28,564.579
2001-03-30,545.584
2001-04-30,584.786
2001-05-31,588.232
2001-06-29,570.361
2001-07-31,526.057
2001-08-31,526.893
2001-09-28,473.429
2001-10-31,466.155
2001-11-30,454.576
2001-12-31,426.239
2002-01-31,397.786
2002-02-28,413.172
2002-03-29,435.047
2002-04-30,457.697
2002-05-31,485.72
2002-06-28,463.625
2002-07-31,435.726
2002-08-30,433.944
2002-09-30,417.978
2002-10-31,384.945
2002-11-29,399.428
2002-12-31,396.731
2003-01-31,381.693
2003-02-28,384.574
2003-03-31,362.457
2003-04-30,363.138
2003-05-30,379.107
2003-06-30,407.088
2003-07-31,424.404
2003-08-29,468.966
2003-09-30,505.01
2003-10-31,527.208
2003-11-28,521.079
2003-12-31,561.513
2004-01-30,568.692
2004-02-27,575.682
2004-03-31,644.212
2004-04-30,609.412
2004-05-31,600.863
2004-06-30,639.096
2004-07-30,618.095
2004-08-31,616.583
2004-09-30,602.602
2004-10-29,613.8
2004-11-30,640.53
2004-12-31,672.521
2005-01-31,649.941
2005-02-28,667.546
2005-03-31,654.138
2005-04-29,639.568
2005-05-31,633.182
2005-06-30,633.696
2005-07-29,642.081
2005-08-31,688.313
2005-09-30,770.537
2005-10-31,755.452
2005-11-30,778.728
2005-12-30,825.573
2006-01-31,858.45
2006-02-28,866.965
2006-03-31,885.852
2006-04-28,924.148
2006-05-31,881.701
2006-06-30,871.672
2006-07-31,874.597
2006-08-31,893.11
2006-09-29,877.459
2006-10-31,905.368
2006-11-30,922.106
2006-12-29,964.971
2007-01-31,973.629
2007-02-28,1020.099
2007-03-30,1010.815
2007-04-30,984.467
2007-05-31,1000.0
2007-06-29,998.903
2007-07-31,987.709
2007-08-31,954.184
2007-09-28,972.342
2007-10-31,968.219
2007-11-30,954.367
2007-12-31,913.049
2008-01-31,888.49
2008-02-29,891.398
2008-03-31,849.295
2008-04-30,913.66
2008-05-30,928.352
2008-06-30,870.423
2008-07-31,848.881
2008-08-29,829.333
2008-09-30,742.773
2008-10-31,656.733
2008-11-28,650.546
2008-12-31,697.856
2009-01-30,672.046
2009-02-27,604.638
2009-03-31,608.25
2009-04-30,692.346
2009-05-29,760.963
2009-06-30,763.682
2009-07-31,799.761
2009-08-31,824.44
2009-09-30,794.349
2009-10-30,784.449
2009-11-30,780.531
2009-12-31,774.049
2010-01-29,796.909
2010-02-26,801.246
2010-03-31,840.617
2010-04-30,830.497
2010-05-31,767.775
2010-06-30,750.89
2010-07-30,770.768
2010-08-31,765.936
2010-09-30,781.794
2010-10-29,798.574
2010-11-30,814.562
2010-12-31,878.725
2011-01-31,880.736
2011-02-28,932.402
2011-03-31,826.732
2011-04-29,823.758
2011-05-31,808.86
2011-06-30,827.519
2011-07-29,852.952
2011-08-31,786.438
2011-09-30,779.083
2011-10-31,768.607
