Date,JAPAN MID CAP Mid Cap
1994-05-31,943.664
1994-06-30,1007.241
1994-07-29,977.759
1994-08-31,975.208
1994-09-30,949.958
1994-10-31,964.405
1994-11-30,901.356
1994-12-30,919.415
1995-01-31,874.813
1995-02-28,815.25
1995-03-31,879.978
1995-04-28,912.573
1995-05-31,836.706
1995-06-30,795.866
1995-07-31,845.304
1995-08-31,830.732
1995-09-29,822.416
1995-10-31,784.749
1995-11-30,815.156
1995-12-29,852.311
1996-01-31,852.29
1996-02-29,843.458
1996-03-29,869.322
1996-04-30,942.294
1996-05-31,896.744
1996-06-28,898.987
1996-07-31,856.062
1996-08-30,815.669
1996-09-30,830.446
1996-10-31,777.437
1996-11-29,762.715
1996-12-31,696.558
1997-01-31,631.111
1997-02-28,632.251
1997-03-31,599.667
1997-04-30,609.642
1997-05-30,694.401
1997-06-30,720.686
1997-07-31,674.717
1997-08-29,599.918
1997-09-30,553.214
1997-10-31,550.132
1997-11-28,481.001
1997-12-31,416.931
1998-01-30,483.251
1998-02-27,495.919
1998-03-31,468.151
1998-04-30,454.812
1998-05-29,442.719
1998-06-30,446.954
1998-07-31,442.795
1998-08-31,410.857
1998-09-30,405.838
1998-10-30,460.024
1998-11-30,473.601
1998-12-31,497.023
1999-01-29,496.633
1999-02-26,482.754
1999-03-31,543.885
1999-04-30,569.378
1999-05-31,551.241
1999-06-30,604.067
1999-07-30,654.723
1999-08-31,696.586
1999-09-30,731.43
1999-10-29,747.461
1999-11-30,774.07
1999-12-31,762.769
2000-01-31,759.147
2000-02-29,735.085
2000-03-31,780.434
2000-04-28,727.945
2000-05-31,721.001
2000-06-30,791.233
2000-07-31,691.42
2000-08-31,743.379
2000-09-29,718.003
2000-10-31,660.453
2000-11-30,653.271
2000-12-29,607.508
2001-01-31,596.542
2001-02-28,573.012
2001-03-30,556.119
2001-04-30,607.541
2001-05-31,612.61
2001-06-29,583.992
2001-07-31,543.725
2001-08-31,537.947
2001-09-28,499.871
2001-10-31,506.285
2001-11-30,488.885
2001-12-31,449.598
2002-01-31,421.358
2002-02-28,440.488
2002-03-29,461.554
2002-04-30,486.854
2002-05-31,528.183
2002-06-28,504.961
2002-07-31,477.577
2002-08-30,473.049
2002-09-30,451.678
2002-10-31,415.876
2002-11-29,427.365
2002-12-31,422.112
2003-01-31,412.266
2003-02-28,422.895
2003-03-31,410.244
2003-04-30,419.236
2003-05-30,434.949
2003-06-30,464.084
2003-07-31,477.911
2003-08-29,531.461
2003-09-30,570.62
2003-10-31,607.03
2003-11-28,577.635
2003-12-31,622.943
2004-01-30,631.726
2004-02-27,632.566
2004-03-31,736.462
2004-04-30,692.962
2004-05-31,672.643
2004-06-30,728.955
2004-07-30,673.314
2004-08-31,679.503
2004-09-30,666.501
2004-10-29,680.105
2004-11-30,722.437
2004-12-31,755.506
2005-01-31,761.618
2005-02-28,775.033
2005-03-31,768.845
2005-04-29,750.302
2005-05-31,733.136
2005-06-30,738.552
2005-07-29,745.912
2005-08-31,788.917
2005-09-30,861.813
2005-10-31,871.733
2005-11-30,903.45
2005-12-30,991.379
2006-01-31,1029.04
2006-02-28,995.488
2006-03-31,1031.195
2006-04-28,1045.025
2006-05-31,980.44
2006-06-30,962.388
2006-07-31,944.093
2006-08-31,960.478
2006-09-29,955.793
2006-10-31,961.543
2006-11-30,961.01
2006-12-29,966.271
2007-01-31,979.661
2007-02-28,1026.822
2007-03-30,1016.925
2007-04-30,1002.609
2007-05-31,1000.0
2007-06-29,993.329
2007-07-31,984.136
2007-08-31,956.971
2007-09-28,983.689
2007-10-31,988.757
2007-11-30,958.241
2007-12-31,916.954
2008-01-31,878.558
2008-02-29,884.76
2008-03-31,875.593
2008-04-30,907.36
2008-05-30,924.831
2008-06-30,857.584
2008-07-31,829.501
2008-08-29,796.937
2008-09-30,726.05
2008-10-31,613.247
2008-11-28,642.424
2008-12-31,701.334
2009-01-30,640.874
2009-02-27,549.889
2009-03-31,585.74
2009-04-30,626.156
2009-05-29,694.296
2009-06-30,733.548
2009-07-31,749.795
2009-08-31,793.447
2009-09-30,777.805
2009-10-30,743.972
2009-11-30,724.052
2009-12-31,721.732
2010-01-29,730.895
2010-02-26,745.393
2010-03-31,782.149
2010-04-30,795.639
2010-05-31,736.82
2010-06-30,732.081
2010-07-30,746.474
2010-08-31,726.379
2010-09-30,762.207
2010-10-29,770.698
2010-11-30,785.881
2010-12-31,853.842
2011-01-31,857.577
2011-02-28,883.072
2011-03-31,824.713
2011-04-29,830.133
2011-05-31,820.339
2011-06-30,840.841
2011-07-29,871.014
2011-08-31,822.665
2011-09-30,825.1
2011-10-31,808.309
2011-11-30,768.261
2011-12-30,783.052
2012-01-31,811.795
2012-02-29,825.571
2012-03-30,844.62
2012-04-30,824.301
2012-05-31,748.313
2012-06-29,790.411
2012-07-31,774.499
2012-08-31,772.421
2012-09-28,791.001
2012-10-31,776.847
2012-11-30,782.194
2012-12-31,824.181
2013-01-31,837.421
2013-02-28,865.901
2013-03-29,923.356
2013-04-30,1011.063
2013-05-31,949.793
2013-06-28,962.482
2013-07-31,968.78
2013-08-30,945.292
2013-09-30,1036.735
2013-10-31,1032.354
2013-11-29,1035.009
2013-12-31,1038.125
2014-01-31,1009.154
2014-02-28,999.969
2014-03-31,990.298
2014-04-30,969.663
2014-05-30,1016.848
2014-06-30,1074.686
2014-07-31,1084.29
2014-08-29,1071.589
2014-09-30,1049.891
2014-10-31,1034.893
2014-11-28,1036.965
2014-12-31,1034.123
2015-01-30,1071.368
2015-02-27,1131.106
2015-03-31,1142.985
2015-04-30,1169.405
2015-05-29,1183.624
2015-06-30,1165.924
2015-07-31,1182.551
2015-08-31,1115.322
2015-09-30,1056.818
2015-10-30,1150.614
2015-11-30,1145.908
2015-12-31,1145.957
2016-01-29,1066.438
2016-02-29,1043.941
2016-03-31,1094.209
2016-04-29,1145.251
2016-05-31,1125.906
2016-06-30,1104.468
2016-07-29,1169.666
2016-08-31,1146.453
2016-09-30,1182.853
2016-10-31,1191.752
2016-11-30,1149.896
2016-12-30,1171.501
2017-01-31,1213.778
2017-02-28,1231.38
2017-03-31,1221.757
2017-04-28,1237.748
2017-05-31,1284.571
2017-06-30,1301.865
2017-07-31,1330.811
2017-08-31,1330.993
2017-09-29,1352.1
2017-10-31,1406.438
2017-11-30,1453.807
2017-12-29,1474.89
2018-01-31,1535.654
2018-02-28,1494.091
2018-03-30,1470.983
2018-04-30,1486.335
2018-05-31,1476.014
2018-06-29,1436.314
2018-07-31,1423.585
2018-08-31,1415.784
2018-09-28,1451.035
2018-10-31,1316.283
2018-11-30,1340.925
2018-12-31,1251.107
2019-01-31,1318.473
2019-02-28,1312.027
2019-03-29,1331.372
2019-04-30,1338.961
2019-05-31,1262.978
2019-06-28,1313.374
2019-07-31,1307.215
2019-08-30,1296.881
2019-09-30,1359.334
2019-10-31,1431.614
2019-11-29,1441.364
2019-12-31,1461.375
2020-01-31,1420.199
2020-02-28,1263.474
2020-03-31,1180.224
2020-04-30,1240.036
2020-05-29,1328.161
2020-06-30,1318.714
2020-07-31,1269.901
2020-08-31,1376.887
2020-09-30,1408.071
2020-10-30,1371.275
2020-11-30,1533.976
2020-12-31,1586.962
2021-01-29,1598.023
2021-02-26,1602.959
2021-03-31,1644.81
2021-04-30,1617.91
2021-05-31,1623.121
2021-06-30,1610.104
2021-07-30,1587.445
2021-08-31,1634.559
2021-09-30,1655.506
2021-10-29,1591.674
2021-11-30,1528.832
2021-12-31,1547.767
2022-01-31,1459.547
2022-02-28,1469.195
2022-03-31,1445.02
2022-04-29,1308.737
2022-05-31,1340.985
2022-06-30,1250.586
2022-07-29,1313.603
2022-08-31,1298.954
2022-09-30,1165.262
2022-10-31,1181.145
2022-11-30,1299.628
2022-12-30,1304.215
2023-01-31,1369.8
2023-02-28,1326.422
2023-03-31,1368.443
2023-04-28,1378.165
2023-05-31,1383.77
2023-06-30,1408.349
2023-07-31,1469.861
2023-08-31,1457.134
2023-09-29,1430.954
2023-10-31,1355.615
2023-11-30,1460.412
2023-12-29,1527.745
2024-01-31,1579.082
2024-02-29,1575.005
2024-03-29,1636.116
2024-04-30,1551.482
2024-05-31,1562.273
2024-06-28,1525.239
2024-07-31,1631.172
2024-08-30,1660.121
2024-09-30,1668.359
2024-10-31,1558.965
2024-11-29,1557.723
2024-12-31,1530.505
2025-01-31,1552.432
2025-02-28,1579.049
2025-03-31,1590.961
2025-04-30,1658.906
2025-05-30,1692.197
2025-06-30,1735.419
