Date,JAPAN MID GROWTH Mid Cap
2001-01-01,790.299
2001-01-02,788.263
2001-01-03,789.021
2001-01-04,770.801
2001-01-05,768.624
2001-01-08,768.459
2001-01-09,745.372
2001-01-10,729.292
2001-01-11,693.839
2001-01-12,702.148
2001-01-15,720.202
2001-01-16,743.15
2001-01-17,748.372
2001-01-18,764.824
2001-01-19,778.965
2001-01-22,776.016
2001-01-23,771.961
2001-01-24,770.047
2001-01-25,784.978
2001-01-26,776.906
2001-01-29,772.876
2001-01-30,777.517
2001-01-31,789.418
2001-02-01,798.19
2001-02-02,794.894
2001-02-05,779.202
2001-02-06,778.928
2001-02-07,772.86
2001-02-08,763.216
2001-02-09,764.311
2001-02-12,764.22
2001-02-13,759.517
2001-02-14,761.821
2001-02-15,770.67
2001-02-16,769.665
2001-02-19,753.485
2001-02-20,767.911
2001-02-21,753.04
2001-02-22,744.771
2001-02-23,755.184
2001-02-26,745.357
2001-02-27,743.804
2001-02-28,719.854
2001-03-01,705.673
2001-03-02,675.682
2001-03-05,671.69
2001-03-06,698.757
2001-03-07,706.493
2001-03-08,705.692
2001-03-09,702.486
2001-03-12,675.589
2001-03-13,655.881
2001-03-14,649.79
2001-03-15,659.135
2001-03-16,658.054
2001-03-19,665.646
2001-03-20,663.365
2001-03-21,689.388
2001-03-22,677.888
2001-03-23,703.499
2001-03-26,739.271
2001-03-27,734.749
2001-03-28,758.232
2001-03-29,726.917
2001-03-30,705.87
2001-04-02,697.711
2001-04-03,705.734
2001-04-04,704.234
2001-04-05,717.477
2001-04-06,724.562
2001-04-09,702.917
2001-04-10,695.072
2001-04-11,704.816
2001-04-12,716.453
2001-04-13,718.16
2001-04-16,710.779
2001-04-17,710.709
2001-04-18,734.443
2001-04-19,752.976
2001-04-20,747.51
2001-04-23,754.31
2001-04-24,752.116
2001-04-25,758.277
2001-04-26,763.985
2001-04-27,755.243
2001-04-30,756.771
2001-05-01,791.414
2001-05-02,796.359
2001-05-03,802.609
2001-05-04,802.742
2001-05-07,813.033
2001-05-08,803.129
2001-05-09,791.586
2001-05-10,781.435
2001-05-11,783.884
2001-05-14,770.394
2001-05-15,780.374
2001-05-16,763.99
2001-05-17,777.217
2001-05-18,773.537
2001-05-21,790.604
2001-05-22,790.664
2001-05-23,801.361
2001-05-24,801.402
2001-05-25,790.336
2001-05-28,781.399
2001-05-29,791.122
2001-05-30,771.17
2001-05-31,767.834
2001-06-01,767.624
2001-06-04,765.537
2001-06-05,756.505
2001-06-06,754.316
2001-06-07,763.446
2001-06-08,767.237
2001-06-11,759.589
2001-06-12,737.157
2001-06-13,743.104
2001-06-14,742.109
2001-06-15,729.78
2001-06-18,717.722
2001-06-19,713.672
2001-06-20,712.862
2001-06-21,717.681
2001-06-22,727.637
2001-06-25,724.782
2001-06-26,724.34
2001-06-27,716.725
2001-06-28,710.164
2001-06-29,721.395
2001-07-02,715.825
2001-07-03,717.623
2001-07-04,708.772
2001-07-05,697.657
2001-07-06,684.406
2001-07-09,671.828
2001-07-10,676.552
2001-07-11,670.067
2001-07-12,684.118
2001-07-13,680.737
2001-07-16,675.526
2001-07-17,666.503
2001-07-18,658.79
2001-07-19,662.285
2001-07-20,664.41
2001-07-23,645.065
2001-07-24,653.394
2001-07-25,659.446
2001-07-26,661.652
2001-07-27,660.344
2001-07-30,640.064
2001-07-31,653.638
2001-08-01,661.702
2001-08-02,685.554
2001-08-03,683.179
2001-08-06,680.585
2001-08-07,683.057
2001-08-08,681.516
2001-08-09,663.968
2001-08-10,668.452
2001-08-13,656.191
2001-08-14,668.42
2001-08-15,680.529
2001-08-16,666.212
2001-08-17,664.588
2001-08-20,649.682
2001-08-21,653.465
2001-08-22,652.641
2001-08-23,640.159
2001-08-24,636.632
2001-08-27,639.835
2001-08-28,633.352
2001-08-29,632.657
2001-08-30,625.897
2001-08-31,625.448
2001-09-03,606.541
2001-09-04,615.941
2001-09-05,604.568
2001-09-06,604.168
2001-09-07,606.449
2001-09-10,593.879
2001-09-11,602.545
2001-09-12,557.412
2001-09-13,567.454
2001-09-14,587.811
2001-09-17,559.373
2001-09-18,571.519
2001-09-19,581.319
2001-09-20,577.84
2001-09-21,565.281
2001-09-24,561.129
2001-09-25,573.002
2001-09-26,571.61
2001-09-27,563.976
2001-09-28,580.557
2001-10-01,583.542
2001-10-02,591.3
2001-10-03,592.324
2001-10-04,604.823
2001-10-05,606.441
2001-10-08,608.541
2001-10-09,598.254
2001-10-10,596.459
2001-10-11,605.226
2001-10-12,611.673
2001-10-15,609.203
2001-10-16,616.375
2001-10-17,627.887
2001-10-18,618.004
2001-10-19,622.417
2001-10-22,621.881
2001-10-23,626.434
2001-10-24,628.925
2001-10-25,634.16
2001-10-26,629.954
2001-10-29,627.649
2001-10-30,619.248
2001-10-31,611.53
2001-11-01,609.296
2001-11-02,608.002
2001-11-05,608.091
2001-11-06,621.057
2001-11-07,612.459
2001-11-08,616.002
2001-11-09,610.907
2001-11-12,607.792
2001-11-13,596.989
2001-11-14,600.857
2001-11-15,610.56
2001-11-16,611.084
2001-11-19,609.373
2001-11-20,605.452
2001-11-21,605.312
2001-11-22,603.978
2001-11-23,601.275
2001-11-26,615.575
2001-11-27,613.879
2001-11-28,607.011
2001-11-29,600.631
2001-11-30,601.278
2001-12-03,587.399
2001-12-04,587.757
2001-12-05,596.711
2001-12-06,602.68
2001-12-07,595.096
2001-12-10,585.437
2001-12-11,575.982
2001-12-12,589.052
2001-12-13,579.618
2001-12-14,570.776
2001-12-17,559.58
2001-12-18,559.467
2001-12-19,555.768
2001-12-20,556.119
2001-12-21,546.587
2001-12-24,544.884
2001-12-25,544.702
2001-12-26,537.951
2001-12-27,544.118
2001-12-28,552.004
2001-12-31,552.593
2002-01-01,552.593
2002-01-02,548.16
2002-01-03,549.929
2002-01-04,562.208
2002-01-07,561.71
2002-01-08,546.237
2002-01-09,546.094
2002-01-10,539.768
2002-01-11,536.823
2002-01-14,538.373
2002-01-15,525.946
2002-01-16,521.119
2002-01-17,518.75
2002-01-18,528.549
2002-01-21,529.813
2002-01-22,513.636
2002-01-23,511.047
2002-01-24,508.126
2002-01-25,513.214
2002-01-28,519.915
2002-01-29,509.808
