Date,JAPAN MID GROWTH Mid Cap
1994-05-31,1326.806
1994-06-30,1415.129
1994-07-29,1369.274
1994-08-31,1373.64
1994-09-30,1334.035
1994-10-31,1353.677
1994-11-30,1259.382
1994-12-30,1285.247
1995-01-31,1198.118
1995-02-28,1111.291
1995-03-31,1194.477
1995-04-28,1240.898
1995-05-31,1110.89
1995-06-30,1047.352
1995-07-31,1128.145
1995-08-31,1124.038
1995-09-29,1120.766
1995-10-31,1063.882
1995-11-30,1103.671
1995-12-29,1149.986
1996-01-31,1142.794
1996-02-29,1130.577
1996-03-29,1162.592
1996-04-30,1249.67
1996-05-31,1190.555
1996-06-28,1196.646
1996-07-31,1133.299
1996-08-30,1087.713
1996-09-30,1102.966
1996-10-31,1028.322
1996-11-29,1008.54
1996-12-31,912.719
1997-01-31,828.446
1997-02-28,830.537
1997-03-31,778.723
1997-04-30,800.145
1997-05-30,930.451
1997-06-30,965.622
1997-07-31,920.087
1997-08-29,810.245
1997-09-30,743.725
1997-10-31,730.649
1997-11-28,643.117
1997-12-31,574.144
1998-01-30,645.868
1998-02-27,652.014
1998-03-31,613.4
1998-04-30,611.565
1998-05-29,601.288
1998-06-30,598.667
1998-07-31,600.121
1998-08-31,555.836
1998-09-30,537.114
1998-10-30,600.789
1998-11-30,629.643
1998-12-31,670.639
1999-01-29,674.104
1999-02-26,653.839
1999-03-31,755.088
1999-04-30,794.345
1999-05-31,753.629
1999-06-30,896.167
1999-07-30,995.098
1999-08-31,1108.804
1999-09-30,1184.052
1999-10-29,1258.905
1999-11-30,1419.544
1999-12-31,1461.819
2000-01-31,1392.506
2000-02-29,1405.539
2000-03-31,1390.501
2000-04-28,1240.432
2000-05-31,1122.153
2000-06-30,1195.162
2000-07-31,1010.97
2000-08-31,1135.676
2000-09-29,1075.154
2000-10-31,922.396
2000-11-30,878.807
2000-12-29,794.746
2001-01-31,793.994
2001-02-28,723.987
2001-03-30,709.639
2001-04-30,760.806
2001-05-31,771.918
2001-06-29,725.222
2001-07-31,657.095
2001-08-31,628.742
2001-09-28,583.368
2001-10-31,614.485
2001-11-30,604.176
2001-12-31,555.245
2002-01-31,507.812
2002-02-28,524.43
2002-03-29,557.5
2002-04-30,592.414
2002-05-31,632.824
2002-06-28,603.29
2002-07-31,557.635
2002-08-30,551.888
2002-09-30,516.001
2002-10-31,477.892
2002-11-29,504.165
2002-12-31,488.037
2003-01-31,464.837
2003-02-28,476.214
2003-03-31,453.148
2003-04-30,465.499
2003-05-30,488.711
2003-06-30,522.116
2003-07-31,540.521
2003-08-29,605.369
2003-09-30,644.638
2003-10-31,694.664
2003-11-28,653.818
2003-12-31,699.271
2004-01-30,708.232
2004-02-27,698.042
2004-03-31,806.587
2004-04-30,766.838
2004-05-31,735.998
2004-06-30,794.604
2004-07-30,719.945
2004-08-31,725.631
2004-09-30,702.581
2004-10-29,718.838
2004-11-30,768.734
2004-12-31,801.898
2005-01-31,799.695
2005-02-28,808.605
2005-03-31,794.526
2005-04-29,772.302
2005-05-31,752.146
2005-06-30,758.604
2005-07-29,763.956
2005-08-31,810.802
2005-09-30,884.746
2005-10-31,898.854
2005-11-30,951.767
2005-12-30,1057.469
2006-01-31,1101.845
2006-02-28,1049.809
2006-03-31,1089.584
2006-04-28,1095.064
2006-05-31,1014.099
2006-06-30,991.555
2006-07-31,962.38
2006-08-31,985.633
2006-09-29,981.992
2006-10-31,987.567
2006-11-30,984.396
2006-12-29,983.235
2007-01-31,992.353
2007-02-28,1030.279
2007-03-30,1019.887
2007-04-30,1007.133
2007-05-31,1000.0
2007-06-29,1002.835
2007-07-31,996.104
2007-08-31,965.802
2007-09-28,1001.009
2007-10-31,1006.539
2007-11-30,972.287
2007-12-31,923.472
2008-01-31,857.918
2008-02-29,872.976
2008-03-31,858.593
2008-04-30,896.714
2008-05-30,910.422
2008-06-30,850.838
2008-07-31,823.671
2008-08-29,799.346
2008-09-30,730.817
2008-10-31,614.654
2008-11-28,643.439
2008-12-31,711.609
2009-01-30,645.638
2009-02-27,555.862
2009-03-31,577.115
2009-04-30,601.426
2009-05-29,665.564
2009-06-30,699.707
2009-07-31,719.675
2009-08-31,760.161
2009-09-30,752.656
2009-10-30,718.344
2009-11-30,702.485
2009-12-31,703.284
2010-01-29,702.495
