Date,JAPAN MID VALUE Mid Cap
2001-01-01,493.855
2001-01-02,492.583
2001-01-03,493.057
2001-01-04,482.218
2001-01-05,481.825
2001-01-08,481.721
2001-01-09,473.397
2001-01-10,469.984
2001-01-11,459.591
2001-01-12,459.86
2001-01-15,457.12
2001-01-16,464.057
2001-01-17,462.233
2001-01-18,469.331
2001-01-19,472.379
2001-01-22,474.772
2001-01-23,474.318
2001-01-24,469.08
2001-01-25,474.522
2001-01-26,473.007
2001-01-29,475.281
2001-01-30,476.916
2001-01-31,480.946
2001-02-01,486.531
2001-02-02,482.611
2001-02-05,477.561
2001-02-06,474.53
2001-02-07,471.983
2001-02-08,468.794
2001-02-09,469.852
2001-02-12,469.802
2001-02-13,469.288
2001-02-14,475.119
2001-02-15,479.022
2001-02-16,474.893
2001-02-19,472.434
2001-02-20,478.332
2001-02-21,472.393
2001-02-22,470.86
2001-02-23,477.411
2001-02-26,478.23
2001-02-27,482.518
2001-02-28,473.172
2001-03-01,469.683
2001-03-02,453.336
2001-03-05,452.285
2001-03-06,463.442
2001-03-07,460.533
2001-03-08,462.477
2001-03-09,463.398
2001-03-12,451.017
2001-03-13,441.897
2001-03-14,436.77
2001-03-15,442.633
2001-03-16,436.444
2001-03-19,442.018
2001-03-20,440.503
2001-03-21,461.75
2001-03-22,448.606
2001-03-23,460.099
2001-03-26,479.534
2001-03-27,479.577
2001-03-28,487.82
2001-03-29,471.457
2001-03-30,457.712
2001-04-02,449.27
2001-04-03,465.523
2001-04-04,471.852
2001-04-05,477.686
2001-04-06,479.578
2001-04-09,468.731
2001-04-10,466.915
2001-04-11,471.756
2001-04-12,479.221
2001-04-13,479.936
2001-04-16,475.987
2001-04-17,477.832
2001-04-18,491.66
2001-04-19,496.275
2001-04-20,494.187
2001-04-23,498.4
2001-04-24,500.236
2001-04-25,502.97
2001-04-26,507.189
2001-04-27,503.229
2001-04-30,504.247
2001-05-01,523.628
2001-05-02,522.523
2001-05-03,526.624
2001-05-04,526.711
2001-05-07,524.661
2001-05-08,515.67
2001-05-09,508.98
2001-05-10,506.031
2001-05-11,506.877
2001-05-14,497.956
2001-05-15,500.681
2001-05-16,494.033
2001-05-17,502.048
2001-05-18,499.739
2001-05-21,507.21
2001-05-22,507.796
2001-05-23,515.452
2001-05-24,515.504
2001-05-25,509.006
2001-05-28,505.41
2001-05-29,511.369
2001-05-30,505.157
2001-05-31,507.078
2001-06-01,506.315
2001-06-04,505.984
2001-06-05,500.99
2001-06-06,498.809
2001-06-07,504.177
2001-06-08,504.927
2001-06-11,499.309
2001-06-12,486.426
2001-06-13,489.959
2001-06-14,487.937
2001-06-15,483.092
2001-06-18,479.224
