Date,JAPAN SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.742
2001-01-03,99.838
2001-01-04,97.268
2001-01-05,96.111
2001-01-08,96.09
2001-01-09,94.192
2001-01-10,92.979
2001-01-11,89.879
2001-01-12,90.441
2001-01-15,91.235
2001-01-16,93.862
2001-01-17,93.973
2001-01-18,95.444
2001-01-19,96.919
2001-01-22,96.932
2001-01-23,96.943
2001-01-24,95.611
2001-01-25,97.049
2001-01-26,96.284
2001-01-29,97.351
2001-01-30,97.784
2001-01-31,98.974
2001-02-01,99.953
2001-02-02,99.971
2001-02-05,99.646
2001-02-06,99.184
2001-02-07,98.577
2001-02-08,97.568
2001-02-09,97.666
2001-02-12,97.666
2001-02-13,98.633
2001-02-14,99.965
2001-02-15,101.049
2001-02-16,101.09
2001-02-19,100.042
2001-02-20,101.147
2001-02-21,99.97
2001-02-22,98.609
2001-02-23,100.653
2001-02-26,101.275
2001-02-27,102.368
2001-02-28,100.747
2001-03-01,99.973
2001-03-02,96.452
2001-03-05,95.624
2001-03-06,97.382
2001-03-07,96.913
2001-03-08,97.086
2001-03-09,98.093
2001-03-12,95.259
2001-03-13,93.398
2001-03-14,92.66
2001-03-15,91.903
2001-03-16,91.302
2001-03-19,92.361
2001-03-20,92.045
2001-03-21,96.033
2001-03-22,94.92
2001-03-23,97.668
2001-03-26,101.257
2001-03-27,100.945
2001-03-28,102.565
2001-03-29,100.41
2001-03-30,97.287
2001-04-02,96.825
2001-04-03,98.899
2001-04-04,100.429
2001-04-05,102.063
2001-04-06,102.408
2001-04-09,100.7
2001-04-10,101.375
2001-04-11,102.33
2001-04-12,103.947
2001-04-13,104.703
2001-04-16,104.577
2001-04-17,104.913
2001-04-18,107.419
2001-04-19,108.614
2001-04-20,108.061
2001-04-23,108.917
2001-04-24,109.441
2001-04-25,110.34
2001-04-26,111.357
2001-04-27,110.173
2001-04-30,110.397
2001-05-01,114.644
2001-05-02,114.61
2001-05-03,115.509
2001-05-04,115.529
2001-05-07,114.887
2001-05-08,112.601
2001-05-09,111.201
2001-05-10,110.58
2001-05-11,110.921
2001-05-14,108.656
2001-05-15,108.574
2001-05-16,107.472
2001-05-17,108.8
2001-05-18,108.354
2001-05-21,109.966
2001-05-22,110.315
2001-05-23,112.659
2001-05-24,112.516
2001-05-25,111.586
2001-05-28,110.607
2001-05-29,111.317
2001-05-30,109.445
2001-05-31,109.589
2001-06-01,109.905
2001-06-04,109.553
2001-06-05,108.311
2001-06-06,108.322
2001-06-07,109.316
2001-06-08,109.881
2001-06-11,109.281
2001-06-12,106.677
2001-06-13,107.081
2001-06-14,107.242
2001-06-15,105.206
2001-06-18,104.667
