Date,JAPAN SMALL VALUE Small Cap
2001-01-01,410.502
2001-01-02,409.444
2001-01-03,409.832
2001-01-04,401.428
2001-01-05,398.568
2001-01-08,398.452
2001-01-09,392.28
2001-01-10,390.479
2001-01-11,380.427
2001-01-12,381.002
2001-01-15,379.827
2001-01-16,388.352
2001-01-17,388.948
2001-01-18,394.518
2001-01-19,398.845
2001-01-22,399.813
2001-01-23,400.193
2001-01-24,395.894
2001-01-25,401.262
2001-01-26,398.553
2001-01-29,400.443
2001-01-30,401.988
2001-01-31,405.449
2001-02-01,409.874
2001-02-02,409.853
2001-02-05,409.893
2001-02-06,409.206
2001-02-07,406.404
2001-02-08,403.5
2001-02-09,401.858
2001-02-12,401.868
2001-02-13,404.93
2001-02-14,410.053
2001-02-15,415.822
2001-02-16,415.517
2001-02-19,412.373
2001-02-20,417.219
2001-02-21,412.896
2001-02-22,409.966
2001-02-23,415.942
2001-02-26,417.635
2001-02-27,421.03
2001-02-28,414.473
2001-03-01,413.051
2001-03-02,400.526
2001-03-05,397.786
2001-03-06,403.67
2001-03-07,401.874
2001-03-08,403.491
2001-03-09,406.666
2001-03-12,397.345
2001-03-13,390.857
2001-03-14,388.203
2001-03-15,386.198
2001-03-16,384.512
2001-03-19,389.197
2001-03-20,387.913
2001-03-21,400.571
2001-03-22,396.449
2001-03-23,406.083
2001-03-26,420.075
2001-03-27,420.335
2001-03-28,425.979
2001-03-29,417.272
2001-03-30,405.266
2001-04-02,400.979
2001-04-03,410.249
2001-04-04,415.679
2001-04-05,422.493
2001-04-06,423.723
2001-04-09,417.445
2001-04-10,419.046
2001-04-11,421.355
2001-04-12,427.497
2001-04-13,428.733
2001-04-16,427.891
2001-04-17,430.699
2001-04-18,439.643
2001-04-19,444.158
2001-04-20,440.724
2001-04-23,444.743
2001-04-24,446.922
2001-04-25,450.6
2001-04-26,455.713
2001-04-27,450.677
2001-04-30,451.574
2001-05-01,467.401
2001-05-02,468.206
2001-05-03,471.89
2001-05-04,471.968
2001-05-07,471.45
2001-05-08,464.565
2001-05-09,459.885
2001-05-10,459.005
2001-05-11,459.881
2001-05-14,453.388
2001-05-15,453.402
2001-05-16,450.058
2001-05-17,455.845
2001-05-18,454.295
2001-05-21,458.834
2001-05-22,459.804
2001-05-23,468.971
2001-05-24,469.044
2001-05-25,466.924
2001-05-28,463.528
2001-05-29,467.1
2001-05-30,462.076
2001-05-31,463.61
2001-06-01,465.643
2001-06-04,463.51
2001-06-05,459.263
2001-06-06,458.493
2001-06-07,462.403
2001-06-08,463.513
2001-06-11,460.56
2001-06-12,452.709
2001-06-13,454.147
2001-06-14,454.728
2001-06-15,447.118
2001-06-18,445.513
2001-06-19,445.396
2001-06-20,442.177
2001-06-21,443.306
2001-06-22,451.39
2001-06-25,456.13
2001-06-26,459.926
2001-06-27,457.471
2001-06-28,453.069
2001-06-29,458.494
2001-07-02,455.874
2001-07-03,456.995
2001-07-04,453.695
2001-07-05,449.713
2001-07-06,444.047
2001-07-09,437.998
2001-07-10,440.569
2001-07-11,441.014
2001-07-12,445.746
2001-07-13,443.834
2001-07-16,442.081
2001-07-17,439.106
2001-07-18,436.965
2001-07-19,438.675
2001-07-20,440.082
2001-07-23,427.534
2001-07-24,430.566
2001-07-25,434.68
2001-07-26,436.123
2001-07-27,437.295
2001-07-30,426.738
2001-07-31,432.241
2001-08-01,437.388
2001-08-02,446.964
2001-08-03,444.313
2001-08-06,443.754
2001-08-07,445.738
2001-08-08,446.616
2001-08-09,440.488
2001-08-10,445.882
2001-08-13,441.053
2001-08-14,447.734
2001-08-15,456.331
2001-08-16,453.949
2001-08-17,452.779
2001-08-20,447.276
2001-08-21,452.454
2001-08-22,454.752
2001-08-23,452.735
2001-08-24,452.677
2001-08-27,454.408
2001-08-28,451.627
2001-08-29,450.343
2001-08-30,444.163
2001-08-31,442.782
2001-09-03,432.953
2001-09-04,434.204
2001-09-05,424.32
2001-09-06,422.22
2001-09-07,421.388
2001-09-10,410.751
2001-09-11,416.301
2001-09-12,386.642
2001-09-13,391.976
2001-09-14,408.908
2001-09-17,393.498
2001-09-18,400.374
2001-09-19,407.886
2001-09-20,408.773
2001-09-21,404.058
2001-09-24,401.089
2001-09-25,408.424
2001-09-26,407.648
2001-09-27,401.679
2001-09-28,410.661
2001-10-01,414.84
2001-10-02,417.467
2001-10-03,418.264
2001-10-04,422.86
2001-10-05,420.735
2001-10-08,422.171
2001-10-09,415.883
2001-10-10,412.962
2001-10-11,414.206
2001-10-12,417.846
2001-10-15,417.093
2001-10-16,416.244
2001-10-17,417.551
2001-10-18,412.204
2001-10-19,411.669
2001-10-22,411.946
2001-10-23,414.168
2001-10-24,417.613
2001-10-25,424.201
2001-10-26,422.135
2001-10-29,421.924
2001-10-30,418.657
2001-10-31,415.487
2001-11-01,412.855
2001-11-02,411.217
2001-11-05,413.546
2001-11-06,416.433
2001-11-07,414.342
2001-11-08,414.874
2001-11-09,410.466
2001-11-12,408.029
2001-11-13,402.035
2001-11-14,400.944
2001-11-15,401.849
2001-11-16,401.033
2001-11-19,398.613
2001-11-20,399.699
2001-11-21,399.029
2001-11-22,397.878
2001-11-23,396.041
2001-11-26,402.554
2001-11-27,400.992
2001-11-28,396.697
2001-11-29,392.871
2001-11-30,394.28
2001-12-03,387.498
2001-12-04,385.998
2001-12-05,387.655
2001-12-06,388.473
2001-12-07,380.845
2001-12-10,377.089
2001-12-11,371.654
2001-12-12,376.287
2001-12-13,373.529
2001-12-14,364.972
2001-12-17,358.737
2001-12-18,355.815
2001-12-19,351.52
2001-12-20,356.495
2001-12-21,354.952
2001-12-24,353.846
2001-12-25,355.109
2001-12-26,349.871
2001-12-27,351.384
2001-12-28,358.47
2001-12-31,358.825
2002-01-01,358.825
2002-01-02,355.946
2002-01-03,357.094
2002-01-04,359.239
2002-01-07,358.384
2002-01-08,348.909
2002-01-09,347.657
2002-01-10,342.638
2002-01-11,341.109
2002-01-14,342.093
2002-01-15,339.285
2002-01-16,338.951
2002-01-17,336.884
2002-01-18,342.934
2002-01-21,347.889
2002-01-22,339.973
2002-01-23,337.846
2002-01-24,337.277
2002-01-25,337.189
2002-01-28,341.534
2002-01-29,338.605
2002-01-30,338.93
2002-01-31,336.95
2002-02-01,334.893
2002-02-04,334.886
2002-02-05,328.907
2002-02-06,328.531
2002-02-07,330.05
2002-02-08,328.907
2002-02-11,331.805
2002-02-12,341.654
2002-02-13,345.649
2002-02-14,348.448
2002-02-15,347.422
2002-02-18,348.455
2002-02-19,341.694
2002-02-20,341.115
2002-02-21,345.96
2002-02-22,348.343
2002-02-25,347.935
2002-02-26,347.087
2002-02-27,354.603
2002-02-28,358.355
2002-03-01,362.94
2002-03-04,375.522
2002-03-05,372.404
2002-03-06,373.745
2002-03-07,388.215
2002-03-08,385.813
2002-03-11,392.632
2002-03-12,387.108
2002-03-13,378.859
2002-03-14,380.262
2002-03-15,383.522
2002-03-18,377.124
2002-03-19,381.17
2002-03-20,380.392
2002-03-21,378.84
2002-03-22,374.459
2002-03-25,372.547
2002-03-26,372.641
2002-03-27,377.728
2002-03-28,375.575
2002-03-29,370.121
2002-04-01,364.866
2002-04-02,365.982
2002-04-03,372.012
2002-04-04,378.496
2002-04-05,381.645
2002-04-08,383.877
2002-04-09,380.416
2002-04-10,385.184
2002-04-11,378.702
2002-04-12,375.75
2002-04-15,376.669
2002-04-16,380.956
2002-04-17,383.975
2002-04-18,386.894
2002-04-19,387.116
2002-04-22,391.345
2002-04-23,391.044
2002-04-24,390.209
2002-04-25,394.424
2002-04-26,392.456
2002-04-29,391.761
2002-04-30,388.928
2002-05-01,393.419
2002-05-02,392.559
2002-05-03,395.558
2002-05-06,394.316
2002-05-07,388.9
2002-05-08,388.293
2002-05-09,390.402
2002-05-10,392.213
2002-05-13,390.32
2002-05-14,386.743
2002-05-15,392.323
2002-05-16,397.687
2002-05-17,404.708
2002-05-20,409.126
2002-05-21,417.682
2002-05-22,423.031
2002-05-23,423.484
2002-05-24,428.26
2002-05-27,430.461
2002-05-28,432.117
2002-05-29,430.402
2002-05-30,433.797
2002-05-31,429.984
2002-06-03,436.027
2002-06-04,431.538
2002-06-05,430.828
2002-06-06,426.435
2002-06-07,425.95
2002-06-10,425.077
2002-06-11,424.572
2002-06-12,422.057
2002-06-13,416.426
2002-06-14,414.713
2002-06-17,401.817
2002-06-18,406.529
2002-06-19,399.896
2002-06-20,405.742
2002-06-21,408.224
2002-06-24,412.348
2002-06-25,411.557
2002-06-26,413.063
2002-06-27,409.925
2002-06-28,418.077
2002-07-01,421.531
2002-07-02,422.0
2002-07-03,432.48
2002-07-04,428.949
2002-07-05,430.462
2002-07-08,432.995
2002-07-09,442.155
2002-07-10,438.619
2002-07-11,436.661
2002-07-12,437.102
2002-07-15,433.621
2002-07-16,428.649
2002-07-17,427.573
2002-07-18,433.157
2002-07-19,430.774
2002-07-22,429.803
2002-07-23,427.982
2002-07-24,431.608
2002-07-25,427.774
2002-07-26,411.521
2002-07-29,408.464
2002-07-30,411.998
2002-07-31,411.608
2002-08-01,410.451
2002-08-02,410.232
2002-08-05,409.754
2002-08-06,396.435
2002-08-07,402.726
2002-08-08,403.649
2002-08-09,414.51
2002-08-12,409.18
2002-08-13,407.071
2002-08-14,417.808
2002-08-15,417.574
2002-08-16,418.281
2002-08-19,409.164
2002-08-20,407.896
2002-08-21,408.214
2002-08-22,408.71
2002-08-23,406.569
2002-08-26,413.446
2002-08-27,412.977
2002-08-28,410.423
2002-08-29,404.855
2002-08-30,407.82
2002-09-02,404.923
2002-09-03,399.597
2002-09-04,390.567
2002-09-05,393.511
2002-09-06,390.373
2002-09-09,394.831
2002-09-10,395.344
2002-09-11,394.264
2002-09-12,396.641
2002-09-13,391.178
2002-09-16,387.479
2002-09-17,396.476
2002-09-18,397.669
2002-09-19,405.097
2002-09-20,396.668
2002-09-23,395.018
2002-09-24,396.11
2002-09-25,393.744
2002-09-26,398.956
2002-09-27,403.674
2002-09-30,403.237
2002-10-01,395.119
2002-10-02,389.045
2002-10-03,387.524
2002-10-04,385.594
2002-10-07,368.549
2002-10-08,368.164
2002-10-09,362.809
2002-10-10,360.56
2002-10-11,365.311
2002-10-14,365.049
2002-10-15,370.126
2002-10-16,372.154
2002-10-17,372.63
2002-10-18,372.541
2002-10-21,376.822
2002-10-22,367.125
2002-10-23,372.054
2002-10-24,367.608
2002-10-25,374.785
2002-10-28,375.243
2002-10-29,376.952
2002-10-30,379.247
2002-10-31,377.707
2002-11-01,377.77
2002-11-04,377.092
2002-11-05,385.145
2002-11-06,383.735
2002-11-07,386.272
2002-11-08,386.873
2002-11-11,378.629
2002-11-12,380.213
2002-11-13,373.813
2002-11-14,366.613
2002-11-15,367.662
2002-11-18,358.282
2002-11-19,349.348
2002-11-20,354.404
2002-11-21,357.795
2002-11-22,362.365
2002-11-25,370.166
2002-11-26,367.875
2002-11-27,370.367
2002-11-28,372.858
2002-11-29,376.494
2002-12-02,369.083
2002-12-03,368.591
2002-12-04,363.984
2002-12-05,361.099
2002-12-06,361.861
2002-12-09,360.466
2002-12-10,362.074
2002-12-11,361.281
2002-12-12,361.319
2002-12-13,363.546
2002-12-16,357.106
2002-12-17,358.918
2002-12-18,350.421
2002-12-19,354.837
2002-12-20,356.391
2002-12-23,357.458
2002-12-24,358.981
2002-12-25,360.237
2002-12-26,368.165
2002-12-27,375.347
2002-12-30,378.98
2002-12-31,378.517
2003-01-01,378.517
2003-01-02,374.963
2003-01-03,375.009
2003-01-06,385.744
2003-01-07,377.56
2003-01-08,373.465
2003-01-09,374.821
2003-01-10,374.386
2003-01-13,376.259
2003-01-14,383.212
2003-01-15,386.455
2003-01-16,386.421
2003-01-17,387.711
2003-01-20,387.929
2003-01-21,390.623
2003-01-22,386.847
2003-01-23,392.205
2003-01-24,391.864
2003-01-27,386.471
2003-01-28,384.369
2003-01-29,379.443
2003-01-30,375.574
2003-01-31,371.247
2003-02-03,377.494
2003-02-04,383.205
2003-02-05,385.783
2003-02-06,385.502
2003-02-07,384.996
2003-02-10,385.068
2003-02-11,383.878
2003-02-12,390.978
2003-02-13,391.155
2003-02-14,393.734
2003-02-17,397.781
2003-02-18,402.882
2003-02-19,403.242
2003-02-20,402.566
2003-02-21,397.962
2003-02-24,399.802
2003-02-25,393.361
2003-02-26,394.285
2003-02-27,394.172
2003-02-28,393.848
2003-03-03,398.52
2003-03-04,401.735
2003-03-05,402.159
2003-03-06,401.558
2003-03-07,395.206
2003-03-10,388.445
2003-03-11,384.966
2003-03-12,384.91
2003-03-13,382.852
2003-03-14,381.215
2003-03-17,377.733
2003-03-18,379.062
2003-03-19,377.549
2003-03-20,383.282
2003-03-21,379.196
2003-03-24,393.824
2003-03-25,392.261
2003-03-26,396.551
2003-03-27,400.39
2003-03-28,398.581
2003-03-31,393.139
2003-04-01,395.049
2003-04-02,397.968
2003-04-03,394.279
2003-04-04,395.35
2003-04-07,398.766
2003-04-08,397.644
2003-04-09,398.333
2003-04-10,400.239
2003-04-11,396.588
2003-04-14,395.154
2003-04-15,399.947
2003-04-16,400.897
2003-04-17,404.505
2003-04-18,405.995
2003-04-21,408.457
2003-04-22,406.098
2003-04-23,403.314
2003-04-24,404.123
2003-04-25,400.58
2003-04-28,398.686
2003-04-29,399.232
2003-04-30,407.438
2003-05-01,415.242
2003-05-02,413.651
2003-05-05,414.627
2003-05-06,420.89
2003-05-07,425.866
2003-05-08,422.563
2003-05-09,426.296
2003-05-12,429.54
2003-05-13,430.789
2003-05-14,434.52
2003-05-15,432.951
2003-05-16,434.261
2003-05-19,426.829
2003-05-20,427.596
2003-05-21,423.41
2003-05-22,424.658
2003-05-23,429.673
2003-05-26,430.389
2003-05-27,425.074
2003-05-28,422.974
2003-05-29,427.252
2003-05-30,423.676
2003-06-02,430.203
2003-06-03,430.023
2003-06-04,430.156
2003-06-05,439.108
2003-06-06,439.358
2003-06-09,444.579
2003-06-10,445.827
2003-06-11,447.925
2003-06-12,446.472
2003-06-13,450.526
2003-06-16,448.881
2003-06-17,448.516
2003-06-18,448.918
2003-06-19,448.94
2003-06-20,451.921
2003-06-23,459.228
2003-06-24,453.301
2003-06-25,459.362
2003-06-26,454.617
2003-06-27,460.511
2003-06-30,460.723
2003-07-01,468.61
2003-07-02,475.888
2003-07-03,472.697
2003-07-04,474.915
2003-07-07,478.294
2003-07-08,476.48
2003-07-09,479.441
2003-07-10,481.299
2003-07-11,474.362
2003-07-14,479.537
2003-07-15,479.163
2003-07-16,470.614
2003-07-17,460.571
2003-07-18,461.567
2003-07-21,463.242
2003-07-22,459.289
2003-07-23,468.678
2003-07-24,469.091
2003-07-25,469.096
