Date,JAPAN SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,753.384
2001-01-02,751.442
2001-01-03,752.165
2001-01-04,735.739
2001-01-05,731.202
2001-01-08,731.051
2001-01-09,711.335
2001-01-10,698.648
2001-01-11,669.482
2001-01-12,675.846
2001-01-15,687.599
2001-01-16,707.546
2001-01-17,712.148
2001-01-18,727.912
2001-01-19,741.732
2001-01-22,740.417
2001-01-23,737.901
2001-01-24,733.413
2001-01-25,748.912
2001-01-26,741.679
2001-01-29,741.696
2001-01-30,745.511
2001-01-31,754.997
2001-02-01,763.723
2001-02-02,764.961
2001-02-05,756.402
2001-02-06,756.358
2001-02-07,751.982
2001-02-08,743.509
2001-02-09,743.436
2001-02-12,743.328
2001-02-13,743.582
2001-02-14,748.537
2001-02-15,757.824
2001-02-16,756.996
2001-02-19,744.753
2001-02-20,756.013
2001-02-21,743.064
2001-02-22,735.976
2001-02-23,746.581
2001-02-26,741.963
2001-02-27,743.596
2001-02-28,723.578
2001-03-01,713.853
2001-03-02,687.43
2001-03-05,680.571
2001-03-06,701.142
2001-03-07,704.508
2001-03-08,705.031
2001-03-09,704.833
2001-03-12,681.501
2001-03-13,664.488
2001-03-14,659.0
2001-03-15,661.92
2001-03-16,660.237
2001-03-19,667.307
2001-03-20,665.036
2001-03-21,687.935
2001-03-22,678.785
2001-03-23,700.416
2001-03-26,730.283
2001-03-27,729.404
2001-03-28,748.137
2001-03-29,724.773
2001-03-30,704.274
2001-04-02,696.219
2001-04-03,708.379
2001-04-04,709.47
2001-04-05,721.073
2001-04-06,726.877
2001-04-09,711.005
2001-04-10,706.929
2001-04-11,712.336
2001-04-12,724.071
2001-04-13,726.454
2001-04-16,719.686
2001-04-17,720.982
2001-04-18,741.815
2001-04-19,756.164
2001-04-20,751.829
2001-04-23,758.326
2001-04-24,757.268
2001-04-25,761.429
2001-04-26,766.575
2001-04-27,757.836
2001-04-30,759.371
2001-05-01,789.418
2001-05-02,794.159
2001-05-03,800.405
2001-05-04,800.537
2001-05-07,807.058
2001-05-08,797.516
2001-05-09,787.78
2001-05-10,781.222
2001-05-11,783.113
2001-05-14,770.036
2001-05-15,774.997
2001-05-16,762.905
2001-05-17,773.788
2001-05-18,770.597
2001-05-21,784.048
2001-05-22,784.988
2001-05-23,798.152
2001-05-24,796.803
2001-05-25,789.694
2001-05-28,782.269
2001-05-29,789.706
2001-05-30,775.325
2001-05-31,773.654
2001-06-01,774.838
2001-06-04,772.173
2001-06-05,764.504
2001-06-06,762.408
2001-06-07,770.411
2001-06-08,772.628
2001-06-11,765.453
2001-06-12,745.519
2001-06-13,749.473
2001-06-14,748.73
2001-06-15,735.43
2001-06-18,726.021
2001-06-19,723.698
2001-06-20,718.836
2001-06-21,721.446
2001-06-22,733.586
2001-06-25,733.546
2001-06-26,735.644
2001-06-27,729.359
2001-06-28,721.22
2001-06-29,731.457
2001-07-02,725.513
2001-07-03,727.339
2001-07-04,718.592
2001-07-05,709.219
2001-07-06,698.482
2001-07-09,686.278
2001-07-10,689.561
2001-07-11,685.948
2001-07-12,698.073
2001-07-13,695.002
2001-07-16,690.162
2001-07-17,682.461
2001-07-18,675.728
2001-07-19,678.445
2001-07-20,680.622
2001-07-23,659.01
2001-07-24,665.665
2001-07-25,671.536
2001-07-26,673.623
2001-07-27,674.155
2001-07-30,653.389
2001-07-31,664.667
2001-08-01,672.807
2001-08-02,693.112
2001-08-03,690.268
2001-08-06,687.878
2001-08-07,690.315
2001-08-08,689.954
2001-08-09,675.609
2001-08-10,681.486
2001-08-13,670.942
2001-08-14,681.972
2001-08-15,694.4
2001-08-16,684.883
2001-08-17,684.696
2001-08-20,671.754
2001-08-21,676.665
2001-08-22,676.916
2001-08-23,667.858
2001-08-24,665.257
2001-08-27,667.975
2001-08-28,660.893
2001-08-29,659.417
2001-08-30,651.188
2001-08-31,649.09
2001-09-03,631.693
2001-09-04,636.727
2001-09-05,622.986
2001-09-06,622.049
2001-09-07,623.099
2001-09-10,608.863
2001-09-11,617.923
2001-09-12,571.137
2001-09-13,579.627
2001-09-14,603.182
2001-09-17,574.773
2001-09-18,588.764
2001-09-19,598.767
2001-09-20,597.048
2001-09-21,586.044
2001-09-24,581.725
2001-09-25,592.1
2001-09-26,590.64
2001-09-27,583.148
2001-09-28,598.468
2001-10-01,603.137
2001-10-02,610.05
2001-10-03,610.627
2001-10-04,620.706
2001-10-05,621.536
2001-10-08,623.68
2001-10-09,614.126
2001-10-10,611.421
2001-10-11,618.229
2001-10-12,623.945
2001-10-15,623.034
2001-10-16,627.516
2001-10-17,637.297
2001-10-18,628.424
2001-10-19,631.159
2001-10-22,630.845
2001-10-23,634.347
2001-10-24,637.574
2001-10-25,645.399
2001-10-26,642.24
2001-10-29,640.429
2001-10-30,632.498
2001-10-31,627.151
2001-11-01,623.717
2001-11-02,622.593
2001-11-05,623.2
2001-11-06,632.026
2001-11-07,625.999
2001-11-08,626.963
2001-11-09,621.312
2001-11-12,617.279
2001-11-13,606.017
2001-11-14,608.038
2001-11-15,613.827
2001-11-16,613.861
2001-11-19,611.903
2001-11-20,610.875
2001-11-21,609.438
2001-11-22,607.566
2001-11-23,604.78
2001-11-26,617.172
2001-11-27,616.979
2001-11-28,610.555
2001-11-29,603.498
2001-11-30,604.804
2001-12-03,592.28
2001-12-04,590.134
2001-12-05,596.143
2001-12-06,600.591
2001-12-07,590.526
2001-12-10,580.835
2001-12-11,572.826
2001-12-12,583.447
2001-12-13,577.029
2001-12-14,564.378
2001-12-17,551.571
2001-12-18,548.348
2001-12-19,542.421
2001-12-20,546.461
2001-12-21,539.849
2001-12-24,538.166
2001-12-25,537.907
2001-12-26,532.344
2001-12-27,536.904
2001-12-28,546.584
2001-12-31,547.006
2002-01-01,547.006
2002-01-02,542.618
2002-01-03,544.369
2002-01-04,552.741
2002-01-07,552.379
2002-01-08,538.575
2002-01-09,539.936
2002-01-10,534.039
2002-01-11,531.851
2002-01-14,533.43
2002-01-15,524.461
2002-01-16,521.357
2002-01-17,518.54
2002-01-18,528.325
2002-01-21,532.314
2002-01-22,516.914
2002-01-23,513.559
2002-01-24,511.528
2002-01-25,513.808
2002-01-28,520.047
2002-01-29,513.081
2002-01-30,511.624
2002-01-31,509.073
2002-02-01,500.665
2002-02-04,494.124
2002-02-05,482.844
2002-02-06,484.299
2002-02-07,488.167
2002-02-08,487.716
2002-02-11,492.059
2002-02-12,507.227
2002-02-13,510.471
2002-02-14,514.442
2002-02-15,512.668
2002-02-18,513.179
2002-02-19,500.339
