Date,KOKUSAI INDEX (WORLD ex JP) LARGE CAP Large Cap
1994-05-31,251.184
1994-06-30,245.422
1994-07-29,255.647
1994-08-31,265.449
1994-09-30,258.166
1994-10-31,265.847
1994-11-30,255.648
1994-12-30,257.821
1995-01-31,259.532
1995-02-28,268.343
1995-03-31,277.719
1995-04-28,285.82
1995-05-31,295.644
1995-06-30,300.724
1995-07-31,313.213
1995-08-31,309.69
1995-09-29,321.753
1995-10-31,321.291
1995-11-30,330.657
1995-12-29,338.18
1996-01-31,347.308
1996-02-29,351.968
1996-03-29,354.929
1996-04-30,359.886
1996-05-31,367.377
1996-06-28,369.154
1996-07-31,356.444
1996-08-30,366.419
1996-09-30,382.117
1996-10-31,391.872
1996-11-29,417.961
1996-12-31,416.258
1997-01-31,431.255
1997-02-28,434.393
1997-03-31,426.916
1997-04-30,440.954
1997-05-30,466.88
1997-06-30,488.12
1997-07-31,520.643
1997-08-29,489.717
1997-09-30,523.083
1997-10-31,499.227
1997-11-28,515.091
1997-12-31,528.249
1998-01-30,538.655
1998-02-27,580.171
1998-03-31,612.947
1998-04-30,619.945
1998-05-29,616.999
1998-06-30,635.916
1998-07-31,636.213
1998-08-31,548.996
1998-09-30,563.595
1998-10-30,609.801
1998-11-30,646.361
1998-12-31,682.196
1999-01-29,701.164
1999-02-26,681.488
1999-03-31,703.829
1999-04-30,731.801
1999-05-31,705.656
1999-06-30,733.812
1999-07-30,720.433
1999-08-31,719.507
1999-09-30,706.37
1999-10-29,745.728
1999-11-30,766.959
1999-12-31,830.366
2000-01-31,783.913
2000-02-29,792.583
2000-03-31,835.995
2000-04-28,796.413
2000-05-31,775.627
2000-06-30,805.582
2000-07-31,791.73
2000-08-31,825.013
2000-09-29,780.048
2000-10-31,768.136
2000-11-30,708.529
2000-12-29,728.433
2001-01-31,745.221
2001-02-28,671.446
2001-03-30,621.648
2001-04-30,669.13
2001-05-31,658.248
2001-06-29,639.482
2001-07-31,634.423
2001-08-31,601.434
2001-09-28,549.679
2001-10-31,562.607
2001-11-30,598.979
2001-12-31,606.462
2002-01-31,587.998
2002-02-28,578.461
2002-03-29,602.506
2002-04-30,575.793
2002-05-31,573.242
2002-06-28,537.846
2002-07-31,494.952
2002-08-30,497.596
2002-09-30,439.499
2002-10-31,480.497
2002-11-29,505.026
2002-12-31,478.943
2003-01-31,463.644
2003-02-28,455.245
2003-03-31,455.695
2003-04-30,499.5
2003-05-30,525.312
2003-06-30,532.518
2003-07-31,540.152
2003-08-29,545.077
2003-09-30,545.348
2003-10-31,575.908
2003-11-28,586.158
2003-12-31,623.806
2004-01-30,632.731
2004-02-27,643.691
2004-03-31,628.853
2004-04-30,619.473
2004-05-31,626.947
2004-06-30,636.126
2004-07-30,618.249
2004-08-31,620.953
2004-09-30,633.064
2004-10-29,646.934
2004-11-30,677.546
2004-12-31,701.613
2005-01-31,685.315
2005-02-28,706.606
2005-03-31,692.584
2005-04-29,680.115
2005-05-31,693.004
2005-06-30,697.748
2005-07-29,722.476
2005-08-31,722.671
2005-09-30,734.392
2005-10-31,718.307
2005-11-30,738.801
2005-12-30,747.256
2006-01-31,776.107
2006-02-28,775.648
2006-03-31,790.507
2006-04-28,813.97
2006-05-31,791.327
2006-06-30,793.038
2006-07-31,803.612
2006-08-31,825.206
2006-09-29,837.992
2006-10-31,869.134
2006-11-30,888.644
2006-12-29,907.135
2007-01-31,915.963
2007-02-28,902.899
2007-03-30,922.468
2007-04-30,971.642
2007-05-31,1000.0
2007-06-29,992.865
2007-07-31,970.181
2007-08-31,974.912
2007-09-28,1027.159
2007-10-31,1063.369
2007-11-30,1022.502
2007-12-31,1011.865
2008-01-31,931.464
2008-02-29,923.129
2008-03-31,917.57
2008-04-30,963.588
2008-05-30,974.418
2008-06-30,896.266
2008-07-31,879.976
2008-08-29,868.582
2008-09-30,769.446
2008-10-31,626.686
2008-11-28,582.831
2008-12-31,596.14
2009-01-30,540.631
2009-02-27,486.477
2009-03-31,527.016
2009-04-30,583.541
2009-05-29,636.379
2009-06-30,632.458
2009-07-31,688.44
2009-08-31,715.454
2009-09-30,746.562
2009-10-30,736.119
2009-11-30,771.289
2009-12-31,782.758
2010-01-29,744.434
2010-02-26,753.822
2010-03-31,800.324
2010-04-30,797.68
2010-05-31,719.628
2010-06-30,693.927
2010-07-30,753.517
2010-08-31,724.018
2010-09-30,792.916
2010-10-29,823.837
2010-11-30,799.865
2010-12-31,857.468
2011-01-31,879.829
2011-02-28,909.039
2011-03-31,906.269
2011-04-29,948.854
2011-05-31,927.601
2011-06-30,911.557
2011-07-29,891.457
2011-08-31,830.327
2011-09-30,756.243
2011-10-31,841.559
2011-11-30,823.274
2011-12-30,824.008
2012-01-31,863.553
2012-02-29,905.094
2012-03-30,917.475
2012-04-30,908.961
2012-05-31,832.511
2012-06-29,876.886
2012-07-31,892.107
2012-08-31,916.508
2012-09-28,941.814
2012-10-31,936.079
2012-11-30,946.112
2012-12-31,959.044
2013-01-31,1008.297
2013-02-28,1006.605
2013-03-29,1026.962
2013-04-30,1054.649
2013-05-31,1060.565
2013-06-28,1029.783
2013-07-31,1087.64
2013-08-30,1064.114
2013-09-30,1112.195
2013-10-31,1162.313
2013-11-29,1186.196
2013-12-31,1211.482
2014-01-31,1164.063
2014-02-28,1225.766
2014-03-31,1230.908
2014-04-30,1250.041
2014-05-30,1272.198
2014-06-30,1290.083
2014-07-31,1269.907
2014-08-29,1302.045
2014-09-30,1268.875
2014-10-31,1277.786
2014-11-28,1305.3
2014-12-31,1281.776
2015-01-30,1252.341
2015-02-27,1324.811
2015-03-31,1298.199
2015-04-30,1328.309
2015-05-29,1331.377
2015-06-30,1299.56
2015-07-31,1327.341
2015-08-31,1235.399
2015-09-30,1194.725
2015-10-30,1289.464
2015-11-30,1282.987
2015-12-31,1258.994
2016-01-29,1190.186
2016-02-29,1179.861
2016-03-31,1258.478
2016-04-29,1273.926
2016-05-31,1283.676
2016-06-30,1273.654
2016-07-29,1321.529
2016-08-31,1322.781
2016-09-30,1327.616
2016-10-31,1300.64
2016-11-30,1322.346
2016-12-30,1359.436
2017-01-31,1387.661
2017-02-28,1430.351
2017-03-31,1447.907
2017-04-28,1468.592
2017-05-31,1499.329
2017-06-30,1503.465
2017-07-31,1540.184
2017-08-31,1543.329
2017-09-29,1577.896
2017-10-31,1604.513
2017-11-30,1637.43
2017-12-29,1659.943
2018-01-31,1751.132
2018-02-28,1674.257
2018-03-30,1632.882
2018-04-30,1653.356
2018-05-31,1666.311
2018-06-29,1670.67
2018-07-31,1730.436
2018-08-31,1754.381
2018-09-28,1763.965
2018-10-31,1643.15
2018-11-30,1665.726
2018-12-31,1538.058
2019-01-31,1654.473
2019-02-28,1707.278
2019-03-29,1733.653
2019-04-30,1798.699
2019-05-31,1691.036
2019-06-28,1806.962
2019-07-31,1817.44
2019-08-30,1780.889
2019-09-30,1815.289
2019-10-31,1858.02
2019-11-29,1913.366
2019-12-31,1974.539
2020-01-31,1965.522
2020-02-28,1802.351
2020-03-31,1572.951
2020-04-30,1748.5
2020-05-29,1824.386
2020-06-30,1877.618
2020-07-31,1975.374
2020-08-31,2114.461
2020-09-30,2028.938
2020-10-30,1955.413
2020-11-30,2199.213
2020-12-31,2288.503
2021-01-29,2263.986
2021-02-26,2317.279
2021-03-31,2404.659
2021-04-30,2527.826
2021-05-31,2562.93
2021-06-30,2610.342
2021-07-30,2666.191
2021-08-31,2731.258
2021-09-30,2603.682
2021-10-29,2772.956
2021-11-30,2719.27
2021-12-31,2840.589
2022-01-31,2701.043
2022-02-28,2622.16
2022-03-31,2706.209
2022-04-29,2478.391
2022-05-31,2479.226
2022-06-30,2270.39
2022-07-29,2452.264
2022-08-31,2344.781
2022-09-30,2132.777
2022-10-31,2291.277
2022-11-30,2444.255
2022-12-30,2328.905
2023-01-31,2488.253
2023-02-28,2432.034
2023-03-31,2525.008
2023-04-28,2577.542
2023-05-31,2557.636
2023-06-30,2713.554
2023-07-31,2801.409
2023-08-31,2741.142
2023-09-29,2621.226
2023-10-31,2558.724
2023-11-30,2796.033
2023-12-29,2922.492
2024-01-31,2964.621
2024-02-29,3093.163
2024-03-29,3188.247
2024-04-30,3075.946
2024-05-31,3227.268
2024-06-28,3318.108
2024-07-31,3353.411
2024-08-30,3446.853
2024-09-30,3511.384
2024-10-31,3447.481
2024-11-29,3603.367
2024-12-31,3525.465
2025-01-31,3649.274
2025-02-28,3629.592
2025-03-31,3450.826
2025-04-30,3472.309
2025-05-30,3682.893
2025-06-30,3851.259
2025-07-31,3909.02
2025-08-29,4001.72
2025-09-30,4148.334
2025-10-31,4241.251
2025-11-28,4253.573
2025-12-31,4288.019
