Date,KOKUSAI INDEX (WORLD ex JP) MID CAP Mid Cap
2001-01-01,472.41
2001-01-02,459.611
2001-01-03,467.928
2001-01-04,465.51
2001-01-05,458.386
2001-01-08,455.998
2001-01-09,455.564
2001-01-10,461.704
2001-01-11,468.307
2001-01-12,469.581
2001-01-15,468.642
2001-01-16,467.848
2001-01-17,471.554
2001-01-18,474.511
2001-01-19,472.262
2001-01-22,473.169
2001-01-23,480.042
2001-01-24,479.069
2001-01-25,477.839
2001-01-26,478.442
2001-01-29,483.337
2001-01-30,486.318
2001-01-31,486.505
2001-02-01,487.858
2001-02-02,480.786
2001-02-05,480.771
2001-02-06,482.577
2001-02-07,479.674
2001-02-08,476.743
2001-02-09,474.054
2001-02-12,476.591
2001-02-13,473.792
2001-02-14,473.272
2001-02-15,475.065
2001-02-16,470.575
2001-02-19,470.634
2001-02-20,463.138
2001-02-21,458.494
2001-02-22,454.812
2001-02-23,453.774
2001-02-26,461.35
2001-02-27,458.861
2001-02-28,454.709
2001-03-01,453.715
2001-03-02,455.475
2001-03-05,455.601
2001-03-06,461.184
2001-03-07,462.755
2001-03-08,461.494
2001-03-09,454.241
2001-03-12,440.809
2001-03-13,438.056
2001-03-14,429.223
2001-03-15,428.819
2001-03-16,419.79
2001-03-19,424.652
2001-03-20,421.643
2001-03-21,412.475
2001-03-22,402.715
2001-03-23,412.238
2001-03-26,419.605
2001-03-27,424.517
2001-03-28,416.755
2001-03-29,415.042
2001-03-30,418.62
2001-04-02,413.074
2001-04-03,401.34
2001-04-04,402.6
2001-04-05,415.055
2001-04-06,410.814
2001-04-09,415.075
2001-04-10,423.698
2001-04-11,423.103
2001-04-12,429.483
2001-04-13,429.483
2001-04-16,426.559
2001-04-17,428.391
2001-04-18,440.473
2001-04-19,447.146
2001-04-20,446.298
2001-04-23,439.404
2001-04-24,437.387
2001-04-25,442.493
2001-04-26,446.324
2001-04-27,449.934
2001-04-30,453.902
2001-05-01,456.383
2001-05-02,458.128
2001-05-03,451.9
2001-05-04,455.703
2001-05-07,454.385
2001-05-08,454.316
2001-05-09,452.475
2001-05-10,453.661
2001-05-11,450.855
2001-05-14,448.829
2001-05-15,451.383
2001-05-16,460.125
2001-05-17,465.593
2001-05-18,466.385
2001-05-21,473.819
2001-05-22,474.012
2001-05-23,466.705
2001-05-24,466.896
2001-05-25,465.42
2001-05-28,465.978
2001-05-29,460.413
2001-05-30,453.579
2001-05-31,456.222
2001-06-01,458.573
2001-06-04,459.973
2001-06-05,465.84
2001-06-06,462.7
2001-06-07,464.9
2001-06-08,462.045
2001-06-11,455.401
2001-06-12,454.162
2001-06-13,452.91
2001-06-14,444.917
2001-06-15,444.423
2001-06-18,441.182
2001-06-19,440.964
2001-06-20,441.743
2001-06-21,443.519
2001-06-22,440.98
2001-06-25,440.796
2001-06-26,440.539
2001-06-27,441.51
2001-06-28,444.166
2001-06-29,449.594
2001-07-02,449.268
2001-07-03,448.003
2001-07-04,447.192
2001-07-05,441.884
2001-07-06,434.41
2001-07-09,434.653
2001-07-10,432.133
2001-07-11,430.788
2001-07-12,436.675
2001-07-13,437.95
2001-07-16,433.761
2001-07-17,434.807
2001-07-18,435.028
2001-07-19,436.822
2001-07-20,435.559
2001-07-23,431.795
2001-07-24,426.394
2001-07-25,429.518
2001-07-26,433.698
2001-07-27,436.485
2001-07-30,437.308
2001-07-31,439.417
2001-08-01,442.913
2001-08-02,445.217
2001-08-03,444.128
2001-08-06,440.111
2001-08-07,438.528
2001-08-08,433.105
2001-08-09,432.445
2001-08-10,433.821
2001-08-13,436.412
2001-08-14,436.773
