Date,KOKUSAI INDEX (WORLD ex JP) MID GROWTH Mid Cap
1994-05-31,263.841
1994-06-30,255.541
1994-07-29,264.369
1994-08-31,277.422
1994-09-30,272.553
1994-10-31,276.998
1994-11-30,264.256
1994-12-30,267.614
1995-01-31,266.086
1995-02-28,274.6
1995-03-31,282.592
1995-04-28,288.946
1995-05-31,294.051
1995-06-30,305.06
1995-07-31,322.88
1995-08-31,320.696
1995-09-29,329.633
1995-10-31,322.021
1995-11-30,327.849
1995-12-29,331.889
1996-01-31,339.019
1996-02-29,351.993
1996-03-29,358.137
1996-04-30,373.399
1996-05-31,381.779
1996-06-28,371.095
1996-07-31,350.363
1996-08-30,368.5
1996-09-30,381.843
1996-10-31,381.902
1996-11-29,398.658
1996-12-31,398.599
1997-01-31,409.495
1997-02-28,405.023
1997-03-31,390.747
1997-04-30,390.626
1997-05-30,420.499
1997-06-30,432.991
1997-07-31,457.471
1997-08-29,451.995
1997-09-30,476.605
1997-10-31,446.131
1997-11-28,442.238
1997-12-31,443.865
1998-01-30,443.416
1998-02-27,484.113
1998-03-31,511.892
1998-04-30,524.271
1998-05-29,512.038
1998-06-30,517.588
1998-07-31,506.035
1998-08-31,411.69
1998-09-30,422.65
1998-10-30,457.576
1998-11-30,483.029
1998-12-31,524.052
1999-01-29,548.261
1999-02-26,515.781
1999-03-31,528.721
1999-04-30,554.283
1999-05-31,552.505
1999-06-30,580.439
1999-07-30,577.581
1999-08-31,582.755
1999-09-30,577.836
1999-10-29,608.074
1999-11-30,681.556
1999-12-31,815.92
2000-01-31,798.161
2000-02-29,998.367
2000-03-31,937.965
2000-04-28,814.533
2000-05-31,751.575
2000-06-30,825.131
2000-07-31,797.051
2000-08-31,860.531
2000-09-29,809.371
2000-10-31,736.925
2000-11-30,595.219
2000-12-29,623.764
2001-01-31,653.7
2001-02-28,563.139
2001-03-30,488.6
2001-04-30,555.692
2001-05-31,547.082
2001-06-29,534.663
2001-07-31,507.301
2001-08-31,471.842
2001-09-28,394.606
2001-10-31,429.694
2001-11-30,466.353
2001-12-31,479.939
2002-01-31,465.763
2002-02-28,446.487
2002-03-29,477.551
2002-04-30,459.225
2002-05-31,452.994
2002-06-28,417.303
2002-07-31,371.446
2002-08-30,369.352
2002-09-30,336.874
2002-10-31,364.669
2002-11-29,390.486
2002-12-31,365.447
2003-01-31,358.902
2003-02-28,351.169
2003-03-31,356.965
2003-04-30,386.421
2003-05-30,423.958
2003-06-30,426.479
2003-07-31,438.859
2003-08-29,458.616
2003-09-30,454.958
2003-10-31,493.651
2003-11-28,507.406
2003-12-31,522.803
2004-01-30,540.616
2004-02-27,549.964
2004-03-31,543.875
2004-04-30,528.341
2004-05-31,541.441
