Date,KOKUSAI INDEX (WORLD ex JP) SMALL GROWTH Small Cap
2001-01-01,492.647
2001-01-02,475.718
2001-01-03,487.195
2001-01-04,484.109
2001-01-05,473.417
2001-01-08,466.942
2001-01-09,466.638
2001-01-10,473.936
2001-01-11,486.665
2001-01-12,492.496
2001-01-15,491.733
2001-01-16,494.106
2001-01-17,498.231
2001-01-18,503.543
2001-01-19,502.182
2001-01-22,501.839
2001-01-23,509.748
2001-01-24,510.437
2001-01-25,506.712
2001-01-26,505.151
2001-01-29,511.733
2001-01-30,516.039
2001-01-31,516.641
2001-02-01,516.799
2001-02-02,508.096
2001-02-05,504.994
2001-02-06,508.042
2001-02-07,504.579
2001-02-08,499.99
2001-02-09,494.439
2001-02-12,498.287
2001-02-13,494.681
2001-02-14,492.839
2001-02-15,495.582
2001-02-16,488.225
2001-02-19,487.884
2001-02-20,478.892
2001-02-21,470.293
2001-02-22,463.966
2001-02-23,462.089
2001-02-26,471.134
2001-02-27,465.108
2001-02-28,459.284
2001-03-01,456.573
2001-03-02,458.798
2001-03-05,457.975
2001-03-06,465.172
2001-03-07,467.182
2001-03-08,464.391
2001-03-09,456.366
2001-03-12,440.545
2001-03-13,437.425
2001-03-14,427.961
2001-03-15,425.833
2001-03-16,415.257
2001-03-19,419.033
2001-03-20,417.094
2001-03-21,407.043
2001-03-22,398.341
2001-03-23,409.803
2001-03-26,414.68
2001-03-27,419.062
2001-03-28,409.882
2001-03-29,405.812
2001-03-30,411.187
2001-04-02,401.913
2001-04-03,387.625
2001-04-04,386.719
2001-04-05,401.76
2001-04-06,396.893
2001-04-09,400.08
2001-04-10,408.857
2001-04-11,410.325
2001-04-12,417.216
2001-04-13,417.175
2001-04-16,413.486
2001-04-17,414.677
2001-04-18,427.652
2001-04-19,436.623
2001-04-20,435.798
2001-04-23,428.748
2001-04-24,427.923
2001-04-25,434.783
2001-04-26,440.122
2001-04-27,443.416
2001-04-30,447.637
2001-05-01,451.773
2001-05-02,456.22
2001-05-03,451.287
2001-05-04,455.136
2001-05-07,453.984
2001-05-08,454.055
2001-05-09,452.781
2001-05-10,453.665
2001-05-11,450.471
2001-05-14,447.887
2001-05-15,450.393
2001-05-16,456.51
2001-05-17,464.55
2001-05-18,465.93
2001-05-21,474.85
2001-05-22,476.126
2001-05-23,468.466
2001-05-24,469.185
2001-05-25,468.925
2001-05-28,469.228
2001-05-29,461.979
2001-05-30,452.565
2001-05-31,453.434
2001-06-01,455.986
2001-06-04,458.602
2001-06-05,464.759
2001-06-06,462.021
2001-06-07,464.354
2001-06-08,462.246
2001-06-11,456.246
2001-06-12,454.237
2001-06-13,454.465
2001-06-14,446.173
2001-06-15,443.334
2001-06-18,437.41
