Date,KOKUSAI INDEX (WORLD ex JP) SMALL VALUE Small Cap
2001-01-01,348.533
2001-01-02,343.999
2001-01-03,348.926
2001-01-04,348.84
2001-01-05,345.581
2001-01-08,344.771
2001-01-09,344.268
2001-01-10,347.541
2001-01-11,351.012
2001-01-12,351.901
2001-01-15,351.451
2001-01-16,354.61
2001-01-17,354.6
2001-01-18,356.258
2001-01-19,354.086
2001-01-22,354.944
2001-01-23,359.053
2001-01-24,357.684
2001-01-25,356.949
2001-01-26,357.206
2001-01-29,360.31
2001-01-30,362.409
2001-01-31,362.99
2001-02-01,365.477
2001-02-02,363.089
2001-02-05,363.896
2001-02-06,364.494
2001-02-07,364.804
2001-02-08,362.167
2001-02-09,360.687
2001-02-12,364.248
2001-02-13,363.05
2001-02-14,362.052
2001-02-15,362.196
2001-02-16,360.449
2001-02-19,360.947
2001-02-20,357.822
2001-02-21,354.637
2001-02-22,351.863
2001-02-23,351.28
2001-02-26,355.506
2001-02-27,354.636
2001-02-28,353.585
2001-03-01,353.561
2001-03-02,356.789
2001-03-05,356.493
2001-03-06,359.105
2001-03-07,360.442
2001-03-08,360.844
2001-03-09,358.362
2001-03-12,351.369
2001-03-13,349.225
2001-03-14,343.179
2001-03-15,342.075
2001-03-16,337.246
2001-03-19,339.656
2001-03-20,338.158
2001-03-21,332.68
2001-03-22,326.265
2001-03-23,331.097
2001-03-26,334.378
2001-03-27,336.857
2001-03-28,332.681
2001-03-29,331.938
2001-03-30,336.243
2001-04-02,332.816
2001-04-03,327.506
2001-04-04,328.257
2001-04-05,334.855
2001-04-06,332.291
2001-04-09,334.832
2001-04-10,338.081
2001-04-11,336.943
2001-04-12,340.276
2001-04-13,340.275
2001-04-16,338.667
2001-04-17,340.025
2001-04-18,342.359
2001-04-19,346.447
2001-04-20,346.625
2001-04-23,344.659
2001-04-24,345.208
2001-04-25,348.907
2001-04-26,351.871
2001-04-27,353.576
2001-04-30,354.319
2001-05-01,357.028
2001-05-02,357.77
2001-05-03,356.286
2001-05-04,359.356
2001-05-07,358.429
2001-05-08,358.869
2001-05-09,358.603
2001-05-10,359.88
2001-05-11,358.699
2001-05-14,358.645
2001-05-15,360.894
2001-05-16,364.181
2001-05-17,367.274
2001-05-18,367.833
2001-05-21,371.247
2001-05-22,371.073
2001-05-23,367.432
2001-05-24,367.84
2001-05-25,367.633
2001-05-28,368.068
2001-05-29,365.557
2001-05-30,362.927
2001-05-31,362.961
2001-06-01,365.111
2001-06-04,367.198
2001-06-05,370.274
2001-06-06,368.409
2001-06-07,369.235
2001-06-08,367.681
2001-06-11,365.411
2001-06-12,365.381
2001-06-13,365.398
2001-06-14,361.946
2001-06-15,361.152
2001-06-18,358.485
2001-06-19,357.134
2001-06-20,357.952
2001-06-21,359.709
2001-06-22,357.369
2001-06-25,356.639
2001-06-26,358.238
2001-06-27,359.412
2001-06-28,359.784
2001-06-29,365.421
2001-07-02,362.556
2001-07-03,362.338
2001-07-04,362.21
2001-07-05,360.075
2001-07-06,356.936
2001-07-09,357.364
2001-07-10,356.181
2001-07-11,355.102
2001-07-12,358.617
2001-07-13,359.193
2001-07-16,357.742
2001-07-17,359.488
2001-07-18,360.101
2001-07-19,361.357
2001-07-20,361.333
2001-07-23,358.723
2001-07-24,355.5
2001-07-25,356.73
2001-07-26,358.734
2001-07-27,358.682
2001-07-30,359.365
2001-07-31,360.583
2001-08-01,363.305
2001-08-02,364.434
2001-08-03,364.304
2001-08-06,361.65
2001-08-07,361.136
2001-08-08,358.783
2001-08-09,359.848
2001-08-10,361.484
2001-08-13,362.414
2001-08-14,364.074
2001-08-15,366.251
2001-08-16,367.404
2001-08-17,365.641
2001-08-20,365.777
2001-08-21,364.801
2001-08-22,367.198
2001-08-23,365.153
2001-08-24,367.173
2001-08-27,365.839
2001-08-28,363.949
2001-08-29,363.6
2001-08-30,360.848
2001-08-31,360.473
2001-09-03,359.653
2001-09-04,358.242
2001-09-05,356.656
2001-09-06,352.67
2001-09-07,349.26
2001-09-10,345.067
2001-09-11,342.899
2001-09-12,340.567
2001-09-13,341.306
2001-09-14,339.87
2001-09-17,327.647
2001-09-18,325.506
2001-09-19,321.702
2001-09-20,311.288
2001-09-21,302.467
2001-09-24,309.75
2001-09-25,312.508
2001-09-26,311.861
2001-09-27,313.679
2001-09-28,319.246
2001-10-01,317.526
2001-10-02,319.107
2001-10-03,322.986
2001-10-04,325.135
2001-10-05,325.268
2001-10-08,323.089
2001-10-09,322.539
2001-10-10,326.907
2001-10-11,330.611
2001-10-12,329.727
2001-10-15,330.6
2001-10-16,333.185
2001-10-17,330.554
2001-10-18,327.98
2001-10-19,328.435
2001-10-22,329.54
2001-10-23,328.676
2001-10-24,328.832
2001-10-25,332.062
2001-10-26,333.311
2001-10-29,331.35
2001-10-30,328.447
2001-10-31,329.934
2001-11-01,333.169
2001-11-02,332.314
2001-11-05,333.67
2001-11-06,336.456
2001-11-07,336.315
2001-11-08,336.09
2001-11-09,336.191
2001-11-12,336.35
2001-11-13,339.144
2001-11-14,341.682
2001-11-15,341.33
2001-11-16,342.978
2001-11-19,346.019
2001-11-20,344.98
2001-11-21,343.648
2001-11-22,344.284
2001-11-23,346.692
2001-11-26,347.931
2001-11-27,347.809
2001-11-28,345.851
2001-11-29,349.088
2001-11-30,349.425
2001-12-03,346.92
2001-12-04,351.103
2001-12-05,355.623
2001-12-06,357.558
2001-12-07,357.96
2001-12-10,354.929
2001-12-11,354.857
2001-12-12,355.391
2001-12-13,352.486
2001-12-14,354.279
2001-12-17,357.276
2001-12-18,359.04
2001-12-19,357.766
2001-12-20,355.278
2001-12-21,357.827
2001-12-24,358.061
2001-12-25,358.067
2001-12-26,359.96
2001-12-27,362.916
2001-12-28,363.765
2001-12-31,364.051
2002-01-01,364.039
2002-01-02,364.806
2002-01-03,367.664
2002-01-04,369.909
2002-01-07,368.357
2002-01-08,369.621
2002-01-09,368.489
2002-01-10,368.627
2002-01-11,367.032
2002-01-14,364.096
2002-01-15,364.551
2002-01-16,360.415
2002-01-17,362.25
2002-01-18,360.195
2002-01-21,360.314
2002-01-22,358.823
2002-01-23,361.643
2002-01-24,362.325
2002-01-25,361.295
2002-01-28,362.032
2002-01-29,359.61
2002-01-30,360.815
2002-01-31,362.761
2002-02-01,362.113
2002-02-04,359.37
2002-02-05,358.504
2002-02-06,356.418
2002-02-07,355.026
2002-02-08,359.262
2002-02-11,362.363
2002-02-12,362.511
2002-02-13,364.171
2002-02-14,363.156
2002-02-15,363.838
2002-02-18,363.523
2002-02-19,360.75
2002-02-20,363.163
2002-02-21,360.391
2002-02-22,363.512
2002-02-25,364.293
2002-02-26,365.767
2002-02-27,366.699
2002-02-28,366.636
2002-03-01,370.632
2002-03-04,376.006
2002-03-05,376.371
2002-03-06,380.735
2002-03-07,382.721
2002-03-08,384.054
2002-03-11,384.847
2002-03-12,383.685
2002-03-13,383.003
2002-03-14,384.961
2002-03-15,386.532
2002-03-18,388.309
2002-03-19,389.762
2002-03-20,388.421
2002-03-21,390.297
2002-03-22,389.511
2002-03-25,386.919
2002-03-26,388.904
2002-03-27,391.511
2002-03-28,392.194
2002-03-29,392.188
2002-04-01,392.74
2002-04-02,392.247
2002-04-03,390.569
2002-04-04,391.42
2002-04-05,391.674
2002-04-08,393.314
2002-04-09,394.075
2002-04-10,398.823
2002-04-11,397.236
2002-04-12,400.872
2002-04-15,399.804
2002-04-16,404.268
2002-04-17,404.269
2002-04-18,404.514
2002-04-19,404.614
2002-04-22,402.073
2002-04-23,401.893
2002-04-24,401.66
2002-04-25,402.76
2002-04-26,400.561
2002-04-29,400.446
2002-04-30,404.465
2002-05-01,405.91
2002-05-02,407.957
2002-05-03,409.38
2002-05-06,405.971
2002-05-07,403.694
2002-05-08,407.027
2002-05-09,404.002
2002-05-10,401.404
2002-05-13,403.689
2002-05-14,407.446
