Date,KOKUSAI INDEX (WORLD ex JP) SMID VALUE SMID (Small+Mid Cap)
2001-01-01,366.073
2001-01-02,361.593
2001-01-03,365.959
2001-01-04,365.374
2001-01-05,362.809
2001-01-08,362.482
2001-01-09,360.949
2001-01-10,363.667
2001-01-11,365.854
2001-01-12,365.445
2001-01-15,364.874
2001-01-16,366.492
2001-01-17,366.939
2001-01-18,368.229
2001-01-19,365.526
2001-01-22,366.673
2001-01-23,370.729
2001-01-24,369.456
2001-01-25,369.805
2001-01-26,369.772
2001-01-29,372.727
2001-01-30,375.268
2001-01-31,375.927
2001-02-01,378.358
2001-02-02,375.548
2001-02-05,376.715
2001-02-06,376.971
2001-02-07,377.027
2001-02-08,375.097
2001-02-09,374.394
2001-02-12,377.71
2001-02-13,376.929
2001-02-14,376.101
2001-02-15,375.999
2001-02-16,374.634
2001-02-19,375.106
2001-02-20,371.738
2001-02-21,368.915
2001-02-22,366.819
2001-02-23,365.749
2001-02-26,370.422
2001-02-27,370.328
2001-02-28,369.124
2001-03-01,369.231
2001-03-02,372.675
2001-03-05,373.08
2001-03-06,375.589
2001-03-07,376.861
2001-03-08,377.947
2001-03-09,374.799
2001-03-12,367.274
2001-03-13,364.379
2001-03-14,357.326
2001-03-15,357.56
2001-03-16,352.068
2001-03-19,354.657
2001-03-20,352.989
2001-03-21,346.816
2001-03-22,338.932
2001-03-23,344.458
2001-03-26,349.08
2001-03-27,352.3
2001-03-28,348.261
2001-03-29,348.072
2001-03-30,351.661
2001-04-02,348.881
2001-04-03,342.688
2001-04-04,344.002
2001-04-05,350.682
2001-04-06,347.689
2001-04-09,350.635
2001-04-10,354.664
2001-04-11,353.217
2001-04-12,356.474
2001-04-13,356.473
2001-04-16,354.894
2001-04-17,356.192
2001-04-18,360.52
2001-04-19,363.86
2001-04-20,363.849
2001-04-23,361.589
2001-04-24,361.365
2001-04-25,364.634
2001-04-26,367.444
2001-04-27,369.487
2001-04-30,370.659
2001-05-01,372.608
2001-05-02,372.909
2001-05-03,370.505
2001-05-04,373.262
