Date,KOKUSAI INDEX (WORLD ex JP) Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,94.363
1970-02-27,97.47
1970-03-31,97.695
1970-04-30,88.774
1970-05-29,83.119
1970-06-30,81.001
1970-07-31,86.343
1970-08-31,89.449
1970-09-30,92.598
1970-10-30,91.214
1970-11-30,93.564
1970-12-31,98.486
1971-01-29,103.066
1971-02-26,104.07
1971-03-31,108.533
1971-04-30,112.064
1971-05-31,109.404
1971-06-30,110.135
1971-07-30,108.341
1971-08-31,111.297
1971-09-30,110.09
1971-10-29,106.033
1971-11-30,106.695
1971-12-31,116.174
1972-01-31,120.252
1972-02-29,124.621
1972-03-31,126.18
1972-04-28,127.669
1972-05-31,129.885
1972-06-30,126.45
1972-07-31,127.934
1972-08-31,131.7
1972-09-29,129.221
1972-10-31,130.15
1972-11-30,135.849
1972-12-29,137.589
1973-01-31,137.765
1973-02-28,137.565
1973-03-30,137.834
1973-04-30,132.067
1973-05-31,131.328
1973-06-29,132.08
1973-07-31,134.736
1973-08-31,129.338
1973-09-28,134.596
1973-10-31,136.299
1973-11-30,118.862
1973-12-31,118.671
1974-01-31,119.847
1974-02-28,121.509
1974-03-29,117.947
1974-04-30,115.657
1974-05-31,110.037
1974-06-28,106.748
1974-07-31,101.126
1974-08-30,91.671
1974-09-30,82.055
1974-10-31,92.317
1974-11-29,89.673
1974-12-31,88.623
1975-01-31,102.865
1975-02-28,111.325
1975-03-31,112.011
1975-04-30,117.378
1975-05-30,120.725
1975-06-30,122.399
1975-07-31,115.696
1975-08-29,114.473
1975-09-30,110.102
1975-10-31,117.304
1975-11-28,120.917
1975-12-31,120.993
1976-01-30,132.352
1976-02-27,131.273
1976-03-31,133.155
1976-04-30,132.096
1976-05-31,129.668
1976-06-30,133.48
1976-07-30,132.529
1976-08-31,131.729
1976-09-30,133.031
1976-10-29,128.824
1976-11-30,128.589
1976-12-31,137.113
1977-01-31,132.588
1977-02-28,131.106
1977-03-31,130.51
1977-04-29,131.947
1977-05-31,130.162
1977-06-30,135.185
1977-07-29,133.503
1977-08-31,133.143
1977-09-30,134.925
1977-10-31,131.98
1977-11-30,134.026
1977-12-30,137.144
1978-01-31,131.633
1978-02-28,129.707
1978-03-31,133.664
1978-04-28,141.315
1978-05-31,143.382
1978-06-30,142.603
1978-07-31,152.093
1978-08-31,157.073
1978-09-29,158.74
1978-10-31,152.507
1978-11-30,149.458
1978-12-29,154.006
1979-01-31,159.214
1979-02-28,157.16
1979-03-30,166.559
1979-04-30,167.536
1979-05-31,163.807
1979-06-29,169.496
1979-07-31,171.354
1979-08-31,179.694
1979-09-28,184.099
1979-10-31,170.748
1979-11-30,178.522
1979-12-31,182.415
1980-01-31,195.08
1980-02-29,196.869
1980-03-31,173.232
1980-04-30,184.318
1980-05-30,193.312
1980-06-30,203.224
1980-07-31,212.988
1980-08-29,215.675
1980-09-30,221.009
1980-10-31,227.972
1980-11-28,241.109
1980-12-31,232.161
1981-01-30,223.451
1981-02-27,225.227
1981-03-31,232.428
1981-04-30,229.198
1981-05-29,225.328
1981-06-30,223.351
1981-07-31,220.912
1981-08-31,213.875
1981-09-30,199.122
1981-10-30,207.032
1981-11-30,221.917
1981-12-31,215.567
1982-01-29,212.811
1982-02-26,201.148
1982-03-31,199.017
1982-04-30,207.402
1982-05-31,203.009
1982-06-30,194.748
1982-07-30,193.475
1982-08-31,210.367
1982-09-30,213.283
1982-10-29,230.663
1982-11-30,238.032
1982-12-31,245.797
1983-01-31,254.52
1983-02-28,260.328
1983-03-31,269.487
1983-04-29,291.573
1983-05-31,288.322
1983-06-30,297.604
1983-07-29,291.112
1983-08-31,293.917
1983-09-30,296.891
1983-10-31,293.247
1983-11-30,301.889
1983-12-30,302.073
1984-01-31,302.292
1984-02-29,296.643
1984-03-30,301.388
1984-04-30,302.047
1984-05-31,283.554
1984-06-29,286.576
1984-07-31,279.295
1984-08-31,308.547
1984-09-28,307.656
1984-10-31,308.302
1984-11-30,311.839
1984-12-31,316.538
1985-01-31,339.918
1985-02-28,338.221
1985-03-29,348.239
1985-04-30,350.347
1985-05-31,370.011
1985-06-28,374.337
1985-07-31,383.765
1985-08-30,385.597
1985-09-30,378.871
1985-10-31,401.929
1985-11-29,429.342
1985-12-31,448.193
1986-01-31,453.419
1986-02-28,490.53
1986-03-31,521.61
1986-04-30,534.274
1986-05-30,533.607
1986-06-30,543.824
1986-07-31,522.847
1986-08-29,567.886
1986-09-30,529.053
1986-10-31,550.504
1986-11-28,568.557
1986-12-31,567.211
1987-01-30,622.75
1987-02-27,648.006
1987-03-31,673.671
1987-04-30,679.657
1987-05-29,682.067
1987-06-30,710.947
1987-07-31,745.542
1987-08-31,766.529
1987-09-30,760.532
1987-10-30,594.801
1987-11-30,557.47
1987-12-31,593.333
1988-01-29,596.831
1988-02-29,624.611
1988-03-31,623.954
1988-04-29,633.028
1988-05-31,632.726
1988-06-30,648.753
1988-07-29,649.104
1988-08-31,623.314
1988-09-30,649.674
1988-10-31,685.485
1988-11-30,683.067
1988-12-30,691.211
1989-01-31,734.556
1989-02-28,715.991
1989-03-31,727.638
1989-04-28,758.085
1989-05-31,757.461
1989-06-30,766.752
1989-07-31,843.732
1989-08-31,848.957
1989-09-29,854.311
1989-10-31,822.006
1989-11-30,848.779
1989-12-29,896.171
1990-01-31,862.414
1990-02-28,859.062
1990-03-30,873.938
1990-04-30,850.507
1990-05-31,924.599
1990-06-29,936.988
1990-07-31,955.964
1990-08-31,868.339
1990-09-28,800.591
1990-10-31,824.758
1990-11-30,855.397
1990-12-31,863.761
1991-01-31,898.72
1991-02-28,968.555
1991-03-29,955.068
1991-04-30,955.388
1991-05-31,989.206
1991-06-28,932.794
