Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2001-01-01,3109.973
2001-01-02,3020.926
2001-01-03,3136.247
2001-01-04,3137.868
2001-01-05,3073.735
2001-01-08,3049.788
2001-01-09,3046.645
2001-01-10,3062.472
2001-01-11,3130.438
2001-01-12,3133.542
2001-01-15,3129.382
2001-01-16,3114.735
2001-01-17,3145.638
2001-01-18,3209.189
2001-01-19,3204.436
2001-01-22,3197.583
2001-01-23,3222.82
2001-01-24,3217.155
2001-01-25,3186.965
2001-01-26,3189.224
2001-01-29,3195.331
2001-01-30,3207.932
2001-01-31,3209.32
2001-02-01,3223.093
2001-02-02,3152.861
2001-02-05,3151.985
2001-02-06,3152.568
2001-02-07,3106.745
2001-02-08,3059.522
2001-02-09,2992.651
2001-02-12,3039.734
2001-02-13,2998.428
2001-02-14,2984.774
2001-02-15,3010.253
2001-02-16,2934.291
2001-02-19,2935.543
2001-02-20,2871.781
2001-02-21,2834.844
2001-02-22,2812.063
2001-02-23,2784.128
2001-02-26,2827.79
2001-02-27,2813.838
2001-02-28,2784.962
2001-03-01,2794.459
2001-03-02,2768.242
2001-03-05,2785.578
2001-03-06,2815.467
2001-03-07,2814.385
2001-03-08,2801.06
2001-03-09,2734.716
2001-03-12,2617.015
2001-03-13,2632.438
2001-03-14,2576.992
2001-03-15,2587.436
2001-03-16,2517.616
2001-03-19,2539.527
2001-03-20,2518.408
2001-03-21,2472.697
2001-03-22,2435.153
2001-03-23,2500.748
2001-03-26,2541.659
2001-03-27,2603.909
2001-03-28,2536.343
2001-03-29,2517.272
2001-03-30,2536.874
2001-04-02,2507.472
2001-04-03,2421.799
2001-04-04,2437.317
2001-04-05,2532.533
2001-04-06,2505.446
2001-04-09,2525.087
2001-04-10,2577.156
2001-04-11,2574.177
2001-04-12,2611.824
2001-04-13,2611.824
2001-04-16,2589.315
2001-04-17,2604.528
2001-04-18,2698.976
2001-04-19,2751.367
2001-04-20,2745.123
2001-04-23,2690.338
2001-04-24,2656.369
2001-04-25,2691.653
2001-04-26,2707.667
2001-04-27,2742.87
2001-04-30,2753.641
2001-05-01,2784.92
2001-05-02,2795.275
2001-05-03,2744.831
2001-05-04,2780.384
2001-05-07,2779.393
2001-05-08,2779.598
2001-05-09,2752.99
2001-05-10,2766.199
2001-05-11,2738.221
2001-05-14,2715.474
2001-05-15,2730.123
2001-05-16,2791.656
2001-05-17,2806.513
2001-05-18,2806.331
2001-05-21,2844.189
2001-05-22,2838.87
2001-05-23,2793.45
2001-05-24,2801.175
