Date,NETHERLANDS IMI IMI (Large+Mid+Small Cap)
2001-01-01,622.024
2001-01-02,624.862
2001-01-03,620.487
2001-01-04,626.289
2001-01-05,626.612
2001-01-08,621.301
2001-01-09,615.577
2001-01-10,611.973
2001-01-11,626.034
2001-01-12,627.74
2001-01-15,626.738
2001-01-16,617.636
2001-01-17,619.724
2001-01-18,621.727
2001-01-19,611.765
2001-01-22,612.512
2001-01-23,614.762
2001-01-24,610.024
2001-01-25,610.001
2001-01-26,608.228
2001-01-29,610.179
2001-01-30,611.669
2001-01-31,620.711
2001-02-01,621.543
2001-02-02,615.767
2001-02-05,620.533
2001-02-06,617.218
2001-02-07,612.367
2001-02-08,604.936
2001-02-09,607.135
2001-02-12,611.193
2001-02-13,606.867
2001-02-14,600.449
2001-02-15,592.978
2001-02-16,596.513
2001-02-19,595.046
2001-02-20,586.503
2001-02-21,581.51
2001-02-22,571.063
2001-02-23,564.23
2001-02-26,572.734
2001-02-27,581.522
2001-02-28,581.09
2001-03-01,580.951
2001-03-02,584.382
2001-03-05,582.271
2001-03-06,590.279
2001-03-07,587.244
2001-03-08,587.881
2001-03-09,587.749
2001-03-12,575.039
2001-03-13,560.905
2001-03-14,550.358
2001-03-15,550.098
2001-03-16,531.645
2001-03-19,526.877
2001-03-20,534.365
2001-03-21,522.731
2001-03-22,494.064
2001-03-23,507.293
2001-03-26,525.764
2001-03-27,534.919
2001-03-28,524.791
2001-03-29,521.421
2001-03-30,527.302
2001-04-02,525.362
2001-04-03,512.594
2001-04-04,519.03
2001-04-05,527.463
2001-04-06,529.701
2001-04-09,536.693
2001-04-10,541.149
2001-04-11,540.68
2001-04-12,546.073
2001-04-13,546.073
2001-04-16,540.481
2001-04-17,536.228
2001-04-18,542.708
2001-04-19,546.656
2001-04-20,550.915
2001-04-23,543.757
2001-04-24,549.195
2001-04-25,552.365
2001-04-26,562.435
2001-04-27,564.116
2001-04-30,560.335
2001-05-01,563.756
2001-05-02,564.151
2001-05-03,555.244
2001-05-04,553.19
2001-05-07,555.398
2001-05-08,551.728
2001-05-09,548.793
2001-05-10,561.867
2001-05-11,555.386
2001-05-14,551.537
2001-05-15,557.951
2001-05-16,557.013
2001-05-17,561.016
2001-05-18,566.114
2001-05-21,564.108
2001-05-22,564.137
2001-05-23,555.859
2001-05-24,553.2
2001-05-25,547.953
2001-05-28,553.901
2001-05-29,548.578
2001-05-30,544.288
2001-05-31,540.335
2001-06-01,536.448
2001-06-04,537.167
2001-06-05,544.94
2001-06-06,543.263
2001-06-07,544.038
2001-06-08,542.039
2001-06-11,533.244
2001-06-12,530.449
2001-06-13,535.592
2001-06-14,532.826
2001-06-15,527.025
2001-06-18,526.523
2001-06-19,521.641
2001-06-20,515.52
2001-06-21,518.827
2001-06-22,524.049
2001-06-25,530.312
2001-06-26,525.744
2001-06-27,521.914
2001-06-28,515.406
2001-06-29,523.532
2001-07-02,529.956
2001-07-03,525.078
2001-07-04,523.462
2001-07-05,518.449
2001-07-06,514.023
2001-07-09,515.175
2001-07-10,516.892
2001-07-11,512.882
2001-07-12,510.435
2001-07-13,509.39
2001-07-16,506.072
2001-07-17,503.691
2001-07-18,506.636
2001-07-19,508.032
2001-07-20,506.915
2001-07-23,507.101
2001-07-24,508.226
2001-07-25,502.441
2001-07-26,503.948
2001-07-27,509.17
2001-07-30,517.153
2001-07-31,520.834
2001-08-01,526.069
2001-08-02,524.094
2001-08-03,519.766
2001-08-06,519.129
2001-08-07,518.201
2001-08-08,513.26
2001-08-09,513.806
2001-08-10,514.013
2001-08-13,519.009
2001-08-14,523.539
2001-08-15,526.108
2001-08-16,525.524
2001-08-17,520.817
2001-08-20,518.637
2001-08-21,524.07
2001-08-22,527.185
2001-08-23,528.538
2001-08-24,534.25
2001-08-27,535.365
2001-08-28,527.237
2001-08-29,529.896
2001-08-30,521.103
2001-08-31,517.354
2001-09-03,509.725
2001-09-04,505.118
2001-09-05,497.008
2001-09-06,487.206
2001-09-07,479.661
2001-09-10,474.087
2001-09-11,452.064
2001-09-12,450.961
2001-09-13,456.376
2001-09-14,432.847
2001-09-17,444.807
2001-09-18,446.462
2001-09-19,438.851
2001-09-20,413.688
2001-09-21,392.02
2001-09-24,416.115
2001-09-25,430.706
2001-09-26,435.771
2001-09-27,436.902
2001-09-28,451.532
2001-10-01,439.279
2001-10-02,445.746
2001-10-03,442.834
2001-10-04,459.274
2001-10-05,458.771
2001-10-08,459.346
2001-10-09,459.926
2001-10-10,469.9
2001-10-11,471.138
2001-10-12,470.179
2001-10-15,449.771
2001-10-16,452.358
2001-10-17,462.549
2001-10-18,448.247
2001-10-19,437.853
2001-10-22,443.083
2001-10-23,455.445
2001-10-24,455.096
2001-10-25,449.714
2001-10-26,460.836
2001-10-29,460.551
2001-10-30,451.02
2001-10-31,452.648
2001-11-01,460.354
2001-11-02,460.479
2001-11-05,469.223
2001-11-06,467.315
2001-11-07,474.735
2001-11-08,479.81
2001-11-09,472.579
2001-11-12,461.87
2001-11-13,473.418
2001-11-14,468.578
2001-11-15,463.92
2001-11-16,473.575
2001-11-19,474.665
