Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,831.208
2001-01-02,824.835
2001-01-03,805.998
2001-01-04,818.563
2001-01-05,821.795
2001-01-08,813.607
2001-01-09,811.8
2001-01-10,810.287
2001-01-11,828.363
2001-01-12,830.95
2001-01-15,823.444
2001-01-16,810.926
2001-01-17,819.894
2001-01-18,825.992
2001-01-19,816.057
2001-01-22,811.733
2001-01-23,817.174
2001-01-24,808.825
2001-01-25,802.016
2001-01-26,797.517
2001-01-29,800.938
2001-01-30,804.104
2001-01-31,813.278
2001-02-01,816.791
2001-02-02,802.024
2001-02-05,808.219
2001-02-06,803.92
2001-02-07,797.592
2001-02-08,785.176
2001-02-09,781.571
2001-02-12,792.532
2001-02-13,786.842
2001-02-14,773.895
2001-02-15,773.528
2001-02-16,774.9
2001-02-19,767.603
2001-02-20,754.543
2001-02-21,750.73
2001-02-22,742.722
2001-02-23,727.442
2001-02-26,742.497
2001-02-27,754.314
2001-02-28,757.93
2001-03-01,758.237
2001-03-02,762.675
2001-03-05,762.608
2001-03-06,776.072
2001-03-07,768.395
2001-03-08,766.718
2001-03-09,762.203
2001-03-12,743.319
2001-03-13,727.617
2001-03-14,711.613
2001-03-15,712.163
2001-03-16,685.953
2001-03-19,680.67
2001-03-20,687.899
2001-03-21,671.098
2001-03-22,633.049
2001-03-23,656.209
2001-03-26,679.397
2001-03-27,690.158
2001-03-28,681.976
2001-03-29,671.923
2001-03-30,679.251
2001-04-02,675.669
2001-04-03,652.349
2001-04-04,660.053
2001-04-05,674.848
2001-04-06,674.816
2001-04-09,677.964
2001-04-10,685.538
2001-04-11,694.537
2001-04-12,695.976
2001-04-13,695.976
2001-04-16,688.849
2001-04-17,677.926
2001-04-18,694.451
2001-04-19,706.838
2001-04-20,713.3
2001-04-23,701.332
2001-04-24,706.732
2001-04-25,710.984
2001-04-26,723.671
2001-04-27,726.973
2001-04-30,722.141
2001-05-01,726.823
2001-05-02,734.848
2001-05-03,723.301
2001-05-04,720.323
2001-05-07,723.033
2001-05-08,717.19
2001-05-09,710.187
2001-05-10,728.079
2001-05-11,722.315
2001-05-14,715.131
2001-05-15,721.407
2001-05-16,717.735
2001-05-17,724.221
2001-05-18,732.198
2001-05-21,724.964
2001-05-22,724.8
2001-05-23,707.652
2001-05-24,700.3
2001-05-25,691.437
2001-05-28,701.03
2001-05-29,688.565
2001-05-30,677.344
2001-05-31,674.506
2001-06-01,671.364
2001-06-04,672.245
2001-06-05,687.385
