Date,NETHERLANDS LARGE VALUE Large Cap
2001-01-01,529.558
2001-01-02,536.786
2001-01-03,540.742
2001-01-04,543.013
2001-01-05,541.646
2001-01-08,537.448
2001-01-09,529.001
2001-01-10,524.005
2001-01-11,536.481
2001-01-12,537.372
2001-01-15,539.299
2001-01-16,530.745
2001-01-17,529.389
2001-01-18,528.204
2001-01-19,517.381
2001-01-22,521.209
2001-01-23,521.77
2001-01-24,519.053
2001-01-25,522.511
2001-01-26,522.015
2001-01-29,523.764
2001-01-30,523.976
2001-01-31,532.861
2001-02-01,531.291
2001-02-02,529.992
2001-02-05,534.176
2001-02-06,531.492
2001-02-07,526.347
2001-02-08,521.446
2001-02-09,526.91
2001-02-12,526.854
2001-02-13,522.523
2001-02-14,519.645
2001-02-15,507.842
2001-02-16,511.64
2001-02-19,512.265
2001-02-20,506.0
2001-02-21,500.153
2001-02-22,487.673
2001-02-23,484.995
2001-02-26,490.699
2001-02-27,497.92
2001-02-28,495.822
2001-03-01,494.846
2001-03-02,497.727
2001-03-05,494.74
2001-03-06,500.798
2001-03-07,499.86
2001-03-08,501.349
2001-03-09,503.781
2001-03-12,493.42
2001-03-13,479.591
2001-03-14,472.252
2001-03-15,471.803
2001-03-16,455.982
2001-03-19,450.968
2001-03-20,459.358
2001-03-21,450.545
2001-03-22,426.346
2001-03-23,435.009
2001-03-26,452.993
2001-03-27,461.969
2001-03-28,449.442
2001-03-29,449.857
2001-03-30,455.395
2001-04-02,454.192
2001-04-03,445.565
2001-04-04,451.788
2001-04-05,457.695
2001-04-06,461.53
2001-04-09,471.598
2001-04-10,475.513
2001-04-11,469.616
2001-04-12,476.517
2001-04-13,476.517
2001-04-16,471.637
2001-04-17,471.122
2001-04-18,475.503
2001-04-19,475.011
2001-04-20,477.8
2001-04-23,472.538
2001-04-24,479.067
2001-04-25,481.683
2001-04-26,491.538
2001-04-27,492.937
2001-04-30,489.623
2001-05-01,491.662
2001-05-02,486.945
2001-05-03,477.93
2001-05-04,475.843
2001-05-07,478.163
2001-05-08,475.321
2001-05-09,474.139
2001-05-10,486.554
2001-05-11,479.29
2001-05-14,477.061
2001-05-15,484.07
2001-05-16,484.042
2001-05-17,487.422
2001-05-18,492.255
2001-05-21,492.75
2001-05-22,492.717
2001-05-23,488.672
2001-05-24,488.448
2001-05-25,484.572
2001-05-28,488.955
2001-05-29,487.235
2001-05-30,486.138
2001-05-31,481.902
2001-06-01,477.236
2001-06-04,477.884
2001-06-05,482.169
2001-06-06,478.866
2001-06-07,478.586
2001-06-08,476.419
2001-06-11,470.781
2001-06-12,469.718
2001-06-13,474.112
2001-06-14,474.342
2001-06-15,472.523
2001-06-18,470.025
2001-06-19,465.636
2001-06-20,463.833
2001-06-21,468.088
2001-06-22,469.993
2001-06-25,477.159
2001-06-26,473.109
2001-06-27,468.35
2001-06-28,460.059
2001-06-29,466.244
2001-07-02,473.323
2001-07-03,467.283
2001-07-04,466.112
2001-07-05,464.937
2001-07-06,460.975
2001-07-09,462.161
2001-07-10,461.386
2001-07-11,457.261
2001-07-12,453.545
2001-07-13,454.818
2001-07-16,451.52
2001-07-17,451.754
2001-07-18,451.014
2001-07-19,452.483
2001-07-20,452.186
2001-07-23,452.039
2001-07-24,451.43
2001-07-25,446.675
2001-07-26,449.684
2001-07-27,454.662
2001-07-30,461.823
2001-07-31,464.745
2001-08-01,468.874
2001-08-02,462.999
2001-08-03,457.374
2001-08-06,459.182
2001-08-07,458.726
2001-08-08,453.805
2001-08-09,452.054
2001-08-10,449.321
2001-08-13,455.016
2001-08-14,459.371
2001-08-15,462.968
2001-08-16,466.982
2001-08-17,462.227
2001-08-20,460.424
2001-08-21,465.472
2001-08-22,469.495
2001-08-23,470.647
2001-08-24,475.582
2001-08-27,476.667
2001-08-28,469.999
2001-08-29,472.378
2001-08-30,464.905
2001-08-31,460.665
2001-09-03,453.821
2001-09-04,451.731
2001-09-05,445.94
2001-09-06,439.557
2001-09-07,429.752
2001-09-10,424.444
2001-09-11,408.242
2001-09-12,408.142
2001-09-13,413.289
2001-09-14,392.374
2001-09-17,405.232
2001-09-18,408.644
2001-09-19,395.416
2001-09-20,370.306
2001-09-21,346.102
2001-09-24,370.74
2001-09-25,379.758
2001-09-26,385.338
2001-09-27,393.612
2001-09-28,406.361
2001-10-01,392.895
2001-10-02,404.724
2001-10-03,402.294
2001-10-04,416.401
2001-10-05,413.271
2001-10-08,411.658
2001-10-09,410.962
2001-10-10,422.804
2001-10-11,421.746
2001-10-12,422.432
2001-10-15,400.514
2001-10-16,401.135
2001-10-17,412.61
2001-10-18,399.475
2001-10-19,386.901
2001-10-22,393.411
2001-10-23,405.602
2001-10-24,403.462
2001-10-25,396.814
2001-10-26,409.222
2001-10-29,408.224
2001-10-30,398.609
2001-10-31,399.583
2001-11-01,407.886
2001-11-02,408.053
2001-11-05,413.805
2001-11-06,408.757
2001-11-07,414.703
2001-11-08,422.407
2001-11-09,418.169
2001-11-12,407.481
2001-11-13,419.06
2001-11-14,409.747
2001-11-15,397.633
2001-11-16,407.494
2001-11-19,407.568
2001-11-20,412.05
2001-11-21,405.854
2001-11-22,412.799
2001-11-23,412.302
2001-11-26,409.095
2001-11-27,403.455
2001-11-28,398.591
2001-11-29,400.183
2001-11-30,403.187
2001-12-03,399.293
2001-12-04,401.987
2001-12-05,408.437
2001-12-06,408.503
2001-12-07,404.077
2001-12-10,396.086
2001-12-11,398.366
2001-12-12,393.156
2001-12-13,388.161
2001-12-14,389.193
2001-12-17,402.316
2001-12-18,399.008
2001-12-19,395.295
2001-12-20,391.961
2001-12-21,400.471
2001-12-24,396.029
2001-12-25,396.029
2001-12-26,396.367
2001-12-27,407.688
2001-12-28,408.906
2001-12-31,412.894
2002-01-01,412.894
2002-01-02,406.554
2002-01-03,409.909
2002-01-04,405.744
2002-01-07,403.86
2002-01-08,400.943
2002-01-09,404.15
2002-01-10,401.899
2002-01-11,406.443
2002-01-14,398.117
2002-01-15,402.769
2002-01-16,397.199
2002-01-17,401.999
2002-01-18,402.537
2002-01-21,402.519
2002-01-22,403.406
2002-01-23,407.09
2002-01-24,412.573
2002-01-25,408.88
2002-01-28,410.663
2002-01-29,404.052
2002-01-30,399.578
2002-01-31,405.631
2002-02-01,408.755
2002-02-04,407.013
2002-02-05,398.364
2002-02-06,396.869
2002-02-07,398.171
2002-02-08,396.992
2002-02-11,403.979
2002-02-12,405.002
2002-02-13,404.31
2002-02-14,407.989
2002-02-15,409.208
2002-02-18,405.172
2002-02-19,398.956
2002-02-20,395.296
2002-02-21,402.764
2002-02-22,402.988
2002-02-25,405.572
2002-02-26,406.256
2002-02-27,409.83
2002-02-28,413.131
2002-03-01,416.462
2002-03-04,425.858
2002-03-05,423.726
2002-03-06,427.015
2002-03-07,433.608
2002-03-08,431.163
2002-03-11,433.093
2002-03-12,432.963
2002-03-13,431.049
2002-03-14,432.231
2002-03-15,438.566
2002-03-18,439.222
2002-03-19,443.341
