Date,NETHERLANDS LARGE VALUE Large Cap
2001-01-01,563.689
2001-01-02,571.383
2001-01-03,575.594
2001-01-04,578.012
2001-01-05,576.557
2001-01-08,572.088
2001-01-09,563.097
2001-01-10,557.778
2001-01-11,571.058
2001-01-12,572.006
2001-01-15,574.058
2001-01-16,564.953
2001-01-17,563.51
2001-01-18,562.248
2001-01-19,550.727
2001-01-22,554.802
2001-01-23,555.4
2001-01-24,552.507
2001-01-25,556.188
2001-01-26,555.661
2001-01-29,557.521
2001-01-30,557.747
2001-01-31,567.205
2001-02-01,565.534
2001-02-02,564.151
2001-02-05,568.605
2001-02-06,565.748
2001-02-07,560.271
2001-02-08,555.055
2001-02-09,560.871
2001-02-12,560.812
2001-02-13,556.201
2001-02-14,553.137
2001-02-15,540.574
2001-02-16,544.616
2001-02-19,545.282
2001-02-20,538.613
2001-02-21,532.389
2001-02-22,519.105
2001-02-23,516.254
2001-02-26,522.325
2001-02-27,530.012
2001-02-28,527.779
2001-03-01,526.74
2001-03-02,529.807
2001-03-05,526.627
2001-03-06,533.076
2001-03-07,532.077
2001-03-08,533.662
2001-03-09,536.251
2001-03-12,525.222
2001-03-13,510.501
2001-03-14,502.69
2001-03-15,502.212
2001-03-16,485.371
2001-03-19,480.034
2001-03-20,488.964
2001-03-21,479.584
2001-03-22,453.825
2001-03-23,463.046
2001-03-26,482.189
2001-03-27,491.744
2001-03-28,478.409
2001-03-29,478.852
2001-03-30,484.746
2001-04-02,483.466
2001-04-03,474.282
2001-04-04,480.907
2001-04-05,487.194
2001-04-06,491.277
2001-04-09,501.993
2001-04-10,506.161
2001-04-11,499.884
2001-04-12,507.23
2001-04-13,507.23
2001-04-16,502.035
2001-04-17,501.486
2001-04-18,506.115
2001-04-19,505.033
2001-04-20,507.999
2001-04-23,502.404
2001-04-24,509.346
2001-04-25,512.128
2001-04-26,522.605
2001-04-27,524.092
2001-04-30,520.569
2001-05-01,522.737
2001-05-02,517.722
2001-05-03,508.136
2001-05-04,505.663
2001-05-07,508.128
2001-05-08,505.08
2001-05-09,503.825
2001-05-10,517.017
2001-05-11,509.159
2001-05-14,506.497
2001-05-15,513.939
2001-05-16,513.909
2001-05-17,517.498
2001-05-18,521.853
2001-05-21,522.377
2001-05-22,522.342
2001-05-23,518.054
2001-05-24,517.817
2001-05-25,513.708
2001-05-28,518.354
2001-05-29,516.531
2001-05-30,515.368
2001-05-31,510.877
2001-06-01,505.809
2001-06-04,506.497
2001-06-05,511.034
2001-06-06,507.533
2001-06-07,507.236
2001-06-08,504.94
2001-06-11,498.964
2001-06-12,497.837
2001-06-13,502.494
2001-06-14,502.738
2001-06-15,500.81
2001-06-18,498.163
2001-06-19,493.511
2001-06-20,491.6
2001-06-21,496.109
2001-06-22,498.129
2001-06-25,505.715
2001-06-26,501.424
2001-06-27,496.38
2001-06-28,487.592
2001-06-29,494.147
2001-07-02,501.65
2001-07-03,495.249
2001-07-04,494.007
2001-07-05,492.763
2001-07-06,488.563
2001-07-09,489.82
2001-07-10,488.999
2001-07-11,484.626
2001-07-12,480.689
2001-07-13,482.038
2001-07-16,478.542
2001-07-17,478.79
2001-07-18,478.005
2001-07-19,479.562
2001-07-20,479.248
2001-07-23,479.092
2001-07-24,478.446
2001-07-25,473.407
2001-07-26,476.596
2001-07-27,481.872
2001-07-30,489.462
2001-07-31,492.558
2001-08-01,496.935
2001-08-02,490.708
2001-08-03,484.154
2001-08-06,486.067
2001-08-07,485.585
2001-08-08,480.375
2001-08-09,478.522
2001-08-10,475.629
2001-08-13,481.657
2001-08-14,486.267
2001-08-15,490.057
2001-08-16,494.306
2001-08-17,488.992
2001-08-20,487.086
2001-08-21,492.425
2001-08-22,496.682
2001-08-23,497.9
2001-08-24,503.121
2001-08-27,503.888
2001-08-28,496.839
2001-08-29,499.354
2001-08-30,491.454
2001-08-31,486.972
2001-09-03,479.738
2001-09-04,477.528
2001-09-05,471.406
2001-09-06,464.658
2001-09-07,454.294
2001-09-10,448.682
2001-09-11,431.556
2001-09-12,431.45
2001-09-13,436.89
2001-09-14,414.781
2001-09-17,428.373
2001-09-18,431.98
2001-09-19,417.997
2001-09-20,391.453
2001-09-21,365.866
2001-09-24,391.911
2001-09-25,401.444
2001-09-26,407.343
2001-09-27,416.089
2001-09-28,429.567
2001-10-01,415.332
2001-10-02,427.836
2001-10-03,425.267
2001-10-04,440.18
2001-10-05,436.871
2001-10-08,435.166
2001-10-09,434.431
2001-10-10,446.949
2001-10-11,445.83
2001-10-12,446.555
2001-10-15,423.386
2001-10-16,424.042
2001-10-17,436.173
2001-10-18,422.288
2001-10-19,408.995
2001-10-22,415.877
2001-10-23,428.765
2001-10-24,426.502
2001-10-25,419.475
2001-10-26,432.591
2001-10-29,431.536
2001-10-30,421.372
2001-10-31,422.401
2001-11-01,431.178
2001-11-02,431.355
2001-11-05,437.32
2001-11-06,431.985
2001-11-07,438.269
2001-11-08,446.411
2001-11-09,441.932
2001-11-12,430.637
2001-11-13,442.874
2001-11-14,433.031
2001-11-15,420.229
2001-11-16,430.65
2001-11-19,430.729
2001-11-20,435.465
2001-11-21,428.917
2001-11-22,436.257
2001-11-23,435.732
2001-11-26,432.342
2001-11-27,426.382
2001-11-28,421.241
2001-11-29,422.923
2001-11-30,426.099
2001-12-03,421.975
2001-12-04,424.822
2001-12-05,431.639
2001-12-06,431.708
2001-12-07,427.032
2001-12-10,418.586
2001-12-11,420.996
2001-12-12,415.489
2001-12-13,410.211
2001-12-14,411.302
2001-12-17,425.17
2001-12-18,421.674
2001-12-19,417.75
2001-12-20,414.227
2001-12-21,423.221
2001-12-24,418.526
2001-12-25,418.526
2001-12-26,418.884
2001-12-27,430.847
2001-12-28,432.135
2001-12-31,436.35
2002-01-01,436.35
2002-01-02,429.649
2002-01-03,433.195
2002-01-04,428.793
2002-01-07,426.802
2002-01-08,423.72
2002-01-09,427.108
2002-01-10,424.729
2002-01-11,429.532
2002-01-14,420.733
2002-01-15,425.649
2002-01-16,419.762
2002-01-17,424.835
2002-01-18,425.404
2002-01-21,425.384
2002-01-22,426.322
2002-01-23,430.216
2002-01-24,436.01
2002-01-25,432.107
2002-01-28,433.992
2002-01-29,427.005
2002-01-30,422.277
2002-01-31,428.674
2002-02-01,431.976
2002-02-04,430.134
2002-02-05,420.993
2002-02-06,419.414
2002-02-07,420.79
2002-02-08,419.544
2002-02-11,426.928
2002-02-12,428.009
2002-02-13,427.277
2002-02-14,431.165
2002-02-15,432.454
2002-02-18,428.189
2002-02-19,421.62
2002-02-20,417.752
2002-02-21,425.644
2002-02-22,425.881
2002-02-25,428.611
2002-02-26,429.334
2002-02-27,433.111
2002-02-28,436.599
2002-03-01,440.12
2002-03-04,450.05
2002-03-05,447.797
2002-03-06,451.273
2002-03-07,458.24
2002-03-08,455.656
2002-03-11,457.696
