Date,NETHERLANDS MID VALUE Mid Cap
1994-05-31,338.439
1994-06-30,336.855
1994-07-29,355.517
1994-08-31,342.685
1994-09-30,335.653
1994-10-31,335.463
1994-11-30,319.641
1994-12-30,327.434
1995-01-31,332.659
1995-02-28,336.015
1995-03-31,328.804
1995-04-28,341.435
1995-05-31,350.648
1995-06-30,354.178
1995-07-31,364.909
1995-08-31,354.598
1995-09-29,359.688
1995-10-31,347.651
1995-11-30,342.183
1995-12-29,350.054
1996-01-31,351.468
1996-02-29,379.25
1996-03-29,375.451
1996-04-30,369.124
1996-05-31,369.832
1996-06-28,378.802
1996-07-31,377.303
1996-08-30,385.504
1996-09-30,387.624
1996-10-31,391.875
1996-11-29,407.203
1996-12-31,419.725
1997-01-31,433.592
1997-02-28,440.364
1997-03-31,457.221
1997-04-30,451.893
1997-05-30,460.551
1997-06-30,475.291
1997-07-31,492.465
1997-08-29,460.013
1997-09-30,501.395
1997-10-31,452.431
1997-11-28,426.321
1997-12-31,433.559
1998-01-30,452.002
1998-02-27,492.905
1998-03-31,504.494
1998-04-30,516.814
1998-05-29,535.925
1998-06-30,514.32
1998-07-31,526.957
1998-08-31,475.578
1998-09-30,407.553
1998-10-30,449.273
1998-11-30,435.519
1998-12-31,447.281
1999-01-29,423.131
1999-02-26,430.51
1999-03-31,419.983
1999-04-30,451.377
1999-05-31,437.744
1999-06-30,447.23
1999-07-30,456.16
1999-08-31,443.032
1999-09-30,437.809
1999-10-29,424.405
1999-11-30,399.033
1999-12-31,416.4
2000-01-31,372.468
2000-02-29,377.393
2000-03-31,380.143
2000-04-28,359.207
2000-05-31,386.157
2000-06-30,408.094
2000-07-31,399.051
2000-08-31,386.527
2000-09-29,362.065
2000-10-31,371.254
2000-11-30,359.414
2000-12-29,378.075
2001-01-31,399.813
2001-02-28,397.096
2001-03-30,354.155
2001-04-30,331.446
2001-05-31,343.531
2001-06-29,304.356
2001-07-31,289.31
2001-08-31,289.48
2001-09-28,242.12
2001-10-31,254.879
2001-11-30,278.137
2001-12-31,287.603
2002-01-31,283.7
2002-02-28,286.059
2002-03-29,318.712
2002-04-30,321.375
2002-05-31,328.774
2002-06-28,319.085
2002-07-31,315.966
2002-08-30,304.378
2002-09-30,285.688
2002-10-31,297.307
2002-11-29,313.154
2002-12-31,313.703
2003-01-31,291.843
2003-02-28,259.611
2003-03-31,245.811
2003-04-30,301.623
2003-05-30,376.579
2003-06-30,373.249
2003-07-31,385.119
2003-08-29,407.291
2003-09-30,412.758
2003-10-31,394.266
2003-11-28,402.467
2003-12-31,427.693
2004-01-30,416.039
2004-02-27,428.849
2004-03-31,420.199
2004-04-30,433.312
2004-05-31,436.879
2004-06-30,442.58
2004-07-30,441.729
2004-08-31,438.579
2004-09-30,455.319
2004-10-29,478.215
2004-11-30,531.983
2004-12-31,548.692
2005-01-31,531.612
2005-02-28,583.993
2005-03-31,557.267
2005-04-29,533.83
2005-05-31,536.78
2005-06-30,561.067
2005-07-29,589.204
2005-08-31,598.335
2005-09-30,609.374
2005-10-31,588.75
2005-11-30,601.829
2005-12-30,638.355
2006-01-31,673.691
2006-02-28,657.914
2006-03-31,705.655
2006-04-28,740.625
2006-05-31,729.732
2006-06-30,728.798
2006-07-31,727.12
2006-08-31,761.424
2006-09-29,809.822
2006-10-31,838.549
2006-11-30,856.753
2006-12-29,917.748
2007-01-31,930.717
2007-02-28,906.339
2007-03-30,921.922
2007-04-30,977.98
2007-05-31,1000.0
2007-06-29,963.39
2007-07-31,983.139
2007-08-31,991.904
2007-09-28,1055.528
2007-10-31,1102.536
2007-11-30,1001.657
2007-12-31,981.899
2008-01-31,887.334
2008-02-29,920.354
2008-03-31,961.519
2008-04-30,1041.212
2008-05-30,1119.148
2008-06-30,1016.069
2008-07-31,995.383
2008-08-29,975.813
2008-09-30,805.834
2008-10-31,535.301
2008-11-28,460.846
2008-12-31,470.895
2009-01-30,444.847
2009-02-27,403.066
2009-03-31,427.427
2009-04-30,512.786
2009-05-29,591.026
2009-06-30,571.074
2009-07-31,648.862
2009-08-31,696.407
2009-09-30,763.844
2009-10-30,758.73
2009-11-30,806.063
2009-12-31,822.091
2010-01-29,784.804
2010-02-26,729.805
2010-03-31,793.281
2010-04-30,806.527
2010-05-31,696.108
2010-06-30,715.116
2010-07-30,808.707
2010-08-31,750.312
2010-09-30,855.626
2010-10-29,898.205
2010-11-30,806.298
2010-12-31,907.02
2011-01-31,957.423
2011-02-28,973.436
2011-03-31,1003.678
2011-04-29,1048.38
2011-05-31,1018.195
2011-06-30,956.141
2011-07-29,895.348
2011-08-31,804.04
2011-09-30,691.097
2011-10-31,787.695
2011-11-30,722.351
2011-12-30,708.025
2012-01-31,749.593
2012-02-29,787.489
2012-03-30,809.354
2012-04-30,781.504
2012-05-31,672.587
2012-06-29,723.315
2012-07-31,735.788
2012-08-31,768.679
2012-09-28,798.794
2012-10-31,818.643
2012-11-30,849.472
2012-12-31,892.539
2013-01-31,940.965
2013-02-28,915.228
2013-03-29,955.497
2013-04-30,1001.325
2013-05-31,1018.397
2013-06-28,1008.612
2013-07-31,1151.895
2013-08-30,1175.131
2013-09-30,1270.302
2013-10-31,1309.159
2013-11-29,1352.425
2013-12-31,1374.904
2014-01-31,1319.217
2014-02-28,1345.023
2014-03-31,1338.932
2014-04-30,1358.827
2014-05-30,1411.706
2014-06-30,1418.471
2014-07-31,1292.171
2014-08-29,1297.386
2014-09-30,1217.537
2014-10-31,1171.2
2014-11-28,1262.753
2014-12-31,1247.187
2015-01-30,1164.555
2015-02-27,1242.833
2015-03-31,1255.368
2015-04-30,1298.353
2015-05-29,1285.175
2015-06-30,1274.647
2015-07-31,1309.517
2015-08-31,1197.959
2015-09-30,1057.081
2015-10-30,1157.214
2015-11-30,1121.168
2015-12-31,1111.352
2016-01-29,1063.288
2016-02-29,1045.793
2016-03-31,1149.365
2016-04-29,1207.97
2016-05-31,1181.189
2016-06-30,1075.39
2016-07-29,1106.84
2016-08-31,1179.353
2016-09-30,1172.55
2016-10-31,1155.798
2016-11-30,1115.234
2016-12-30,1158.237
2017-01-31,1205.539
2017-02-28,1169.133
2017-03-31,1197.901
2017-04-28,1234.318
2017-05-31,1305.121
2017-06-30,1293.517
2017-07-31,1426.996
2017-08-31,1407.064
2017-09-29,1444.542
2017-10-31,1455.538
2017-11-30,1504.828
2017-12-29,1505.173
2018-01-31,1639.023
2018-02-28,1588.919
2018-03-30,1531.683
2018-04-30,1592.121
2018-05-31,1491.289
2018-06-29,1452.379
2018-07-31,1554.68
2018-08-31,1556.945
2018-09-28,1597.344
2018-10-31,1499.954
2018-11-30,1502.539
2018-12-31,1334.015
2019-01-31,1455.139
2019-02-28,1498.014
2019-03-29,1457.036
2019-04-30,1574.247
2019-05-31,1421.285
2019-06-28,1547.721
2019-07-31,1492.353
2019-08-30,1391.642
