Date,NETHERLANDS SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.59
2001-01-03,98.909
2001-01-04,98.694
2001-01-05,98.178
2001-01-08,96.852
2001-01-09,95.945
2001-01-10,96.042
2001-01-11,98.416
2001-01-12,97.765
2001-01-15,97.675
2001-01-16,97.71
2001-01-17,97.647
2001-01-18,99.479
2001-01-19,99.572
2001-01-22,99.724
2001-01-23,100.702
2001-01-24,99.609
2001-01-25,100.195
2001-01-26,99.582
2001-01-29,99.48
2001-01-30,100.968
2001-01-31,103.352
2001-02-01,103.784
2001-02-02,101.812
2001-02-05,102.361
2001-02-06,101.219
2001-02-07,101.56
2001-02-08,100.743
2001-02-09,101.244
2001-02-12,102.84
2001-02-13,102.613
2001-02-14,102.564
2001-02-15,101.428
2001-02-16,103.009
2001-02-19,103.311
2001-02-20,101.744
2001-02-21,100.992
2001-02-22,100.359
2001-02-23,99.461
2001-02-26,100.366
2001-02-27,101.522
2001-02-28,101.679
2001-03-01,102.563
2001-03-02,103.095
2001-03-05,104.604
2001-03-06,103.993
2001-03-07,101.658
2001-03-08,101.989
2001-03-09,101.724
2001-03-12,99.669
2001-03-13,97.171
2001-03-14,95.334
2001-03-15,93.979
2001-03-16,92.621
2001-03-19,92.607
2001-03-20,93.47
2001-03-21,91.693
2001-03-22,86.81
2001-03-23,88.913
2001-03-26,91.409
2001-03-27,91.705
2001-03-28,91.021
2001-03-29,89.453
2001-03-30,90.144
2001-04-02,89.532
2001-04-03,88.901
2001-04-04,89.96
2001-04-05,91.799
2001-04-06,91.245
2001-04-09,91.041
2001-04-10,89.661
2001-04-11,92.076
2001-04-12,94.443
2001-04-13,94.443
2001-04-16,93.476
2001-04-17,93.148
2001-04-18,93.82
2001-04-19,94.634
2001-04-20,95.671
2001-04-23,95.516
2001-04-24,96.376
2001-04-25,97.119
2001-04-26,97.698
2001-04-27,96.501
2001-04-30,95.853
2001-05-01,97.055
2001-05-02,97.674
2001-05-03,98.181
2001-05-04,98.42
2001-05-07,99.047
2001-05-08,99.323
2001-05-09,99.015
2001-05-10,99.585
2001-05-11,98.535
2001-05-14,98.162
2001-05-15,98.21
2001-05-16,98.131
2001-05-17,98.546
2001-05-18,98.755
2001-05-21,98.161
2001-05-22,97.493
2001-05-23,95.973
2001-05-24,96.268
2001-05-25,95.386
2001-05-28,96.042
2001-05-29,95.584
2001-05-30,95.264
2001-05-31,93.474
2001-06-01,92.667
2001-06-04,92.793
2001-06-05,93.541
2001-06-06,93.416
2001-06-07,93.558
2001-06-08,93.592
2001-06-11,92.317
2001-06-12,92.149
2001-06-13,92.609
2001-06-14,92.935
2001-06-15,92.089
2001-06-18,91.087
2001-06-19,90.128
2001-06-20,89.805
2001-06-21,91.138
2001-06-22,90.456
2001-06-25,90.773
2001-06-26,89.504
2001-06-27,87.746
2001-06-28,86.133
2001-06-29,87.944
2001-07-02,87.043
2001-07-03,87.559
2001-07-04,88.523
2001-07-05,87.541
2001-07-06,87.72
2001-07-09,88.035
2001-07-10,88.98
2001-07-11,88.113
2001-07-12,87.708
2001-07-13,87.851
2001-07-16,87.079
2001-07-17,86.166
2001-07-18,86.925
2001-07-19,87.605
2001-07-20,87.635
2001-07-23,87.046
2001-07-24,88.212
2001-07-25,88.304
2001-07-26,88.201
2001-07-27,88.043
2001-07-30,87.923
2001-07-31,87.69
2001-08-01,88.475
