Date,NETHERLANDS SMALL VALUE Small Cap
1994-05-31,181.238
1994-06-30,179.977
1994-07-29,184.916
1994-08-31,190.525
1994-09-30,190.037
1994-10-31,196.049
1994-11-30,187.835
1994-12-30,191.396
1995-01-31,197.268
1995-02-28,204.332
1995-03-31,205.887
1995-04-28,211.367
1995-05-31,216.047
1995-06-30,221.508
1995-07-31,228.316
1995-08-31,213.483
1995-09-29,216.896
1995-10-31,213.362
1995-11-30,213.257
1995-12-29,217.978
1996-01-31,221.38
1996-02-29,234.386
1996-03-29,252.239
1996-04-30,250.361
1996-05-31,267.112
1996-06-28,270.135
1996-07-31,264.479
1996-08-30,274.128
1996-09-30,281.799
1996-10-31,291.809
1996-11-29,301.483
1996-12-31,307.89
1997-01-31,321.442
1997-02-28,326.066
1997-03-31,333.561
1997-04-30,320.928
1997-05-30,344.965
1997-06-30,349.247
1997-07-31,355.517
1997-08-29,348.466
1997-09-30,373.179
1997-10-31,342.295
1997-11-28,324.138
1997-12-31,316.87
1998-01-30,313.504
1998-02-27,345.453
1998-03-31,355.786
1998-04-30,365.097
1998-05-29,375.44
1998-06-30,370.592
1998-07-31,361.172
1998-08-31,326.16
1998-09-30,302.817
1998-10-30,308.001
1998-11-30,303.125
1998-12-31,305.612
1999-01-29,277.076
1999-02-26,266.345
1999-03-31,293.64
1999-04-30,306.159
1999-05-31,297.4
1999-06-30,300.317
1999-07-30,313.194
1999-08-31,308.623
1999-09-30,295.72
1999-10-29,286.202
1999-11-30,274.625
1999-12-31,285.884
2000-01-31,279.73
2000-02-29,286.353
2000-03-31,292.973
2000-04-28,275.379
2000-05-31,288.055
2000-06-30,302.964
2000-07-31,305.092
2000-08-31,303.636
2000-09-29,300.239
2000-10-31,292.209
2000-11-30,302.069
2000-12-29,317.732
2001-01-31,332.458
2001-02-28,331.773
2001-03-30,299.775
2001-04-30,315.597
2001-05-31,312.944
2001-06-29,300.623
2001-07-31,301.708
2001-08-31,293.791
2001-09-28,260.602
2001-10-31,263.812
2001-11-30,263.563
2001-12-31,272.038
2002-01-31,272.233
2002-02-28,279.804
2002-03-29,296.168
2002-04-30,312.02
2002-05-31,315.343
2002-06-28,298.261
2002-07-31,267.224
2002-08-30,257.996
2002-09-30,219.33
2002-10-31,237.186
2002-11-29,245.634
2002-12-31,247.328
2003-01-31,237.301
2003-02-28,213.393
2003-03-31,214.476
2003-04-30,247.901
2003-05-30,286.716
2003-06-30,291.538
2003-07-31,292.8
2003-08-29,306.279
2003-09-30,323.158
2003-10-31,337.815
2003-11-28,359.23
2003-12-31,383.69
2004-01-30,401.055
2004-02-27,422.519
2004-03-31,424.675
2004-04-30,408.649
2004-05-31,405.72
2004-06-30,415.851
2004-07-30,407.274
2004-08-31,405.766
2004-09-30,427.614
2004-10-29,429.707
2004-11-30,477.334
2004-12-31,507.492
2005-01-31,513.061
2005-02-28,542.292
2005-03-31,530.788
2005-04-29,503.259
2005-05-31,521.568
2005-06-30,543.558
2005-07-29,572.46
2005-08-31,577.968
2005-09-30,591.994
2005-10-31,548.085
2005-11-30,561.966
2005-12-30,579.088
2006-01-31,639.328
2006-02-28,682.404
2006-03-31,711.929
2006-04-28,752.384
2006-05-31,714.919
2006-06-30,707.791
2006-07-31,725.254
2006-08-31,717.697
2006-09-29,730.066
2006-10-31,767.648
2006-11-30,795.569
2006-12-29,847.937
2007-01-31,851.931
2007-02-28,859.39
2007-03-30,909.165
2007-04-30,973.894
2007-05-31,1000.0
2007-06-29,1001.164
2007-07-31,1006.252
2007-08-31,947.588
2007-09-28,962.671
2007-10-31,1034.751
2007-11-30,983.395
2007-12-31,959.004
2008-01-31,876.861
2008-02-29,971.616
2008-03-31,1016.372
2008-04-30,1044.169
2008-05-30,1050.669
2008-06-30,926.558
2008-07-31,876.619
2008-08-29,867.161
2008-09-30,714.835
2008-10-31,530.251
2008-11-28,458.541
2008-12-31,514.943
2009-01-30,456.604
2009-02-27,408.404
2009-03-31,436.244
2009-04-30,507.626
2009-05-29,592.49
2009-06-30,588.752
2009-07-31,639.226
2009-08-31,753.246
2009-09-30,805.523
2009-10-30,781.665
2009-11-30,809.656
2009-12-31,814.922
2010-01-29,790.246
2010-02-26,763.2
2010-03-31,809.915
2010-04-30,797.032
2010-05-31,697.684
2010-06-30,680.158
2010-07-30,749.837
2010-08-31,718.673
2010-09-30,851.81
2010-10-29,906.575
2010-11-30,823.792
2010-12-31,944.392
2011-01-31,943.866
2011-02-28,960.59
2011-03-31,1010.498
2011-04-29,1083.099
2011-05-31,1028.134
2011-06-30,964.798
2011-07-29,881.718
2011-08-31,788.227
2011-09-30,674.864
2011-10-31,714.648
2011-11-30,620.834
2011-12-30,623.088
2012-01-31,672.533
2012-02-29,732.204
2012-03-30,748.204
2012-04-30,678.196
