Date,NETHERLANDS SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,425.622
1994-06-30,425.65
1994-07-29,447.306
1994-08-31,453.363
1994-09-30,450.776
1994-10-31,465.061
1994-11-30,442.539
1994-12-30,458.894
1995-01-31,469.841
1995-02-28,486.138
1995-03-31,499.177
1995-04-28,509.078
1995-05-31,509.529
1995-06-30,528.609
1995-07-31,535.392
1995-08-31,505.991
1995-09-29,540.951
1995-10-31,540.785
1995-11-30,534.859
1995-12-29,544.803
1996-01-31,578.973
1996-02-29,613.462
1996-03-29,648.19
1996-04-30,662.242
1996-05-31,709.94
1996-06-28,716.712
1996-07-31,710.812
1996-08-30,742.888
1996-09-30,767.528
1996-10-31,766.955
1996-11-29,799.293
1996-12-31,805.724
1997-01-31,834.521
1997-02-28,866.329
1997-03-31,880.888
1997-04-30,870.854
1997-05-30,953.538
1997-06-30,965.5
1997-07-31,1026.615
1997-08-29,985.943
1997-09-30,1019.504
1997-10-31,995.427
1997-11-28,973.069
1997-12-31,962.372
1998-01-30,1010.341
1998-02-27,1107.806
1998-03-31,1193.313
1998-04-30,1209.727
1998-05-29,1269.216
1998-06-30,1277.977
1998-07-31,1307.814
1998-08-31,1159.279
1998-09-30,1070.694
1998-10-30,1080.972
1998-11-30,1131.427
1998-12-31,1163.62
1999-01-29,1152.279
1999-02-26,1107.408
1999-03-31,1071.43
1999-04-30,1092.674
1999-05-31,1059.42
1999-06-30,1096.548
1999-07-30,1124.48
1999-08-31,1151.374
1999-09-30,1142.243
1999-10-29,1096.019
1999-11-30,1136.104
1999-12-31,1317.227
2000-01-31,1215.834
2000-02-29,1337.993
2000-03-31,1338.688
2000-04-28,1199.086
2000-05-31,1144.418
2000-06-30,1168.705
2000-07-31,1139.751
2000-08-31,1096.811
2000-09-29,1019.152
2000-10-31,968.105
2000-11-30,859.281
2000-12-29,883.682
2001-01-31,871.226
2001-02-28,817.879
2001-03-30,737.845
2001-04-30,760.502
2001-05-31,745.349
2001-06-29,667.009
2001-07-31,652.506
2001-08-31,631.117
2001-09-28,557.59
2001-10-31,549.626
2001-11-30,570.181
2001-12-31,583.649
2002-01-31,567.588
2002-02-28,545.484
2002-03-29,576.578
2002-04-30,563.721
2002-05-31,557.119
2002-06-28,527.444
2002-07-31,444.158
2002-08-30,452.55
2002-09-30,384.189
2002-10-31,419.685
