Date,NETHERLANDS SMID VALUE SMID (Small+Mid Cap)
1994-05-31,240.401
1994-06-30,239.0
1994-07-29,248.815
1994-08-31,248.221
1994-09-30,245.433
1994-10-31,249.431
1994-11-30,238.388
1994-12-30,243.53
1995-01-31,249.25
1995-02-28,255.068
1995-03-31,253.429
1995-04-28,261.812
1995-05-31,268.662
1995-06-30,273.381
1995-07-31,281.726
1995-08-31,268.585
1995-09-29,272.655
1995-10-31,266.017
1995-11-30,263.976
1995-12-29,269.936
1996-01-31,272.559
1996-02-29,291.374
1996-03-29,300.762
1996-04-30,297.264
1996-05-31,308.336
1996-06-28,313.964
1996-07-31,310.263
1996-08-30,319.144
1996-09-30,324.232
1996-10-31,331.489
1996-11-29,343.563
1996-12-31,352.545
1997-01-31,366.078
1997-02-28,371.559
1997-03-31,382.992
1997-04-30,373.716
1997-05-30,391.702
1997-06-30,401.187
1997-07-31,412.953
1997-08-29,392.751
1997-09-30,425.302
1997-10-31,386.117
1997-11-28,364.51
1997-12-31,365.605
1998-01-30,374.435
1998-02-27,409.746
1998-03-31,420.267
1998-04-30,431.087
1998-05-29,446.394
1998-06-30,433.253
1998-07-31,435.146
1998-08-31,392.845
1998-09-30,347.822
1998-10-30,371.095
1998-11-30,362.063
1998-12-31,369.709
1999-01-29,345.235
1999-02-26,345.402
1999-03-31,349.731
1999-04-30,372.446
1999-05-31,361.694
1999-06-30,367.982
1999-07-30,378.381
1999-08-31,369.412
1999-09-30,360.636
1999-10-29,349.408
1999-11-30,331.182
1999-12-31,345.256
2000-01-31,320.516
2000-02-29,326.177
2000-03-31,330.67
2000-04-28,312.139
2000-05-31,332.257
2000-06-30,350.413
2000-07-31,347.002
2000-08-31,340.122
2000-09-29,326.425
2000-10-31,327.199
2000-11-30,326.046
2000-12-29,342.982
2001-01-31,360.816
2001-02-28,359.203
2001-03-30,322.4
2001-04-30,319.988
2001-05-31,325.156
2001-06-29,300.393
2001-07-31,293.935
2001-08-31,289.933
2001-09-28,250.289
2001-10-31,258.02
2001-11-30,269.01
2001-12-31,277.831
2002-01-31,276.268
2002-02-28,281.583
2002-03-29,305.223
2002-04-30,316.289
2002-05-31,321.737
2002-06-28,305.633
2002-07-31,278.433
2002-08-30,268.813
2002-09-30,232.701
2002-10-31,250.085
2002-11-29,259.846
2002-12-31,261.322
2003-01-31,248.94
2003-02-28,223.307
2003-03-31,220.683
2003-04-30,260.63
2003-05-30,309.315
2003-06-30,311.272
2003-07-31,316.159
2003-08-29,332.298
2003-09-30,344.735
2003-10-31,347.46
2003-11-28,363.454
2003-12-31,387.713
2004-01-30,398.397
2004-02-27,417.641
2004-03-31,418.093
2004-04-30,409.736
2004-05-31,408.737
2004-06-30,417.708
2004-07-30,411.105
2004-08-31,409.252
2004-09-30,429.679
2004-10-29,436.804
2004-11-30,485.503
2004-12-31,511.422
2005-01-31,510.537
2005-02-28,545.83
2005-03-31,530.32
2005-04-29,506.393
2005-05-31,520.474
2005-06-30,543.13
2005-07-29,571.367
2005-08-31,578.278
2005-09-30,590.895
2005-10-31,556.665
2005-11-30,570.383
2005-12-30,594.469
2006-01-31,644.852
2006-02-28,665.745
2006-03-31,701.799
2006-04-28,741.662
2006-05-31,715.94
2006-06-30,710.78
2006-07-31,722.524
2006-08-31,727.803
2006-09-29,751.068
2006-10-31,785.881
2006-11-30,810.928
2006-12-29,865.619
2007-01-31,872.172
2007-02-28,870.559
2007-03-30,910.58
2007-04-30,974.318
2007-05-31,1000.0
2007-06-29,993.628
2007-07-31,1001.681
2007-08-31,956.833
2007-09-28,981.733
2007-10-31,1048.831
2007-11-30,987.395
2007-12-31,964.328
2008-01-31,878.687
2008-02-29,955.517
2008-03-31,1000.547
2008-04-30,1046.822
2008-05-30,1076.803
2008-06-30,959.827
2008-07-31,920.898
2008-08-29,907.978
2008-09-30,749.031
2008-10-31,532.506
2008-11-28,459.531
2008-12-31,492.895
2009-01-30,450.611
2009-02-27,405.615
2009-03-31,431.723
2009-04-30,511.679
2009-05-29,593.712
2009-06-30,581.486
2009-07-31,646.525
2009-08-31,726.361
2009-09-30,786.758
2009-10-30,772.535
2009-11-30,810.907
2009-12-31,822.326
2010-01-29,790.347
2010-02-26,747.226
2010-03-31,804.119
2010-04-30,807.956
2010-05-31,701.03
2010-06-30,707.339
2010-07-30,793.239
2010-08-31,744.168
2010-09-30,859.974
2010-10-29,907.124
2010-11-30,818.057
2010-12-31,926.406
2011-01-31,959.439
2011-02-28,975.686
2011-03-31,1012.878
2011-04-29,1067.955
2011-05-31,1029.792
2011-06-30,966.793
2011-07-29,897.661
2011-08-31,805.097
2011-09-30,691.07
2011-10-31,768.233
2011-11-30,692.53
2011-12-30,684.891
2012-01-31,730.482
2012-02-29,778.154
2012-03-30,798.044
2012-04-30,752.887
2012-05-31,646.791
2012-06-29,694.752
2012-07-31,684.688
2012-08-31,714.325
2012-09-28,744.526
2012-10-31,772.826
2012-11-30,788.805
2012-12-31,836.706
2013-01-31,876.979
2013-02-28,842.191
2013-03-29,868.684
2013-04-30,913.278
2013-05-31,936.008
2013-06-28,907.544
2013-07-31,1023.047
2013-08-30,1030.329
2013-09-30,1116.418
2013-10-31,1165.614
2013-11-29,1188.552
2013-12-31,1207.5
2014-01-31,1171.81
2014-02-28,1189.519
2014-03-31,1188.575
2014-04-30,1199.527
2014-05-30,1228.491
2014-06-30,1224.951
2014-07-31,1118.635
2014-08-29,1123.565
2014-09-30,1051.939
2014-10-31,908.418
2014-11-28,960.226
2014-12-31,941.594
2015-01-30,897.275
2015-02-27,970.927
2015-03-31,980.021
2015-04-30,1018.587
2015-05-29,1003.385
2015-06-30,983.144
2015-07-31,1009.208
2015-08-31,935.345
2015-09-30,853.478
2015-10-30,941.059
2015-11-30,905.216
2015-12-31,901.289
2016-01-29,856.932
2016-02-29,852.637
2016-03-31,932.495
2016-04-29,963.379
2016-05-31,945.694
2016-06-30,854.923
2016-07-29,881.619
2016-08-31,931.645
2016-09-30,942.621
2016-10-31,934.511
2016-11-30,897.886
2016-12-30,931.23
2017-01-31,966.775
2017-02-28,951.609
2017-03-31,982.032
2017-04-28,1029.004
2017-05-31,1084.335
2017-06-30,1083.488
2017-07-31,1175.282
2017-08-31,1155.977
2017-09-29,1197.187
2017-10-31,1202.826
2017-11-30,1229.065
2017-12-29,1263.687
2018-01-31,1350.411
2018-02-28,1304.271
2018-03-30,1265.057
2018-04-30,1287.837
2018-05-31,1224.208
2018-06-29,1200.627
2018-07-31,1240.087
2018-08-31,1236.022
2018-09-28,1244.949
