Date,NETHERLANDS Standard (Large+Mid Cap)
2001-01-01,9970.487
2001-01-02,10019.744
2001-01-03,9961.114
2001-01-04,10039.541
2001-01-05,10055.253
2001-01-08,9968.988
2001-01-09,9877.169
2001-01-10,9806.144
2001-01-11,10032.321
2001-01-12,10050.149
2001-01-15,10027.814
2001-01-16,9877.391
2001-01-17,9900.12
2001-01-18,9914.662
2001-01-19,9744.377
2001-01-22,9756.342
2001-01-23,9811.777
2001-01-24,9750.235
2001-01-25,9755.781
2001-01-26,9727.358
2001-01-29,9765.634
2001-01-30,9764.613
2001-01-31,9903.133
2001-02-01,9891.391
2001-02-02,9801.726
2001-02-05,9886.789
2001-02-06,9832.564
2001-02-07,9737.574
2001-02-08,9642.115
2001-02-09,9689.269
2001-02-12,9744.771
2001-02-13,9679.179
2001-02-14,9585.618
2001-02-15,9458.086
2001-02-16,9517.52
2001-02-19,9485.395
2001-02-20,9349.744
2001-02-21,9264.001
2001-02-22,9101.569
2001-02-23,8977.659
2001-02-26,9113.773
2001-02-27,9262.472
2001-02-28,9259.763
2001-03-01,9261.137
2001-03-02,9314.442
2001-03-05,9272.023
2001-03-06,9414.914
2001-03-07,9367.968
2001-03-08,9375.463
2001-03-09,9385.425
2001-03-12,9189.014
2001-03-13,8949.346
2001-03-14,8805.203
2001-03-15,8802.811
2001-03-16,8490.656
2001-03-19,8407.835
2001-03-20,8526.817
2001-03-21,8343.028
2001-03-22,7889.262
2001-03-23,8094.363
2001-03-26,8391.545
2001-03-27,8558.932
2001-03-28,8386.058
2001-03-29,8331.119
2001-03-30,8424.865
2001-04-02,8402.584
2001-04-03,8188.538
2001-04-04,8296.758
2001-04-05,8450.077
2001-04-06,8500.357
2001-04-09,8631.622
2001-04-10,8723.988
2001-04-11,8715.547
2001-04-12,8807.152
2001-04-13,8807.152
2001-04-16,8716.957
2001-04-17,8647.61
2001-04-18,8748.995
2001-04-19,8809.046
2001-04-20,8870.624
2001-04-23,8746.84
2001-04-24,8836.226
2001-04-25,8876.984
2001-04-26,9050.827
2001-04-27,9086.474
2001-04-30,9025.392
2001-05-01,9104.325
2001-05-02,9100.013
2001-05-03,8922.084
2001-05-04,8879.552
2001-05-07,8920.04
2001-05-08,8851.602
2001-05-09,8798.296
2001-05-10,9038.161
2001-05-11,8927.353
2001-05-14,8860.711
2001-05-15,8968.315
2001-05-16,8951.264
2001-05-17,9023.071
2001-05-18,9122.51
2001-05-21,9091.354
2001-05-22,9087.391
2001-05-23,8945.496
2001-05-24,8904.718
2001-05-25,8817.355
2001-05-28,8920.047
2001-05-29,8830.617
2001-05-30,8745.638
2001-05-31,8695.534
2001-06-01,8621.785
2001-06-04,8633.499
2001-06-05,8766.765
2001-06-06,8741.58
2001-06-07,8758.671
2001-06-08,8728.523
2001-06-11,8588.064
2001-06-12,8541.059
2001-06-13,8636.561
2001-06-14,8588.205
2001-06-15,8492.111
2001-06-18,8485.299
2001-06-19,8415.441
2001-06-20,8330.777
2001-06-21,8383.836
2001-06-22,8488.619
2001-06-25,8600.567
2001-06-26,8517.44
2001-06-27,8455.702
2001-06-28,8352.472
2001-06-29,8490.314
2001-07-02,8614.716
2001-07-03,8513.103
2001-07-04,8483.078
2001-07-05,8415.933
2001-07-06,8335.079
2001-07-09,8351.894
2001-07-10,8365.825
2001-07-11,8293.324
2001-07-12,8242.428
2001-07-13,8233.751
2001-07-16,8174.779
2001-07-17,8141.927
2001-07-18,8171.827
2001-07-19,8203.957
2001-07-20,8180.866
2001-07-23,8186.365
2001-07-24,8194.588
2001-07-25,8083.551
2001-07-26,8121.178
2001-07-27,8213.493
2001-07-30,8350.581
2001-07-31,8417.506
2001-08-01,8502.418
2001-08-02,8452.625
2001-08-03,8368.11
2001-08-06,8369.639
2001-08-07,8365.366
2001-08-08,8279.417
2001-08-09,8278.001
2001-08-10,8284.414
2001-08-13,8386.245
2001-08-14,8466.631
2001-08-15,8511.552
2001-08-16,8511.261
2001-08-17,8413.394
2001-08-20,8395.164
2001-08-21,8488.563
2001-08-22,8549.02
2001-08-23,8579.616
2001-08-24,8677.607
2001-08-27,8709.632
2001-08-28,8556.215
2001-08-29,8604.148
2001-08-30,8455.967
2001-08-31,8389.005
2001-09-03,8260.667
2001-09-04,8192.448
2001-09-05,8047.192
2001-09-06,7881.363
2001-09-07,7741.728
2001-09-10,7657.254
2001-09-11,7278.079
2001-09-12,7254.769
2001-09-13,7359.057
2001-09-14,6936.428
2001-09-17,7163.451
2001-09-18,7206.744
2001-09-19,7051.05
2001-09-20,6627.717
2001-09-21,6270.398
2001-09-24,6667.314
2001-09-25,6902.773
2001-09-26,6991.62
2001-09-27,7014.304
2001-09-28,7271.367
2001-10-01,7058.752
2001-10-02,7208.339
2001-10-03,7157.657
2001-10-04,7459.156
2001-10-05,7438.875
2001-10-08,7445.891
2001-10-09,7445.118
2001-10-10,7635.345
2001-10-11,7658.312
2001-10-12,7644.82
2001-10-15,7267.678
2001-10-16,7308.539
2001-10-17,7492.922
2001-10-18,7239.863
2001-10-19,7055.109
2001-10-22,7154.36
2001-10-23,7373.743
