Date,NETHERLANDS GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,124.912
1975-02-28,136.462
1975-03-31,135.864
1975-04-30,140.737
1975-05-30,134.724
1975-06-30,132.781
1975-07-31,124.927
1975-08-29,123.312
1975-09-30,113.869
1975-10-31,123.545
1975-11-28,134.111
1975-12-31,137.21
1976-01-30,142.77
1976-02-27,142.905
1976-03-31,143.861
1976-04-30,144.958
1976-05-31,134.935
1976-06-30,134.467
1976-07-30,136.064
1976-08-31,133.708
1976-09-30,135.28
1976-10-29,135.084
1976-11-30,140.996
1976-12-31,150.645
1977-01-31,152.484
1977-02-28,157.268
1977-03-31,158.874
1977-04-29,173.609
1977-05-31,165.638
1977-06-30,169.656
1977-07-29,170.441
1977-08-31,162.284
1977-09-30,170.192
1977-10-31,170.658
1977-11-30,173.935
1977-12-30,174.775
1978-01-31,176.969
1978-02-28,181.055
1978-03-31,190.007
1978-04-28,186.789
1978-05-31,184.754
1978-06-30,191.447
1978-07-31,199.567
1978-08-31,208.616
1978-09-29,210.946
1978-10-31,219.44
1978-11-30,201.959
1978-12-29,207.478
1979-01-31,220.791
1979-02-28,220.974
1979-03-30,232.683
1979-04-30,231.611
1979-05-31,226.556
1979-06-29,241.938
1979-07-31,242.933
1979-08-31,257.389
1979-09-28,274.394
1979-10-31,261.058
1979-11-30,271.661
1979-12-31,274.3
1980-01-31,289.799
1980-02-29,300.126
1980-03-31,249.88
1980-04-30,271.654
1980-05-30,290.108
1980-06-30,311.287
1980-07-31,315.244
1980-08-29,316.96
1980-09-30,323.763
1980-10-31,356.798
1980-11-28,384.163
1980-12-31,353.663
1981-01-30,332.086
1981-02-27,324.556
1981-03-31,295.904
1981-04-30,274.627
1981-05-29,252.333
1981-06-30,246.002
1981-07-31,251.692
1981-08-31,251.028
1981-09-30,224.651
1981-10-30,256.095
1981-11-30,285.005
1981-12-31,275.404
1982-01-29,267.635
1982-02-26,241.385
1982-03-31,260.842
1982-04-30,284.618
1982-05-31,283.874
1982-06-30,256.85
1982-07-30,261.043
1982-08-31,267.263
1982-09-30,267.444
1982-10-29,287.988
1982-11-30,283.097
1982-12-31,312.794
1983-01-31,308.699
