Date,NETHERLANDS VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,125.88
1975-02-28,137.919
1975-03-31,135.756
1975-04-30,139.2
1975-05-30,133.781
1975-06-30,140.905
1975-07-31,132.587
1975-08-29,134.052
1975-09-30,123.005
1975-10-31,134.995
1975-11-28,144.855
1975-12-31,156.155
1976-01-30,171.918
1976-02-27,168.844
1976-03-31,179.686
1976-04-30,180.432
1976-05-31,178.338
1976-06-30,174.47
1976-07-30,173.702
1976-08-31,173.605
1976-09-30,168.098
1976-10-29,164.78
1976-11-30,169.76
1976-12-31,179.775
1977-01-31,178.253
1977-02-28,183.553
1977-03-31,190.244
1977-04-29,210.906
1977-05-31,197.774
1977-06-30,194.687
1977-07-29,201.751
1977-08-31,191.655
1977-09-30,191.09
1977-10-31,196.659
1977-11-30,201.098
1977-12-30,209.158
1978-01-31,210.341
1978-02-28,216.501
1978-03-31,222.784
1978-04-28,219.105
1978-05-31,227.972
1978-06-30,227.209
1978-07-31,232.941
1978-08-31,258.463
1978-09-29,259.532
1978-10-31,264.351
1978-11-30,242.804
1978-12-29,258.442
1979-01-31,259.571
1979-02-28,253.163
1979-03-30,260.764
1979-04-30,263.868
1979-05-31,242.684
1979-06-29,257.901
1979-07-31,261.987
1979-08-31,269.083
1979-09-28,278.375
1979-10-31,254.479
1979-11-30,251.556
1979-12-31,258.088
1980-01-31,252.826
1980-02-29,236.268
1980-03-31,204.286
1980-04-30,241.833
1980-05-30,244.833
1980-06-30,251.195
1980-07-31,266.972
1980-08-29,260.574
1980-09-30,255.56
1980-10-31,240.675
1980-11-28,235.408
1980-12-31,228.638
1981-01-30,224.416
1981-02-27,234.44
1981-03-31,244.247
1981-04-30,247.32
1981-05-29,231.644
1981-06-30,239.167
1981-07-31,227.202
1981-08-31,231.076
1981-09-30,216.101
1981-10-30,224.23
1981-11-30,241.966
1981-12-31,239.494
1982-01-29,252.904
1982-02-26,248.468
1982-03-31,252.901
1982-04-30,276.905
1982-05-31,267.236
1982-06-30,242.637
1982-07-30,242.354
1982-08-31,246.21
1982-09-30,248.349
1982-10-29,270.889
1982-11-30,285.838
1982-12-31,311.377
1983-01-31,342.202
1983-02-28,366.05
1983-03-31,430.847
1983-04-29,456.808
1983-05-31,448.362
1983-06-30,495.686
1983-07-29,490.994
1983-08-31,489.701
1983-09-30,489.583
1983-10-31,465.479
1983-11-30,472.751
1983-12-30,485.202
1984-01-31,543.44
1984-02-29,558.112
1984-03-30,567.73
1984-04-30,553.333
1984-05-31,534.655
1984-06-29,531.889
1984-07-31,470.647
1984-08-31,559.206
1984-09-28,586.571
1984-10-31,566.76
1984-11-30,553.483
1984-12-31,555.428
1985-01-31,604.252
1985-02-28,606.802
1985-03-29,643.07
1985-04-30,671.981
1985-05-31,654.504
1985-06-28,669.097
1985-07-31,717.395
1985-08-30,731.583
1985-09-30,730.269
