Date,NEW ZEALAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,229.786
2001-01-02,229.422
2001-01-03,227.974
2001-01-04,231.359
2001-01-05,237.214
2001-01-08,235.888
2001-01-09,235.606
2001-01-10,232.326
2001-01-11,234.675
2001-01-12,235.724
2001-01-15,236.522
2001-01-16,239.471
2001-01-17,240.004
2001-01-18,242.698
2001-01-19,246.736
2001-01-22,249.529
2001-01-23,247.148
2001-01-24,240.192
2001-01-25,236.328
2001-01-26,237.265
2001-01-29,236.995
2001-01-30,241.574
2001-01-31,245.832
2001-02-01,250.409
2001-02-02,247.184
2001-02-05,243.444
2001-02-06,243.471
2001-02-07,244.197
2001-02-08,241.5
2001-02-09,242.526
2001-02-12,245.026
2001-02-13,242.587
2001-02-14,234.723
2001-02-15,231.178
2001-02-16,234.368
2001-02-19,235.329
2001-02-20,237.286
2001-02-21,236.846
2001-02-22,234.281
2001-02-23,236.884
2001-02-26,236.449
2001-02-27,238.46
2001-02-28,234.143
2001-03-01,238.528
2001-03-02,241.991
2001-03-05,240.874
2001-03-06,242.975
2001-03-07,244.487
2001-03-08,244.308
2001-03-09,243.591
2001-03-12,242.785
2001-03-13,238.104
2001-03-14,241.283
2001-03-15,241.043
2001-03-16,243.059
2001-03-19,241.938
2001-03-20,247.079
2001-03-21,241.881
2001-03-22,234.513
2001-03-23,239.282
2001-03-26,235.968
2001-03-27,235.0
2001-03-28,233.12
2001-03-29,232.265
2001-03-30,229.871
2001-04-02,230.637
2001-04-03,232.295
2001-04-04,231.443
2001-04-05,232.073
2001-04-06,231.931
2001-04-09,231.83
2001-04-10,230.726
2001-04-11,230.961
2001-04-12,232.262
2001-04-13,232.262
2001-04-16,232.704
2001-04-17,230.666
2001-04-18,231.401
2001-04-19,240.792
2001-04-20,246.976
2001-04-23,241.073
2001-04-24,239.655
2001-04-25,241.124
2001-04-26,242.43
2001-04-27,243.391
2001-04-30,244.851
2001-05-01,247.313
2001-05-02,249.875
2001-05-03,248.584
2001-05-04,244.442
2001-05-07,244.409
2001-05-08,242.244
2001-05-09,244.132
2001-05-10,246.73
2001-05-11,247.582
2001-05-14,244.574
2001-05-15,244.154
2001-05-16,245.055
2001-05-17,248.946
2001-05-18,249.495
2001-05-21,251.046
2001-05-22,249.278
2001-05-23,242.696
2001-05-24,243.556
2001-05-25,244.567
2001-05-28,243.526
2001-05-29,242.254
2001-05-30,236.966
2001-05-31,231.445
2001-06-01,231.843
2001-06-04,231.25
2001-06-05,238.198
2001-06-06,242.646
2001-06-07,243.925
