Date,NEW ZEALAND MID GROWTH Mid Cap
2001-01-01,165.793
2001-01-02,165.531
2001-01-03,162.537
2001-01-04,164.475
2001-01-05,167.266
2001-01-08,164.995
2001-01-09,164.566
2001-01-10,161.469
2001-01-11,164.438
2001-01-12,164.595
2001-01-15,163.455
2001-01-16,164.835
2001-01-17,164.057
2001-01-18,163.512
2001-01-19,165.801
2001-01-22,166.301
2001-01-23,163.577
2001-01-24,159.958
2001-01-25,162.512
2001-01-26,161.641
2001-01-29,162.102
2001-01-30,164.171
2001-01-31,164.46
2001-02-01,167.673
2001-02-02,164.693
2001-02-05,162.521
2001-02-06,162.539
2001-02-07,163.493
2001-02-08,162.676
2001-02-09,162.45
2001-02-12,161.235
2001-02-13,161.207
2001-02-14,157.06
2001-02-15,156.788
2001-02-16,157.509
2001-02-19,155.537
2001-02-20,157.906
2001-02-21,159.048
2001-02-22,157.752
2001-02-23,159.77
2001-02-26,156.529
2001-02-27,161.988
2001-02-28,159.24
2001-03-01,160.714
2001-03-02,163.632
2001-03-05,163.169
2001-03-06,165.388
2001-03-07,164.117
2001-03-08,164.563
2001-03-09,164.28
2001-03-12,165.205
2001-03-13,163.469
2001-03-14,164.321
2001-03-15,165.037
2001-03-16,167.142
2001-03-19,165.048
2001-03-20,166.277
2001-03-21,167.866
2001-03-22,168.03
2001-03-23,171.424
2001-03-26,167.465
2001-03-27,163.536
2001-03-28,159.03
2001-03-29,157.093
2001-03-30,155.669
2001-04-02,155.575
2001-04-03,153.392
2001-04-04,156.246
2001-04-05,158.079
2001-04-06,159.246
2001-04-09,160.24
2001-04-10,160.61
2001-04-11,161.933
2001-04-12,163.126
2001-04-13,163.126
2001-04-16,163.446
2001-04-17,164.598
2001-04-18,162.473
2001-04-19,169.413
2001-04-20,172.695
2001-04-23,168.987
2001-04-24,163.903
2001-04-25,164.908
2001-04-26,166.228
2001-04-27,153.441
2001-04-30,159.912
2001-05-01,159.394
2001-05-02,162.427
2001-05-03,163.554
2001-05-04,161.019
2001-05-07,161.395
2001-05-08,160.562
2001-05-09,158.581
2001-05-10,159.891
2001-05-11,156.843
2001-05-14,157.781
2001-05-15,156.727
2001-05-16,159.576
2001-05-17,160.897
2001-05-18,161.816
2001-05-21,162.708
2001-05-22,159.129
2001-05-23,156.762
2001-05-24,158.889
2001-05-25,159.471
2001-05-28,160.16
2001-05-29,157.566
2001-05-30,155.415
2001-05-31,153.829
2001-06-01,154.052
2001-06-04,153.658
2001-06-05,156.707
2001-06-06,159.959
2001-06-07,160.599
2001-06-08,159.621
2001-06-11,158.452
2001-06-12,161.821
2001-06-13,164.878
2001-06-14,162.679
2001-06-15,163.676
2001-06-18,161.549
2001-06-19,160.394
2001-06-20,159.041
2001-06-21,157.248
2001-06-22,156.45
2001-06-25,157.267
2001-06-26,160.584
2001-06-27,159.339
2001-06-28,159.651
2001-06-29,156.177
2001-07-02,157.46
2001-07-03,156.114
2001-07-04,155.408
2001-07-05,154.396
2001-07-06,154.13
2001-07-09,155.695
2001-07-10,156.701
2001-07-11,156.347
2001-07-12,153.838
2001-07-13,156.198
2001-07-16,157.824
2001-07-17,157.53
