Date,NEW ZEALAND SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,165.112
2001-01-02,164.851
2001-01-03,165.153
2001-01-04,166.137
2001-01-05,169.092
2001-01-08,167.422
2001-01-09,167.688
2001-01-10,166.153
2001-01-11,168.101
2001-01-12,167.201
2001-01-15,166.914
2001-01-16,168.055
2001-01-17,166.917
2001-01-18,168.333
2001-01-19,171.087
2001-01-22,172.079
2001-01-23,171.136
2001-01-24,169.53
2001-01-25,168.805
2001-01-26,168.002
2001-01-29,167.615
2001-01-30,170.338
2001-01-31,171.508
2001-02-01,175.256
2001-02-02,173.452
2001-02-05,172.35
2001-02-06,172.369
2001-02-07,172.73
2001-02-08,172.371
2001-02-09,171.589
2001-02-12,169.783
2001-02-13,170.172
2001-02-14,166.346
2001-02-15,163.409
2001-02-16,166.499
2001-02-19,166.176
2001-02-20,166.942
2001-02-21,167.93
2001-02-22,166.506
2001-02-23,167.766
2001-02-26,165.973
2001-02-27,168.738
2001-02-28,166.383
2001-03-01,168.475
2001-03-02,171.119
2001-03-05,170.122
2001-03-06,169.881
2001-03-07,168.494
2001-03-08,167.594
2001-03-09,167.411
2001-03-12,167.268
2001-03-13,164.859
2001-03-14,164.4
2001-03-15,163.651
2001-03-16,165.034
2001-03-19,163.606
2001-03-20,165.84
2001-03-21,164.528
2001-03-22,163.265
2001-03-23,166.539
2001-03-26,164.484
2001-03-27,164.364
2001-03-28,162.364
2001-03-29,163.499
2001-03-30,162.828
2001-04-02,163.17
2001-04-03,162.163
2001-04-04,162.635
2001-04-05,161.828
2001-04-06,161.665
2001-04-09,162.232
2001-04-10,161.55
2001-04-11,161.457
2001-04-12,162.835
2001-04-13,162.835
2001-04-16,163.124
2001-04-17,162.651
2001-04-18,161.346
2001-04-19,164.391
2001-04-20,168.576
2001-04-23,164.977
2001-04-24,163.273
2001-04-25,164.275
2001-04-26,165.076
2001-04-27,162.97
2001-04-30,165.036
2001-05-01,166.886
2001-05-02,169.725
2001-05-03,170.207
2001-05-04,168.628
2001-05-07,168.548
2001-05-08,167.878
2001-05-09,168.995
2001-05-10,170.577
2001-05-11,169.826
2001-05-14,169.859
2001-05-15,170.105
2001-05-16,172.312
2001-05-17,175.66
2001-05-18,176.6
2001-05-21,176.979
2001-05-22,175.168
2001-05-23,172.395
2001-05-24,173.78
2001-05-25,174.521
2001-05-28,173.645
2001-05-29,172.265
2001-05-30,169.088
2001-05-31,165.488
2001-06-01,165.531
2001-06-04,165.108
2001-06-05,167.584
2001-06-06,170.753
2001-06-07,172.322
2001-06-08,171.904
2001-06-11,170.53
2001-06-12,171.945
2001-06-13,174.583
2001-06-14,171.978
2001-06-15,171.536
2001-06-18,169.379
2001-06-19,169.502
2001-06-20,169.239
2001-06-21,169.436
2001-06-22,169.262
2001-06-25,168.715
2001-06-26,171.111
2001-06-27,171.053
2001-06-28,171.52
2001-06-29,169.684
2001-07-02,170.504
2001-07-03,168.765
2001-07-04,166.421
2001-07-05,166.838
2001-07-06,167.038
2001-07-09,168.44
2001-07-10,168.611
2001-07-11,167.43
2001-07-12,166.595
2001-07-13,168.373
2001-07-16,168.968
2001-07-17,167.973
2001-07-18,170.893
2001-07-19,172.955
2001-07-20,171.733
2001-07-23,173.526
2001-07-24,173.368
2001-07-25,173.178
2001-07-26,174.503
2001-07-27,173.036
2001-07-30,172.886
2001-07-31,171.169
2001-08-01,173.057
2001-08-02,174.719
2001-08-03,175.168
2001-08-06,174.396
2001-08-07,174.522
2001-08-08,176.324
2001-08-09,177.651
2001-08-10,179.617
2001-08-13,181.268
2001-08-14,180.677
2001-08-15,183.998
2001-08-16,184.808
2001-08-17,186.775
2001-08-20,184.654
2001-08-21,184.672
2001-08-22,186.555
2001-08-23,186.63
2001-08-24,188.219
2001-08-27,189.708
2001-08-28,189.919
2001-08-29,191.299
2001-08-30,191.354
2001-08-31,187.94
2001-09-03,187.937
2001-09-04,184.835
2001-09-05,183.974
2001-09-06,183.286
2001-09-07,182.245
2001-09-10,177.957
2001-09-11,180.544
2001-09-12,172.17
2001-09-13,171.248
2001-09-14,168.906
2001-09-17,157.321
2001-09-18,159.294
2001-09-19,159.586
2001-09-20,159.137
2001-09-21,153.912
2001-09-24,153.613
2001-09-25,156.935
2001-09-26,158.451
2001-09-27,157.656
2001-09-28,161.886
2001-10-01,160.407
2001-10-02,161.849
2001-10-03,165.316
2001-10-04,166.777
2001-10-05,168.512
2001-10-08,169.799
2001-10-09,167.67
2001-10-10,166.393
2001-10-11,167.591
2001-10-12,173.18
2001-10-15,178.159
2001-10-16,179.203
2001-10-17,179.438
2001-10-18,175.657
2001-10-19,175.096
2001-10-22,175.265
2001-10-23,177.307
2001-10-24,179.918
2001-10-25,179.058
2001-10-26,178.836
2001-10-29,180.364
2001-10-30,180.79
2001-10-31,180.456
2001-11-01,182.2
2001-11-02,184.764
2001-11-05,186.889
2001-11-06,188.989
2001-11-07,188.572
2001-11-08,185.082
2001-11-09,185.392
2001-11-12,187.104
2001-11-13,189.842
2001-11-14,188.438
2001-11-15,187.48
2001-11-16,185.631
2001-11-19,185.859
2001-11-20,186.979
2001-11-21,184.212
2001-11-22,183.124
2001-11-23,181.99
2001-11-26,184.312
2001-11-27,187.03
2001-11-28,186.921
2001-11-29,187.308
2001-11-30,188.862
2001-12-03,186.004
2001-12-04,183.666
2001-12-05,186.195
2001-12-06,189.116
2001-12-07,189.312
2001-12-10,188.188
2001-12-11,190.002
2001-12-12,191.257
2001-12-13,190.793
2001-12-14,188.464
2001-12-17,187.748
2001-12-18,186.322
2001-12-19,186.035
2001-12-20,184.506
2001-12-21,185.924
2001-12-24,187.614
2001-12-25,187.614
2001-12-26,187.749
2001-12-27,186.658
2001-12-28,187.247
2001-12-31,187.988
2002-01-01,187.988
2002-01-02,189.884
2002-01-03,192.436
2002-01-04,193.817
2002-01-07,194.784
2002-01-08,196.369
2002-01-09,194.418
2002-01-10,194.412
2002-01-11,193.406
2002-01-14,192.587
2002-01-15,193.156
2002-01-16,193.044
2002-01-17,192.82
2002-01-18,193.057
2002-01-21,194.997
2002-01-22,197.474
2002-01-23,196.762
2002-01-24,195.658
2002-01-25,194.574
2002-01-28,193.681
2002-01-29,194.734
2002-01-30,190.228
2002-01-31,191.251
2002-02-01,191.915
2002-02-04,192.281
2002-02-05,192.453
2002-02-06,192.614
2002-02-07,190.154
2002-02-08,191.443
2002-02-11,190.818
2002-02-12,188.658
2002-02-13,189.117
2002-02-14,190.648
2002-02-15,191.815
2002-02-18,191.29
2002-02-19,190.3
2002-02-20,192.111
2002-02-21,192.094
2002-02-22,193.277
2002-02-25,193.014
2002-02-26,195.64
2002-02-27,195.766
2002-02-28,197.609
2002-03-01,199.679
2002-03-04,201.246
2002-03-05,200.561
2002-03-06,200.375
2002-03-07,203.66
2002-03-08,202.424
2002-03-11,202.484
2002-03-12,204.162
2002-03-13,203.396
2002-03-14,203.288
2002-03-15,206.933
2002-03-18,208.143
2002-03-19,207.542
2002-03-20,210.851
2002-03-21,210.406
2002-03-22,210.718
2002-03-25,210.795
2002-03-26,210.179
2002-03-27,209.5
2002-03-28,214.121
2002-03-29,214.121
2002-04-01,215.094
2002-04-02,215.151
2002-04-03,213.147
2002-04-04,212.819
2002-04-05,211.42
2002-04-08,208.737
2002-04-09,210.497
2002-04-10,211.827
2002-04-11,214.513
2002-04-12,214.656
2002-04-15,214.184
2002-04-16,214.436
2002-04-17,216.213
2002-04-18,214.584
2002-04-19,215.154
2002-04-22,214.744
2002-04-23,214.774
2002-04-24,214.49
2002-04-25,216.265
2002-04-26,215.286
2002-04-29,214.097
2002-04-30,215.298
2002-05-01,219.448
2002-05-02,218.478
2002-05-03,220.805
2002-05-06,218.647
2002-05-07,218.57
2002-05-08,218.838
2002-05-09,218.114
2002-05-10,221.262
2002-05-13,223.949
2002-05-14,224.784
2002-05-15,227.446
2002-05-16,227.03
2002-05-17,228.999
2002-05-20,230.923
2002-05-21,232.213
2002-05-22,234.746
2002-05-23,236.254
2002-05-24,235.328
2002-05-27,235.808
2002-05-28,238.719
2002-05-29,241.442
2002-05-30,242.463
2002-05-31,243.146
2002-06-03,246.598
2002-06-04,248.692
2002-06-05,245.974
2002-06-06,249.667
2002-06-07,251.523
2002-06-10,252.17
2002-06-11,251.121
2002-06-12,251.748
2002-06-13,251.354
2002-06-14,246.783
2002-06-17,249.428
2002-06-18,254.561
2002-06-19,253.86
2002-06-20,254.086
2002-06-21,254.618
2002-06-24,250.747
2002-06-25,247.828
2002-06-26,241.355
2002-06-27,244.181
2002-06-28,241.983
2002-07-01,242.843
2002-07-02,244.158
2002-07-03,243.169
2002-07-04,239.392
2002-07-05,242.479
