Date,NIHONKABU IMI IMI (Large+Mid+Small Cap)
1994-05-31,1000.0
1994-06-30,1052.025
1994-07-29,1012.234
1994-08-31,1018.497
1994-09-30,994.731
1994-10-31,1022.895
1994-11-30,962.965
1994-12-30,978.931
1995-01-31,922.236
1995-02-28,870.707
1995-03-31,954.713
1995-04-28,1000.644
1995-05-31,937.607
1995-06-30,894.568
1995-07-31,963.069
1995-08-31,925.601
1995-09-29,932.096
1995-10-31,880.72
1995-11-30,929.958
1995-12-29,971.678
1996-01-31,953.493
1996-02-29,938.573
1996-03-29,973.547
1996-04-30,1031.258
1996-05-31,978.862
1996-06-28,984.802
1996-07-31,939.3
1996-08-30,900.912
1996-09-30,931.953
1996-10-31,869.776
1996-11-29,880.694
1996-12-31,819.857
1997-01-31,731.928
1997-02-28,746.737
1997-03-31,723.981
1997-04-30,742.377
1997-05-30,839.097
1997-06-30,894.931
1997-07-31,864.511
1997-08-29,786.957
1997-09-30,768.647
1997-10-31,705.361
1997-11-28,656.088
1997-12-31,609.664
1998-01-30,671.394
1998-02-27,676.125
1998-03-31,632.626
1998-04-30,626.022
1998-05-29,595.537
1998-06-30,599.121
1998-07-31,592.687
1998-08-31,529.257
1998-09-30,519.229
1998-10-30,605.423
1998-11-30,633.419
1998-12-31,656.445
1999-01-29,660.553
1999-02-26,645.498
1999-03-31,737.226
1999-04-30,772.832
1999-05-31,732.539
1999-06-30,808.128
1999-07-30,891.286
1999-08-31,915.59
1999-09-30,979.243
1999-10-29,1042.07
1999-11-30,1118.306
1999-12-31,1172.871
2000-01-31,1111.231
2000-02-29,1086.506
2000-03-31,1172.545
2000-04-28,1079.349
2000-05-31,1001.381
2000-06-30,1067.309
2000-07-31,941.922
2000-08-31,1007.457
2000-09-29,965.036
2000-10-31,896.288
2000-11-30,871.063
2000-12-29,797.657
2001-01-31,794.663
2001-02-28,750.567
2001-03-30,725.536
2001-04-30,786.694
2001-05-31,781.715
2001-06-29,737.393
2001-07-31,673.205
2001-08-31,653.491
2001-09-28,607.215
2001-10-31,610.788
2001-11-30,604.744
2001-12-31,558.142
2002-01-31,515.038
2002-02-28,536.368
2002-03-29,571.526
2002-04-30,602.527
2002-05-31,645.06
2002-06-28,611.958
2002-07-31,573.473
2002-08-30,566.294
2002-09-30,541.885
2002-10-31,505.051
2002-11-29,523.984
2002-12-31,511.859
2003-01-31,492.254
2003-02-28,497.836
2003-03-31,477.868
2003-04-30,476.988
2003-05-30,499.381
2003-06-30,537.478
2003-07-31,558.629
2003-08-29,615.898
2003-09-30,654.743
2003-10-31,683.817
2003-11-28,661.468
2003-12-31,706.033
2004-01-30,720.044
2004-02-27,718.701
2004-03-31,820.814
2004-04-30,779.26
2004-05-31,750.948
2004-06-30,794.626
2004-07-30,746.325
2004-08-31,749.622
2004-09-30,731.531
2004-10-29,749.418
2004-11-30,784.973
2004-12-31,824.864
2005-01-31,810.268
2005-02-28,826.997
2005-03-31,812.842
2005-04-29,793.189
2005-05-31,785.505
2005-06-30,786.465
2005-07-29,795.452
2005-08-31,846.301
2005-09-30,928.786
2005-10-31,923.942
2005-11-30,959.737
2005-12-30,1046.797
2006-01-31,1094.697
2006-02-28,1076.348
2006-03-31,1106.385
2006-04-28,1135.27
2006-05-31,1063.786
2006-06-30,1048.919
2006-07-31,1036.878
2006-08-31,1052.812
2006-09-29,1035.75
2006-10-31,1050.973
2006-11-30,1056.576
2006-12-29,1077.992
2007-01-31,1087.534
2007-02-28,1129.595
2007-03-30,1114.24
2007-04-30,1092.996
2007-05-31,1105.178
2007-06-29,1104.103
2007-07-31,1102.481
2007-08-31,1068.519
2007-09-28,1090.875
2007-10-31,1090.727
2007-11-30,1070.421
2007-12-31,1025.417
2008-01-31,980.115
2008-02-29,986.462
2008-03-31,952.676
2008-04-30,1014.658
2008-05-30,1041.474
2008-06-30,972.041
2008-07-31,939.574
2008-08-29,902.193
2008-09-30,803.103
2008-10-31,689.659
2008-11-28,685.967
2008-12-31,741.537
2009-01-30,692.205
2009-02-27,606.662
2009-03-31,620.112
2009-04-30,675.916
2009-05-29,747.131
2009-06-30,764.385
2009-07-31,794.595
2009-08-31,827.98
2009-09-30,815.377
2009-10-30,793.409
2009-11-30,782.883
2009-12-31,785.625
2010-01-29,800.481
2010-02-26,810.224
2010-03-31,850.717
2010-04-30,852.311
2010-05-31,784.757
2010-06-30,771.797
2010-07-30,796.333
2010-08-31,778.291
2010-09-30,813.713
2010-10-29,826.715
2010-11-30,843.656
2010-12-31,909.698
2011-01-31,912.478
2011-02-28,954.016
2011-03-31,870.344
2011-04-29,872.748
2011-05-31,858.818
2011-06-30,874.892
2011-07-29,906.902
2011-08-31,837.91
2011-09-30,827.799
2011-10-31,821.972
2011-11-30,787.904
2011-12-30,795.644
2012-01-31,830.86
2012-02-29,866.925
2012-03-30,880.604
2012-04-30,854.389
2012-05-31,778.332
2012-06-29,817.826
2012-07-31,798.759
2012-08-31,792.532
2012-09-28,811.598
2012-10-31,795.611
2012-11-30,812.732
2012-12-31,853.074
2013-01-31,883.845
2013-02-28,908.388
2013-03-29,953.962
2013-04-30,1037.682
2013-05-31,978.525
2013-06-28,992.21
2013-07-31,1000.566
2013-08-30,980.142
2013-09-30,1065.22
2013-10-31,1064.876
2013-11-29,1077.784
2013-12-31,1086.737
2014-01-31,1050.103
2014-02-28,1041.657
2014-03-31,1032.682
2014-04-30,1006.451
2014-05-30,1045.814
2014-06-30,1104.457
2014-07-31,1111.602
2014-08-29,1089.674
2014-09-30,1078.581
2014-10-31,1061.561
2014-11-28,1061.631
2014-12-31,1049.736
2015-01-30,1077.525
2015-02-27,1139.51
2015-03-31,1160.106
2015-04-30,1199.28
2015-05-29,1216.379
2015-06-30,1202.608
2015-07-31,1208.511
2015-08-31,1143.396
2015-09-30,1070.313
2015-10-30,1173.701
2015-11-30,1166.049
2015-12-31,1171.423
2016-01-29,1077.713
2016-02-29,1047.486
2016-03-31,1102.096
2016-04-29,1151.872
2016-05-31,1143.013
2016-06-30,1117.097
2016-07-29,1188.039
2016-08-31,1184.164
2016-09-30,1212.488
2016-10-31,1230.618
2016-11-30,1196.883
2016-12-30,1210.517
2017-01-31,1256.307
2017-02-28,1274.851
2017-03-31,1272.963
2017-04-28,1288.787
2017-05-31,1330.356
2017-06-30,1346.18
2017-07-31,1374.829
2017-08-31,1379.775
2017-09-29,1408.278
2017-10-31,1472.185
2017-11-30,1518.186
2017-12-29,1530.758
2018-01-31,1597.755
2018-02-28,1574.15
2018-03-30,1546.486
2018-04-30,1555.902
2018-05-31,1542.14
2018-06-29,1500.613
2018-07-31,1503.529
2018-08-31,1503.769
2018-09-28,1547.909
2018-10-31,1412.032
2018-11-30,1422.351
2018-12-31,1320.605
2019-01-31,1399.645
2019-02-28,1402.945
2019-03-29,1411.352
2019-04-30,1430.062
2019-05-31,1370.949
2019-06-28,1419.839
2019-07-31,1422.963
2019-08-30,1406.33
2019-09-30,1464.1
2019-10-31,1537.292
2019-11-29,1548.097
2019-12-31,1581.699
2020-01-31,1552.069
2020-02-28,1402.06
2020-03-31,1313.369
2020-04-30,1386.26
2020-05-29,1471.324
2020-06-30,1469.128
2020-07-31,1441.167
2020-08-31,1552.168
2020-09-30,1577.278
2020-10-30,1550.976
2020-11-30,1731.811
2020-12-31,1802.91
2021-01-29,1783.796
2021-02-26,1808.052
2021-03-31,1837.537
2021-04-30,1807.812
2021-05-31,1830.262
2021-06-30,1827.563
2021-07-30,1805.319
2021-08-31,1861.843
2021-09-30,1914.28
2021-10-29,1848.066
2021-11-30,1790.586
2021-12-31,1824.209
2022-01-31,1732.553
2022-02-28,1723.401
2022-03-31,1707.532
2022-04-29,1561.686
