Date,NIHONKABU Standard (Large+Mid Cap)
1994-05-31,1000.0
1994-06-30,1049.17
1994-07-29,1011.039
1994-08-31,1017.559
1994-09-30,994.474
1994-10-31,1021.27
1994-11-30,969.437
1994-12-30,980.31
1995-01-31,922.721
1995-02-28,877.837
1995-03-31,962.438
1995-04-28,1008.831
1995-05-31,945.731
1995-06-30,900.093
1995-07-31,971.211
1995-08-31,931.791
1995-09-29,942.009
1995-10-31,888.846
1995-11-30,941.021
1995-12-29,988.797
1996-01-31,975.408
1996-02-29,957.754
1996-03-29,994.88
1996-04-30,1050.975
1996-05-31,996.446
1996-06-28,1001.366
1996-07-31,956.09
1996-08-30,912.991
1996-09-30,946.804
1996-10-31,882.845
1996-11-29,899.266
1996-12-31,836.818
1997-01-31,745.381
1997-02-28,762.52
1997-03-31,740.428
1997-04-30,766.889
1997-05-30,851.15
1997-06-30,914.416
1997-07-31,886.155
1997-08-29,808.954
1997-09-30,798.668
1997-10-31,723.852
1997-11-28,679.033
1997-12-31,639.914
1998-01-30,696.669
1998-02-27,700.012
1998-03-31,655.167
1998-04-30,652.128
1998-05-29,615.92
1998-06-30,624.288
1998-07-31,615.732
1998-08-31,545.195
1998-09-30,531.916
1998-10-30,620.687
1998-11-30,648.665
1998-12-31,673.462
1999-01-29,677.968
1999-02-26,662.769
1999-03-31,757.401
1999-04-30,788.603
1999-05-31,743.773
1999-06-30,813.883
1999-07-30,894.755
1999-08-31,888.128
1999-09-30,944.119
1999-10-29,984.168
1999-11-30,1025.936
1999-12-31,1089.257
2000-01-31,1041.72
2000-02-29,1014.411
2000-03-31,1101.173
2000-04-28,1017.961
2000-05-31,965.739
2000-06-30,1031.815
2000-07-31,912.603
2000-08-31,971.319
2000-09-29,925.032
2000-10-31,870.999
2000-11-30,834.441
2000-12-29,783.417
2001-01-31,774.109
2001-02-28,739.309
2001-03-30,717.937
2001-04-30,766.747
2001-05-31,764.915
2001-06-29,719.379
2001-07-31,665.784
2001-08-31,649.135
2001-09-28,588.935
2001-10-31,587.71
2001-11-30,594.081
2001-12-31,549.685
2002-01-31,504.965
2002-02-28,523.815
2002-03-29,560.151
2002-04-30,590.331
2002-05-31,630.148
2002-06-28,597.082
2002-07-31,556.123
2002-08-30,549.695
2002-09-30,524.778
2002-10-31,489.112
2002-11-29,509.003
2002-12-31,495.491
2003-01-31,475.25
2003-02-28,478.437
2003-03-31,457.196
2003-04-30,453.785
2003-05-30,475.375
2003-06-30,510.913
2003-07-31,531.7
2003-08-29,587.733
2003-09-30,622.664
2003-10-31,650.856
2003-11-28,631.211
2003-12-31,674.537
2004-01-30,686.21
2004-02-27,684.53
2004-03-31,777.399
2004-04-30,734.997
2004-05-31,708.86
2004-06-30,747.269
2004-07-30,702.791
2004-08-31,706.779
2004-09-30,689.869
2004-10-29,708.079
2004-11-30,742.271
2004-12-31,780.01
2005-01-31,761.862
2005-02-28,777.679
2005-03-31,762.199
2005-04-29,742.272
2005-05-31,735.331
2005-06-30,734.565
2005-07-29,742.007
2005-08-31,793.646
2005-09-30,876.24
2005-10-31,866.041
2005-11-30,902.185
2005-12-30,979.521
2006-01-31,1028.521
2006-02-28,1019.263
2006-03-31,1045.07
2006-04-28,1075.465
2006-05-31,1009.27
2006-06-30,998.192
2006-07-31,992.686
2006-08-31,1007.517
2006-09-29,991.328
2006-10-31,1008.148
2006-11-30,1014.847
2006-12-29,1039.755
2007-01-31,1048.197
2007-02-28,1090.463
2007-03-30,1075.997
2007-04-30,1054.579
2007-05-31,1071.109
2007-06-29,1068.631
2007-07-31,1067.051
2007-08-31,1036.483
2007-09-28,1060.025
2007-10-31,1056.092
2007-11-30,1036.589
2007-12-31,995.959
2008-01-31,951.499
2008-02-29,957.466
2008-03-31,919.461
2008-04-30,985.899
2008-05-30,1010.746
2008-06-30,942.483
2008-07-31,910.709
2008-08-29,875.032
2008-09-30,777.629
2008-10-31,663.075
2008-11-28,654.935
2008-12-31,708.491
2009-01-30,659.939
2009-02-27,579.011
2009-03-31,590.887
2009-04-30,647.585
2009-05-29,714.021
2009-06-30,726.3
2009-07-31,756.784
2009-08-31,786.97
2009-09-30,773.737
2009-10-30,753.977
2009-11-30,746.503
2009-12-31,751.766
2010-01-29,765.612
2010-02-26,774.179
2010-03-31,813.178
2010-04-30,811.932
2010-05-31,746.461
2010-06-30,731.69
2010-07-30,757.523
2010-08-31,740.485
2010-09-30,774.661
2010-10-29,790.152
2010-11-30,806.577
2010-12-31,867.51
2011-01-31,868.856
2011-02-28,908.704
2011-03-31,825.588
2011-04-29,828.418
2011-05-31,815.122
2011-06-30,827.47
2011-07-29,856.85
2011-08-31,786.847
2011-09-30,774.773
2011-10-31,773.637
2011-11-30,739.455
2011-12-30,746.07
2012-01-31,779.29
2012-02-29,817.993
2012-03-30,829.299
2012-04-30,802.722
2012-05-31,730.931
2012-06-29,768.714
2012-07-31,749.987
2012-08-31,744.198
2012-09-28,761.833
2012-10-31,747.387
2012-11-30,765.121
2012-12-31,805.199
2013-01-31,834.461
2013-02-28,856.953
2013-03-29,897.03
2013-04-30,977.014
2013-05-31,924.087
2013-06-28,939.805
2013-07-31,945.918
2013-08-30,925.621
2013-09-30,1002.581
2013-10-31,1002.584
2013-11-29,1017.427
2013-12-31,1026.002
2014-01-31,986.694
2014-02-28,981.532
2014-03-31,970.736
2014-04-30,945.503
2014-05-30,983.643
2014-06-30,1035.682
2014-07-31,1042.625
2014-08-29,1020.185
2014-09-30,1013.882
2014-10-31,1000.225
2014-11-28,1003.039
2014-12-31,988.728
2015-01-30,1013.314
2015-02-27,1074.544
2015-03-31,1092.854
2015-04-30,1132.367
2015-05-29,1148.171
2015-06-30,1129.429
2015-07-31,1135.803
2015-08-31,1070.32
2015-09-30,997.486
2015-10-30,1098.863
2015-11-30,1087.547
2015-12-31,1092.106
2016-01-29,1002.552
2016-02-29,973.562
2016-03-31,1021.214
2016-04-29,1068.193
2016-05-31,1057.453
2016-06-30,1031.198
2016-07-29,1098.083
2016-08-31,1101.622
2016-09-30,1120.577
2016-10-31,1136.274
2016-11-30,1109.065
2016-12-30,1120.319
2017-01-31,1162.476
2017-02-28,1175.424
2017-03-31,1173.133
2017-04-28,1185.828
2017-05-31,1222.755
2017-06-30,1236.855
2017-07-31,1261.699
2017-08-31,1261.935
2017-09-29,1287.975
2017-10-31,1348.205
2017-11-30,1389.548
2017-12-29,1398.558
2018-01-31,1461.069
2018-02-28,1439.009
2018-03-30,1410.809
2018-04-30,1420.622
2018-05-31,1406.672
2018-06-29,1370.415
2018-07-31,1376.312
2018-08-31,1378.621
2018-09-28,1422.706
2018-10-31,1301.949
2018-11-30,1306.178
2018-12-31,1219.014
2019-01-31,1293.346
2019-02-28,1293.345
2019-03-29,1302.286
2019-04-30,1320.254
2019-05-31,1267.609
2019-06-28,1315.514
2019-07-31,1316.635
2019-08-30,1302.674
2019-09-30,1356.748
2019-10-31,1422.823
2019-11-29,1431.552
2019-12-31,1462.718
2020-01-31,1441.44
2020-02-28,1309.097
2020-03-31,1221.286
2020-04-30,1287.108
2020-05-29,1362.643
2020-06-30,1363.279
2020-07-31,1340.547
2020-08-31,1442.219
2020-09-30,1457.381
2020-10-30,1435.34
2020-11-30,1616.099
2020-12-31,1682.726
2021-01-29,1664.149
2021-02-26,1690.903
2021-03-31,1710.838
2021-04-30,1683.389
2021-05-31,1711.111
2021-06-30,1705.154
2021-07-30,1682.784
2021-08-31,1735.475
2021-09-30,1787.997
2021-10-29,1727.512
2021-11-30,1684.614
2021-12-31,1716.683
2022-01-31,1631.036
2022-02-28,1614.087
2022-03-31,1608.728
2022-04-29,1468.234
2022-05-31,1492.717
2022-06-30,1375.531
2022-07-29,1452.844
2022-08-31,1415.921
2022-09-30,1273.184
2022-10-31,1311.529
2022-11-30,1437.223
2022-12-30,1442.124
2023-01-31,1532.996
2023-02-28,1473.919
2023-03-31,1535.991
2023-04-28,1541.4
2023-05-31,1569.657
2023-06-30,1635.852
2023-07-31,1684.201
2023-08-31,1643.327
2023-09-29,1611.961
2023-10-31,1539.327
2023-11-30,1670.38
2023-12-29,1743.772
2024-01-31,1825.999
2024-02-29,1881.338
2024-03-29,1939.954
2024-04-30,1844.745
2024-05-31,1868.621
2024-06-28,1855.391
2024-07-31,1963.434
2024-08-30,1972.576
2024-09-30,1963.98
2024-10-31,1887.317
2024-11-29,1900.395
2024-12-31,1894.121
2025-01-31,1923.392
2025-02-28,1897.245
2025-03-31,1903.256
2025-04-30,2003.042
2025-05-30,2084.983
2025-06-30,2120.059
