Date,NIHONKABU Standard (Large+Mid Cap)
2001-01-01,778.403
2001-01-02,776.397
2001-01-03,777.144
2001-01-04,769.548
2001-01-05,772.653
2001-01-08,772.487
2001-01-09,757.617
2001-01-10,749.818
2001-01-11,729.353
2001-01-12,729.71
2001-01-15,729.891
2001-01-16,747.562
2001-01-17,754.52
2001-01-18,763.115
2001-01-19,769.552
2001-01-22,771.376
2001-01-23,768.201
2001-01-24,759.792
2001-01-25,764.499
2001-01-26,760.197
2001-01-29,765.157
2001-01-30,765.902
2001-01-31,769.144
2001-02-01,775.068
2001-02-02,764.568
2001-02-05,754.95
2001-02-06,750.818
2001-02-07,749.105
2001-02-08,741.084
2001-02-09,742.035
2001-02-12,742.035
2001-02-13,741.454
2001-02-14,742.371
2001-02-15,749.701
2001-02-16,745.445
2001-02-19,735.964
2001-02-20,744.502
2001-02-21,732.56
2001-02-22,737.779
2001-02-23,746.887
2001-02-26,749.895
2001-02-27,747.182
2001-02-28,734.549
2001-03-01,726.001
2001-03-02,699.148
2001-03-05,699.082
2001-03-06,714.737
2001-03-07,717.639
2001-03-08,719.767
2001-03-09,719.563
2001-03-12,696.133
2001-03-13,680.751
2001-03-14,670.373
2001-03-15,681.57
2001-03-16,680.519
2001-03-19,685.462
2001-03-20,683.113
2001-03-21,723.501
2001-03-22,705.735
2001-03-23,727.949
2001-03-26,754.807
2001-03-27,752.199
2001-03-28,763.751
2001-03-29,727.604
2001-03-30,712.744
2001-04-02,700.513
2001-04-03,717.715
2001-04-04,727.104
2001-04-05,737.878
2001-04-06,739.685
2001-04-09,712.147
2001-04-10,703.196
2001-04-11,717.577
2001-04-12,730.229
2001-04-13,727.144
2001-04-16,718.523
2001-04-17,719.631
2001-04-18,745.761
2001-04-19,757.66
2001-04-20,749.364
2001-04-23,752.791
2001-04-24,748.781
2001-04-25,755.01
2001-04-26,763.114
2001-04-27,759.617
2001-04-30,761.167
2001-05-01,794.642
2001-05-02,802.138
2001-05-03,808.434
2001-05-04,808.568
2001-05-07,811.988
2001-05-08,792.661
2001-05-09,781.562
2001-05-10,772.234
2001-05-11,774.088
2001-05-14,761.491
2001-05-15,766.134
2001-05-16,752.029
2001-05-17,766.013
2001-05-18,759.553
2001-05-21,771.754
2001-05-22,771.706
2001-05-23,783.561
2001-05-24,780.471
2001-05-25,773.455
2001-05-28,765.72
2001-05-29,776.072
2001-05-30,760.023
2001-05-31,759.342
2001-06-01,757.504
2001-06-04,755.557
2001-06-05,748.285
2001-06-06,746.915
2001-06-07,750.998
2001-06-08,748.587
2001-06-11,737.319
2001-06-12,719.382
2001-06-13,719.241
2001-06-14,721.006
2001-06-15,712.849
2001-06-18,707.478
2001-06-19,704.843
2001-06-20,703.617
2001-06-21,714.15
2001-06-22,720.158
2001-06-25,715.583
2001-06-26,717.631
2001-06-27,712.431
2001-06-28,702.374
2001-06-29,714.114
2001-07-02,711.178
2001-07-03,712.927
2001-07-04,705.989
2001-07-05,698.105
2001-07-06,682.548
2001-07-09,680.178
2001-07-10,687.123
2001-07-11,681.402
2001-07-12,693.794
2001-07-13,686.859
2001-07-16,684.79
2001-07-17,676.189
2001-07-18,666.854
2001-07-19,668.662
2001-07-20,670.807
2001-07-23,647.939
2001-07-24,657.393
2001-07-25,665.013
2001-07-26,664.757
2001-07-27,661.221
2001-07-30,646.495
2001-07-31,660.906
2001-08-01,666.948
2001-08-02,687.484
2001-08-03,680.694
2001-08-06,679.132
2001-08-07,683.438
2001-08-08,682.09
2001-08-09,664.992
2001-08-10,668.635
2001-08-13,658.171
2001-08-14,678.864
2001-08-15,687.002
2001-08-16,674.516
2001-08-17,671.055
2001-08-20,661.492
2001-08-21,668.362
2001-08-22,675.024
2001-08-23,664.867
2001-08-24,663.581
2001-08-27,668.366
2001-08-28,663.793
2001-08-29,655.859
2001-08-30,645.366
2001-08-31,644.373
2001-09-03,628.631
2001-09-04,644.652
2001-09-05,630.875
2001-09-06,629.42
2001-09-07,629.434
2001-09-10,610.786
2001-09-11,623.829
2001-09-12,580.735
2001-09-13,588.673
2001-09-14,612.705
2001-09-17,585.326
2001-09-18,593.544
2001-09-19,609.234
2001-09-20,605.873
2001-09-21,585.538
2001-09-24,581.202
2001-09-25,587.193
2001-09-26,576.953
2001-09-27,571.155
2001-09-28,584.17
2001-10-01,590.843
2001-10-02,600.663
2001-10-03,589.567
2001-10-04,602.94
2001-10-05,602.643
2001-10-08,604.73
2001-10-09,588.849
2001-10-10,581.581
2001-10-11,595.396
2001-10-12,608.043
2001-10-15,602.062
2001-10-16,603.967
2001-10-17,610.566
2001-10-18,598.731
2001-10-19,599.698
2001-10-22,597.986
2001-10-23,606.163
2001-10-24,608.162
2001-10-25,613.371
2001-10-26,605.212
2001-10-29,597.655
2001-10-30,591.947
2001-10-31,582.967
2001-11-01,587.565
2001-11-02,587.4
2001-11-05,589.283
2001-11-06,598.239
2001-11-07,581.153
2001-11-08,589.665
2001-11-09,584.84
2001-11-12,577.608
2001-11-13,566.276
2001-11-14,566.202
2001-11-15,577.823
2001-11-16,580.117
2001-11-19,587.196
2001-11-20,588.441
2001-11-21,588.598
2001-11-22,586.516
2001-11-23,583.829
2001-11-26,596.575
2001-11-27,594.392
2001-11-28,582.938
2001-11-29,582.211
2001-11-30,589.293
2001-12-03,572.851
2001-12-04,570.683
2001-12-05,582.195
2001-12-06,586.588
2001-12-07,575.022
2001-12-10,558.957
2001-12-11,554.301
2001-12-12,567.166
2001-12-13,551.391
2001-12-14,545.896
2001-12-17,534.844
2001-12-18,536.241
2001-12-19,538.588
2001-12-20,544.94
2001-12-21,536.942
2001-12-24,535.269
2001-12-25,532.465
2001-12-26,525.864
2001-12-27,534.158
2001-12-28,544.65
2001-12-31,545.231
2002-01-01,545.231
2002-01-02,540.857
2002-01-03,542.602
2002-01-04,558.251
2002-01-07,558.227
2002-01-08,541.256
2002-01-09,536.961
2002-01-10,529.277
2002-01-11,525.852
2002-01-14,527.37
2002-01-15,517.594
2002-01-16,518.725
2002-01-17,516.027
2002-01-18,524.769
2002-01-21,522.909
2002-01-22,505.259
2002-01-23,500.402
2002-01-24,502.583
2002-01-25,505.899
2002-01-28,516.534
2002-01-29,504.908
2002-01-30,498.555
2002-01-31,500.867
2002-02-01,491.063
2002-02-04,487.667
2002-02-05,475.873
2002-02-06,474.447
2002-02-07,485.526
2002-02-08,485.999
2002-02-11,490.326
2002-02-12,505.034
2002-02-13,508.549
2002-02-14,511.931
2002-02-15,509.511
2002-02-18,509.01
2002-02-19,493.648
2002-02-20,490.57
2002-02-21,505.613
2002-02-22,508.94
2002-02-25,506.836
2002-02-26,502.722
2002-02-27,513.355
2002-02-28,519.539
2002-03-01,531.645
2002-03-04,564.104
2002-03-05,561.968
2002-03-06,566.76
2002-03-07,597.375
2002-03-08,600.131
2002-03-11,609.456
2002-03-12,589.684
2002-03-13,574.4
2002-03-14,583.426
2002-03-15,589.227
2002-03-18,572.776
2002-03-19,584.982
2002-03-20,577.116
2002-03-21,574.734
2002-03-22,559.228
2002-03-25,555.94
2002-03-26,555.044
2002-03-27,561.902
2002-03-28,567.518
2002-03-29,555.102
2002-04-01,548.29
2002-04-02,558.078
2002-04-03,569.221
2002-04-04,575.575
2002-04-05,573.062
2002-04-08,575.898
2002-04-09,566.921
2002-04-10,570.749
2002-04-11,563.529
2002-04-12,553.259
2002-04-15,561.238
2002-04-16,569.712
2002-04-17,578.078
2002-04-18,585.212
2002-04-19,579.597
2002-04-22,589.986
2002-04-23,589.846
2002-04-24,587.422
2002-04-25,593.856
2002-04-26,588.95
2002-04-29,587.871
2002-04-30,585.005
2002-05-01,592.0
2002-05-02,589.261
2002-05-03,593.832
2002-05-06,591.967
2002-05-07,583.052
2002-05-08,584.334
2002-05-09,589.915
2002-05-10,589.643
2002-05-13,584.161
2002-05-14,577.333
2002-05-15,591.041
2002-05-16,599.415
2002-05-17,612.684
2002-05-20,618.158
2002-05-21,624.426
2002-05-22,632.026
2002-05-23,630.062
2002-05-24,632.623
2002-05-27,627.382
2002-05-28,627.671
2002-05-29,626.342
2002-05-30,629.919
2002-05-31,624.451
2002-06-03,632.884
2002-06-04,623.747
2002-06-05,618.873
2002-06-06,616.686
2002-06-07,611.222
2002-06-10,606.991
2002-06-11,605.752
2002-06-12,601.729
2002-06-13,593.62
2002-06-14,585.658
2002-06-17,569.252
2002-06-18,577.826
2002-06-19,563.999
