Date,NORWAY IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,531.264
2001-01-02,551.138
2001-01-03,516.547
2001-01-04,534.879
2001-01-05,538.312
2001-01-08,539.319
2001-01-09,530.315
2001-01-10,535.827
2001-01-11,544.746
2001-01-12,553.297
2001-01-15,549.514
2001-01-16,539.264
2001-01-17,549.936
2001-01-18,560.128
2001-01-19,560.575
2001-01-22,550.238
2001-01-23,551.967
2001-01-24,555.285
2001-01-25,549.454
2001-01-26,549.396
2001-01-29,539.863
2001-01-30,551.464
2001-01-31,570.788
2001-02-01,578.926
2001-02-02,575.864
2001-02-05,570.248
2001-02-06,570.0
2001-02-07,567.149
2001-02-08,561.836
2001-02-09,554.008
2001-02-12,545.545
2001-02-13,551.126
2001-02-14,541.02
2001-02-15,536.649
2001-02-16,543.703
2001-02-19,556.916
2001-02-20,551.677
2001-02-21,546.723
2001-02-22,547.248
2001-02-23,542.847
2001-02-26,552.894
2001-02-27,549.97
2001-02-28,548.927
2001-03-01,533.198
2001-03-02,538.708
2001-03-05,546.496
2001-03-06,564.686
2001-03-07,556.846
2001-03-08,562.438
2001-03-09,557.716
2001-03-12,539.208
2001-03-13,524.469
2001-03-14,504.042
2001-03-15,513.042
2001-03-16,504.958
2001-03-19,495.162
2001-03-20,510.232
2001-03-21,496.612
2001-03-22,475.94
2001-03-23,484.037
2001-03-26,492.971
2001-03-27,498.933
2001-03-28,488.513
2001-03-29,484.827
2001-03-30,493.747
2001-04-02,488.48
2001-04-03,475.508
2001-04-04,479.73
2001-04-05,497.208
2001-04-06,491.639
2001-04-09,494.073
2001-04-10,505.563
2001-04-11,503.583
2001-04-12,508.363
2001-04-13,508.363
2001-04-16,503.186
2001-04-17,498.396
2001-04-18,506.526
2001-04-19,512.562
2001-04-20,511.136
2001-04-23,510.937
2001-04-24,512.299
2001-04-25,514.542
2001-04-26,517.702
2001-04-27,524.147
2001-04-30,526.18
2001-05-01,529.287
2001-05-02,530.398
2001-05-03,523.013
2001-05-04,523.453
2001-05-07,530.09
2001-05-08,533.012
2001-05-09,528.886
2001-05-10,541.947
2001-05-11,535.181
2001-05-14,519.445
2001-05-15,524.153
2001-05-16,520.303
2001-05-17,520.354
2001-05-18,538.322
2001-05-21,551.326
2001-05-22,543.615
2001-05-23,540.473
2001-05-24,540.731
2001-05-25,545.638
2001-05-28,546.639
2001-05-29,536.723
2001-05-30,530.672
2001-05-31,522.684
2001-06-01,519.563
2001-06-04,520.299
2001-06-05,523.318
2001-06-06,520.621
2001-06-07,517.626
2001-06-08,518.477
2001-06-11,508.975
2001-06-12,494.068
2001-06-13,503.917
2001-06-14,498.426
2001-06-15,493.427
2001-06-18,499.205
2001-06-19,504.932
2001-06-20,495.395
2001-06-21,493.514
2001-06-22,493.762
2001-06-25,495.61
2001-06-26,480.382
2001-06-27,482.412
2001-06-28,474.338
2001-06-29,476.163
2001-07-02,471.735
2001-07-03,470.995
2001-07-04,469.46
2001-07-05,461.912
2001-07-06,463.625
2001-07-09,468.21
2001-07-10,460.229
2001-07-11,454.402
2001-07-12,455.451
2001-07-13,447.072
2001-07-16,446.748
2001-07-17,434.801
2001-07-18,440.238
2001-07-19,449.908
2001-07-20,450.013
2001-07-23,457.477
2001-07-24,454.47
2001-07-25,453.671
2001-07-26,454.333
2001-07-27,458.297
2001-07-30,462.791
2001-07-31,463.03
2001-08-01,470.962
2001-08-02,474.03
2001-08-03,469.294
2001-08-06,468.054
2001-08-07,459.75
2001-08-08,451.35
2001-08-09,453.696
2001-08-10,452.547
2001-08-13,453.253
2001-08-14,453.543
2001-08-15,455.745
2001-08-16,456.071
2001-08-17,453.65
2001-08-20,447.64
2001-08-21,450.335
2001-08-22,447.419
2001-08-23,438.689
2001-08-24,442.978
2001-08-27,440.321
2001-08-28,440.379
2001-08-29,437.014
2001-08-30,435.829
2001-08-31,430.823
2001-09-03,424.216
2001-09-04,428.174
2001-09-05,428.411
2001-09-06,428.244
2001-09-07,426.384
2001-09-10,415.031
2001-09-11,446.973
2001-09-12,413.771
2001-09-13,414.225
2001-09-14,415.89
2001-09-17,416.496
2001-09-18,415.191
2001-09-19,411.723
2001-09-20,395.293
2001-09-21,375.292
2001-09-24,377.449
2001-09-25,385.414
2001-09-26,387.592
2001-09-27,386.624
2001-09-28,395.54
2001-10-01,388.6
2001-10-02,385.504
2001-10-03,387.367
2001-10-04,389.144
2001-10-05,384.747
2001-10-08,380.682
2001-10-09,386.195
2001-10-10,393.833
2001-10-11,402.028
2001-10-12,401.734
2001-10-15,394.377
2001-10-16,397.574
2001-10-17,404.17
2001-10-18,395.679
2001-10-19,386.181
2001-10-22,392.301
2001-10-23,394.898
2001-10-24,401.009
2001-10-25,390.349
2001-10-26,392.204
2001-10-29,411.468
2001-10-30,415.24
2001-10-31,410.428
2001-11-01,406.576
2001-11-02,401.272
2001-11-05,411.731
2001-11-06,410.156
2001-11-07,413.117
2001-11-08,414.15
2001-11-09,422.78
2001-11-12,413.77
2001-11-13,425.744
2001-11-14,422.567
2001-11-15,408.157
2001-11-16,403.933
2001-11-19,395.651
2001-11-20,406.703
2001-11-21,402.258
2001-11-22,412.445
2001-11-23,400.781
2001-11-26,400.135
2001-11-27,403.448
2001-11-28,403.264
2001-11-29,405.131
2001-11-30,407.065
2001-12-03,398.716
2001-12-04,404.16
2001-12-05,409.879
2001-12-06,410.857
2001-12-07,409.202
2001-12-10,404.687
2001-12-11,404.343
2001-12-12,405.596
2001-12-13,398.591
2001-12-14,404.668
2001-12-17,399.261
2001-12-18,398.512
2001-12-19,392.148
2001-12-20,394.653
2001-12-21,397.561
2001-12-24,392.485
2001-12-25,392.485
2001-12-26,393.018
2001-12-27,407.388
2001-12-28,410.337
2001-12-31,413.315
2002-01-01,413.315
2002-01-02,422.477
2002-01-03,429.312
2002-01-04,427.115
2002-01-07,423.626
2002-01-08,419.824
2002-01-09,422.246
2002-01-10,419.259
2002-01-11,420.784
2002-01-14,423.394
2002-01-15,407.731
2002-01-16,395.531
2002-01-17,403.067
2002-01-18,395.622
2002-01-21,393.89
2002-01-22,395.69
2002-01-23,395.05
2002-01-24,397.177
2002-01-25,390.043
2002-01-28,393.414
2002-01-29,393.334
2002-01-30,389.781
2002-01-31,391.267
2002-02-01,392.855
2002-02-04,393.034
2002-02-05,387.697
2002-02-06,390.996
2002-02-07,397.5
2002-02-08,393.376
2002-02-11,398.998
2002-02-12,396.321
2002-02-13,396.383
2002-02-14,391.955
2002-02-15,393.718
2002-02-18,391.596
2002-02-19,386.829
2002-02-20,385.954
2002-02-21,386.315
2002-02-22,394.181
2002-02-25,389.59
2002-02-26,393.503
2002-02-27,398.28
2002-02-28,396.68
2002-03-01,400.599
2002-03-04,405.073
2002-03-05,410.101
2002-03-06,409.933
2002-03-07,426.351
2002-03-08,430.627
2002-03-11,426.601
2002-03-12,424.168
2002-03-13,426.539
2002-03-14,428.923
2002-03-15,430.007
2002-03-18,433.867
2002-03-19,436.378
2002-03-20,434.399
2002-03-21,435.635
2002-03-22,436.491
2002-03-25,434.629
2002-03-26,431.939
2002-03-27,434.549
2002-03-28,434.768
2002-03-29,434.768
2002-04-01,438.049
2002-04-02,437.786
2002-04-03,435.838
2002-04-04,425.172
2002-04-05,431.48
2002-04-08,424.03
2002-04-09,431.063
2002-04-10,428.915
2002-04-11,432.608
2002-04-12,428.408
2002-04-15,428.216
2002-04-16,431.488
2002-04-17,434.246
2002-04-18,437.558
2002-04-19,434.453
2002-04-22,428.624
2002-04-23,426.649
2002-04-24,424.821
2002-04-25,417.944
2002-04-26,420.057
2002-04-29,419.205
2002-04-30,416.316
2002-05-01,418.882
2002-05-02,424.503
2002-05-03,424.484
2002-05-06,422.888
2002-05-07,416.137
2002-05-08,425.89
2002-05-09,426.642
2002-05-10,427.94
2002-05-13,424.792
2002-05-14,432.761
2002-05-15,432.202
2002-05-16,434.37
2002-05-17,439.012
2002-05-20,440.305
2002-05-21,438.831
2002-05-22,438.028
2002-05-23,431.876
2002-05-24,429.136
2002-05-27,428.613
2002-05-28,429.572
2002-05-29,419.322
2002-05-30,410.682
2002-05-31,410.948
2002-06-03,412.678
2002-06-04,401.04
2002-06-05,403.998
2002-06-06,408.004
2002-06-07,396.249
2002-06-10,396.371
2002-06-11,405.263
2002-06-12,401.264
2002-06-13,403.903
2002-06-14,394.856
2002-06-17,403.413
2002-06-18,409.97
2002-06-19,407.43
2002-06-20,394.638
2002-06-21,391.492
2002-06-24,380.709
2002-06-25,385.226
2002-06-26,370.044
2002-06-27,389.375
2002-06-28,388.026
2002-07-01,395.11
2002-07-02,395.373
2002-07-03,386.769
2002-07-04,387.606
2002-07-05,395.722
2002-07-08,409.383
2002-07-09,413.378
2002-07-10,405.529
2002-07-11,404.46
2002-07-12,404.011
2002-07-15,405.435
2002-07-16,403.231
2002-07-17,412.526
2002-07-18,408.774
2002-07-19,397.792
2002-07-22,380.214
2002-07-23,362.372
2002-07-24,342.48
2002-07-25,357.139
2002-07-26,357.054
2002-07-29,359.24
2002-07-30,367.957
2002-07-31,368.65
2002-08-01,363.756
2002-08-02,363.895
2002-08-05,354.21
2002-08-06,342.585
