Date,NORWAY LARGE CAP Large Cap
2001-01-01,224.967
2001-01-02,228.538
2001-01-03,224.805
2001-01-04,226.867
2001-01-05,233.649
2001-01-08,234.525
2001-01-09,234.224
2001-01-10,235.866
2001-01-11,236.386
2001-01-12,234.281
2001-01-15,232.776
2001-01-16,231.385
2001-01-17,230.429
2001-01-18,231.643
2001-01-19,228.264
2001-01-22,231.185
2001-01-23,230.888
2001-01-24,231.938
2001-01-25,231.329
2001-01-26,234.295
2001-01-29,236.827
2001-01-30,243.947
2001-01-31,244.062
2001-02-01,248.76
2001-02-02,246.165
2001-02-05,245.867
2001-02-06,246.906
2001-02-07,245.073
2001-02-08,240.963
2001-02-09,240.946
2001-02-12,235.716
2001-02-13,231.992
2001-02-14,226.583
2001-02-15,223.561
2001-02-16,224.015
2001-02-19,225.069
2001-02-20,224.212
2001-02-21,224.273
2001-02-22,226.919
2001-02-23,225.55
2001-02-26,228.064
2001-02-27,231.194
2001-02-28,229.874
2001-03-01,227.947
2001-03-02,230.4
2001-03-05,231.177
2001-03-06,237.633
2001-03-07,234.014
2001-03-08,235.436
2001-03-09,233.596
2001-03-12,228.275
2001-03-13,221.939
2001-03-14,214.968
2001-03-15,218.663
2001-03-16,212.219
2001-03-19,212.169
2001-03-20,216.796
2001-03-21,215.041
2001-03-22,209.651
2001-03-23,213.579
2001-03-26,214.251
2001-03-27,216.813
2001-03-28,212.632
2001-03-29,211.387
2001-03-30,215.291
2001-04-02,214.617
2001-04-03,213.056
2001-04-04,212.601
2001-04-05,214.161
2001-04-06,215.255
2001-04-09,216.8
2001-04-10,221.671
2001-04-11,222.749
2001-04-12,224.863
2001-04-13,224.863
2001-04-16,222.574
2001-04-17,219.871
2001-04-18,222.119
2001-04-19,223.478
2001-04-20,225.388
2001-04-23,226.208
2001-04-24,230.637
2001-04-25,229.526
2001-04-26,231.254
2001-04-27,232.872
2001-04-30,235.891
2001-05-01,237.284
2001-05-02,237.12
2001-05-03,230.771
2001-05-04,230.559
2001-05-07,232.677
2001-05-08,232.301
2001-05-09,233.403
2001-05-10,231.298
2001-05-11,233.097
2001-05-14,227.139
2001-05-15,228.391
2001-05-16,226.963
2001-05-17,226.986
2001-05-18,231.934
2001-05-21,231.806
2001-05-22,231.365
2001-05-23,228.808
2001-05-24,228.917
2001-05-25,232.608
2001-05-28,232.727
2001-05-29,230.063
2001-05-30,229.561
2001-05-31,226.303
2001-06-01,221.961
2001-06-04,222.276
2001-06-05,221.678
2001-06-06,223.373
2001-06-07,221.594
2001-06-08,223.372
2001-06-11,220.236
2001-06-12,216.614
2001-06-13,224.332
2001-06-14,222.884
2001-06-15,224.449
2001-06-18,221.928
2001-06-19,226.161
2001-06-20,222.2
2001-06-21,220.707
2001-06-22,223.417
2001-06-25,223.214
2001-06-26,221.027
2001-06-27,219.979
2001-06-28,220.278
2001-06-29,223.115
2001-07-02,221.155
2001-07-03,221.184
2001-07-04,220.265
2001-07-05,217.676
2001-07-06,217.493
2001-07-09,219.743
2001-07-10,216.822
2001-07-11,212.43
2001-07-12,211.238
2001-07-13,214.188
2001-07-16,213.721
2001-07-17,207.897
2001-07-18,209.8
2001-07-19,213.907
2001-07-20,214.344
2001-07-23,217.306
2001-07-24,217.142
2001-07-25,216.549
2001-07-26,218.066
2001-07-27,218.483
2001-07-30,221.08
2001-07-31,220.439
2001-08-01,224.614
2001-08-02,225.173
2001-08-03,221.424
2001-08-06,222.434
2001-08-07,219.232
2001-08-08,215.884
2001-08-09,218.868
2001-08-10,218.452
2001-08-13,218.752
2001-08-14,221.052
2001-08-15,223.11
2001-08-16,222.878
2001-08-17,221.301
2001-08-20,219.705
2001-08-21,221.84
2001-08-22,219.367
2001-08-23,214.525
2001-08-24,218.403
2001-08-27,216.478
2001-08-28,216.456
2001-08-29,216.313
2001-08-30,215.745
2001-08-31,214.602
2001-09-03,211.773
2001-09-04,211.819
2001-09-05,212.487
2001-09-06,211.405
2001-09-07,210.146
2001-09-10,204.019
2001-09-11,223.974
2001-09-12,207.523
2001-09-13,206.263
2001-09-14,208.023
2001-09-17,208.952
2001-09-18,206.688
2001-09-19,205.801
2001-09-20,200.964
2001-09-21,191.198
2001-09-24,192.116
2001-09-25,196.953
2001-09-26,197.157
2001-09-27,196.052
2001-09-28,198.477
2001-10-01,192.417
2001-10-02,192.236
2001-10-03,195.547
2001-10-04,196.936
2001-10-05,195.717
2001-10-08,195.242
2001-10-09,197.901
2001-10-10,200.539
2001-10-11,202.008
2001-10-12,202.22
2001-10-15,196.63
2001-10-16,196.289
2001-10-17,201.525
2001-10-18,196.484
2001-10-19,190.031
2001-10-22,191.932
2001-10-23,195.636
2001-10-24,197.26
2001-10-25,194.494
2001-10-26,197.122
2001-10-29,206.028
2001-10-30,209.191
2001-10-31,206.426
2001-11-01,205.678
2001-11-02,204.198
2001-11-05,209.032
2001-11-06,209.167
2001-11-07,210.288
2001-11-08,211.146
2001-11-09,213.731
2001-11-12,211.108
2001-11-13,214.421
2001-11-14,212.621
2001-11-15,205.249
2001-11-16,200.889
2001-11-19,198.497
2001-11-20,203.34
2001-11-21,201.639
2001-11-22,206.677
2001-11-23,200.018
2001-11-26,198.208
2001-11-27,200.665
2001-11-28,200.881
2001-11-29,203.202
2001-11-30,204.573
2001-12-03,205.398
2001-12-04,209.784
2001-12-05,212.661
2001-12-06,214.567
2001-12-07,213.007
2001-12-10,210.284
2001-12-11,210.569
2001-12-12,213.351
2001-12-13,208.322
2001-12-14,207.933
2001-12-17,208.463
2001-12-18,211.759
2001-12-19,209.633
2001-12-20,211.467
2001-12-21,208.534
2001-12-24,205.872
2001-12-25,205.872
2001-12-26,206.151
2001-12-27,213.777
2001-12-28,215.391
2001-12-31,216.954
2002-01-01,216.954
2002-01-02,218.897
2002-01-03,221.661
2002-01-04,222.402
2002-01-07,219.806
2002-01-08,218.049
2002-01-09,218.88
2002-01-10,218.226
2002-01-11,214.447
2002-01-14,212.316
2002-01-15,210.03
2002-01-16,207.565
2002-01-17,209.941
2002-01-18,210.49
2002-01-21,208.418
2002-01-22,209.318
2002-01-23,206.801
2002-01-24,210.209
2002-01-25,207.126
2002-01-28,209.105
2002-01-29,206.925
2002-01-30,203.482
2002-01-31,206.116
2002-02-01,207.909
2002-02-04,208.73
2002-02-05,207.586
2002-02-06,207.834
2002-02-07,207.436
2002-02-08,205.363
2002-02-11,208.17
2002-02-12,208.186
2002-02-13,210.033
2002-02-14,211.738
2002-02-15,213.058
2002-02-18,211.394
2002-02-19,209.532
2002-02-20,206.246
2002-02-21,208.742
2002-02-22,212.475
2002-02-25,212.949
2002-02-26,213.991
2002-02-27,218.176
2002-02-28,218.365
2002-03-01,219.296
2002-03-04,223.167
2002-03-05,225.897
2002-03-06,225.18
2002-03-07,232.149
2002-03-08,236.171
2002-03-11,231.954
2002-03-12,231.075
2002-03-13,229.846
2002-03-14,233.524
2002-03-15,233.779
2002-03-18,233.501
2002-03-19,236.639
2002-03-20,235.53
2002-03-21,238.939
2002-03-22,239.76
2002-03-25,238.919
2002-03-26,239.046
2002-03-27,240.747
2002-03-28,240.868
2002-03-29,240.868
2002-04-01,242.686
2002-04-02,248.513
2002-04-03,248.784
2002-04-04,245.872
2002-04-05,240.48
2002-04-08,242.955
2002-04-09,240.773
2002-04-10,239.98
2002-04-11,241.804
2002-04-12,240.304
2002-04-15,242.023
2002-04-16,246.167
2002-04-17,248.733
2002-04-18,251.919
2002-04-19,248.419
2002-04-22,246.212
2002-04-23,246.358
2002-04-24,247.453
2002-04-25,244.177
2002-04-26,244.032
2002-04-29,244.589
2002-04-30,248.344
2002-05-01,249.875
2002-05-02,254.887
2002-05-03,255.557
2002-05-06,254.133
2002-05-07,247.008
2002-05-08,250.632
2002-05-09,251.074
2002-05-10,255.015
2002-05-13,257.656
2002-05-14,258.77
2002-05-15,256.061
2002-05-16,260.997
2002-05-17,263.786
2002-05-20,264.563
2002-05-21,263.21
