Date,NORWAY MID CAP Mid Cap
1994-05-31,136.408
1994-06-30,135.718
1994-07-29,142.976
1994-08-31,140.759
1994-09-30,130.174
1994-10-31,137.361
1994-11-30,139.153
1994-12-30,154.213
1995-01-31,155.982
1995-02-28,150.411
1995-03-31,154.539
1995-04-28,165.332
1995-05-31,163.894
1995-06-30,175.846
1995-07-31,179.261
1995-08-31,175.833
1995-09-29,179.643
1995-10-31,175.887
1995-11-30,180.406
1995-12-29,181.455
1996-01-31,179.062
1996-02-29,186.699
1996-03-29,182.013
1996-04-30,191.186
1996-05-31,193.731
1996-06-28,188.879
1996-07-31,192.202
1996-08-30,192.992
1996-09-30,193.851
1996-10-31,207.169
1996-11-29,220.25
1996-12-31,228.971
1997-01-31,243.569
1997-02-28,244.743
1997-03-31,249.166
1997-04-30,232.128
1997-05-30,248.638
1997-06-30,243.24
1997-07-31,252.843
1997-08-29,246.817
1997-09-30,272.887
1997-10-31,280.922
1997-11-28,263.176
1997-12-31,264.652
1998-01-30,244.995
1998-02-27,265.845
1998-03-31,278.791
1998-04-30,299.06
1998-05-29,272.54
1998-06-30,263.897
1998-07-31,261.541
1998-08-31,179.175
1998-09-30,176.403
1998-10-30,197.764
1998-11-30,189.281
1998-12-31,175.867
1999-01-29,195.452
1999-02-26,173.728
1999-03-31,191.37
1999-04-30,199.654
1999-05-31,202.189
1999-06-30,200.547
1999-07-30,209.568
1999-08-31,213.253
1999-09-30,215.559
1999-10-29,209.233
1999-11-30,220.25
1999-12-31,241.154
2000-01-31,218.244
2000-02-29,230.571
2000-03-31,227.142
2000-04-28,205.164
2000-05-31,213.874
2000-06-30,239.312
2000-07-31,237.803
2000-08-31,261.329
2000-09-29,251.015
2000-10-31,251.772
2000-11-30,230.526
2000-12-29,247.137
2001-01-31,236.182
2001-02-28,236.043
2001-03-30,210.804
2001-04-30,225.346
2001-05-31,228.746
2001-06-29,218.285
2001-07-31,214.389
2001-08-31,211.613
2001-09-28,173.426
2001-10-31,170.144
2001-11-30,182.045
2001-12-31,188.51
2002-01-31,177.285
2002-02-28,190.332
2002-03-29,200.307
2002-04-30,199.447
2002-05-31,207.124
2002-06-28,207.637
2002-07-31,188.905
2002-08-30,190.8
2002-09-30,169.946
2002-10-31,172.372
2002-11-29,186.024
2002-12-31,179.92
2003-01-31,171.621
2003-02-28,149.709
2003-03-31,154.052
2003-04-30,187.484
2003-05-30,207.326
2003-06-30,193.019
2003-07-31,201.678
2003-08-29,201.166
2003-09-30,207.861
2003-10-31,239.771
2003-11-28,256.903
2003-12-31,273.732
2004-01-30,269.25
2004-02-27,296.293
2004-03-31,301.702
2004-04-30,295.287
2004-05-31,310.988
2004-06-30,319.739
2004-07-30,314.059
2004-08-31,338.262
2004-09-30,361.424
2004-10-29,378.643
2004-11-30,417.372
2004-12-31,414.002
2005-01-31,410.709
2005-02-28,482.022
2005-03-31,481.769
2005-04-29,442.716
2005-05-31,463.432
2005-06-30,488.838
2005-07-29,524.707
2005-08-31,531.848
2005-09-30,528.347
2005-10-31,482.584
2005-11-30,494.785
2005-12-30,511.678
2006-01-31,506.242
2006-02-28,536.032
2006-03-31,580.092
2006-04-28,609.53
2006-05-31,584.813
2006-06-30,544.385
2006-07-31,550.252
2006-08-31,567.102
2006-09-29,562.636
2006-10-31,619.061
2006-11-30,696.253
2006-12-29,721.78
2007-01-31,764.187
2007-02-28,787.323
2007-03-30,832.577
2007-04-30,929.863
2007-05-31,1000.0
2007-06-29,1058.917
2007-07-31,1069.045
2007-08-31,1023.102
2007-09-28,1179.451
2007-10-31,1229.806
2007-11-30,1100.628
2007-12-31,1160.799
2008-01-31,957.357
2008-02-29,1150.536
2008-03-31,1153.959
2008-04-30,1354.41
2008-05-30,1432.34
2008-06-30,1246.098
2008-07-31,1165.166
2008-08-29,1127.049
2008-09-30,785.478
2008-10-31,377.778
2008-11-28,321.94
2008-12-31,334.753
2009-01-30,325.312
2009-02-27,278.679
2009-03-31,324.526
2009-04-30,363.107
2009-05-29,458.25
2009-06-30,426.031
2009-07-31,469.444
2009-08-31,479.72
2009-09-30,560.343
2009-10-30,524.79
2009-11-30,570.365
2009-12-31,660.669
2010-01-29,574.124
2010-02-26,520.417
2010-03-31,573.56
2010-04-30,595.004
2010-05-31,457.704
2010-06-30,414.13
2010-07-30,498.407
2010-08-31,467.975
2010-09-30,599.76
2010-10-29,615.457
2010-11-30,595.419
2010-12-31,700.24
2011-01-31,695.314
2011-02-28,774.63
2011-03-31,771.052
2011-04-29,795.0
2011-05-31,759.962
2011-06-30,712.361
2011-07-29,719.918
2011-08-31,635.884
2011-09-30,505.412
2011-10-31,572.367
2011-11-30,533.912
2011-12-30,508.01
2012-01-31,549.129
2012-02-29,660.286
2012-03-30,687.589
2012-04-30,685.284
2012-05-31,546.955
2012-06-29,578.719
2012-07-31,599.595
2012-08-31,650.855
2012-09-28,669.473
2012-10-31,674.973
2012-11-30,683.243
2012-12-31,718.557
2013-01-31,745.089
2013-02-28,713.976
2013-03-29,701.571
2013-04-30,698.574
2013-05-31,684.86
2013-06-28,617.138
2013-07-31,640.124
2013-08-30,632.321
2013-09-30,637.742
2013-10-31,692.959
2013-11-29,685.248
2013-12-31,696.065
2014-01-31,669.785
2014-02-28,724.353
2014-03-31,725.169
2014-04-30,753.603
2014-05-30,784.394
2014-06-30,770.61
2014-07-31,778.783
2014-08-29,787.527
2014-09-30,751.451
2014-10-31,654.243
2014-11-28,646.931
2014-12-31,618.107
2015-01-30,630.173
2015-02-27,655.082
2015-03-31,597.214
2015-04-30,645.081
2015-05-29,623.922
2015-06-30,589.398
2015-07-31,557.209
2015-08-31,500.671
2015-09-30,471.104
2015-10-30,523.443
2015-11-30,526.571
2015-12-31,504.26
2016-01-29,473.421
2016-02-29,493.742
2016-03-31,528.953
2016-04-29,540.846
2016-05-31,546.199
2016-06-30,525.791
2016-07-29,559.399
2016-08-31,547.197
2016-09-30,585.69
2016-10-31,559.485
2016-11-30,543.716
2016-12-30,558.398
2017-01-31,601.149
2017-02-28,576.68
2017-03-31,563.511
2017-04-28,572.552
2017-05-31,589.655
2017-06-30,596.509
2017-07-31,638.312
2017-08-31,665.404
2017-09-29,684.536
2017-10-31,703.595
2017-11-30,671.556
2017-12-29,703.503
2018-01-31,709.569
2018-02-28,698.682
2018-03-30,670.352
2018-04-30,672.784
2018-05-31,659.443
2018-06-29,655.298
2018-07-31,670.261
2018-08-31,671.82
2018-09-28,718.036
2018-10-31,669.248
2018-11-30,635.007
2018-12-31,595.612
2019-01-31,636.377
2019-02-28,647.296
2019-03-29,635.231
2019-04-30,650.199
2019-05-31,648.039
2019-06-28,677.705
2019-07-31,672.852
2019-08-30,661.3
2019-09-30,662.153
2019-10-31,664.745
2019-11-29,665.22
2019-12-31,714.45
2020-01-31,658.542
2020-02-28,589.874
2020-03-31,478.116
2020-04-30,534.618
2020-05-29,557.402
2020-06-30,561.336
2020-07-31,619.104
2020-08-31,664.618
2020-09-30,620.556
2020-10-30,571.438
2020-11-30,673.503
2020-12-31,713.462
2021-01-29,701.113
2021-02-26,740.46
2021-03-31,787.208
2021-04-30,827.527
2021-05-31,852.647
2021-06-30,835.636
2021-07-30,843.731
2021-08-31,854.503
2021-09-30,837.78
2021-10-29,883.359
2021-11-30,772.974
2021-12-31,809.217
2022-01-31,779.244
2022-02-28,821.113
2022-03-31,829.894
2022-04-29,785.902
2022-05-31,784.521
2022-06-30,671.298
2022-07-29,712.814
2022-08-31,692.092
2022-09-30,525.684
2022-10-31,593.25
2022-11-30,634.969
2022-12-30,652.485
2023-01-31,686.122
2023-02-28,659.101
2023-03-31,656.442
2023-04-28,664.903
2023-05-31,615.493
2023-06-30,612.389
2023-07-31,668.077
2023-08-31,633.169
2023-09-29,663.906
2023-10-31,607.456
2023-11-30,657.485
2023-12-29,699.312
2024-01-31,678.946
2024-02-29,680.378
2024-03-29,686.973
2024-04-30,698.832
2024-05-31,759.101
2024-06-28,725.555
2024-07-31,744.481
2024-08-30,767.706
2024-09-30,799.575
2024-10-31,780.774
2024-11-29,799.875
2024-12-31,753.375
2025-01-31,828.92
2025-02-28,826.212
2025-03-31,897.492
2025-04-30,919.958
2025-05-30,974.364
2025-06-30,1012.663
2025-07-31,960.238
2025-08-29,1012.717
