Date,NORWAY MID GROWTH Mid Cap
2001-01-01,1281.01
2001-01-02,1357.847
2001-01-03,1253.747
2001-01-04,1328.493
2001-01-05,1327.441
2001-01-08,1307.139
2001-01-09,1241.657
2001-01-10,1239.975
2001-01-11,1222.306
2001-01-12,1257.727
2001-01-15,1282.746
2001-01-16,1271.075
2001-01-17,1339.593
2001-01-18,1380.96
2001-01-19,1368.321
2001-01-22,1299.246
2001-01-23,1309.347
2001-01-24,1328.138
2001-01-25,1293.638
2001-01-26,1287.245
2001-01-29,1172.087
2001-01-30,1231.042
2001-01-31,1322.302
2001-02-01,1339.188
2001-02-02,1324.256
2001-02-05,1302.901
2001-02-06,1302.642
2001-02-07,1275.577
2001-02-08,1256.137
2001-02-09,1228.982
2001-02-12,1206.875
2001-02-13,1222.722
2001-02-14,1192.144
2001-02-15,1179.481
2001-02-16,1223.986
2001-02-19,1298.837
2001-02-20,1252.365
2001-02-21,1256.557
2001-02-22,1269.879
2001-02-23,1255.379
2001-02-26,1266.24
2001-02-27,1238.02
2001-02-28,1231.256
2001-03-01,1200.467
2001-03-02,1205.951
2001-03-05,1221.259
2001-03-06,1305.634
2001-03-07,1282.82
2001-03-08,1299.908
2001-03-09,1298.293
2001-03-12,1273.094
2001-03-13,1244.973
2001-03-14,1184.641
2001-03-15,1179.547
2001-03-16,1165.87
2001-03-19,1107.509
2001-03-20,1150.351
2001-03-21,1100.577
2001-03-22,1034.136
2001-03-23,1040.996
2001-03-26,1073.648
2001-03-27,1106.201
2001-03-28,1095.19
2001-03-29,1063.181
2001-03-30,1093.055
2001-04-02,1078.075
2001-04-03,1048.489
2001-04-04,1078.562
2001-04-05,1175.436
2001-04-06,1137.096
2001-04-09,1135.69
2001-04-10,1172.278
2001-04-11,1147.528
2001-04-12,1158.423
2001-04-13,1158.423
2001-04-16,1146.626
2001-04-17,1117.384
2001-04-18,1136.468
2001-04-19,1116.431
2001-04-20,1107.819
2001-04-23,1122.603
2001-04-24,1132.508
2001-04-25,1152.104
2001-04-26,1160.585
2001-04-27,1181.946
2001-04-30,1172.093
2001-05-01,1179.014
2001-05-02,1213.007
2001-05-03,1204.31
2001-05-04,1211.99
2001-05-07,1223.778
2001-05-08,1211.406
2001-05-09,1175.061
2001-05-10,1223.984
2001-05-11,1187.753
2001-05-14,1151.597
2001-05-15,1172.051
2001-05-16,1195.898
2001-05-17,1196.016
2001-05-18,1225.246
2001-05-21,1313.849
2001-05-22,1286.888
2001-05-23,1275.265
2001-05-24,1275.874
2001-05-25,1271.464
2001-05-28,1285.751
2001-05-29,1275.319
2001-05-30,1262.803
2001-05-31,1244.552
2001-06-01,1249.149
2001-06-04,1250.92
2001-06-05,1263.436
2001-06-06,1259.722
2001-06-07,1266.123
2001-06-08,1254.279
2001-06-11,1227.554
2001-06-12,1189.756
2001-06-13,1206.975
2001-06-14,1177.25
2001-06-15,1166.663
2001-06-18,1204.008
2001-06-19,1209.064
2001-06-20,1193.212
2001-06-21,1175.336
2001-06-22,1198.89
2001-06-25,1223.907
2001-06-26,1168.462
2001-06-27,1188.038
2001-06-28,1164.716
2001-06-29,1182.236
2001-07-02,1187.374
2001-07-03,1187.418
2001-07-04,1179.39
2001-07-05,1158.536
2001-07-06,1175.306
2001-07-09,1189.482
2001-07-10,1187.726
2001-07-11,1213.563
2001-07-12,1226.668
2001-07-13,1099.548
2001-07-16,1077.075
2001-07-17,1072.864
2001-07-18,1067.242
2001-07-19,1093.264
2001-07-20,1082.428
2001-07-23,1086.739
2001-07-24,1067.342
2001-07-25,1049.88
2001-07-26,1037.132
2001-07-27,1076.328
2001-07-30,1086.269
2001-07-31,1089.648
2001-08-01,1099.412
2001-08-02,1110.305
2001-08-03,1102.171
2001-08-06,1079.233
2001-08-07,1070.71
2001-08-08,1073.046
