Date,NORWAY MID VALUE Mid Cap
1994-05-31,75.11
1994-06-30,77.602
1994-07-29,77.311
1994-08-31,73.612
1994-09-30,75.063
1994-10-31,76.728
1994-11-30,69.813
1994-12-30,77.548
1995-01-31,79.967
1995-02-28,77.937
1995-03-31,80.388
1995-04-28,84.199
1995-05-31,85.024
1995-06-30,90.106
1995-07-31,92.668
1995-08-31,86.766
1995-09-29,90.742
1995-10-31,87.091
1995-11-30,84.826
1995-12-29,87.152
1996-01-31,86.286
1996-02-29,91.557
1996-03-29,88.705
1996-04-30,89.935
1996-05-31,92.634
1996-06-28,94.646
1996-07-31,95.568
1996-08-30,96.031
1996-09-30,96.513
1996-10-31,101.926
1996-11-29,109.407
1996-12-31,115.567
1997-01-31,123.094
1997-02-28,125.547
1997-03-31,127.457
1997-04-30,119.04
1997-05-30,127.929
1997-06-30,128.079
1997-07-31,140.545
1997-08-29,136.787
1997-09-30,145.134
1997-10-31,158.266
1997-11-28,150.527
1997-12-31,156.776
1998-01-30,143.942
1998-02-27,165.715
1998-03-31,168.876
1998-04-30,178.772
1998-05-29,170.17
1998-06-30,163.236
1998-07-31,171.276
1998-08-31,115.645
1998-09-30,108.229
1998-10-30,125.299
1998-11-30,122.13
1998-12-31,112.104
1999-01-29,126.702
1999-02-26,109.788
1999-03-31,121.854
1999-04-30,130.683
1999-05-31,133.381
1999-06-30,128.143
1999-07-30,138.213
1999-08-31,145.273
1999-09-30,149.195
1999-10-29,141.775
1999-11-30,146.576
1999-12-31,160.337
2000-01-31,146.031
2000-02-29,144.612
2000-03-31,149.264
2000-04-28,143.731
2000-05-31,154.445
2000-06-30,167.041
2000-07-31,165.712
2000-08-31,172.029
2000-09-29,170.279
2000-10-31,163.063
2000-11-30,161.524
2000-12-29,179.503
2001-01-31,164.549
2001-02-28,170.89
2001-03-30,153.083
2001-04-30,164.209
2001-05-31,163.271
2001-06-29,156.177
2001-07-31,158.205
2001-08-31,165.038
2001-09-28,128.827
2001-10-31,125.54
2001-11-30,136.961
2001-12-31,145.805
2002-01-31,141.489
2002-02-28,151.346
2002-03-29,157.212
2002-04-30,161.736
2002-05-31,168.364
2002-06-28,170.911
2002-07-31,156.276
2002-08-30,157.464
2002-09-30,139.152
2002-10-31,142.609
2002-11-29,153.279
2002-12-31,148.249
2003-01-31,141.411
2003-02-28,123.356
2003-03-31,126.935
2003-04-30,155.243
2003-05-30,172.431
2003-06-30,160.879
2003-07-31,167.732
2003-08-29,168.152
2003-09-30,173.293
2003-10-31,196.292
2003-11-28,208.109
2003-12-31,219.745
2004-01-30,205.457
2004-02-27,241.378
2004-03-31,246.97
2004-04-30,247.338
2004-05-31,253.308
2004-06-30,260.435
2004-07-30,255.809
2004-08-31,275.523
2004-09-30,294.389
2004-10-29,308.414
2004-11-30,339.96
2004-12-31,345.905
2005-01-31,342.173
2005-02-28,395.55
2005-03-31,397.589
2005-04-29,370.219
2005-05-31,386.582
2005-06-30,407.909
2005-07-29,435.857
2005-08-31,450.427
2005-09-30,433.273
2005-10-31,396.268
2005-11-30,421.624
2005-12-30,449.106
2006-01-31,440.189
2006-02-28,470.252
2006-03-31,515.456
2006-04-28,550.159
2006-05-31,521.864
2006-06-30,495.095
2006-07-31,500.773
2006-08-31,530.69
2006-09-29,521.726
2006-10-31,571.397
2006-11-30,640.488
2006-12-29,656.224
2007-01-31,707.764
2007-02-28,762.183
2007-03-30,808.529
2007-04-30,930.015
2007-05-31,1000.0
2007-06-29,1007.741
2007-07-31,948.941
2007-08-31,886.039
2007-09-28,944.961
2007-10-31,1058.613
2007-11-30,945.767
2007-12-31,1151.186
2008-01-31,1164.751
2008-02-29,1405.591
2008-03-31,1440.348
2008-04-30,1814.193
2008-05-30,1904.24
2008-06-30,1480.603
2008-07-31,1397.262
2008-08-29,1562.109
2008-09-30,1209.468
2008-10-31,650.895
2008-11-28,568.792
2008-12-31,602.216
2009-01-30,578.786
2009-02-27,490.417
2009-03-31,540.091
2009-04-30,629.07
2009-05-29,768.923
2009-06-30,744.47
2009-07-31,840.029
2009-08-31,907.517
2009-09-30,1037.969
2009-10-30,1044.608
2009-11-30,1150.944
2010-05-31,858.652
2010-06-30,839.766
2010-07-30,1065.441
2010-08-31,1071.889
2010-09-30,1364.157
2010-10-29,1416.418
2010-11-30,1440.12
2010-12-31,1628.194
2011-01-31,1578.674
2011-02-28,1828.728
2011-03-31,1775.695
2011-04-29,1742.72
2011-05-31,1768.683
2011-06-30,1715.359
2011-07-29,1636.41
2011-08-31,1645.599
2011-09-30,1440.352
2011-10-31,1535.991
2011-11-30,1601.475
2011-12-30,1607.117
2012-01-31,1602.996
2012-02-29,1665.968
2012-03-30,1631.73
2012-04-30,1664.752
2012-05-31,1580.804
2012-06-29,1700.521
2012-07-31,1717.393
2012-08-31,1777.199
2012-09-28,1856.093
2012-10-31,1936.25
2012-11-30,1955.042
2012-12-31,2057.551
2013-01-31,2133.603
2013-02-28,2050.274
2013-03-29,2037.213
2013-04-30,2314.343
2013-05-31,2166.699
2013-06-28,2071.448
2013-07-31,2084.37
2013-08-30,1972.298
2013-09-30,1982.946
2013-10-31,2222.635
2013-11-29,2273.45
2013-12-31,2314.026
2014-01-31,2231.275
2014-02-28,2369.701
2014-03-31,2392.902
2014-04-30,2453.966
2014-05-30,2599.699
2014-06-30,2569.995
2014-07-31,2543.841
2014-08-29,2602.972
2014-09-30,2539.671
2014-10-31,2100.615
2014-11-28,1991.115
2014-12-31,1889.767
2015-01-30,1902.202
2015-02-27,2059.085
2015-03-31,1872.926
2015-04-30,2190.512
2015-05-29,2084.879
2015-06-30,1979.909
2015-07-31,1882.326
2015-08-31,1688.977
2015-09-30,1584.093
2015-10-30,1764.547
2015-11-30,1763.327
2015-12-31,1702.378
2016-01-29,1599.625
2016-02-29,1704.059
2016-03-31,1820.959
2016-04-29,1886.756
2016-05-31,1886.648
2016-06-30,1792.233
2016-07-29,1946.907
2016-08-31,1934.002
2016-09-30,2092.041
2016-10-31,2018.333
2016-11-30,1969.248
2016-12-30,2026.24
2017-01-31,2211.148
2017-02-28,2083.274
2017-03-31,2104.646
2017-04-28,2121.998
2017-05-31,2201.453
2017-06-30,2231.91
2017-07-31,2355.439
2017-08-31,2451.607
2017-09-29,2526.721
2017-10-31,2604.243
2017-11-30,2456.629
2017-12-29,2469.36
2018-01-31,2522.881
2018-02-28,2589.942
2018-03-30,2587.251
2018-04-30,2629.119
2018-05-31,2514.344
2018-06-29,2520.318
2018-07-31,2595.5
2018-08-31,2614.003
2018-09-28,2754.565
2018-10-31,2681.004
2018-11-30,2595.298
2018-12-31,2540.931
2019-01-31,2687.266
2019-02-28,2588.915
2019-03-29,2573.967
2019-04-30,2795.48
2019-05-31,2573.757
2019-06-28,2631.544
2019-07-31,2619.446
2019-08-30,2549.208
2019-09-30,2606.011
2019-10-31,2602.176
2019-11-29,2639.902
2019-12-31,2798.268
2020-01-31,2593.201
2020-02-28,2318.247
2020-03-31,1766.994
2020-04-30,1986.446
2020-05-29,2093.774
2020-06-30,2137.808
2020-07-31,2351.571
2020-08-31,2488.833
2020-09-30,2257.045
2020-10-30,2106.433
2020-11-30,2681.736
2020-12-31,2877.252
2021-01-29,2945.04
2021-02-26,3188.646
2021-03-31,3418.092
2021-04-30,3419.858
2021-05-31,3556.814
2021-06-30,3477.158
2021-07-30,3447.058
2021-08-31,3451.966
2021-09-30,3551.019
2021-10-29,3718.825
2021-11-30,3354.653
2021-12-31,3737.501
2022-01-31,3661.272
2022-02-28,3962.099
2022-03-31,3997.529
2022-04-29,3691.792
2022-05-31,3737.161
2022-06-30,3089.344
2022-07-29,3379.607
2022-08-31,3376.161
2022-09-30,2800.866
2022-10-31,3141.053
2022-11-30,3355.269
2022-12-30,3415.766
2023-01-31,3552.208
2023-02-28,3416.19
2023-03-31,3367.967
2023-04-28,3331.127
2023-05-31,3114.36
2023-06-30,3084.992
2023-07-31,3424.994
2023-08-31,3236.819
2023-09-29,3352.233
2023-10-31,3041.646
2023-11-30,3273.229
2023-12-29,3485.559
2024-01-31,3329.219
2024-02-29,3236.119
2024-03-29,3242.406
2024-04-30,3319.954
2024-05-31,3568.816
2024-06-28,3435.296
2024-07-31,3394.777
2024-08-30,3499.542
2024-09-30,3733.008
2024-10-31,3594.615
2024-11-29,3672.51
2024-12-31,3469.002
2025-01-31,3764.045
2025-02-28,3872.177
2025-03-31,4299.36
2025-04-30,4415.653
2025-05-30,4594.352
2025-06-30,4755.493
2025-07-31,4744.575
2025-08-29,5024.032
2025-09-30,5039.749
2025-10-31,4989.615
2025-11-28,4941.313
2025-12-31,5199.387
2026-01-30,5878.943
