Date,NORWAY MID VALUE Mid Cap
2001-01-01,191.784
2001-01-02,195.648
2001-01-03,193.239
2001-01-04,193.766
2001-01-05,194.41
2001-01-08,193.183
2001-01-09,190.669
2001-01-10,187.882
2001-01-11,190.189
2001-01-12,186.871
2001-01-15,184.215
2001-01-16,182.775
2001-01-17,179.84
2001-01-18,179.258
2001-01-19,174.016
2001-01-22,173.224
2001-01-23,172.983
2001-01-24,169.056
2001-01-25,169.03
2001-01-26,171.513
2001-01-29,173.375
2001-01-30,175.645
2001-01-31,175.807
2001-02-01,178.643
2001-02-02,179.798
2001-02-05,182.156
2001-02-06,184.555
2001-02-07,186.356
2001-02-08,184.374
2001-02-09,184.393
2001-02-12,184.303
2001-02-13,182.478
2001-02-14,181.375
2001-02-15,177.732
2001-02-16,180.55
2001-02-19,182.778
2001-02-20,180.525
2001-02-21,180.369
2001-02-22,179.058
2001-02-23,179.505
2001-02-26,180.123
2001-02-27,182.954
2001-02-28,182.582
2001-03-01,180.257
2001-03-02,180.732
2001-03-05,181.796
2001-03-06,186.263
2001-03-07,184.946
2001-03-08,186.679
2001-03-09,186.956
2001-03-12,182.115
2001-03-13,175.535
2001-03-14,167.395
2001-03-15,171.294
2001-03-16,165.915
2001-03-19,167.091
2001-03-20,168.493
2001-03-21,167.575
2001-03-22,161.154
2001-03-23,161.2
2001-03-26,163.087
2001-03-27,165.215
2001-03-28,163.669
2001-03-29,162.163
2001-03-30,163.556
2001-04-02,165.828
2001-04-03,164.644
2001-04-04,165.354
2001-04-05,166.298
2001-04-06,169.461
2001-04-09,169.698
2001-04-10,171.067
2001-04-11,172.687
2001-04-12,174.326
2001-04-13,174.326
2001-04-16,172.551
2001-04-17,173.262
2001-04-18,172.049
2001-04-19,170.945
2001-04-20,172.836
2001-04-23,171.892
2001-04-24,172.866
2001-04-25,171.887
2001-04-26,174.031
2001-04-27,173.658
2001-04-30,174.565
2001-05-01,175.596
2001-05-02,175.256
2001-05-03,173.251
2001-05-04,175.705
2001-05-07,177.274
2001-05-08,177.867
2001-05-09,176.308
2001-05-10,179.1
2001-05-11,179.857
2001-05-14,177.148
2001-05-15,179.506
2001-05-16,180.224
2001-05-17,180.242
2001-05-18,183.288
2001-05-21,186.833
2001-05-22,182.649
2001-05-23,178.83
2001-05-24,178.916
2001-05-25,180.564
2001-05-28,179.262
2001-05-29,175.241
2001-05-30,174.323
2001-05-31,173.056
2001-06-01,172.048
2001-06-04,172.292
2001-06-05,175.168
2001-06-06,176.33
2001-06-07,177.865
2001-06-08,176.692
2001-06-11,172.548
2001-06-12,171.789
2001-06-13,174.157
2001-06-14,170.528
2001-06-15,170.198
2001-06-18,170.93
2001-06-19,172.1
2001-06-20,170.543
2001-06-21,168.157
2001-06-22,169.242
2001-06-25,169.121
2001-06-26,168.374
2001-06-27,168.385
2001-06-28,168.454
2001-06-29,165.537
2001-07-02,167.588
2001-07-03,169.624
2001-07-04,170.506
2001-07-05,168.749
2001-07-06,168.654
2001-07-09,169.98
2001-07-10,170.686
2001-07-11,170.691
2001-07-12,172.078
2001-07-13,169.878
2001-07-16,167.659
2001-07-17,165.986
2001-07-18,168.697
2001-07-19,171.92
2001-07-20,171.872
2001-07-23,171.364
2001-07-24,169.716
2001-07-25,168.047
2001-07-26,169.041
2001-07-27,169.406
2001-07-30,168.818
2001-07-31,167.687
2001-08-01,168.401
2001-08-02,168.179
2001-08-03,169.271
2001-08-06,167.594
2001-08-07,166.68
2001-08-08,167.017
2001-08-09,169.838
2001-08-10,172.51
2001-08-13,172.955
2001-08-14,174.489
2001-08-15,174.871
2001-08-16,175.444
2001-08-17,175.087
2001-08-20,171.605
2001-08-21,173.064
2001-08-22,177.76
2001-08-23,176.041
2001-08-24,178.278
2001-08-27,176.16
2001-08-28,176.363
2001-08-29,175.913
2001-08-30,175.803
2001-08-31,174.929
2001-09-03,174.126
2001-09-04,174.298
2001-09-05,176.205
2001-09-06,176.343
2001-09-07,175.956
2001-09-10,171.36
2001-09-11,173.461
2001-09-12,162.898
2001-09-13,165.598
2001-09-14,162.573
2001-09-17,160.576
2001-09-18,156.532
2001-09-19,153.133
2001-09-20,141.819
2001-09-21,127.191
2001-09-24,135.295
2001-09-25,135.678
2001-09-26,137.778
2001-09-27,138.494
2001-09-28,136.465
2001-10-01,134.446
2001-10-02,134.289
2001-10-03,131.852
2001-10-04,131.587
2001-10-05,131.038
2001-10-08,130.204
2001-10-09,130.998
2001-10-10,132.787
2001-10-11,137.304
2001-10-12,138.083
2001-10-15,135.98
2001-10-16,136.762
2001-10-17,139.266
2001-10-18,135.477
2001-10-19,133.599
2001-10-22,133.766
2001-10-23,135.496
2001-10-24,135.206
2001-10-25,133.88
2001-10-26,136.225
2001-10-29,136.803
2001-10-30,135.306
2001-10-31,132.983
2001-11-01,133.998
2001-11-02,134.139
2001-11-05,136.007
2001-11-06,137.222
2001-11-07,139.353
2001-11-08,139.725
2001-11-09,142.416
2001-11-12,137.932
2001-11-13,138.938
2001-11-14,141.737
2001-11-15,139.014
2001-11-16,138.247
2001-11-19,139.494
2001-11-20,139.548
2001-11-21,137.916
2001-11-22,137.218
2001-11-23,137.516
2001-11-26,140.177
2001-11-27,142.843
2001-11-28,142.823
2001-11-29,142.483
2001-11-30,145.054
2001-12-03,143.427
2001-12-04,144.928
2001-12-05,144.83
2001-12-06,146.525
2001-12-07,147.365
2001-12-10,146.547
2001-12-11,147.327
2001-12-12,148.575
2001-12-13,147.909
2001-12-14,148.371
2001-12-17,146.695
2001-12-18,148.32
2001-12-19,147.136
2001-12-20,147.581
2001-12-21,149.466
2001-12-24,147.558
2001-12-25,147.558
2001-12-26,147.758
2001-12-27,152.404
2001-12-28,153.308
2001-12-31,154.42
2002-01-01,154.42
2002-01-02,156.637
2002-01-03,155.118
2002-01-04,155.427
2002-01-07,157.889
2002-01-08,157.045
2002-01-09,158.366
2002-01-10,157.189
2002-01-11,157.798
2002-01-14,157.361
2002-01-15,154.666
2002-01-16,151.618
2002-01-17,152.838
2002-01-18,153.139
2002-01-21,153.64
2002-01-22,153.212
2002-01-23,152.624
2002-01-24,153.522
2002-01-25,151.734
2002-01-28,152.464
2002-01-29,152.739
2002-01-30,150.087
2002-01-31,149.849
2002-02-01,149.329
2002-02-04,151.849
2002-02-05,151.477
2002-02-06,152.03
2002-02-07,149.848
2002-02-08,148.582
2002-02-11,149.847
2002-02-12,149.99
2002-02-13,151.641
2002-02-14,153.939
2002-02-15,155.39
2002-02-18,154.344
2002-02-19,154.538
2002-02-20,154.893
2002-02-21,157.188
2002-02-22,157.529
2002-02-25,157.862
2002-02-26,157.765
2002-02-27,160.498
2002-02-28,160.288
2002-03-01,158.659
2002-03-04,159.618
2002-03-05,159.184
2002-03-06,160.904
2002-03-07,163.743
2002-03-08,164.027
2002-03-11,163.932
2002-03-12,164.264
2002-03-13,162.785
2002-03-14,164.096
2002-03-15,165.341
2002-03-18,165.634
2002-03-19,166.093
2002-03-20,167.435
2002-03-21,168.538
