Date,NORWAY SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,103.97
2001-01-03,99.138
2001-01-04,100.943
2001-01-05,103.006
2001-01-08,103.973
2001-01-09,103.228
2001-01-10,102.535
2001-01-11,105.382
2001-01-12,107.179
2001-01-15,106.247
2001-01-16,105.726
2001-01-17,106.338
2001-01-18,107.112
2001-01-19,108.478
2001-01-22,107.354
2001-01-23,107.203
2001-01-24,105.486
2001-01-25,103.659
2001-01-26,102.966
2001-01-29,103.849
2001-01-30,104.627
2001-01-31,104.922
2001-02-01,107.745
2001-02-02,107.022
2001-02-05,106.964
2001-02-06,106.478
2001-02-07,105.93
2001-02-08,102.865
2001-02-09,102.727
2001-02-12,102.534
2001-02-13,103.212
2001-02-14,102.896
2001-02-15,100.702
2001-02-16,101.522
2001-02-19,100.956
2001-02-20,99.663
2001-02-21,98.541
2001-02-22,97.908
2001-02-23,96.875
2001-02-26,97.714
2001-02-27,98.048
2001-02-28,98.864
2001-03-01,97.445
2001-03-02,99.049
2001-03-05,99.786
2001-03-06,100.687
2001-03-07,100.012
2001-03-08,100.748
2001-03-09,99.326
2001-03-12,98.491
2001-03-13,95.031
2001-03-14,92.848
2001-03-15,93.718
2001-03-16,92.236
2001-03-19,91.752
2001-03-20,92.915
2001-03-21,90.817
2001-03-22,88.29
2001-03-23,89.867
2001-03-26,90.726
2001-03-27,92.166
2001-03-28,90.593
2001-03-29,91.253
2001-03-30,92.113
2001-04-02,92.158
2001-04-03,90.5
2001-04-04,91.005
2001-04-05,92.478
2001-04-06,92.809
2001-04-09,93.271
2001-04-10,95.438
2001-04-11,94.517
2001-04-12,95.414
2001-04-13,95.414
2001-04-16,94.442
2001-04-17,94.622
2001-04-18,94.052
2001-04-19,94.881
2001-04-20,94.715
2001-04-23,93.658
2001-04-24,92.473
2001-04-25,91.765
2001-04-26,91.941
2001-04-27,92.669
2001-04-30,93.102
2001-05-01,93.652
2001-05-02,92.474
2001-05-03,92.285
2001-05-04,91.327
2001-05-07,90.956
2001-05-08,91.964
2001-05-09,93.274
2001-05-10,93.631
2001-05-11,92.713
2001-05-14,90.623
2001-05-15,92.623
2001-05-16,92.424
2001-05-17,92.433
2001-05-18,92.449
2001-05-21,93.989
2001-05-22,93.666
2001-05-23,92.268
