Date,NORWAY SMID CAP SMID (Small+Mid Cap)
2001-01-01,271.787
2001-01-02,280.07
2001-01-03,268.604
2001-01-04,274.472
2001-01-05,276.118
2001-01-08,276.107
2001-01-09,272.328
2001-01-10,272.447
2001-01-11,276.548
2001-01-12,277.819
2001-01-15,275.443
2001-01-16,272.037
2001-01-17,273.568
2001-01-18,276.633
2001-01-19,274.669
2001-01-22,270.747
2001-01-23,271.024
2001-01-24,268.885
2001-01-25,266.565
2001-01-26,267.773
2001-01-29,265.754
2001-01-30,269.719
2001-01-31,274.851
2001-02-01,278.934
2001-02-02,279.135
2001-02-05,279.211
2001-02-06,279.682
2001-02-07,279.888
2001-02-08,276.971
2001-02-09,275.75
2001-02-12,273.576
2001-02-13,274.571
2001-02-14,272.008
2001-02-15,267.749
2001-02-16,271.834
2001-02-19,277.036
2001-02-20,273.288
2001-02-21,271.751
2001-02-22,271.186
2001-02-23,270.442
2001-02-26,273.655
2001-02-27,274.527
2001-02-28,275.136
2001-03-01,269.964
2001-03-02,272.416
2001-03-05,274.632
2001-03-06,280.583
2001-03-07,278.281
2001-03-08,281.068
2001-03-09,279.916
2001-03-12,273.059
2001-03-13,264.846
2001-03-14,255.651
2001-03-15,258.757
2001-03-16,254.727
2001-03-19,252.393
2001-03-20,257.368
2001-03-21,252.219
2001-03-22,242.127
2001-03-23,243.199
2001-03-26,247.723
2001-03-27,250.618
2001-03-28,246.972
2001-03-29,245.754
2001-03-30,249.144
2001-04-02,248.309
2001-04-03,243.646
2001-04-04,245.626
2001-04-05,250.808
2001-04-06,251.522
2001-04-09,252.247
2001-04-10,255.877
2001-04-11,255.956
2001-04-12,258.386
2001-04-13,258.386
2001-04-16,255.754
2001-04-17,255.209
2001-04-18,256.204
2001-04-19,257.325
2001-04-20,257.928
2001-04-23,257.174
2001-04-24,257.636
2001-04-25,258.071
2001-04-26,259.657
2001-04-27,261.607
2001-04-30,262.165
2001-05-01,263.714
2001-05-02,263.249
