Date,PORTUGAL IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,462.177
2001-01-02,464.028
2001-01-03,455.299
2001-01-04,470.793
2001-01-05,472.734
2001-01-08,468.422
2001-01-09,468.328
2001-01-10,475.88
2001-01-11,493.15
2001-01-12,511.553
2001-01-15,514.611
2001-01-16,500.406
2001-01-17,515.576
2001-01-18,524.972
2001-01-19,513.877
2001-01-22,507.753
2001-01-23,506.214
2001-01-24,517.287
2001-01-25,512.494
2001-01-26,509.833
2001-01-29,511.07
2001-01-30,519.393
2001-01-31,522.841
2001-02-01,529.75
2001-02-02,521.969
2001-02-05,517.465
2001-02-06,519.19
2001-02-07,513.36
2001-02-08,499.712
2001-02-09,488.228
2001-02-12,493.619
2001-02-13,490.144
2001-02-14,480.356
2001-02-15,474.64
2001-02-16,476.351
2001-02-19,474.225
2001-02-20,471.207
2001-02-21,468.037
2001-02-22,458.772
2001-02-23,453.693
2001-02-26,460.175
2001-02-27,464.728
2001-02-28,467.27
2001-03-01,471.636
2001-03-02,474.145
2001-03-05,487.829
2001-03-06,496.658
2001-03-07,498.769
2001-03-08,501.311
2001-03-09,489.842
2001-03-12,479.345
2001-03-13,475.617
2001-03-14,464.783
2001-03-15,461.437
2001-03-16,447.811
2001-03-19,445.55
2001-03-20,447.929
2001-03-21,432.612
2001-03-22,407.247
2001-03-23,426.498
2001-03-26,432.191
2001-03-27,435.436
2001-03-28,433.076
2001-03-29,430.15
2001-03-30,430.815
2001-04-02,426.558
2001-04-03,418.927
2001-04-04,437.383
2001-04-05,442.458
2001-04-06,443.065
2001-04-09,449.69
2001-04-10,447.427
2001-04-11,442.728
2001-04-12,440.11
2001-04-13,440.11
2001-04-16,435.603
2001-04-17,435.61
2001-04-18,437.228
2001-04-19,443.681
2001-04-20,445.152
2001-04-23,427.962
2001-04-24,425.281
2001-04-25,426.851
2001-04-26,439.485
2001-04-27,435.23
2001-04-30,441.576
2001-05-01,443.917
2001-05-02,443.24
2001-05-03,439.325
2001-05-04,443.527
2001-05-07,443.174
2001-05-08,439.151
2001-05-09,434.698
2001-05-10,438.088
2001-05-11,431.477
2001-05-14,426.018
2001-05-15,432.062
2001-05-16,431.859
2001-05-17,429.347
2001-05-18,425.978
2001-05-21,412.527
2001-05-22,397.458
2001-05-23,390.94
2001-05-24,390.285
2001-05-25,398.101
2001-05-28,403.647
2001-05-29,394.913
2001-05-30,391.149
2001-05-31,380.397
2001-06-01,382.557
2001-06-04,382.311
2001-06-05,380.655
2001-06-06,379.113
2001-06-07,378.24
2001-06-08,372.802
2001-06-11,364.47
2001-06-12,363.481
2001-06-13,369.981
2001-06-14,373.152
2001-06-15,365.871
2001-06-18,356.14
2001-06-19,350.451
2001-06-20,343.996
2001-06-21,346.434
2001-06-22,347.624
2001-06-25,352.788
2001-06-26,345.763
2001-06-27,339.151
2001-06-28,337.439
2001-06-29,336.889
2001-07-02,334.129
2001-07-03,337.015
2001-07-04,334.925
2001-07-05,331.045
2001-07-06,326.829
2001-07-09,327.265
2001-07-10,330.168
2001-07-11,330.232
2001-07-12,329.29
2001-07-13,330.367
2001-07-16,329.112
2001-07-17,324.019
2001-07-18,329.319
2001-07-19,330.032
2001-07-20,328.012
2001-07-23,327.606
2001-07-24,330.926
2001-07-25,328.576
2001-07-26,329.953
2001-07-27,332.998
2001-07-30,332.444
2001-07-31,334.173
2001-08-01,334.072
2001-08-02,326.165
2001-08-03,320.234
2001-08-06,314.915
2001-08-07,311.63
2001-08-08,309.926
2001-08-09,312.486
2001-08-10,317.982
2001-08-13,324.194
2001-08-14,325.431
2001-08-15,330.399
2001-08-16,325.889
2001-08-17,322.838
2001-08-20,320.041
2001-08-21,322.314
2001-08-22,324.767
2001-08-23,319.93
2001-08-24,321.773
2001-08-27,322.437
2001-08-28,319.335
2001-08-29,318.717
2001-08-30,317.507
2001-08-31,315.241
2001-09-03,310.096
2001-09-04,302.399
2001-09-05,302.368
2001-09-06,300.305
2001-09-07,296.705
2001-09-10,289.402
2001-09-11,283.141
2001-09-12,276.966
2001-09-13,278.255
2001-09-14,272.678
2001-09-17,268.189
2001-09-18,272.612
2001-09-19,277.725
2001-09-20,273.043
2001-09-21,270.853
2001-09-24,277.528
2001-09-25,287.145
2001-09-26,287.897
2001-09-27,285.571
2001-09-28,279.818
2001-10-01,283.26
2001-10-02,284.831
2001-10-03,285.535
2001-10-04,287.25
2001-10-05,288.995
2001-10-08,291.635
2001-10-09,294.369
2001-10-10,296.747
2001-10-11,293.576
2001-10-12,294.388
2001-10-15,292.782
2001-10-16,295.682
2001-10-17,296.451
2001-10-18,297.625
2001-10-19,297.092
2001-10-22,303.465
2001-10-23,305.929
2001-10-24,306.519
2001-10-25,302.988
2001-10-26,303.946
2001-10-29,306.14
2001-10-30,304.801
2001-10-31,307.022
2001-11-01,308.982
2001-11-02,307.62
2001-11-05,311.157
2001-11-06,315.083
2001-11-07,321.818
2001-11-08,317.998
2001-11-09,315.033
2001-11-12,315.202
2001-11-13,315.652
2001-11-14,317.93
2001-11-15,314.081
2001-11-16,312.918
2001-11-19,315.04
2001-11-20,315.185
2001-11-21,308.78
2001-11-22,309.418
2001-11-23,309.859
2001-11-26,315.838
2001-11-27,318.059
2001-11-28,313.376
2001-11-29,310.481
2001-11-30,311.826
2001-12-03,304.694
2001-12-04,308.909
2001-12-05,313.565
2001-12-06,318.459
2001-12-07,317.209
2001-12-10,313.194
2001-12-11,317.277
2001-12-12,320.552
2001-12-13,318.226
2001-12-14,317.571
2001-12-17,315.235
2001-12-18,314.226
2001-12-19,311.028
2001-12-20,309.741
2001-12-21,308.02
2001-12-24,304.947
2001-12-25,304.947
2001-12-26,305.207
2001-12-27,311.723
2001-12-28,311.779
2001-12-31,314.82
2002-01-01,314.82
2002-01-02,319.457
2002-01-03,325.963
2002-01-04,325.706
2002-01-07,320.61
2002-01-08,316.084
2002-01-09,311.216
2002-01-10,309.94
2002-01-11,309.011
2002-01-14,307.602
2002-01-15,307.585
2002-01-16,305.22
2002-01-17,310.241
2002-01-18,312.23
2002-01-21,310.514
2002-01-22,310.104
2002-01-23,304.85
2002-01-24,302.061
2002-01-25,297.701
2002-01-28,302.541
2002-01-29,297.587
2002-01-30,292.856
2002-01-31,291.349
2002-02-01,292.318
2002-02-04,289.837
2002-02-05,288.685
2002-02-06,291.799
2002-02-07,287.177
2002-02-08,286.91
2002-02-11,288.327
2002-02-12,287.916
2002-02-13,282.322
2002-02-14,282.788
2002-02-15,280.502
2002-02-18,279.642
2002-02-19,272.868
2002-02-20,270.533
2002-02-21,268.253
2002-02-22,271.028
2002-02-25,268.124
2002-02-26,274.37
2002-02-27,278.306
2002-02-28,282.393
2002-03-01,283.808
2002-03-04,290.246
2002-03-05,292.259
2002-03-06,293.769
2002-03-07,299.645
2002-03-08,302.511
2002-03-11,304.123
2002-03-12,300.753
2002-03-13,299.007
2002-03-14,301.829
2002-03-15,304.16
2002-03-18,304.834
2002-03-19,305.755
2002-03-20,299.946
2002-03-21,295.25
2002-03-22,298.954
2002-03-25,294.437
2002-03-26,293.372
2002-03-27,293.061
2002-03-28,293.334
2002-03-29,293.334
2002-04-01,295.738
2002-04-02,291.379
2002-04-03,288.754
2002-04-04,290.004
2002-04-05,288.487
2002-04-08,286.459
2002-04-09,291.793
2002-04-10,291.345
2002-04-11,291.07
2002-04-12,289.062
2002-04-15,290.374
2002-04-16,294.659
2002-04-17,298.637
2002-04-18,299.631
2002-04-19,301.973
2002-04-22,300.691
2002-04-23,299.713
2002-04-24,298.056
2002-04-25,300.261
2002-04-26,296.281
2002-04-29,298.313
2002-04-30,294.645
2002-05-01,296.312
2002-05-02,281.982
2002-05-03,286.844
2002-05-06,285.179
2002-05-07,280.865
2002-05-08,287.615
2002-05-09,285.546
2002-05-10,282.579
2002-05-13,280.721
2002-05-14,279.904
2002-05-15,282.966
2002-05-16,285.938
2002-05-17,289.836
2002-05-20,289.194
2002-05-21,289.687
2002-05-22,292.605
2002-05-23,291.433
2002-05-24,293.016
2002-05-27,290.893
2002-05-28,296.147
2002-05-29,297.587
2002-05-30,299.366
2002-05-31,294.625
2002-06-03,297.617
2002-06-04,293.645
2002-06-05,292.67
2002-06-06,288.222
2002-06-07,281.604
2002-06-10,281.35
2002-06-11,282.598
2002-06-12,278.674
2002-06-13,273.82
2002-06-14,268.951
2002-06-17,274.664
2002-06-18,278.134
2002-06-19,282.917
2002-06-20,284.685
2002-06-21,285.947
2002-06-24,288.955
2002-06-25,289.595
2002-06-26,288.671
2002-06-27,292.159
2002-06-28,294.91
2002-07-01,288.048
2002-07-02,281.723
2002-07-03,271.391
2002-07-04,274.398
2002-07-05,280.973
2002-07-08,286.319
2002-07-09,288.739
2002-07-10,286.593
2002-07-11,283.585
2002-07-12,283.485
2002-07-15,283.439
2002-07-16,285.684
2002-07-17,288.451
2002-07-18,287.227
2002-07-19,280.084
2002-07-22,275.336
2002-07-23,270.341
2002-07-24,264.432
2002-07-25,270.775
2002-07-26,266.821
2002-07-29,268.784
2002-07-30,265.884
2002-07-31,264.955
2002-08-01,265.619
2002-08-02,261.604
2002-08-05,258.758
2002-08-06,251.875
2002-08-07,246.295
2002-08-08,253.681
2002-08-09,260.61
2002-08-12,259.919
2002-08-13,260.495
2002-08-14,260.49
2002-08-15,258.55
2002-08-16,258.315
2002-08-19,257.04
2002-08-20,258.28
2002-08-21,263.688
2002-08-22,271.766
2002-08-23,272.285
2002-08-26,269.529
2002-08-27,276.596
2002-08-28,274.319
2002-08-29,274.078
2002-08-30,274.591
2002-09-02,267.441
2002-09-03,270.276
2002-09-04,265.826
2002-09-05,266.04
2002-09-06,266.147
2002-09-09,264.693
