Date,PORTUGAL IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,282.766
1994-06-30,270.352
1994-07-29,285.379
1994-08-31,307.835
1994-09-30,301.519
1994-10-31,309.484
1994-11-30,303.375
1994-12-30,299.905
1995-01-31,289.578
1995-02-28,297.96
1995-03-31,320.3
1995-04-28,317.704
1995-05-31,312.246
1995-06-30,313.314
1995-07-31,314.459
1995-08-31,288.286
1995-09-29,295.639
1995-10-31,303.56
1995-11-30,288.578
1995-12-29,296.15
1996-01-31,313.09
1996-02-29,326.356
1996-03-29,331.272
1996-04-30,330.99
1996-05-31,343.777
1996-06-28,371.23
1996-07-31,378.92
1996-08-30,379.872
1996-09-30,376.521
1996-10-31,381.664
1996-11-29,385.903
1996-12-31,398.83
1997-01-31,415.816
1997-02-28,406.645
1997-03-31,406.904
1997-04-30,407.01
1997-05-30,416.963
1997-06-30,444.392
1997-07-31,447.893
1997-08-29,422.319
1997-09-30,475.173
1997-10-31,462.76
1997-11-28,476.762
1997-12-31,506.818
1998-01-30,566.749
1998-02-27,613.533
1998-03-31,670.436
1998-04-30,741.865
1998-05-29,729.001
1998-06-30,695.728
1998-07-31,723.479
1998-08-31,616.461
1998-09-30,516.07
1998-10-30,633.379
1998-11-30,645.35
1998-12-31,669.124
1999-01-29,678.483
1999-02-26,637.906
1999-03-31,590.84
1999-04-30,548.604
1999-05-31,565.581
1999-06-30,545.382
1999-07-30,558.166
1999-08-31,556.462
1999-09-30,566.29
1999-10-29,588.377
1999-11-30,602.189
1999-12-31,679.789
2000-01-31,712.891
2000-02-29,864.857
2000-03-31,764.748
2000-04-28,665.467
2000-05-31,645.292
2000-06-30,643.149
2000-07-31,607.661
2000-08-31,566.552
2000-09-29,545.444
2000-10-31,467.468
2000-11-30,432.572
2000-12-29,462.177
2001-01-31,522.841
2001-02-28,467.27
2001-03-30,430.815
2001-04-30,441.576
2001-05-31,380.397
2001-06-29,336.889
2001-07-31,334.173
2001-08-31,315.241
2001-09-28,279.818
2001-10-31,307.022
2001-11-30,311.826
2001-12-31,314.82
2002-01-31,291.349
2002-02-28,282.393
2002-03-29,293.334
2002-04-30,294.645
2002-05-31,294.625
2002-06-28,294.91
2002-07-31,264.955
2002-08-30,274.591
2002-09-30,218.609
2002-10-31,257.61
2002-11-29,286.46
2002-12-31,292.746
2003-01-31,301.594
2003-02-28,289.767
2003-03-31,299.946
2003-04-30,318.167
2003-05-30,339.691
2003-06-30,325.495
2003-07-31,303.963
2003-08-29,322.011
2003-09-30,348.059
2003-10-31,373.011
2003-11-28,417.998
2003-12-31,449.063
2004-01-30,468.992
2004-02-27,509.295
2004-03-31,496.85
2004-04-30,493.615
2004-05-31,474.039
2004-06-30,486.86
2004-07-30,461.873
2004-08-31,460.193
2004-09-30,488.597
2004-10-29,508.835
2004-11-30,538.5
2004-12-31,561.201
2005-01-31,574.089
2005-02-28,573.269
2005-03-31,555.007
2005-04-29,538.622
2005-05-31,518.52
2005-06-30,513.829
2005-07-29,512.374
2005-08-31,536.537
2005-09-30,555.436
2005-10-31,520.915
2005-11-30,527.08
2005-12-30,555.802
2006-01-31,576.54
2006-02-28,602.631
2006-03-31,644.078
2006-04-28,676.178
2006-05-31,654.494
2006-06-30,676.549
2006-07-31,676.867
2006-08-31,696.673
2006-09-29,729.242
2006-10-31,754.206
2006-11-30,791.64
2006-12-29,825.627
2007-01-31,846.859
2007-02-28,900.412
2007-03-30,900.22
2007-04-30,960.706
2007-05-31,1000.0
2007-06-29,987.263
2007-07-31,1011.608
2007-08-31,960.913
2007-09-28,970.754
2007-10-31,1058.255
2007-11-30,1091.307
2007-12-31,1054.557
2008-01-31,916.105
2008-02-29,881.524
2008-03-31,918.081
2008-04-30,938.009
2008-05-30,896.431
2008-06-30,749.435
2008-07-31,734.541
2008-08-29,693.82
2008-09-30,601.715
2008-10-31,461.544
2008-11-28,436.857
2008-12-31,469.047
2009-01-30,457.645
2009-02-27,424.789
2009-03-31,468.019
2009-04-30,502.668
2009-05-29,576.418
2009-06-30,572.899
2009-07-31,580.922
2009-08-31,622.159
2009-09-30,672.135
2009-10-30,667.455
2009-11-30,691.227
2009-12-31,687.358
2010-01-29,615.187
2010-02-26,592.144
2010-03-31,626.407
2010-04-30,574.164
2010-05-31,545.732
2010-06-30,548.132
2010-07-30,600.566
2010-08-31,612.55
2010-09-30,681.248
2010-10-29,742.629
2010-11-30,653.009
2010-12-31,699.926
2011-01-31,718.165
2011-02-28,734.643
2011-03-31,750.247
2011-04-29,780.26
2011-05-31,790.548
2011-06-30,831.058
2011-07-29,809.706
2011-08-31,747.838
2011-09-30,661.308
2011-10-31,735.555
2011-11-30,675.837
2011-12-30,629.948
2012-01-31,642.634
2012-02-29,681.222
2012-03-30,687.131
2012-04-30,657.149
2012-05-31,571.679
2012-06-29,543.445
2012-07-31,538.682
2012-08-31,585.9
2012-09-28,611.423
2012-10-31,621.108
2012-11-30,630.516
2012-12-31,649.235
2013-01-31,700.866
2013-02-28,662.547
2013-03-29,660.75
2013-04-30,740.394
2013-05-31,710.885
2013-06-28,675.866
2013-07-31,675.341
2013-08-30,684.678
2013-09-30,704.034
2013-10-31,683.272
2013-11-29,717.286
2013-12-31,714.669
2014-01-31,675.202
2014-02-28,750.855
2014-03-31,756.194
2014-04-30,747.688
2014-05-30,724.11
2014-06-30,666.89
2014-07-31,567.554
2014-08-29,543.692
2014-09-30,499.324
2014-10-31,435.482
2014-11-28,412.819
2014-12-31,347.136
2015-01-30,345.53
2015-02-27,405.589
2015-03-31,413.04
2015-04-30,466.742
2015-05-29,427.641
2015-06-30,411.437
2015-07-31,427.809
2015-08-31,392.171
2015-09-30,366.199
2015-10-30,398.859
2015-11-30,388.797
2015-12-31,380.362
2016-01-29,373.633
2016-02-29,369.563
2016-03-31,413.791
2016-04-29,421.204
2016-05-31,411.271
2016-06-30,405.91
2016-07-29,415.644
2016-08-31,422.967
2016-09-30,421.946
2016-10-31,417.749
2016-11-30,401.405
2016-12-30,415.022
2017-01-31,422.807
2017-02-28,416.249
2017-03-31,450.383
2017-04-28,463.034
2017-05-31,499.067
2017-06-30,492.071
2017-07-31,511.398
2017-08-31,519.768
2017-09-29,545.776
2017-10-31,548.158
2017-11-30,571.035
2017-12-29,564.693
2018-01-31,617.102
2018-02-28,583.594
2018-03-30,554.734
2018-04-30,554.091
2018-05-31,520.758
2018-06-29,516.422
2018-07-31,546.168
2018-08-31,539.471
2018-09-28,535.637
2018-10-31,466.417
2018-11-30,453.379
2018-12-31,438.044
2019-01-31,469.116
2019-02-28,485.983
2019-03-29,477.065
2019-04-30,508.726
2019-05-31,477.479
