Date,PORTUGAL IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,208.088
1994-06-30,206.487
1994-07-29,223.165
1994-08-31,232.248
1994-09-30,227.576
1994-10-31,235.67
1994-11-30,228.451
1994-12-30,228.838
1995-01-31,219.816
1995-02-28,230.525
1995-03-31,244.101
1995-04-28,246.745
1995-05-31,249.603
1995-06-30,247.915
1995-07-31,246.213
1995-08-31,231.28
1995-09-29,237.891
1995-10-31,243.114
1995-11-30,232.816
1995-12-29,241.128
1996-01-31,254.724
1996-02-29,256.194
1996-03-29,260.263
1996-04-30,254.784
1996-05-31,262.696
1996-06-28,274.214
1996-07-31,278.346
1996-08-30,285.999
1996-09-30,278.436
1996-10-31,282.248
1996-11-29,285.918
1996-12-31,296.377
1997-01-31,319.247
1997-02-28,322.353
1997-03-31,330.236
1997-04-30,329.497
1997-05-30,348.87
1997-06-30,373.338
1997-07-31,378.991
1997-08-29,355.926
1997-09-30,398.467
1997-10-31,394.5
1997-11-28,398.412
1997-12-31,411.036
1998-01-30,454.432
1998-02-27,504.587
1998-03-31,578.437
1998-04-30,634.539
1998-05-29,630.694
1998-06-30,552.243
1998-07-31,579.839
1998-08-31,536.354
1998-09-30,512.801
1998-10-30,566.913
1998-11-30,531.307
1998-12-31,527.753
1999-01-29,546.781
1999-02-26,500.903
1999-03-31,471.217
1999-04-30,448.439
1999-05-31,452.73
1999-06-30,431.743
1999-07-30,441.384
1999-08-31,431.442
1999-09-30,421.059
1999-10-29,425.298
1999-11-30,425.951
1999-12-31,460.544
2000-01-31,452.747
2000-02-29,499.664
2000-03-31,467.71
2000-04-28,438.779
2000-05-31,445.872
2000-06-30,477.415
2000-07-31,467.845
2000-08-31,451.962
2000-09-29,448.247
2000-10-31,411.424
2000-11-30,421.597
2000-12-29,450.313
2001-01-31,455.326
2001-02-28,434.701
2001-03-30,387.174
2001-04-30,384.525
2001-05-31,360.897
2001-06-29,335.834
2001-07-31,347.235
2001-08-31,336.902
2001-09-28,336.882
2001-10-31,352.003
2001-11-30,349.692
2001-12-31,347.042
2002-01-31,335.199
2002-02-28,331.931
2002-03-29,353.206
2002-04-30,362.125
2002-05-31,371.122
2002-06-28,366.718
2002-07-31,322.381
2002-08-30,315.934
2002-09-30,255.85
2002-10-31,275.467
2002-11-29,317.11
2002-12-31,308.509
2003-01-31,297.913
2003-02-28,267.032
2003-03-31,279.305
2003-04-30,297.525
2003-05-30,334.882
2003-06-30,349.506
2003-07-31,346.516
2003-08-29,348.006
2003-09-30,382.989
2003-10-31,380.898
2003-11-28,407.133
2003-12-31,436.94
2004-01-30,434.516
2004-02-27,478.744
2004-03-31,473.269
2004-04-30,468.391
2004-05-31,467.923
2004-06-30,485.952
2004-07-30,469.302
2004-08-31,486.31
2004-09-30,520.357
2004-10-29,525.052
2004-11-30,553.208
2004-12-31,566.271
2005-01-31,558.211
2005-02-28,552.639
2005-03-31,526.194
2005-04-29,530.258
2005-05-31,501.29
2005-06-30,481.502
2005-07-29,494.032
2005-08-31,507.081
2005-09-30,502.746
2005-10-31,494.977
2005-11-30,508.106
2005-12-30,545.982
2006-01-31,570.346
