Date,PORTUGAL IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,475.545
2001-01-02,482.259
2001-01-03,481.352
2001-01-04,485.356
2001-01-05,484.683
2001-01-08,479.601
2001-01-09,473.953
2001-01-10,476.245
2001-01-11,486.052
2001-01-12,484.376
2001-01-15,483.137
2001-01-16,477.432
2001-01-17,473.477
2001-01-18,479.535
2001-01-19,475.835
2001-01-22,478.341
2001-01-23,478.304
2001-01-24,465.363
2001-01-25,469.24
2001-01-26,475.036
2001-01-29,469.603
2001-01-30,475.774
2001-01-31,480.839
2001-02-01,483.524
2001-02-02,478.945
2001-02-05,478.192
2001-02-06,478.215
2001-02-07,477.166
2001-02-08,467.059
2001-02-09,465.921
2001-02-12,472.749
2001-02-13,468.601
2001-02-14,466.378
2001-02-15,459.056
2001-02-16,457.788
2001-02-19,456.357
2001-02-20,452.761
2001-02-21,453.227
2001-02-22,449.814
2001-02-23,449.616
2001-02-26,451.07
2001-02-27,455.532
2001-02-28,459.058
2001-03-01,462.497
2001-03-02,463.312
2001-03-05,457.428
2001-03-06,457.6
2001-03-07,457.067
2001-03-08,456.671
2001-03-09,452.56
2001-03-12,449.306
2001-03-13,446.094
2001-03-14,436.688
2001-03-15,436.281
2001-03-16,423.454
2001-03-19,420.815
2001-03-20,424.412
2001-03-21,419.212
2001-03-22,399.83
2001-03-23,411.34
2001-03-26,414.316
2001-03-27,411.735
2001-03-28,409.531
2001-03-29,408.406
2001-03-30,408.869
2001-04-02,405.094
2001-04-03,403.441
2001-04-04,414.243
2001-04-05,418.379
2001-04-06,417.102
2001-04-09,420.468
2001-04-10,420.252
2001-04-11,419.412
2001-04-12,424.884
2001-04-13,424.884
2001-04-16,420.532
2001-04-17,418.638
2001-04-18,420.335
2001-04-19,422.687
2001-04-20,422.743
2001-04-23,412.688
2001-04-24,410.957
2001-04-25,412.475
2001-04-26,409.949
2001-04-27,403.586
2001-04-30,404.92
2001-05-01,407.067
2001-05-02,406.316
2001-05-03,404.914
2001-05-04,408.746
2001-05-07,405.41
2001-05-08,401.184
2001-05-09,400.108
2001-05-10,401.433
2001-05-11,397.191
2001-05-14,395.874
2001-05-15,402.428
