Date,PORTUGAL LARGE CAP Large Cap
2001-01-01,2426.896
2001-01-02,2441.184
2001-01-03,2426.895
2001-01-04,2468.783
2001-01-05,2478.348
2001-01-08,2460.828
2001-01-09,2440.999
2001-01-10,2464.79
2001-01-11,2534.347
2001-01-12,2559.707
2001-01-15,2581.148
2001-01-16,2524.709
2001-01-17,2545.678
2001-01-18,2579.21
2001-01-19,2526.779
2001-01-22,2522.814
2001-01-23,2516.027
2001-01-24,2496.173
2001-01-25,2502.035
2001-01-26,2518.909
2001-01-29,2503.941
2001-01-30,2552.994
2001-01-31,2562.22
2001-02-01,2590.609
2001-02-02,2562.129
2001-02-05,2553.109
2001-02-06,2577.44
2001-02-07,2552.478
2001-02-08,2485.279
2001-02-09,2454.942
2001-02-12,2498.931
2001-02-13,2478.778
2001-02-14,2449.169
2001-02-15,2400.912
2001-02-16,2392.822
2001-02-19,2368.276
2001-02-20,2361.041
2001-02-21,2353.258
2001-02-22,2307.144
2001-02-23,2299.058
2001-02-26,2315.239
2001-02-27,2338.145
2001-02-28,2377.369
2001-03-01,2402.762
2001-03-02,2399.801
2001-03-05,2401.402
2001-03-06,2425.796
2001-03-07,2434.845
2001-03-08,2438.23
2001-03-09,2404.187
2001-03-12,2369.853
2001-03-13,2360.118
2001-03-14,2296.623
2001-03-15,2285.782
2001-03-16,2218.064
2001-03-19,2208.594
2001-03-20,2220.749
2001-03-21,2175.157
2001-03-22,2065.486
2001-03-23,2144.214
2001-03-26,2173.904
2001-03-27,2163.242
2001-03-28,2155.851
2001-03-29,2127.367
2001-03-30,2120.73
2001-04-02,2100.634
2001-04-03,2088.482
2001-04-04,2182.678
2001-04-05,2209.826
2001-04-06,2204.169
2001-04-09,2240.318
2001-04-10,2244.451
2001-04-11,2249.804
2001-04-12,2259.186
2001-04-13,2259.186
2001-04-16,2236.049
2001-04-17,2252.245
2001-04-18,2273.915
2001-04-19,2276.441
2001-04-20,2291.026
2001-04-23,2195.519
2001-04-24,2173.722
2001-04-25,2181.747
2001-04-26,2208.676
2001-04-27,2183.314
2001-04-30,2208.266
2001-05-01,2219.973
2001-05-02,2216.285
2001-05-03,2199.67
2001-05-04,2233.047
2001-05-07,2222.885
2001-05-08,2206.214
2001-05-09,2191.79
2001-05-10,2213.595
2001-05-11,2188.909
2001-05-14,2166.489
2001-05-15,2211.096
2001-05-16,2210.709
2001-05-17,2198.411
2001-05-18,2168.5
2001-05-21,2116.766
2001-05-22,2057.214
2001-05-23,2016.622
2001-05-24,1995.822
2001-05-25,1995.951
2001-05-28,2011.025
2001-05-29,1989.038
2001-05-30,2000.103
2001-05-31,1964.955
2001-06-01,1946.798
2001-06-04,1949.523
2001-06-05,1956.144
2001-06-06,1947.373
2001-06-07,1931.368
2001-06-08,1929.499
2001-06-11,1895.079
2001-06-12,1873.041
2001-06-13,1893.671
2001-06-14,1909.905
2001-06-15,1875.433
2001-06-18,1826.676
2001-06-19,1811.757
2001-06-20,1756.799
2001-06-21,1760.707
2001-06-22,1798.387
2001-06-25,1853.541
2001-06-26,1814.593
2001-06-27,1805.315
2001-06-28,1825.084
2001-06-29,1833.643
2001-07-02,1838.834
2001-07-03,1871.977
2001-07-04,1874.146
2001-07-05,1850.56
2001-07-06,1817.728
2001-07-09,1810.699
2001-07-10,1825.856
2001-07-11,1787.472
2001-07-12,1773.602
2001-07-13,1778.186
2001-07-16,1787.482
2001-07-17,1784.705
2001-07-18,1836.319
2001-07-19,1885.864
2001-07-20,1873.79
2001-07-23,1853.406
2001-07-24,1872.939
2001-07-25,1885.668
2001-07-26,1893.372
2001-07-27,1899.076
2001-07-30,1922.458
2001-07-31,1932.386
2001-08-01,1931.809
2001-08-02,1940.603
2001-08-03,1959.58
2001-08-06,1964.224
2001-08-07,1950.168
2001-08-08,1927.517
2001-08-09,1920.07
2001-08-10,1923.366
2001-08-13,1923.784
2001-08-14,1952.687
2001-08-15,1982.497
2001-08-16,1961.833
2001-08-17,1942.956
2001-08-20,1923.487
2001-08-21,1923.368
2001-08-22,1904.087
2001-08-23,1916.73
2001-08-24,1921.204
2001-08-27,1903.088
2001-08-28,1872.133
2001-08-29,1897.036
2001-08-30,1869.562
2001-08-31,1872.24
