Date,PORTUGAL LARGE CAP Large Cap
1995-06-30,1006.692
1995-07-31,1058.217
1995-08-31,954.357
1995-09-29,1010.909
1995-10-31,996.542
1995-11-30,963.629
1995-12-29,992.167
1996-01-31,1100.005
1996-02-29,1221.733
1996-03-29,1188.907
1996-04-30,1168.072
1996-05-31,1296.928
1996-06-28,1405.678
1996-07-31,1381.13
1996-08-30,1441.372
1996-09-30,1384.396
1996-10-31,1400.199
1996-11-29,1428.718
1996-12-31,1532.159
1997-01-31,1861.835
1997-02-28,1887.815
1997-03-31,2003.351
1997-04-30,1983.901
1997-05-30,2067.887
1997-06-30,2173.588
1997-07-31,2065.905
1997-08-29,1912.509
1997-09-30,2156.446
1997-10-31,2133.097
1997-11-28,2277.798
1997-12-31,2439.531
1998-01-30,2689.812
1998-02-27,2785.308
1998-03-31,2897.442
1998-04-30,3118.145
1998-05-29,3182.282
1998-06-30,2964.434
1998-07-31,3088.719
1998-08-31,2797.178
1998-09-30,2554.859
1998-10-30,2975.18
1998-11-30,2667.13
1998-12-31,2705.75
1999-01-29,2988.036
1999-02-26,2745.086
1999-03-31,2511.972
1999-04-30,2373.377
1999-05-31,2488.872
1999-06-30,2350.224
1999-07-30,2423.607
1999-08-31,2294.068
1999-09-30,2207.554
1999-10-29,2264.293
1999-11-30,2361.774
1999-12-31,2652.459
2000-01-31,2657.536
2000-02-29,3260.634
2000-03-31,2992.039
2000-04-28,2715.229
2000-05-31,2699.329
2000-06-30,2823.916
2000-07-31,2655.81
2000-08-31,2532.198
2000-09-29,2488.186
2000-10-31,2198.284
2000-11-30,2174.164
2000-12-29,2380.742
2001-01-31,2513.493
2001-02-28,2332.156
2001-03-30,2080.399
2001-04-30,2166.27
2001-05-31,1921.079
2001-06-29,1792.699
2001-07-31,1889.237
2001-08-31,1830.434
2001-09-28,1881.899
2001-10-31,1924.13
2001-11-30,1896.264
2001-12-31,1875.905
2002-01-31,1717.324
2002-02-28,1658.811
2002-03-29,1733.88
2002-04-30,1721.641
2002-05-31,1729.476
2003-11-28,570.797
2003-12-31,610.576
2004-01-30,625.469
2004-02-27,684.358
2004-03-31,678.358
2004-04-30,670.065
2004-05-31,636.577
2004-06-30,666.544
2004-07-30,633.56
2004-08-31,628.273
2004-09-30,680.432
2004-10-29,693.752
2004-11-30,730.585
2004-12-31,763.977
2005-01-31,764.875
2005-02-28,751.786
2005-03-31,725.662
2005-04-29,677.747
2005-05-31,652.088
2005-06-30,603.926
2005-07-29,608.24
2005-08-31,602.549
2005-09-30,583.021
2005-10-31,574.628
2005-11-30,582.862
2005-12-30,641.7
2006-01-31,638.198
2006-02-28,735.848
2006-03-31,770.766
2006-04-28,808.705
2006-05-31,778.82
2006-06-30,799.003
2006-07-31,821.093
2006-08-31,831.229
2006-09-29,825.946
2006-10-31,824.601
2006-11-30,852.878
2006-12-29,883.658
2007-01-31,884.757
2007-02-28,930.04
2007-03-30,921.512
2007-04-30,974.546
2007-05-31,1000.0
2007-06-29,1024.357
2007-07-31,1012.651
2007-08-31,960.635
2007-09-28,952.314
2007-10-31,1074.784
2007-11-30,1076.253
2007-12-31,1037.532
2008-01-31,943.11
2008-02-29,905.513
2008-03-31,909.208
2008-04-30,938.171
2008-05-30,933.722
2008-06-30,809.525
