Date,PORTUGAL LARGE VALUE Large Cap
1996-05-31,1000.0
1996-06-28,1083.852
1996-07-31,1064.924
1996-08-30,1111.374
1996-09-30,1067.442
1996-10-31,1079.627
1996-11-29,1101.617
1996-12-31,1181.375
1997-01-31,1435.573
1997-02-28,1455.605
1997-03-31,1544.689
1997-04-30,1529.692
1997-05-30,1594.45
1997-06-30,1675.951
1997-07-31,1569.727
1997-08-29,1449.319
1997-09-30,1612.621
1997-10-31,1623.319
1997-11-28,1699.963
1997-12-31,1782.953
1998-01-30,1946.657
1998-02-27,1994.525
1998-03-31,2182.685
1998-04-30,2454.382
1998-05-29,2556.722
1998-06-30,2259.094
1998-07-31,2285.946
1998-08-31,2265.053
1998-09-30,2233.751
1998-10-30,2444.936
1998-11-30,2159.352
1998-12-31,2139.655
1999-01-29,2372.844
1999-02-26,2095.227
1999-03-31,1917.897
1999-04-30,1830.085
1999-05-31,1870.639
1999-06-30,1793.68
1999-07-30,1810.544
1999-08-31,1715.948
1999-09-30,1626.893
1999-10-29,1635.564
1999-11-30,1677.783
1999-12-31,1874.024
2000-01-31,1789.358
2000-02-29,2232.943
2000-03-31,2068.961
2000-04-28,1917.742
2000-05-31,1925.524
2000-06-30,2090.996
2000-07-31,1909.833
2000-08-31,1815.496
2000-09-29,1785.107
2000-10-31,1599.281
2000-11-30,1637.688
2000-12-29,1775.914
2001-01-31,1735.913
2001-02-28,1670.926
2001-03-30,1492.707
2001-04-30,1479.542
2001-05-31,1385.826
2001-06-29,1293.216
2001-07-31,1362.856
2001-08-31,1320.437
2001-09-28,1357.563
2001-10-31,1388.027
2001-11-30,1367.925
2001-12-31,1296.596
2002-01-31,1207.397
2002-02-28,1151.199
2002-03-29,1244.352
2002-04-30,1231.51
2002-05-31,1265.664
2005-05-31,668.662
2005-06-30,619.276
2005-07-29,623.699
2005-08-31,617.863
2005-09-30,597.839
2005-10-31,589.233
2005-11-30,597.676
2005-12-30,658.009
2006-01-31,654.418
2006-02-28,754.551
2006-03-31,790.356
2006-04-28,829.259
2006-05-31,806.356
2006-06-30,827.252
2006-07-31,850.124
2006-08-31,860.618
2006-09-29,855.148
2006-10-31,853.756
2006-11-30,883.032
2006-12-29,889.281
2007-01-31,906.612
2007-02-28,911.654
2007-03-30,915.044
2007-04-30,979.296
2007-05-31,1000.0
2007-06-29,1053.929
2007-07-31,1019.111
2007-08-31,959.493
2007-09-28,915.8
2007-10-31,1047.413
2007-11-30,1016.555
2007-12-31,971.21
2008-01-31,948.288
2008-02-29,954.237
2008-03-31,867.527
2008-04-30,949.848
2008-05-30,977.329
2008-06-30,908.91
2008-07-31,881.358
2008-08-29,841.072
2008-09-30,798.52
2008-10-31,521.803
2008-11-28,605.114
2008-12-31,687.439
2009-01-30,645.651
2009-02-27,608.248
2009-03-31,585.551
2009-04-30,654.977
2009-05-29,757.971
2009-06-30,765.536
2009-07-31,761.323
2009-08-31,803.383
2009-09-30,868.41
2009-10-30,908.613
2009-11-30,961.468
2009-12-31,932.158
2010-01-29,841.752
2010-02-26,796.006
2010-03-31,858.85
2010-04-30,776.237
2010-05-31,708.91
2010-06-30,686.291
2010-07-30,754.767
2010-08-31,700.419
2010-09-30,788.097
2010-10-29,877.357
2010-11-30,736.523
2010-12-31,767.359
2011-01-31,883.371
2011-02-28,871.548
2011-03-31,895.463
2011-04-29,940.251
2011-05-31,909.687
2011-06-30,847.434
2011-07-29,786.116
2011-08-31,764.333
2011-09-30,686.546
2011-10-31,690.944
2011-11-30,647.994
2011-12-30,627.776
2012-01-31,590.685
2012-02-29,592.52
2012-03-30,587.438
2012-04-30,578.222
2012-05-31,457.197
2012-06-29,520.645
2012-07-31,502.55
2012-08-31,537.668
2012-09-28,606.522
2012-10-31,597.787
2012-11-30,557.063
2012-12-31,664.508
2013-01-31,709.56
2013-02-28,661.24
2013-03-29,678.874
2013-04-30,757.365
2013-05-31,760.007
2013-06-28,761.035
2013-07-31,838.68
2013-08-30,834.086
2013-09-30,864.582
2013-10-31,872.178
2013-11-29,897.005
2013-12-31,870.324
2014-01-31,888.76
2014-02-28,1025.904
2014-03-31,1099.064
2014-04-30,1147.994
2014-05-30,1180.863
2014-06-30,1251.086
2014-07-31,1168.899
2014-08-29,1210.186
2014-09-30,1088.474
2014-10-31,1072.057
2014-11-28,1025.67
2014-12-31,971.113
2015-01-30,950.373
2015-02-27,986.326
2015-03-31,933.443
2015-04-30,998.213
2015-05-29,1023.385
2015-06-30,996.163
2015-07-31,977.07
2015-08-31,919.71
2015-09-30,958.721
2015-10-30,976.893
2015-11-30,874.933
2015-12-31,947.259
2016-01-29,914.005
2016-02-29,815.098
2016-03-31,935.346
2016-04-29,933.491
2016-05-31,929.634
2016-06-30,853.063
2016-07-29,956.57
2016-08-31,933.157
2016-09-30,936.564
2016-10-31,920.287
2016-11-30,806.569
2016-12-30,851.081
2017-01-31,809.948
2017-02-28,864.822
2017-03-31,946.82
2017-04-28,919.969
2017-05-31,1089.664
2017-06-30,966.473
2017-07-31,1046.862
2017-08-31,1134.826
2017-09-29,1114.435
2017-10-31,1056.109
2017-11-30,1039.306
2017-12-29,1025.347
2018-01-31,1043.081
2018-02-28,993.792
2018-03-30,1124.045
2018-04-30,1168.087
2018-05-31,1229.072
2018-06-29,1247.683
2018-07-31,1283.085
2018-08-31,1230.556
2018-09-28,1160.174
2018-10-31,1105.403
2018-11-30,1098.573
2018-12-31,1095.496
2019-01-31,1150.468
2019-02-28,1154.221
2019-03-29,1236.972
2019-04-30,1190.221
2019-05-31,1210.144
2019-06-28,1268.192
2019-07-31,1232.115
2019-08-30,1261.604
2019-09-30,1293.991
2019-10-31,1371.783
2019-11-29,1348.389
2019-12-31,1445.289
2020-01-31,1670.598
2020-02-28,1544.628
2020-03-31,1337.459
2020-04-30,1405.157
2020-05-29,1641.641
2020-06-30,1668.178
2020-07-31,1812.137
2020-08-31,1814.357
2020-09-30,1759.298
2020-10-30,1763.009
2020-11-30,1911.419
2020-12-31,2256.179
2021-01-29,2247.181
2021-02-26,2060.221
2021-03-31,2046.995
2021-04-30,2066.428
2021-05-31,2134.32
2021-06-30,1983.653
2021-07-30,1951.492
2021-08-31,2085.185
2021-09-30,1988.463
2021-10-29,2152.354
2021-11-30,2055.77
2021-12-31,2066.615
2022-01-31,1887.972
2022-02-28,1869.056
2022-03-31,1908.937
2022-04-29,1859.145
2022-05-31,1972.954
2022-06-30,1844.377
2022-07-29,1999.562
2022-08-31,1898.512
2022-09-30,1706.724
2022-10-31,1720.163
2022-11-30,1833.71
2022-12-30,1921.043
2023-01-31,1910.159
2023-02-28,1928.659
2023-03-31,2088.584
2023-04-28,2170.256
2023-05-31,1918.849
2023-06-30,1927.691
2023-07-31,1849.716
2023-08-31,1797.474
2023-09-29,1635.665
2023-10-31,1639.254
2023-11-30,1869.252
2023-12-29,1989.971
2024-01-31,1740.412
2024-02-29,1523.314
2024-03-29,1495.796
2024-04-30,1459.635
2024-05-31,1668.39
2024-06-28,1520.889
2024-07-31,1673.002
2024-08-30,1714.268
2024-09-30,1870.185
2024-10-31,1555.518
2024-11-29,1408.388
2024-12-31,1247.226
2025-01-31,1229.825
2025-02-28,1260.346
2025-03-31,
2025-04-30,
2025-05-30,
2025-06-30,
2025-07-31,
2025-08-29,
2025-09-30,
2025-10-31,
2025-11-28,
2025-12-31,
2026-01-30,
