Date,PORTUGAL MID CAP Mid Cap
2001-01-01,455.065
2001-01-02,463.719
2001-01-03,457.36
2001-01-04,469.832
2001-01-05,467.24
2001-01-08,459.867
2001-01-09,457.906
2001-01-10,463.131
2001-01-11,475.797
2001-01-12,485.659
2001-01-15,481.374
2001-01-16,473.003
2001-01-17,478.973
2001-01-18,487.393
2001-01-19,483.868
2001-01-22,482.748
2001-01-23,482.984
2001-01-24,483.524
2001-01-25,482.963
2001-01-26,484.348
2001-01-29,482.755
2001-01-30,487.273
2001-01-31,494.193
2001-02-01,496.627
2001-02-02,490.501
2001-02-05,486.018
2001-02-06,482.707
2001-02-07,481.695
2001-02-08,470.697
2001-02-09,464.293
2001-02-12,467.992
2001-02-13,464.099
2001-02-14,458.787
2001-02-15,456.099
2001-02-16,456.807
2001-02-19,458.994
2001-02-20,453.513
2001-02-21,452.494
2001-02-22,450.564
2001-02-23,446.743
2001-02-26,451.259
2001-02-27,455.724
2001-02-28,453.76
2001-03-01,456.193
2001-03-02,460.059
2001-03-05,466.353
2001-03-06,468.697
2001-03-07,468.263
2001-03-08,469.425
2001-03-09,460.124
2001-03-12,454.302
2001-03-13,448.891
2001-03-14,441.112
2001-03-15,440.347
2001-03-16,426.554
2001-03-19,423.816
2001-03-20,428.037
2001-03-21,417.498
2001-03-22,393.488
2001-03-23,408.473
2001-03-26,410.901
2001-03-27,414.337
2001-03-28,411.532
2001-03-29,415.317
2001-03-30,418.316
2001-04-02,414.448
2001-04-03,408.564
2001-04-04,417.899
2001-04-05,421.125
2001-04-06,421.576
2001-04-09,423.361
2001-04-10,420.611
2001-04-11,412.841
2001-04-12,415.082
2001-04-13,415.082
2001-04-16,410.831
2001-04-17,404.14
2001-04-18,403.179
2001-04-19,411.951
2001-04-20,409.013
2001-04-23,400.982
2001-04-24,401.693
2001-04-25,403.176
2001-04-26,404.182
2001-04-27,397.287
2001-04-30,399.006
2001-05-01,401.121
2001-05-02,399.776
2001-05-03,397.703
2001-05-04,397.827
2001-05-07,395.367
2001-05-08,389.867
2001-05-09,387.422
2001-05-10,386.84
2001-05-11,380.563
2001-05-14,378.922
2001-05-15,381.982
2001-05-16,383.488
2001-05-17,380.451
2001-05-18,375.521
2001-05-21,375.83
2001-05-22,367.773
2001-05-23,365.285
2001-05-24,365.483
2001-05-25,373.335
2001-05-28,380.349
2001-05-29,374.641
2001-05-30,373.668
2001-05-31,366.847
2001-06-01,368.376
2001-06-04,368.137
2001-06-05,366.216
2001-06-06,364.292
2001-06-07,362.571
2001-06-08,358.693
2001-06-11,347.81
2001-06-12,346.047
2001-06-13,353.187
2001-06-14,356.215
2001-06-15,351.401
2001-06-18,340.911
2001-06-19,337.581
2001-06-20,330.073
2001-06-21,331.465
2001-06-22,335.873
2001-06-25,339.094
2001-06-26,336.999
2001-06-27,333.847
2001-06-28,331.725
2001-06-29,332.168
2001-07-02,330.637
2001-07-03,333.798
2001-07-04,332.659
2001-07-05,329.876
2001-07-06,327.21
2001-07-09,325.358
2001-07-10,330.445
2001-07-11,329.164
2001-07-12,325.623
2001-07-13,324.557
2001-07-16,325.121
2001-07-17,319.758
2001-07-18,324.352
2001-07-19,325.574
2001-07-20,323.426
2001-07-23,320.769
2001-07-24,323.747
2001-07-25,321.762
2001-07-26,322.687
2001-07-27,324.729
2001-07-30,323.25
2001-07-31,324.999
2001-08-01,324.08
2001-08-02,318.114
2001-08-03,312.686
2001-08-06,309.672
2001-08-07,306.911
2001-08-08,305.466
2001-08-09,307.958
2001-08-10,311.3
2001-08-13,315.853
2001-08-14,316.688
2001-08-15,321.522
2001-08-16,316.887
2001-08-17,313.912
2001-08-20,311.76
2001-08-21,313.95
2001-08-22,315.649
2001-08-23,310.589
2001-08-24,311.059
2001-08-27,310.849
2001-08-28,308.378
2001-08-29,308.643
2001-08-30,308.121
2001-08-31,305.641
2001-09-03,301.782
2001-09-04,294.403
2001-09-05,293.836
2001-09-06,292.661
2001-09-07,289.543
2001-09-10,283.865
2001-09-11,273.827
2001-09-12,268.096
2001-09-13,270.132
2001-09-14,264.925
2001-09-17,262.936
2001-09-18,271.921
2001-09-19,276.784
2001-09-20,268.737
2001-09-21,268.888
2001-09-24,272.443
2001-09-25,277.437
2001-09-26,282.894
2001-09-27,282.719
2001-09-28,278.101
2001-10-01,281.239
2001-10-02,284.077
2001-10-03,284.592
2001-10-04,285.994
2001-10-05,287.732
2001-10-08,288.029
2001-10-09,291.073
2001-10-10,292.767
2001-10-11,291.853
2001-10-12,293.622
2001-10-15,292.406
2001-10-16,296.838
2001-10-17,297.689
2001-10-18,297.53
2001-10-19,298.263
2001-10-22,302.038
2001-10-23,303.581
2001-10-24,303.324
2001-10-25,300.865
2001-10-26,299.432
2001-10-29,300.227
2001-10-30,299.432
2001-10-31,301.689
2001-11-01,303.615
2001-11-02,303.361
2001-11-05,308.097
2001-11-06,313.522
2001-11-07,317.918
2001-11-08,314.041
2001-11-09,310.584
2001-11-12,310.173
2001-11-13,310.264
2001-11-14,311.743
2001-11-15,308.319
2001-11-16,306.466
2001-11-19,310.464
2001-11-20,310.211
2001-11-21,306.212
2001-11-22,306.748
2001-11-23,305.28
2001-11-26,307.682
2001-11-27,308.789
2001-11-28,304.56
2001-11-29,304.026
2001-11-30,303.815
2001-12-03,299.861
2001-12-04,303.521
2001-12-05,307.018
2001-12-06,308.247
2001-12-07,308.673
